# This file was created by gnuplotFile.py version $Revision: 130 $ on Thu Aug 23 17:50:38 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# alyeska.engin.umich.edu$ ../NumBias.py -A Matrix.Diagonal(scipy.arange(10,0,-1)) -q scipy.array([1,0,0,0,0,0,0,0,0,0]) --iterations 10 --values 10 --tol 0.01 -f NumBias10x10_new1E6.dat --trials 1E6 -r
# 
# =============================================================================
# 
# value-3      value-3      value-3     value-2      value-2      value-2     value-1      value-1      value-1     value-0      value-0      value-0     value-7      value-7      value-7     value-6      value-6      value-6     value-5      value-5      value-5     value-4      value-4      value-4     value-9      value-9      value-9     value-8      value-8      value-8     
# x-coord      y-coord      error       x-coord      y-coord      error       x-coord      y-coord      error       x-coord      y-coord      error       x-coord      y-coord      error       x-coord      y-coord      error       x-coord      y-coord      error       x-coord      y-coord      error       x-coord      y-coord      error       x-coord      y-coord      error       
  0.01         -4.6907E-06  1.0007E-05  0.01         7.3626E-06   9.9875E-06  0.01         6.9317E-07   1.0007E-05  0.01         1.2837E-05   1.0004E-05  0.01         4.1248E-06   9.9937E-06  0.01         8.8984E-06   1.0002E-05  0.01         -1.5164E-06  1.0005E-05  0.01         7.2725E-09   1.0013E-05  0.01         1.4619E-05   1.0013E-05  0.01         6.9498E-06   9.9947E-06  
  0.1          4.2169E-05   0.00010156  0.1          7.683E-05    0.0001016   0.1          2.6209E-05   0.00010145  0.1          6.3643E-05   0.00010082  0.1          -5.7761E-06  0.00010161  0.1          -4.0423E-05  0.00010165  0.1          -1.1585E-05  0.00010167  0.1          0.00014458   0.00010151  0.1           0.00026659  0.00010091  0.1          5.5739E-05   0.00010156  
  0.25         6.0008E-05   0.00028402  0.25         0.00081932   0.00028331  0.25         0.0013181    0.00028043  0.25         0.0057246    0.00026716  0.25         -3.5701E-05  0.00028311  0.25         -0.00057269  0.00028365  0.25         -5.9197E-05  0.00028456  0.25         0.00033833   0.0002843   0.25          0.0059543   0.00026707  0.25         -0.0014459   0.00028071  
  0.5          -0.0011507   0.00053177  0.5          -0.00082505  0.00052821  0.5          -0.0043454   0.00052178  0.5          -0.035354    0.00052329  0.5          0.0012173    0.00052798  0.5          0.0010583    0.00053229  0.5          0.00081728   0.00053345  0.5          0.0004738    0.00053361  0.5          0.036703     0.00052341  0.5          0.0051723    0.000522    
  0.75         -0.014048    0.00069249  0.75         -0.028828    0.00069156  0.75         -0.070931    0.00069993  0.75         -0.20453     0.00074034  0.75         0.030628     0.00069143  0.75         0.012534     0.00069321  0.75         0.0026598    0.00069392  0.75         -0.0032219   0.00069366  0.75         0.20438      0.00074     0.75         0.072004     0.00069916  
  1            -0.056404    0.00082154  1            -0.11045     0.00082928  1            -0.22476     0.00086043  1            -0.48122     0.00093815  1            0.11028      0.0008291   1            0.051813     0.00082084  1            0.016316     0.00081924  1            -0.015489    0.00081953  1            0.48026      0.00093803  1            0.22311      0.00086026  
  1.5          -0.22956     0.0010625   1.5          -0.43062     0.0010896   1.5          -0.7387      0.0011622   1.5          -1.2722      0.0013077   1.5          0.42889      0.0010903   1.5          0.22986      0.001064    1.5          0.073466     0.0010525   1.5          -0.073569    0.0010537   1.5          1.2702       0.0013068   1.5          0.73752      0.0011633   
  2            -0.49025     0.0016038   2            -0.88537     0.0016497   2            -1.433       0.0017844   2            -2.262       0.0020328   2            0.88443      0.0016488   2            0.49204      0.0016006   2            0.15936      0.0015792   2            -0.158       0.00158     2            2.2577       0.0020253   2            1.435        0.001784    
  5            -2.593       0.0085864   5            -4.467       0.0088391   5            -6.7224      0.0096415   5            -9.5511      0.011101    5            4.4376       0.0088489   5            2.5706       0.0085988   5            0.84375      0.0084374   5            -0.85141     0.0084472   5            9.5582       0.011139    5            6.7121       0.0096435   
  7.5          -4.4805      0.014745    7.5          -7.6982      0.015283    7.5          -11.485      0.016727    7.5          -16.105      0.019252    7.5          7.6888       0.015294    7.5          4.4856       0.014832    7.5          1.4575       0.014575    7.5          -1.488       0.014555    7.5          16.069       0.019068    7.5          11.474       0.016663    
  10           -6.4192      0.02136     10           -10.974      0.022097    10           -16.293      0.024096    10           -22.711      0.027663    10           10.938       0.022165    10           6.4084       0.021372    10           2.1168       0.021168    10           -2.1359      0.020994    10           22.705       0.027633    10           16.314       0.024192    
