# This file was created by gnuplotFile.py version $Revision: 105 $ on Thu Aug  9 10:26:05 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# 
# 1.00E+05     1.00E+05     1.00E+05    1.00E+04     1.00E+04     1.00E+04    1.00E+07     1.00E+07     1.00E+07    1.00E+06     1.00E+06     1.00E+06    1.00E+03     1.00E+03     1.00E+03    
# x-coord      y-coord      error       x-coord      y-coord      error       x-coord      y-coord      error       x-coord      y-coord      error       x-coord      y-coord      error       
  0            0            0           0            0            0           0            0            0           0            0            0           0            0            0           
  0.01         2.2835E-05   3.1698E-05  0.01         -6.551E-06   0.0001009   0.01         1.9061E-06   3.1637E-06  0.01         -2.4569E-06  1.0005E-05  0.01         5.4928E-05   0.00031562  
  0.1          -0.00056111  0.00031777  0.1          -0.001392    0.0010065   0.1          -9.5122E-05  3.1804E-05  0.1          -0.00010408  0.00010054  0.1          -0.0036425   0.0031654   
  0.25         -0.0062697   0.00082157  0.25         -0.0039535   0.002573    0.25         -0.0048434   8.2168E-05  0.25         -0.004608    0.00025998  0.25         -0.0073238   0.0082222   
  0.5          0.02556      0.0015156   0.5          0.032419     0.0048161   0.5          0.026466     0.00015184  0.5          0.027291     0.0004805   0.5          0.049424     0.014878    
  0.75         0.12304      0.002136    0.75         0.12243      0.0068587   0.75         0.11993      0.0002137   0.75         0.11971      0.0006753   0.75         0.13351      0.020942    
  1            0.24302      0.0027642   1            0.24824      0.0086891   1            0.24097      0.00027547  1            0.24187      0.00087234  1            0.21926      0.026493    
  1.5          0.5183       0.0040138   1.5          0.5232       0.012606    1.5          0.51647      0.00040134  1.5          0.5159       0.0012684   1.5          0.5625       0.038536    
  2            0.81422      0.0052918   2            0.79146      0.016596    2            0.81273      0.00052957  2            0.8136       0.001675    2            0.72765      0.052114    
  5            2.6392       0.013044    5            2.6108       0.041401    5            2.6582       0.0013062   5            2.6551       0.0041356   5            2.6768       0.12925     
  7.5          4.2103       0.019521    7.5          4.2405       0.062273    7.5          4.2137       0.0019564   7.5          4.2171       0.0061812   7.5          4.1692       0.19722     
  10           5.7695       0.026134    10           5.73         0.08246     10           5.7821       0.0026082   10           5.7667       0.0082495   10           5.1739       0.26205     
