# This file was created by gnuplotFile.py version $Revision: 130 $ on Sat Aug 25 12:53:57 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# alyeska.engin.umich.edu$ NBPseudoDiag.py -T 1E6 -f 10x10_q1.dat -t 0.0 -v 3 -r
# 
# =============================================================================
# 
# sigmaE-1     sigmaE-1    sigmaE-0     sigmaE-0    sigmaE-2     sigmaE-2    value-2      value-2      value-2     value-1      value-1      value-1     value-0      value-0      value-0     
# x-coord      y-coord     x-coord      y-coord     x-coord      y-coord     x-coord      y-coord      error       x-coord      y-coord      error       x-coord      y-coord      error       
  0.01         1.0006E-08  0.01         9.9926E-09  0.01         9.9924E-09  0.01         3.0901E-06   9.9924E-06  0.01         -3.7525E-06  1.0006E-05  0.01         2.5743E-06   9.9926E-06  
  0.1          1.0144E-07  0.1          1.0163E-07  0.1          1.0095E-07  0.1          -0.00017319  0.00010095  0.1          -5.6145E-05  0.00010144  0.1          5.9523E-06   0.00010163  
  0.25         2.8025E-07  0.25         2.8292E-07  0.25         2.6767E-07  0.25         -0.0057146   0.00026767  0.25         -0.0011554   0.00028025  0.25         -0.00033571  0.00028292  
  0.5          5.2251E-07  0.5          5.2811E-07  0.5          5.231E-07   0.5          0.036029     0.0005231   0.5          0.0046966    0.00052251  0.5          0.0019964    0.00052811  
  0.75         7.0061E-07  0.75         6.9125E-07  0.75         7.3952E-07  0.75         0.20534      0.00073952  0.75         0.071664     0.00070061  0.75         0.028667     0.00069125  
  1            8.6075E-07  1            8.2885E-07  1            9.3853E-07  1            0.48156      0.00093853  1            0.22436      0.00086075  1            0.11117      0.00082885  
  1.5          1.1621E-06  1.5          1.0886E-06  1.5          1.3079E-06  1.5          1.2721       0.0013079   1.5          0.73727      0.0011621   1.5          0.42916      0.0010886   
  2            1.4625E-06  2            1.3547E-06  2            1.6637E-06  2            2.2576       0.0016637   2            1.4353       0.0014625   2            0.88486      0.0013547   
  5            3.3448E-06  5            3.0614E-06  5            3.8312E-06  5            9.5538       0.0038312   5            6.7253       0.0033448   5            4.4597       0.0030614   
  7.5          4.9557E-06  7.5          4.5284E-06  7.5          5.6834E-06  7.5          16.101       0.0056834   7.5          11.487       0.0049557   7.5          7.6922       0.0045284   
  10           6.5781E-06  10           6.0223E-06  10           7.5522E-06  10           22.741       0.0075522   10           16.307       0.0065781   10           10.973       0.0060223   
