# This file was created by gnuplotFile.py version $Revision: 47 $ on Thu Apr 12 18:39:28 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# 
# Flux2             Flux2            Flux3             Flux3            Flux1             Flux1            FissionSource     FissionSource    
# x-coord           y-coord          x-coord           y-coord          x-coord           y-coord          x-coord           y-coord          
  0.05              0.0              0.05              0.0              0.05              0.2810942        0.05              0.1405471        
  0.15              0.0              0.15              0.0              0.15              0.3398844        0.15              0.1699422        
  0.25              0.0              0.25              0.0              0.25              0.3897941        0.25              0.1948971        
  0.35              0.0              0.35              0.0              0.35              0.4375476        0.35              0.2187738        
  0.45              0.0              0.45              0.0              0.45              0.4838965        0.45              0.2419482        
  0.55              0.0              0.55              0.0              0.55              0.5292598        0.55              0.2646299        
  0.65              0.0              0.65              0.0              0.65              0.573893         0.65              0.2869465        
  0.75              0.0              0.75              0.0              0.75              0.6179571        0.75              0.3089785        
  0.85              0.0              0.85              0.0              0.85              0.6615566        0.85              0.3307783        
  0.95              0.0              0.95              0.0              0.95              0.7047613        0.95              0.3523806        
  1.05              0.0              1.05              0.0              1.05              0.7476183        1.05              0.3738091        
  1.15              0.0              1.15              0.0              1.15              0.7901598        1.15              0.3950799        
  1.25              0.0              1.25              0.0              1.25              0.8324079        1.25              0.4162039        
  1.35              0.0              1.35              0.0              1.35              0.8743776        1.35              0.4371888        
  1.45              0.0              1.45              0.0              1.45              0.9160781        1.45              0.458039         
  1.55              0.0              1.55              0.0              1.55              0.9575152        1.55              0.4787576        
  1.65              0.0              1.65              0.0              1.65              0.9986914        1.65              0.4993457        
  1.75              0.0              1.75              0.0              1.75              1.0396072        1.75              0.5198036        
  1.85              0.0              1.85              0.0              1.85              1.0802612        1.85              0.5401306        
  1.95              0.0              1.95              0.0              1.95              1.1206512        1.95              0.5603256        
  2.05              0.0              2.05              0.0              2.05              1.1607734        2.05              0.5803867        
  2.15              0.0              2.15              0.0              2.15              1.2006229        2.15              0.6003115        
  2.25              0.0              2.25              0.0              2.25              1.2401948        2.25              0.6200974        
  2.35              0.0              2.35              0.0              2.35              1.2794839        2.35              0.639742         
  2.45              0.0              2.45              0.0              2.45              1.3184837        2.45              0.6592419        
  2.55              0.0              2.55              0.0              2.55              1.3571877        2.55              0.6785939        
  2.65              0.0              2.65              0.0              2.65              1.3955896        2.65              0.6977948        
  2.75              0.0              2.75              0.0              2.75              1.4336822        2.75              0.7168411        
  2.85              0.0              2.85              0.0              2.85              1.4714588        2.85              0.7357294        
  2.95              0.0              2.95              0.0              2.95              1.5089122        2.95              0.7544561        
  3.05              0.0              3.05              0.0              3.05              1.5460351        3.05              0.7730175        
  3.15              0.0              3.15              0.0              3.15              1.5828202        3.15              0.7914101        
  3.25              0.0              3.25              0.0              3.25              1.6192608        3.25              0.8096304        
  3.35              0.0              3.35              0.0              3.35              1.655349         3.35              0.8276745        
  3.45              0.0              3.45              0.0              3.45              1.6910777        3.45              0.8455389        
  3.55              0.0              3.55              0.0              3.55              1.7264396        3.55              0.8632199        
  3.65              0.0              3.65              0.0              3.65              1.7614272        3.65              0.8807136        
