# This file was created by gnuplotFile.py version $Revision: 160 $ on Tue Oct 16 16:10:41 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.personal.engin.umich.edu$ /Users/jlconlin/Code/python/SourceFiles/procOUTSN.py
# 
# =============================================================================
# 
#    1            2              3            4              5            6              7            8           
# |----------Flux2----------||----------Flux3----------||----------Flux1----------||------FissionSource------|
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      
   0.0625       0             0.0625       0             0.0625       0.12522       0.0625       0.062609     
   0.1875       0             0.1875       0             0.1875       0.15603       0.1875       0.078017     
   0.3125       0             0.3125       0             0.3125       0.18228       0.3125       0.091141     
   0.4375       0             0.4375       0             0.4375       0.20772       0.4375       0.10386      
   0.5625       0             0.5625       0             0.5625       0.23249       0.5625       0.11624      
   0.6875       0             0.6875       0             0.6875       0.25684       0.6875       0.12842      
   0.8125       0             0.8125       0             0.8125       0.2809        0.8125       0.14045      
   0.9375       0             0.9375       0             0.9375       0.30476       0.9375       0.15238      
   1.0625       0             1.0625       0             1.0625       0.32847       1.0625       0.16423      
   1.1875       0             1.1875       0             1.1875       0.35205       1.1875       0.17603      
   1.3125       0             1.3125       0             1.3125       0.37554       1.3125       0.18777      
   1.4375       0             1.4375       0             1.4375       0.39894       1.4375       0.19947      
   1.5625       0             1.5625       0             1.5625       0.42228       1.5625       0.21114      
   1.6875       0             1.6875       0             1.6875       0.44555       1.6875       0.22278      
   1.8125       0             1.8125       0             1.8125       0.46877       1.8125       0.23439      
   1.9375       0             1.9375       0             1.9375       0.49194       1.9375       0.24597      
   2.0625       0             2.0625       0             2.0625       0.51507       2.0625       0.25753      
   2.1875       0             2.1875       0             2.1875       0.53815       2.1875       0.26907      
   2.3125       0             2.3125       0             2.3125       0.56118       2.3125       0.28059      
   2.4375       0             2.4375       0             2.4375       0.58417       2.4375       0.29209      
   2.5625       0             2.5625       0             2.5625       0.60713       2.5625       0.30356      
   2.6875       0             2.6875       0             2.6875       0.63003       2.6875       0.31502      
   2.8125       0             2.8125       0             2.8125       0.6529        2.8125       0.32645      
   2.9375       0             2.9375       0             2.9375       0.67572       2.9375       0.33786      
   3.0625       0             3.0625       0             3.0625       0.6985        3.0625       0.34925      
   3.1875       0             3.1875       0             3.1875       0.72124       3.1875       0.36062      
   3.3125       0             3.3125       0             3.3125       0.74393       3.3125       0.37197      
   3.4375       0             3.4375       0             3.4375       0.76658       3.4375       0.38329      
   3.5625       0             3.5625       0             3.5625       0.78918       3.5625       0.39459      
   3.6875       0             3.6875       0             3.6875       0.81173       3.6875       0.40587      
   3.8125       0             3.8125       0             3.8125       0.83423       3.8125       0.41712      
   3.9375       0             3.9375       0             3.9375       0.85669       3.9375       0.42834      
   4.0625       0             4.0625       0             4.0625       0.87909       4.0625       0.43955      
   4.1875       0             4.1875       0             4.1875       0.90144       4.1875       0.45072      
   4.3125       0             4.3125       0             4.3125       0.92374       4.3125       0.46187      
   4.4375       0             4.4375       0             4.4375       0.94598       4.4375       0.47299      
   4.5625       0             4.5625       0             4.5625       0.96817       4.5625       0.48408      
   4.6875       0             4.6875       0             4.6875       0.9903        4.6875       0.49515      
   4.8125       0             4.8125       0             4.8125       1.0124        4.8125       0.50619      
   4.9375       0             4.9375       0             4.9375       1.0344        4.9375       0.51719      
   5.0625       0             5.0625       0             5.0625       1.0563        5.0625       0.52817      
   5.1875       0             5.1875       0             5.1875       1.0782        5.1875       0.53911      
   5.3125       0             5.3125       0             5.3125       1.1001        5.3125       0.55003      
   5.4375       0             5.4375       0             5.4375       1.1218        5.4375       0.56091      
   5.5625       0             5.5625       0             5.5625       1.1435        5.5625       0.57176      
   5.6875       0             5.6875       0             5.6875       1.1651        5.6875       0.58257      
   5.8125       0             5.8125       0             5.8125       1.1867        5.8125       0.59335      
   5.9375       0             5.9375       0             5.9375       1.2082        5.9375       0.6041       
   6.0625       0             6.0625       0             6.0625       1.2296        6.0625       0.61481      
   6.1875       0             6.1875       0             6.1875       1.251         6.1875       0.62549      
   6.3125       0             6.3125       0             6.3125       1.2723        6.3125       0.63613      
   6.4375       0             6.4375       0             6.4375       1.2935        6.4375       0.64673      
   6.5625       0             6.5625       0             6.5625       1.3146        6.5625       0.65729      
   6.6875       0             6.6875       0             6.6875       1.3356        6.6875       0.66782      
   6.8125       0             6.8125       0             6.8125       1.3566        6.8125       0.67831      
   6.9375       0             6.9375       0             6.9375       1.3775        6.9375       0.68875      
   7.0625       0             7.0625       0             7.0625       1.3983        7.0625       0.69916      
   7.1875       0             7.1875       0             7.1875       1.4191        7.1875       0.70953      
   7.3125       0             7.3125       0             7.3125       1.4397        7.3125       0.71985      
   7.4375       0             7.4375       0             7.4375       1.4603        7.4375       0.73013      
   7.5625       0             7.5625       0             7.5625       1.4807        7.5625       0.74037      
   7.6875       0             7.6875       0             7.6875       1.5011        7.6875       0.75057      
   7.8125       0             7.8125       0             7.8125       1.5214        7.8125       0.76072      
   7.9375       0             7.9375       0             7.9375       1.5417        7.9375       0.77083      
   8.0625       0             8.0625       0             8.0625       1.5618        8.0625       0.7809       
   8.1875       0             8.1875       0             8.1875       1.5818        8.1875       0.79091      
   8.3125       0             8.3125       0             8.3125       1.6018        8.3125       0.80089      
   8.4375       0             8.4375       0             8.4375       1.6216        8.4375       0.81081      
   8.5625       0             8.5625       0             8.5625       1.6414        8.5625       0.82069      
   8.6875       0             8.6875       0             8.6875       1.661         8.6875       0.83052      
   8.8125       0             8.8125       0             8.8125       1.6806        8.8125       0.8403       
   8.9375       0             8.9375       0             8.9375       1.7001        8.9375       0.85003      
   9.0625       0             9.0625       0             9.0625       1.7194        9.0625       0.85972      
   9.1875       0             9.1875       0             9.1875       1.7387        9.1875       0.86935      
   9.3125       0             9.3125       0             9.3125       1.7579        9.3125       0.87893      
   9.4375       0             9.4375       0             9.4375       1.7769        9.4375       0.88846      
   9.5625       0             9.5625       0             9.5625       1.7959        9.5625       0.89794      
   9.6875       0             9.6875       0             9.6875       1.8147        9.6875       0.90737      
