# This file was created by gnuplotFile.py version $Revision: 40 $ on Thu Apr 12 14:44:54 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# 
# Flux2             Flux2            Flux3             Flux3            Flux1             Flux1            FissionSource     FissionSource    
# x-coord           y-coord          x-coord           y-coord          x-coord           y-coord          x-coord           y-coord          
  0.0025            0.0              0.0025            0.0              0.0025            1.303992         0.0025            0.6519947        
  0.0075            0.0              0.0075            0.0              0.0075            1.3308494        0.0075            0.6654233        
  0.0125            0.0              0.0125            0.0              0.0125            1.356768         0.0125            0.6783826        
  0.0175            0.0              0.0175            0.0              0.0175            1.3818148        0.0175            0.690906         
  0.0225            0.0              0.0225            0.0              0.0225            1.4060518        0.0225            0.7030244        
  0.0275            0.0              0.0275            0.0              0.0275            1.4295347        0.0275            0.7147659        
  0.0325            0.0              0.0325            0.0              0.0325            1.4523143        0.0325            0.7261556        
  0.0375            0.0              0.0375            0.0              0.0375            1.474437         0.0375            0.737217         
  0.0425            0.0              0.0425            0.0              0.0425            1.4959452        0.0425            0.7479711        
  0.0475            0.0              0.0475            0.0              0.0475            1.5168771        0.0475            0.758437         
  0.0525            0.0              0.0525            0.0              0.0525            1.5372674        0.0525            0.7686322        
  0.0575            0.0              0.0575            0.0              0.0575            1.5571482        0.0575            0.7785726        
  0.0625            0.0              0.0625            0.0              0.0625            1.5765485        0.0625            0.7882726        
  0.0675            0.0              0.0675            0.0              0.0675            1.5954944        0.0675            0.7977456        
  0.0725            0.0              0.0725            0.0              0.0725            1.6140099        0.0725            0.8070033        
  0.0775            0.0              0.0775            0.0              0.0775            1.6321172        0.0775            0.8160569        
  0.0825            0.0              0.0825            0.0              0.0825            1.6498358        0.0825            0.8249162        
  0.0875            0.0              0.0875            0.0              0.0875            1.6671845        0.0875            0.8335906        
  0.0925            0.0              0.0925            0.0              0.0925            1.6841787        0.0925            0.8420876        
  0.0975            0.0              0.0975            0.0              0.0975            1.7008344        0.0975            0.8504155        
  0.1025            0.0              0.1025            0.0              0.1025            1.7171649        0.1025            0.8585807        
  0.1075            0.0              0.1075            0.0              0.1075            1.7331827        0.1075            0.8665896        
