# This file was created by gnuplotFile.py version $Revision: 160 $ on Thu Oct 25 13:03:00 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.personal.engin.umich.edu$ amcNoRestartConvergence.py -v -f W-20.I53.H1000.B50.dat -M W-20.I53.H1000.B50.Movie -r
# 
# =============================================================================
# 
#    1            2              3            4              5            6              7            8              9            10             11           12             13           14             15           16             17           18             19           20             21           22             23           24             25           26             27           28             29           30             31           32             33           34             35           36             37           38             39           40             41           42             43           44            45           46           47             48           49             50           51             52           53             54           55             56           57             58           59             60           61             62           63             64           65             66           67             68           69             70           71             72           73             74           75             76           77             78           79             80           81             82           83             84           85             86           87             88           89             90           91             92           93             94           95             96           97             98           99             100          101            102          103            104          105         
# |---------Iter-38---------||---------Iter-42---------||---------Iter-50---------||---------Iter-40---------||---------Iter-47---------||---------Iter-9----------||---------Iter-8----------||---------Iter-7----------||---------Iter-6----------||---------Iter-5----------||---------Iter-4----------||---------Iter-3----------||---------Iter-2----------||---------Iter-1----------||---------Iter-0----------||---------Iter-31---------||---------Iter-43---------||---------Iter-30---------||---------Iter-44---------||---------Iter-33---------||---------Iter-45---------||---------Iter-39---------||--------------Eigenvalue--------------||---------Iter-32---------||---------Iter-46---------||---------Iter-19---------||---------Iter-18---------||---------Iter-17---------||---------Iter-16---------||---------Iter-15---------||---------Iter-14---------||---------Iter-13---------||---------Iter-12---------||---------Iter-11---------||---------Iter-10---------||---------Iter-37---------||---------Iter-34---------||---------Iter-36---------||---------Iter-35---------||---------Iter-41---------||---------Iter-26---------||---------Iter-27---------||---------Iter-24---------||---------Iter-25---------||---------Iter-22---------||---------Iter-23---------||---------Iter-20---------||---------Iter-21---------||---------Iter-48---------||---------Iter-49---------||---------Iter-28---------||---------Iter-29---------|
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      
   0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0045633     0            0.0047546     0            0.0049941     0            0.004835      0            0.0047723     0            0.005033      0            0.0037856     0            0.0057248     0            0.011661      0            0.02          0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.95957      0             0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048273     0            0.0048254     0            0.0048235     0            0.0048181     0            0.0048208     0            0.0047258     0            0.0046562     0            0.0045987     0            0.0045775     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275     0            0.0048275    
   0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0027286     0.4          0.0029017     0.4          0.0032836     0.4          0.0035091     0.4          0.0031603     0.4          0.0034146     0.4          0.0027191     0.4          0.0029282     0.4          0.012451      0.4          0.02          0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     1            0.95729      0.0011385     0.4          0.0029367     0.4          0.0029367     0.4          0.0029366     0.4          0.0029365     0.4          0.0029351     0.4          0.0029317     0.4          0.0029237     0.4          0.0029256     0.4          0.0028623     0.4          0.0027825     0.4          0.0027361     0.4          0.0027258     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367     0.4          0.0029367    
   0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0044233     0.8          0.004635      0.8          0.0047537     0.8          0.0052272     0.8          0.0047173     0.8          0.0031992     0.8          0.0052053     0.8          0.0046542     0.8          0.01078       0.8          0.02          0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     2            0.95855      0.00093124    0.8          0.0047499     0.8          0.0047499     0.8          0.0047498     0.8          0.0047496     0.8          0.0047467     0.8          0.0047431     0.8          0.0047276     0.8          0.0047364     0.8          0.0046093     0.8          0.0044506     0.8          0.0043835     0.8          0.0043528     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499     0.8          0.0047499    
   1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.012566      1.2          0.012775      1.2          0.013074      1.2          0.013287      1.2          0.013386      1.2          0.012155      1.2          0.011069      1.2          0.016424      1.2          0.017852      1.2          0.02          1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      3            0.95844      0.00080661    1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013053      1.2          0.01305       1.2          0.013046      1.2          0.013031      1.2          0.01304       1.2          0.012843      1.2          0.012635      1.2          0.012567      1.2          0.012567      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054      1.2          0.013054     
   1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027337      1.6          0.02751       1.6          0.02786       1.6          0.027838      1.6          0.027489      1.6          0.027374      1.6          0.0261        1.6          0.030698      1.6          0.032305      1.6          0.02          1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      4            0.96052      0.0010959     1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027811      1.6          0.027808      1.6          0.02779       1.6          0.027792      1.6          0.027553      1.6          0.02734       1.6          0.027239      1.6          0.027237      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816      1.6          0.027816     
   2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021146      2            0.021353      2            0.021663      2            0.021868      2            0.021251      2            0.020829      2            0.023276      2            0.024397      2            0.02426       2            0.02          2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021492      5            0.96036      0.001144      2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.02149       2            0.021486      2            0.021473      2            0.02146       2            0.021296      2            0.021088      2            0.021012      2            0.02103       2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021492      2            0.021492     
   2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022054      2.4          0.022175      2.4          0.022222      2.4          0.02222       2.4          0.021905      2.4          0.021465      2.4          0.022657      2.4          0.023809      2.4          0.017346      2.4          0.02          2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      6            0.96121      0.0012865     2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022492      2.4          0.02249       2.4          0.022487      2.4          0.022463      2.4          0.022489      2.4          0.022221      2.4          0.022029      2.4          0.021925      2.4          0.021938      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493      2.4          0.022493     
   2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.02524       2.8          0.02536       2.8          0.025333      2.8          0.025245      2.8          0.025734      2.8          0.025474      2.8          0.025667      2.8          0.025654      2.8          0.02457       2.8          0.02          2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      7            0.96138      0.0013671     2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025841      2.8          0.025839      2.8          0.025815      2.8          0.025827      2.8          0.025595      2.8          0.025285      2.8          0.025232      2.8          0.025206      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843      2.8          0.025843     
   3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.023691      3.2          0.023832      3.2          0.023872      3.2          0.023711      3.2          0.02405       3.2          0.024936      3.2          0.023864      3.2          0.019967      3.2          0.020123      3.2          0.02          3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      8            0.96171      0.0014404     3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024375      3.2          0.024373      3.2          0.024358      3.2          0.024338      3.2          0.024085      3.2          0.023864      3.2          0.023733      3.2          0.023747      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378      3.2          0.024378     
   3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.021809      3.6          0.021779      3.6          0.021942      3.6          0.021716      3.6          0.021776      3.6          0.022216      3.6          0.022002      3.6          0.01575       3.6          0.014479      3.6          0.02          3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      9            0.96187      0.0014903     3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022444      3.6          0.022443      3.6          0.022427      3.6          0.022437      3.6          0.022144      3.6          0.021926      3.6          0.021839      3.6          0.021792      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448      3.6          0.022448     
