# This file was created by gnuplotFile.py version $Revision: 160 $ on Thu Oct 25 13:45:04 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.personal.engin.umich.edu$ amcNoRestartConvergence.py -v --histories 100000 -f W-20.I53.H100000.B50.dat -M W-20.I53.H100000.B50.Movie -r
# 
# =============================================================================
# 
#   1            2            3              4            5              6            7              8            9              10           11             12           13             14           15             16           17             18           19             20           21             22           23             24           25             26           27             28           29             30           31             32           33             34           35             36           37             38           39             40           41             42           43             44           45             46           47             48           49             50           51             52           53             54           55             56           57             58           59             60           61             62           63             64           65             66           67             68           69             70           71             72           73             74           75             76           77             78           79             80           81             82           83             84           85             86           87             88           89             90           91             92           93             94           95             96           97             98           99             100          101            102          103            104          105            106          107         
# |--------------Eigenvalue--------------||---------Iter-38---------||---------Iter-42---------||---------Iter-50---------||---------Iter-40---------||---------Iter-47---------||---------Iter-9----------||---------Iter-8----------||---------Iter-7----------||---------Iter-6----------||---------Iter-5----------||---------Iter-4----------||---------Iter-3----------||---------Iter-2----------||---------Iter-1----------||---------Iter-0----------||---------Iter-31---------||---------Iter-51---------||---------Iter-43---------||---------Iter-30---------||---------Iter-44---------||---------Iter-33---------||---------Iter-45---------||---------Iter-39---------||---------Iter-32---------||---------Iter-46---------||---------Iter-19---------||---------Iter-18---------||---------Iter-17---------||---------Iter-16---------||---------Iter-15---------||---------Iter-14---------||---------Iter-13---------||---------Iter-12---------||---------Iter-11---------||---------Iter-10---------||---------Iter-37---------||---------Iter-34---------||---------Iter-36---------||---------Iter-35---------||---------Iter-41---------||---------Iter-26---------||---------Iter-27---------||---------Iter-24---------||---------Iter-25---------||---------Iter-22---------||---------Iter-23---------||---------Iter-20---------||---------Iter-21---------||---------Iter-48---------||---------Iter-49---------||---------Iter-28---------||---------Iter-29---------|
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      
   0            0.95858      0             0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002743      0            0.0028038     0            0.0028796     0            0.0028787     0            0.0029272     0            0.0030488     0            0.0032679     0            0.0050243     0            0.0035301     0            0.02          0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.0027133     0            0.002714      0            0.0027201     0            0.0027193     0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713      0            0.002713     
   1            0.9775       0.0094584     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044989     0.4          0.0046747     0.4          0.0047144     0.4          0.0047617     0.4          0.0048586     0.4          0.0046256     0.4          0.0067294     0.4          0.0048042     0.4          0.011194      0.4          0.02          0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044886     0.4          0.0044919     0.4          0.0044955     0.4          0.0045067     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885     0.4          0.0044885    
   2            0.98321      0.010524      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.0058992     0.8          0.0060273     0.8          0.0061419     0.8          0.0062657     0.8          0.005956      0.8          0.0070527     0.8          0.0066913     0.8          0.0080124     0.8          0.015461      0.8          0.02          0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.0058434     0.8          0.0058451     0.8          0.0058554     0.8          0.0058562     0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843      0.8          0.005843     
   3            0.98567      0.010617      1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074713     1.2          0.0075675     1.2          0.0078799     1.2          0.0077631     1.2          0.0080505     1.2          0.0085389     1.2          0.0081512     1.2          0.011769      1.2          0.017921      1.2          0.02          1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.007409      1.2          0.0074163     1.2          0.0074256     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044     1.2          0.0074044    
   4            0.98646      0.010338      1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093748     1.6          0.0096965     1.6          0.009822      1.6          0.0098483     1.6          0.010214      1.6          0.010115      1.6          0.010582      1.6          0.014997      1.6          0.019973      1.6          0.02          1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.009359      1.6          0.0093594     1.6          0.0093628     1.6          0.0093719     1.6          0.0093879     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591     1.6          0.0093591    
   5            0.98657      0.0099294     2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010608      2            0.010944      2            0.011009      2            0.011218      2            0.011391      2            0.011092      2            0.012713      2            0.016855      2            0.020684      2            0.02          2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010561      2            0.010576      2            0.010577      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559      2            0.010559     
   6            0.98663      0.0095108     2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011163      2.4          0.011366      2.4          0.011599      2.4          0.011807      2.4          0.01187       2.4          0.011721      2.4          0.013957      2.4          0.017901      2.4          0.019623      2.4          0.02          2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011071      2.4          0.011081      2.4          0.011083      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066      2.4          0.011066     
   7            0.98661      0.0091118     2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012393      2.8          0.012569      2.8          0.012915      2.8          0.013088      2.8          0.012976      2.8          0.013362      2.8          0.015797      2.8          0.018839      2.8          0.019898      2.8          0.02          2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012324      2.8          0.012329      2.8          0.012345      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318      2.8          0.012318     
   8            0.98662      0.0087456     3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.014005      3.2          0.014238      3.2          0.014631      3.2          0.014728      3.2          0.01459       3.2          0.01544       3.2          0.018058      3.2          0.019959      3.2          0.020936      3.2          0.02          3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.01396       3.2          0.01396       3.2          0.01397       3.2          0.013985      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959      3.2          0.013959     
   9            0.98663      0.0084128     3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.01493       3.6          0.015266      3.6          0.015623      3.6          0.015642      3.6          0.015672      3.6          0.016846      3.6          0.01919       3.6          0.020605      3.6          0.020669      3.6          0.02          3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014913      3.6          0.014922      3.6          0.014932      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912      3.6          0.014912     
