# This file was created by gnuplotFile.py version $Revision: 160 $ on Thu Oct 25 13:53:05 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.personal.engin.umich.edu$ amcNoRestartConvergence.py -v -w 50 -f W-50.I53.H1000.B50.dat -M W-50.I53.H1000.B50.Movie -r
# 
# =============================================================================
# 
#   1            2            3              4            5              6            7              8            9              10           11             12           13             14           15             16           17             18           19             20           21             22           23             24           25             26           27             28           29             30           31             32           33             34           35             36           37             38           39             40           41             42           43             44           45             46           47             48           49             50           51             52           53             54           55             56           57             58           59             60           61             62           63             64           65             66           67             68           69             70           71             72           73             74           75             76           77             78           79             80           81             82           83             84           85             86           87             88           89             90           91             92           93             94           95             96           97             98           99             100          101            102          103            104          105            106          107         
# |--------------Eigenvalue--------------||---------Iter-38---------||---------Iter-42---------||---------Iter-50---------||---------Iter-40---------||---------Iter-47---------||---------Iter-9----------||---------Iter-8----------||---------Iter-7----------||---------Iter-6----------||---------Iter-5----------||---------Iter-4----------||---------Iter-3----------||---------Iter-2----------||---------Iter-1----------||---------Iter-0----------||---------Iter-31---------||---------Iter-51---------||---------Iter-43---------||---------Iter-30---------||---------Iter-44---------||---------Iter-33---------||---------Iter-45---------||---------Iter-39---------||---------Iter-32---------||---------Iter-46---------||---------Iter-19---------||---------Iter-18---------||---------Iter-17---------||---------Iter-16---------||---------Iter-15---------||---------Iter-14---------||---------Iter-13---------||---------Iter-12---------||---------Iter-11---------||---------Iter-10---------||---------Iter-37---------||---------Iter-34---------||---------Iter-36---------||---------Iter-35---------||---------Iter-41---------||---------Iter-26---------||---------Iter-27---------||---------Iter-24---------||---------Iter-25---------||---------Iter-22---------||---------Iter-23---------||---------Iter-20---------||---------Iter-21---------||---------Iter-48---------||---------Iter-49---------||---------Iter-28---------||---------Iter-29---------|
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      
   0            0.98775      0             0            -0.034881     0            -0.034881     0            -0.034881     0            -0.034881     0            -0.034881     0            -0.033712     0            -0.033697     0            -0.03195      0            -0.038887     0            -0.04305      0            -0.040015     0            -0.021539     0            -0.013709     0            -0.0060779    0            0.02          0            -0.034881     0            -0.034881     0            -0.034881     0            -0.034881     0            -0.034881     0            -0.034881     0            -0.034881     0            -0.034881     0            -0.034881     0            -0.034881     0            -0.034904     0            -0.034925     0            -0.03457      0            -0.033899     0            -0.033239     0            -0.033098     0            -0.033073     0            -0.033557     0            -0.03283      0            -0.033791     0            -0.034881     0            -0.034881     0            -0.034881     0            -0.034881     0            -0.034881     0            -0.034881     0            -0.03488      0            -0.034881     0            -0.034881     0            -0.034885     0            -0.034879     0            -0.034886     0            -0.03489      0            -0.034881     0            -0.034881     0            -0.03488      0            -0.034881    
   1            0.99844      0.0053416     1            -0.044502     1            -0.044502     1            -0.044502     1            -0.044502     1            -0.044502     1            -0.042473     1            -0.042086     1            -0.044945     1            -0.055757     1            -0.065093     1            -0.059584     1            -0.045303     1            -0.018716     1            0.020609      1            0.02          1            -0.044502     1            -0.044502     1            -0.044502     1            -0.044502     1            -0.044502     1            -0.044502     1            -0.044502     1            -0.044502     1            -0.044502     1            -0.044502     1            -0.044547     1            -0.044571     1            -0.044124     1            -0.043073     1            -0.0421       1            -0.042026     1            -0.04167      1            -0.042434     1            -0.04182      1            -0.042211     1            -0.044502     1            -0.044502     1            -0.044502     1            -0.044502     1            -0.044502     1            -0.044502     1            -0.044502     1            -0.044503     1            -0.044503     1            -0.044508     1            -0.0445       1            -0.044507     1            -0.0445       1            -0.044502     1            -0.044502     1            -0.044502     1            -0.044502    
   2            0.99773      0.0048791     2            -0.03607      2            -0.03607      2            -0.03607      2            -0.03607      2            -0.03607      2            -0.035097     2            -0.037762     2            -0.03884      2            -0.052445     2            -0.057547     2            -0.060259     2            -0.042191     2            -0.021668     2            0.0059108     2            0.02          2            -0.03607      2            -0.03607      2            -0.03607      2            -0.03607      2            -0.03607      2            -0.03607      2            -0.03607      2            -0.03607      2            -0.03607      2            -0.03607      2            -0.036126     2            -0.036061     2            -0.035719     2            -0.035102     2            -0.034793     2            -0.034771     2            -0.034439     2            -0.03493      2            -0.035448     2            -0.036244     2            -0.03607      2            -0.03607      2            -0.03607      2            -0.03607      2            -0.03607      2            -0.03607      2            -0.03607      2            -0.036071     2            -0.03607      2            -0.03607      2            -0.036068     2            -0.03605      2            -0.03606      2            -0.03607      2            -0.03607      2            -0.03607      2            -0.03607     
   3            0.99951      0.0047225     3            0.0007953     3            0.0007953     3            0.0007953     3            0.0007953     3            0.0007953     3            0.0027974     3            -0.00019739   3            -0.0082542    3            -0.020853     3            -0.03056      3            -0.031905     3            -0.016238     3            -0.010593     3            0.005934      3            0.02          3            0.0007953     3            0.0007953     3            0.0007953     3            0.0007953     3            0.0007953     3            0.0007953     3            0.0007953     3            0.0007953     3            0.0007953     3            0.0007953     3            0.00081754    3            0.00082154    3            0.00042335    3            0.00024779    3            -0.00020626   3            0.00013074    3            0.00039966    3            0.00019887    3            -0.0010439    3            0.0025415     3            0.0007953     3            0.0007953     3            0.0007953     3            0.0007953     3            0.0007953     3            0.00079583    3            0.00079531    3            0.00079811    3            0.0007966     3            0.00080193    3            0.00079828    3            0.00081416    3            0.00082496    3            0.0007953     3            0.0007953     3            0.00079529    3            0.0007953    
   4            1.0061       0.0058945     4            -0.0027443    4            -0.0027443    4            -0.0027443    4            -0.0027443    4            -0.0027443    4            -0.00050587   4            -0.0015974    4            -0.0043245    4            -0.013764     4            -0.010619     4            0.001047      4            0.0030686     4            0.01419       4            0.016185      4            0.02          4            -0.0027443    4            -0.0027443    4            -0.0027443    4            -0.0027443    4            -0.0027443    4            -0.0027443    4            -0.0027443    4            -0.0027443    4            -0.0027443    4            -0.0027443    4            -0.0028344    4            -0.0029434    4            -0.002683     4            -0.0020973    4            -0.00092593   4            -0.0002421    4            -0.00013591   4            -0.00070192   4            -0.00069422   4            -0.0004001    4            -0.0027443    4            -0.0027443    4            -0.0027443    4            -0.0027443    4            -0.0027443    4            -0.0027443    4            -0.0027443    4            -0.0027447    4            -0.0027445    4            -0.0027516    4            -0.0027465    4            -0.0027394    4            -0.0027499    4            -0.0027443    4            -0.0027443    4            -0.0027443    4            -0.0027443   
   5            1.0172       0.0089725     5            -0.0060564    5            -0.0060564    5            -0.0060564    5            -0.0060564    5            -0.0060564    5            -0.004352     5            -0.002952     5            -0.001538     5            -0.0006488    5            0.0058494     5            0.020929      5            0.038621      5            0.035263      5            0.036604      5            0.02          5            -0.0060564    5            -0.0060564    5            -0.0060564    5            -0.0060564    5            -0.0060564    5            -0.0060564    5            -0.0060564    5            -0.0060564    5            -0.0060564    5            -0.0060564    5            -0.0061731    5            -0.006335     5            -0.0055117    5            -0.0026992    5            -0.00077798   5            -6.8167E-05   5            -0.00010039   5            -0.00070103   5            -0.00023575   5            -0.0043684    5            -0.0060564    5            -0.0060564    5            -0.0060564    5            -0.0060564    5            -0.0060564    5            -0.0060566    5            -0.0060564    5            -0.0060598    5            -0.0060585    5            -0.0060799    5            -0.0060609    5            -0.00612      5            -0.0060873    5            -0.0060564    5            -0.0060564    5            -0.0060564    5            -0.0060564   
   6            1.0206       0.010737      6            -0.015604     6            -0.015604     6            -0.015604     6            -0.015604     6            -0.015604     6            -0.014925     6            -0.01012      6            -0.005215     6            0.0021779     6            0.019819      6            0.040025      6            0.039643      6            0.046295      6            0.02261       6            0.02          6            -0.015604     6            -0.015604     6            -0.015604     6            -0.015604     6            -0.015604     6            -0.015604     6            -0.015604     6            -0.015604     6            -0.015604     6            -0.015604     6            -0.015859     6            -0.015969     6            -0.014226     6            -0.010949     6            -0.0087149    6            -0.0080028    6            -0.0079203    6            -0.0085676    6            -0.0067229    6            -0.014638     6            -0.015604     6            -0.015604     6            -0.015604     6            -0.015604     6            -0.015604     6            -0.015604     6            -0.015604     6            -0.015607     6            -0.015607     6            -0.015639     6            -0.015612     6            -0.015719     6            -0.015646     6            -0.015604     6            -0.015604     6            -0.015604     6            -0.015604    
   7            1.022        0.01169       7            -0.045382     7            -0.045382     7            -0.045382     7            -0.045382     7            -0.045382     7            -0.043512     7            -0.038047     7            -0.030614     7            -0.011952     7            0.010634      7            0.033698      7            0.04083       7            0.033153      7            0.03119       7            0.02          7            -0.045382     7            -0.045382     7            -0.045382     7            -0.045382     7            -0.045382     7            -0.045382     7            -0.045382     7            -0.045382     7            -0.045382     7            -0.045382     7            -0.045761     7            -0.045897     7            -0.043335     7            -0.038919     7            -0.035598     7            -0.034159     7            -0.033546     7            -0.03436      7            -0.03245      7            -0.043195     7            -0.045382     7            -0.045382     7            -0.045382     7            -0.045382     7            -0.045382     7            -0.045383     7            -0.045382     7            -0.045388     7            -0.045386     7            -0.045434     7            -0.045394     7            -0.04555      7            -0.045449     7            -0.045382     7            -0.045382     7            -0.045382     7            -0.045382    
   8            1.0231       0.012233      8            -0.056304     8            -0.056304     8            -0.056304     8            -0.056304     8            -0.056304     8            -0.056312     8            -0.050569     8            -0.04122      8            -0.032507     8            0.0034025     8            0.031467      8            0.028853      8            0.027314      8            0.023066      8            0.02          8            -0.056304     8            -0.056304     8            -0.056304     8            -0.056304     8            -0.056304     8            -0.056304     8            -0.056304     8            -0.056304     8            -0.056304     8            -0.056304     8            -0.056652     8            -0.056701     8            -0.054132     8            -0.049486     8            -0.046465     8            -0.044859     8            -0.044111     8            -0.045156     8            -0.042726     8            -0.054622     8            -0.056304     8            -0.056304     8            -0.056304     8            -0.056304     8            -0.056304     8            -0.056305     8            -0.056304     8            -0.056311     8            -0.056309     8            -0.05636      8            -0.056318     8            -0.056446     8            -0.05637      8            -0.056304     8            -0.056304     8            -0.056304     8            -0.056304    
   9            1.0225       0.012392      9            -0.04356      9            -0.04356      9            -0.04356      9            -0.04356      9            -0.04356      9            -0.044491     9            -0.040845     9            -0.036927     9            -0.015589     9            0.015071      9            0.026675      9            0.033058      9            0.03092       9            0.027336      9            0.02          9            -0.04356      9            -0.04356      9            -0.04356      9            -0.04356      9            -0.04356      9            -0.04356      9            -0.04356      9            -0.04356      9            -0.04356      9            -0.04356      9            -0.043833     9            -0.043974     9            -0.041582     9            -0.037544     9            -0.034793     9            -0.032834     9            -0.032793     9            -0.032764     9            -0.030072     9            -0.043339     9            -0.04356      9            -0.04356      9            -0.04356      9            -0.04356      9            -0.04356      9            -0.043561     9            -0.04356      9            -0.043566     9            -0.043564     9            -0.043608     9            -0.043571     9            -0.043659     9            -0.04362      9            -0.04356      9            -0.04356      9            -0.04356      9            -0.04356     
   10           1.0228       0.012417      10           -0.050897     10           -0.050897     10           -0.050897     10           -0.050897     10           -0.050897     10           -0.0523       10           -0.049949     10           -0.045795     10           -0.03169      10           -0.0066524    10           0.0084708     10           0.014053      10           0.022948      10           0.017123      10           0.02          10           -0.050897     10           -0.050897     10           -0.050897     10           -0.050897     10           -0.050897     10           -0.050897     10           -0.050897     10           -0.050897     10           -0.050897     10           -0.050897     10           -0.051121     10           -0.051269     10           -0.049534     10           -0.045421     10           -0.042477     10           -0.041306     10           -0.040295     10           -0.040653     10           -0.03886      10           -0.050433     10           -0.050897     10           -0.050897     10           -0.050897     10           -0.050897     10           -0.050897     10           -0.050898     10           -0.050897     10           -0.050903     10           -0.050901     10           -0.050941     10           -0.05091      10           -0.050981     10           -0.050949     10           -0.050897     10           -0.050897     10           -0.050897     10           -0.050897    
   11           1.0246       0.012496      11           -0.051568     11           -0.051568     11           -0.051568     11           -0.051568     11           -0.051568     11           -0.055632     11           -0.052123     11           -0.044144     11           -0.034098     11           -0.0083685    11           0.012851      11           0.019328      11           0.021798      11           0.027081      11           0.02          11           -0.051568     11           -0.051568     11           -0.051568     11           -0.051568     11           -0.051568     11           -0.051568     11           -0.051568     11           -0.051568     11           -0.051568     11           -0.051568     11           -0.051837     11           -0.051846     11           -0.0499       11           -0.0461       11           -0.043921     11           -0.041642     11           -0.041389     11           -0.042033     11           -0.041529     11           -0.052666     11           -0.051568     11           -0.051568     11           -0.051568     11           -0.051568     11           -0.051568     11           -0.051569     11           -0.051568     11           -0.051577     11           -0.051573     11           -0.051622     11           -0.051585     11           -0.051654     11           -0.051615     11           -0.051568     11           -0.051568     11           -0.051568     11           -0.051568    
   12           1.0245       0.012471      12           -0.049243     12           -0.049243     12           -0.049243     12           -0.049243     12           -0.049243     12           -0.052531     12           -0.051816     12           -0.045964     12           -0.04388      12           -0.02973      12           -0.0069376    12           0.00015015    12           0.000656      12           0.010201      12           0.02          12           -0.049243     12           -0.049243     12           -0.049243     12           -0.049243     12           -0.049243     12           -0.049243     12           -0.049243     12           -0.049243     12           -0.049243     12           -0.049243     12           -0.049433     12           -0.049583     12           -0.04796      12           -0.045909     12           -0.043911     12           -0.042105     12           -0.042223     12           -0.043384     12           -0.042304     12           -0.053108     12           -0.049243     12           -0.049243     12           -0.049243     12           -0.049243     12           -0.049243     12           -0.049244     12           -0.049243     12           -0.049252     12           -0.049247     12           -0.049281     12           -0.049258     12           -0.049314     12           -0.04928      12           -0.049243     12           -0.049243     12           -0.049243     12           -0.049243    
   13           1.0248       0.012404      13           -0.038353     13           -0.038353     13           -0.038353     13           -0.038353     13           -0.038353     13           -0.045443     13           -0.040011     13           -0.038265     13           -0.035413     13           -0.025352     13           -0.013291     13           -0.0067896    13           -0.00060356   13           0.010463      13           0.02          13           -0.038353     13           -0.038353     13           -0.038353     13           -0.038353     13           -0.038353     13           -0.038353     13           -0.038353     13           -0.038353     13           -0.038353     13           -0.038353     13           -0.03857      13           -0.038511     13           -0.03732      13           -0.03586      13           -0.033943     13           -0.033104     13           -0.033143     13           -0.033594     13           -0.035705     13           -0.044399     13           -0.038353     13           -0.038353     13           -0.038353     13           -0.038353     13           -0.038353     13           -0.038354     13           -0.038353     13           -0.038361     13           -0.038356     13           -0.038384     13           -0.038365     13           -0.038409     13           -0.038383     13           -0.038353     13           -0.038353     13           -0.038353     13           -0.038353    
   14           1.0248       0.012301      14           -0.0079558    14           -0.0079558    14           -0.0079558    14           -0.0079558    14           -0.0079558    14           -0.014061     14           -0.010199     14           -0.0078644    14           -0.009482     14           -0.0067547    14           -0.0062991    14           -0.0023548    14           0.01192       14           0.021695      14           0.02          14           -0.0079558    14           -0.0079558    14           -0.0079558    14           -0.0079558    14           -0.0079558    14           -0.0079558    14           -0.0079558    14           -0.0079558    14           -0.0079558    14           -0.0079558    14           -0.0080448    14           -0.0080415    14           -0.0074321    14           -0.0065932    14           -0.0065918    14           -0.0062529    14           -0.0067054    14           -0.0079717    14           -0.0089563    14           -0.014993     14           -0.0079558    14           -0.0079558    14           -0.0079558    14           -0.0079558    14           -0.0079558    14           -0.0079562    14           -0.0079558    14           -0.0079592    14           -0.0079573    14           -0.0079717    14           -0.0079636    14           -0.0079992    14           -0.007972     14           -0.0079558    14           -0.0079558    14           -0.0079558    14           -0.0079558   
