# This file was created by gnuplotFile.py version $Revision: 160 $ on Thu Oct 25 13:57:45 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.personal.engin.umich.edu$ amcNoRestartConvergence.py -v -w 50 --histories 5000 -f W-50.I53.H5000.B50.dat -M W-50.I53.H5000.B50.Movie -r
# 
# =============================================================================
# 
#   1            2            3              4            5              6            7              8            9              10           11             12           13             14           15             16           17             18           19             20           21             22           23             24           25             26           27             28           29             30           31             32           33             34           35             36           37             38           39             40           41             42           43             44           45             46           47             48           49             50           51             52           53             54           55             56           57             58           59             60           61             62           63             64           65             66           67             68           69             70           71             72           73             74           75             76           77             78           79             80           81             82           83             84           85             86           87             88           89             90           91             92           93             94           95             96           97             98           99             100          101            102          103            104          105            106          107         
# |--------------Eigenvalue--------------||---------Iter-38---------||---------Iter-42---------||---------Iter-50---------||---------Iter-40---------||---------Iter-47---------||---------Iter-9----------||---------Iter-8----------||---------Iter-7----------||---------Iter-6----------||---------Iter-5----------||---------Iter-4----------||---------Iter-3----------||---------Iter-2----------||---------Iter-1----------||---------Iter-0----------||---------Iter-31---------||---------Iter-51---------||---------Iter-43---------||---------Iter-30---------||---------Iter-44---------||---------Iter-33---------||---------Iter-45---------||---------Iter-39---------||---------Iter-32---------||---------Iter-46---------||---------Iter-19---------||---------Iter-18---------||---------Iter-17---------||---------Iter-16---------||---------Iter-15---------||---------Iter-14---------||---------Iter-13---------||---------Iter-12---------||---------Iter-11---------||---------Iter-10---------||---------Iter-37---------||---------Iter-34---------||---------Iter-36---------||---------Iter-35---------||---------Iter-41---------||---------Iter-26---------||---------Iter-27---------||---------Iter-24---------||---------Iter-25---------||---------Iter-22---------||---------Iter-23---------||---------Iter-20---------||---------Iter-21---------||---------Iter-48---------||---------Iter-49---------||---------Iter-28---------||---------Iter-29---------|
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      
   0            0.98138      0             0            0.00059186    0            0.00059186    0            0.00059186    0            0.00059186    0            0.00059186    0            -0.00010547   0            0.0021311     0            0.0034932     0            0.00368       0            0.002373      0            0.0026965     0            0.0033121     0            0.00091664    0            0.0054973     0            0.02          0            0.00059186    0            0.00059186    0            0.00059186    0            0.00059186    0            0.00059186    0            0.00059186    0            0.00059186    0            0.00059186    0            0.00059186    0            0.00059186    0            0.00059913    0            0.00059797    0            0.00058376    0            0.00060263    0            0.00063906    0            0.00069439    0            0.00067639    0            0.00057576    0            0.00036995    0            -0.00014817   0            0.00059186    0            0.00059186    0            0.00059186    0            0.00059186    0            0.00059186    0            0.00059184    0            0.00059185    0            0.00059177    0            0.00059178    0            0.00059137    0            0.00059155    0            0.0005942     0            0.00059238    0            0.00059186    0            0.00059186    0            0.00059183    0            0.00059185   
   1            0.99038      0.0045038     1            0.00060328    1            0.00060328    1            0.00060328    1            0.00060328    1            0.00060328    1            0.00042508    1            0.0042181     1            0.0087832     1            0.0079539     1            0.0080286     1            0.0069343     1            0.0048837     1            0.005927      1            0.013501      1            0.02          1            0.00060328    1            0.00060328    1            0.00060328    1            0.00060328    1            0.00060328    1            0.00060328    1            0.00060328    1            0.00060328    1            0.00060328    1            0.00060328    1            0.00061482    1            0.000616      1            0.00061164    1            0.00064821    1            0.00072186    1            0.00075775    1            0.00079558    1            0.00065937    1            0.00010776    1            1.844E-05     1            0.00060328    1            0.00060328    1            0.00060328    1            0.00060328    1            0.00060328    1            0.00060328    1            0.00060325    1            0.00060286    1            0.00060323    1            0.00060268    1            0.00060279    1            0.00060939    1            0.00060323    1            0.00060328    1            0.00060328    1            0.00060326    1            0.00060327   
   2            0.99287      0.0049377     2            0.00025612    2            0.00025612    2            0.00025612    2            0.00025612    2            0.00025612    2            0.00033586    2            0.0075582     2            0.010005      2            0.012832      2            0.011006      2            0.0085902     2            0.0059763     2            0.0096552     2            0.015699      2            0.02          2            0.00025612    2            0.00025612    2            0.00025612    2            0.00025612    2            0.00025612    2            0.00025612    2            0.00025612    2            0.00025612    2            0.00025612    2            0.00025612    2            0.0002674     2            0.00026796    2            0.00027807    2            0.00034769    2            0.00037535    2            0.00043184    2            0.00038631    2            0.00045686    2            -1.4026E-05   2            -0.00013151   2            0.00025612    2            0.00025612    2            0.00025612    2            0.00025612    2            0.00025612    2            0.00025611    2            0.00025608    2            0.0002558     2            0.000256      2            0.0002557     2            0.00025555    2            0.00025884    2            0.00025822    2            0.00025612    2            0.00025612    2            0.0002561     2            0.00025612   
   3            0.9932       0.0047908     3            0.0066355     3            0.0066355     3            0.0066355     3            0.0066355     3            0.0066355     3            0.0086113     3            0.01416       3            0.017947      3            0.019754      3            0.018195      3            0.013716      3            0.013827      3            0.016295      3            0.018844      3            0.02          3            0.0066355     3            0.0066355     3            0.0066355     3            0.0066355     3            0.0066355     3            0.0066355     3            0.0066355     3            0.0066355     3            0.0066355     3            0.0066355     3            0.0066403     3            0.0066486     3            0.0066853     3            0.0067398     3            0.0067891     3            0.0068011     3            0.0068111     3            0.0067482     3            0.0066087     3            0.0060723     3            0.0066355     3            0.0066355     3            0.0066355     3            0.0066355     3            0.0066355     3            0.0066355     3            0.0066355     3            0.0066352     3            0.0066354     3            0.0066356     3            0.0066352     3            0.0066402     3            0.0066379     3            0.0066355     3            0.0066355     3            0.0066355     3            0.0066355    
   4            0.99556      0.0049318     4            0.012156      4            0.012156      4            0.012156      4            0.012156      4            0.012156      4            0.012973      4            0.02159       4            0.02583       4            0.02834       4            0.024147      4            0.022189      4            0.02286       4            0.022087      4            0.020791      4            0.02          4            0.012156      4            0.012156      4            0.012156      4            0.012156      4            0.012156      4            0.012156      4            0.012156      4            0.012156      4            0.012156      4            0.012156      4            0.012158      4            0.012172      4            0.012212      4            0.012281      4            0.012315      4            0.012319      4            0.012253      4            0.012285      4            0.011893      4            0.012802      4            0.012156      4            0.012156      4            0.012156      4            0.012156      4            0.012156      4            0.012156      4            0.012156      4            0.012156      4            0.012156      4            0.012157      4            0.012157      4            0.012159      4            0.012159      4            0.012156      4            0.012156      4            0.012156      4            0.012156     
   5            0.99871      0.005407      5            0.020007      5            0.020007      5            0.020007      5            0.020007      5            0.020007      5            0.021971      5            0.028323      5            0.035855      5            0.035353      5            0.031299      5            0.032837      5            0.03067       5            0.028109      5            0.023453      5            0.02          5            0.020007      5            0.020007      5            0.020007      5            0.020007      5            0.020007      5            0.020007      5            0.020007      5            0.020007      5            0.020007      5            0.020007      5            0.020008      5            0.020016      5            0.020059      5            0.020161      5            0.020183      5            0.020171      5            0.020087      5            0.020065      5            0.02039       5            0.020355      5            0.020007      5            0.020007      5            0.020007      5            0.020007      5            0.020007      5            0.020007      5            0.020007      5            0.020007      5            0.020007      5            0.020008      5            0.020007      5            0.020007      5            0.020009      5            0.020007      5            0.020007      5            0.020007      5            0.020007     
   6            1.0004       0.0057985     6            0.02645       6            0.02645       6            0.02645       6            0.02645       6            0.02645       6            0.026945      6            0.035041      6            0.038157      6            0.037496      6            0.038435      6            0.036603      6            0.036502      6            0.032521      6            0.027962      6            0.02          6            0.02645       6            0.02645       6            0.02645       6            0.02645       6            0.02645       6            0.02645       6            0.02645       6            0.02645       6            0.02645       6            0.02645       6            0.026448      6            0.026458      6            0.026503      6            0.026623      6            0.026727      6            0.0267        6            0.026542      6            0.026774      6            0.02666       6            0.02718       6            0.02645       6            0.02645       6            0.02645       6            0.02645       6            0.02645       6            0.02645       6            0.02645       6            0.026449      6            0.02645       6            0.02645       6            0.02645       6            0.02645       6            0.026451      6            0.02645       6            0.02645       6            0.02645       6            0.02645      
   7            1.0017       0.0061103     7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.02766       7            0.032424      7            0.033626      7            0.037869      7            0.038688      7            0.039093      7            0.035644      7            0.034362      7            0.025514      7            0.02          7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024593      7            0.024597      7            0.02463       7            0.024775      7            0.024877      7            0.024852      7            0.024741      7            0.024805      7            0.025128      7            0.025244      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597      7            0.024597     
   8            1.0019       0.0062344     8            0.02497       8            0.02497       8            0.02497       8            0.02497       8            0.02497       8            0.028204      8            0.029917      8            0.032005      8            0.036333      8            0.039525      8            0.038232      8            0.036044      8            0.031634      8            0.026285      8            0.02          8            0.02497       8            0.02497       8            0.02497       8            0.02497       8            0.02497       8            0.02497       8            0.02497       8            0.02497       8            0.02497       8            0.02497       8            0.024964      8            0.024955      8            0.024984      8            0.025139      8            0.025213      8            0.025255      8            0.025205      8            0.025325      8            0.025406      8            0.026832      8            0.02497       8            0.02497       8            0.02497       8            0.02497       8            0.02497       8            0.02497       8            0.02497       8            0.02497       8            0.02497       8            0.024968      8            0.02497       8            0.024968      8            0.024969      8            0.02497       8            0.02497       8            0.02497       8            0.02497      
   9            1.0016       0.0062268     9            0.020409      9            0.020409      9            0.020409      9            0.020409      9            0.020409      9            0.02102       9            0.022851      9            0.023839      9            0.02801       9            0.031624      9            0.03279       9            0.029761      9            0.028032      9            0.024754      9            0.02          9            0.020409      9            0.020409      9            0.020409      9            0.020409      9            0.020409      9            0.020409      9            0.020409      9            0.020409      9            0.020409      9            0.020409      9            0.020397      9            0.020394      9            0.020422      9            0.020489      9            0.020618      9            0.020664      9            0.020723      9            0.020764      9            0.021225      9            0.022052      9            0.020409      9            0.020409      9            0.020409      9            0.020409      9            0.020409      9            0.020409      9            0.020409      9            0.020409      9            0.020409      9            0.020408      9            0.020409      9            0.020408      9            0.020407      9            0.020409      9            0.020409      9            0.020409      9            0.020409     
