# This file was created by gnuplotFile.py version $Revision: 47 $ on Wed May  2 10:14:30 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# 
# 1000         1000        5000         5000        10000        10000       50000        50000       
# x-coord      y-coord     x-coord      y-coord     x-coord      y-coord     x-coord      y-coord     
  1            2.3726E-05  1            5.9099E-06  1            2.6733E-06  1            4.9681E-07  
  2            1.0811E-05  2            2.7714E-06  2            1.3567E-06  2            2.5994E-07  
  3            7.631E-06   3            1.4826E-06  3            9.0229E-07  3            1.9497E-07  
  4            8.0882E-06  4            1.0602E-06  4            6.8012E-07  4            1.4706E-07  
  5            7.0088E-06  5            8.4836E-07  5            4.9032E-07  5            1.0904E-07  
  6            5.6242E-06  6            7.7E-07     6            4.2668E-07  6            9.9024E-08  
  7            4.4449E-06  7            6.8403E-07  7            3.7875E-07  7            1.0594E-07  
  8            3.2126E-06  8            6.5244E-07  8            3.2564E-07  8            9.4926E-08  
  9            3.0255E-06  9            5.8744E-07  9            2.7073E-07  9            8.0653E-08  
  10           2.6483E-06  10           4.9982E-07  10           2.5281E-07  10           6.8707E-08  
  11           2.3667E-06  11           4.7518E-07  11           2.2596E-07  11           6.3797E-08  
  12           2.1468E-06  12           4.1936E-07  12           2.1567E-07  12           6.0902E-08  
  13           1.9368E-06  13           3.9797E-07  13           1.8848E-07  13           5.1373E-08  
  14           2.0159E-06  14           4.0251E-07  14           1.7313E-07  14           4.3556E-08  
  15           1.9891E-06  15           3.4993E-07  15           1.5764E-07  15           4.2845E-08  
  16           1.8437E-06  16           2.9854E-07  16           1.6904E-07  16           4.247E-08   
  17           1.7109E-06  17           2.6911E-07  17           1.7257E-07  17           4.0015E-08  
  18           1.4594E-06  18           2.7488E-07  18           1.5623E-07  18           4.2539E-08  
  19           1.4584E-06  19           2.4595E-07  19           1.6251E-07  19           4.1933E-08  
  20           1.3178E-06  20           2.3844E-07  20           1.591E-07   20           4.1459E-08  
  21           1.2379E-06  21           2.3207E-07  21           1.5621E-07  21           4.362E-08   
  22           1.1951E-06  22           2.1852E-07  22           1.6492E-07  22           4.2946E-08  
  23           1.144E-06   23           2.1434E-07  23           1.4643E-07  23           3.789E-08   
  24           1.0778E-06  24           2.1585E-07  24           1.3637E-07  24           3.3189E-08  
  25           1.0992E-06  25           2.1009E-07  25           1.2066E-07  25           3.1249E-08  
  26           1.0496E-06  26           2.1423E-07  26           1.08E-07    26           2.9683E-08  
  27           1.0664E-06  27           1.9438E-07  27           1.0729E-07  27           2.8336E-08  
  28           1.0054E-06  28           1.8116E-07  28           1.0358E-07  28           2.6854E-08  
  29           9.3436E-07  29           1.9241E-07  29           1.069E-07   29           2.5118E-08  
  30           8.6547E-07  30           2.003E-07   30           1.034E-07   30           2.3415E-08  
  31           8.2269E-07  31           1.8475E-07  31           9.9595E-08  31           2.3864E-08  
  32           8.4395E-07  32           1.7828E-07  32           1.1042E-07  32           2.3267E-08  
  33           7.5052E-07  33           1.6434E-07  33           1.0596E-07  33           2.176E-08   
  34           7.5428E-07  34           1.63E-07    34           1.072E-07   34           2.0588E-08  
  35           7.609E-07   35           1.6597E-07  35           1.0677E-07  35           2.0396E-08  
  36           7.6165E-07  36           1.6109E-07  36           1.0759E-07  36           2.0413E-08  
  37           7.472E-07   37           1.5481E-07  37           1.0288E-07  37           1.9986E-08  
  38           6.961E-07   38           1.6105E-07  38           1.0138E-07  38           1.9651E-08  
  39           7.1673E-07  39           1.5297E-07  39           9.6628E-08  39           1.7934E-08  
  40           6.3251E-07  40           1.6168E-07  40           9.0103E-08  40           1.751E-08   
  41           6.0265E-07  41           1.5597E-07  41           8.5647E-08  41           1.7331E-08  
  42           5.7602E-07  42           1.5403E-07  42           9.124E-08   42           1.6527E-08  
  43           5.3133E-07  43           1.5578E-07  43           9.0887E-08  43           1.5924E-08  
  44           5.017E-07   44           1.5424E-07  44           8.7036E-08  44           1.6313E-08  
  45           4.3902E-07  45           1.5292E-07  45           8.5851E-08  45           1.5287E-08  
  46           4.2804E-07  46           1.4445E-07  46           8.5217E-08  46           1.4906E-08  
  47           4.398E-07   47           1.3918E-07  47           8.1284E-08  47           1.5163E-08  
  48           4.1267E-07  48           1.3623E-07  48           7.9114E-08  48           1.4936E-08  
  49           4.0368E-07  49           1.3792E-07  49           7.7407E-08  49           1.5693E-08  
  50           3.8009E-07  50           1.364E-07   50           7.1719E-08  50           1.5968E-08  
