# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 100 --bins 75 -f /home/jlconlin/Thesis/Code/trunk/cpp/Research/Many/Variance/50mfp/ArnoldiMany-35.dat --run\n , seed = 4208901462
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 0, run = true, filename = /home/jlconlin/Thesis/Code/trunk/cpp/Research/Many/Variance/50mfp/ArnoldiMany-35.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   500000       3.25151       1.25E+07     0.998383     0             1.25E+07     0            0             1.25E+07     0.998383      1.25E+07     0             1.25E+07     0.988354     0             1.25E+07     0            0             1.25E+07     0.988354      1.25E+07     0             1.25E+07     0.976453     0             1.25E+07     0            0             1.25E+07     0.976453      1.25E+07     0             1.25E+07     38.5727       1.25E+07     4.03013       1.2625E+09   0             0.333333     0.0102033    0.000353361   0.333333     0            0             0.333333     -0.020557    0.000354049   0.333333     0            0             0.333333     0.0295305    0.000380504   0.333333     0            0             
   1E+06        3.25799       2.5E+07      0.998195     0             2.5E+07      0            0             2.5E+07      0.998195      2.5E+07      0             2.5E+07      0.990159     0             2.5E+07      0            0             2.5E+07      0.990159      2.5E+07      0             2.5E+07      0.976206     0             2.5E+07      0            0             2.5E+07      0.976206      2.5E+07      0             2.5E+07      77.4145       2.5E+07      4.08806       1.275E+09    42957.6       1            0.0176568    0.000596781   1            0            0             1            -0.0342394   0.000579734   1            0            0             1            0.049331     0.000612237   1            0            0             
   1.5E+06      3.25874       3.75E+07     0.996496     0             3.75E+07     0            0             3.75E+07     0.996496      3.75E+07     0             3.75E+07     0.9904       0             3.75E+07     0            0             3.75E+07     0.9904        3.75E+07     0             3.75E+07     0.978015     0             3.75E+07     0            0             3.75E+07     0.978015      3.75E+07     0             3.75E+07     116.055       3.75E+07     4.02178       1.2875E+09   1614.25       1.66667      0.0246325    0.000805878   1.66667      0            0             1.66667      -0.0470859   0.000789459   1.66667      0            0             1.66667      0.0675815    0.000831679   1.66667      0            0             
   2E+06        3.34933       5E+07        0.998407     0             5E+07        0            0             5E+07        0.998407      5E+07        0             5E+07        0.990272     0             5E+07        0            0             5E+07        0.990272      5E+07        0             5E+07        0.976215     0             5E+07        0            0             5E+07        0.976215      5E+07        0             5E+07        154.813       5E+07        4.0262        1.3E+09      1574.24       2.33333      0.0312231    0.00104392    2.33333      0            0             2.33333      -0.0598048   0.00100244    2.33333      0            0             2.33333      0.0845393    0.00104234    2.33333      0            0             
   2.5E+06      3.46081       6.25E+07     0.998312     0             6.25E+07     0            0             6.25E+07     0.998312      6.25E+07     0             6.25E+07     0.988769     0             6.25E+07     0            0             6.25E+07     0.988769      6.25E+07     0             6.25E+07     0.975274     0             6.25E+07     0            0             6.25E+07     0.975274      6.25E+07     0             6.25E+07     193.455       6.25E+07     4.00392       1.3125E+09   942.676       3            0.0380446    0.00125528    3            0            0             3            -0.0720355   0.00114989    3            0            0             3            0.100406     0.00121851    3            0            0             
   3E+06        3.53665       7.5E+07      0.997697     0             7.5E+07      0            0             7.5E+07      0.997697      7.5E+07      0             7.5E+07      0.9887       0             7.5E+07      0            0             7.5E+07      0.9887        7.5E+07      0             7.5E+07      0.977114     0             7.5E+07      0            0             7.5E+07      0.977114      7.5E+07      0             7.5E+07      232.074       7.5E+07      4.10961       1.325E+09    1175.36       3.66667      0.0442201    0.00145587    3.66667      0            0             3.66667      -0.0835462   0.00132557    3.66667      0            0             3.66667      0.114636     0.00136395    3.66667      0            0             
   3.5E+06      3.59309       8.75E+07     0.998178     0             8.75E+07     0            0             8.75E+07     0.998178      8.75E+07     0             8.75E+07     0.990111     0             8.75E+07     0            0             8.75E+07     0.990111      8.75E+07     0             8.75E+07     0.977771     0             8.75E+07     0            0             8.75E+07     0.977771      8.75E+07     0             8.75E+07     270.787       8.75E+07     3.96305       1.3375E+09   1470.33       4.33333      0.0505632    0.00164567    4.33333      0            0             4.33333      -0.0947793   0.00145425    4.33333      0            0             4.33333      0.126978     0.00147249    4.33333      0            0             
   4E+06        3.60206       1E+08        0.997847     0             1E+08        0            0             1E+08        0.997847      1E+08        0             1E+08        0.989739     0             1E+08        0            0             1E+08        0.989739      1E+08        0             1E+08        0.976283     0             1E+08        0            0             1E+08        0.976283      1E+08        0             1E+08        309.415       1E+08        4.01576       1.35E+09     1448.87       5            0.0569152    0.00180859    5            0            0             5            -0.105273    0.00154371    5            0            0             5            0.137851     0.00156821    5            0            0             
   4.5E+06      3.64609       1.125E+08    0.997274     0             1.125E+08    0            0             1.125E+08    0.997274      1.125E+08    0             1.125E+08    0.990594     0             1.125E+08    0            0             1.125E+08    0.990594      1.125E+08    0             1.125E+08    0.976848     0             1.125E+08    0            0             1.125E+08    0.976848      1.125E+08    0             1.125E+08    348.005       1.125E+08    3.99362       1.3625E+09   1266.45       5.66667      0.0631096    0.00195045    5.66667      0            0             5.66667      -0.11513     0.00163836    5.66667      0            0             5.66667      0.14633      0.00161224    5.66667      0            0             
   5E+06        3.71658       1.25E+08     0.996891     0             1.25E+08     0            0             1.25E+08     0.996891      1.25E+08     0             1.25E+08     0.990049     0             1.25E+08     0            0             1.25E+08     0.990049      1.25E+08     0             1.25E+08     0.977226     0             1.25E+08     0            0             1.25E+08     0.977226      1.25E+08     0             1.25E+08     386.589       1.25E+08     3.95625       1.375E+09    1053.92       6.33333      0.0690526    0.00209158    6.33333      0            0             6.33333      -0.124122    0.00170904    6.33333      0            0             6.33333      0.152963     0.00160955    6.33333      0            0             
   5.5E+06      3.77544       1.375E+08    0.999248     0             1.375E+08    0            0             1.375E+08    0.999248      1.375E+08    0             1.375E+08    0.991016     0             1.375E+08    0            0             1.375E+08    0.991016      1.375E+08    0             1.375E+08    0.976017     0             1.375E+08    0            0             1.375E+08    0.976017      1.375E+08    0             1.375E+08    425.135       1.375E+08    4.04622       1.3875E+09   1257.6        7            0.0751239    0.00220458    7            0            0             7            -0.132372    0.00175369    7            0            0             7            0.157319     0.00159715    7            0            0             
   6E+06        3.78565       1.5E+08      0.997388     0             1.5E+08      0            0             1.5E+08      0.997388      1.5E+08      0             1.5E+08      0.987909     0             1.5E+08      0            0             1.5E+08      0.987909      1.5E+08      0             1.5E+08      0.975611     0             1.5E+08      0            0             1.5E+08      0.975611      1.5E+08      0             1.5E+08      463.704       1.5E+08      4.02519       1.4E+09      1426.57       7.66667      0.0812187    0.00229119    7.66667      0            0             7.66667      -0.139846    0.00175596    7.66667      0            0             7.66667      0.159207     0.00156643    7.66667      0            0             
