# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldiResearch --verbose 2 --relaxed 0 --width 20 --tracks 100000 --inactive 50 --Iterations 10 --eigenvalues 3 --active\n 500 --seed 0 --run --bins 120 -f Bins/20mfp-BetterStats/20mfp.b120.dat , seed = 3279717302
# Arguments: source = Histogram, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats/20mfp.b120.dat, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 120, active = 500, inactive = 50, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26            27           28            29           30            31           32           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1E+06        4.85956      0             1E+06        0            0             1E+06        4.39293      0             1E+06        0            0             1E+06        3.80084      0             1E+06        0            0             5.1E+07      0             0.0833333    0.0127327     0.0833333    0             0.0833333    0.0250281     0.0833333    0             0.0833333    0.0361463     0.0833333    0             
   2E+06        4.82372      0             2E+06        0            0             2E+06        4.38146      0             2E+06        0            0             2E+06        3.80119      0             2E+06        0            0             5.2E+07      3417.94       0.25         0.0164818     0.25         0             0.25         0.0323406     0.25         0             0.25         0.0466518     0.25         0             
   3E+06        4.81115      0             3E+06        0            0             3E+06        4.38109      0             3E+06        0            0             3E+06        3.80694      0             3E+06        0            0             5.3E+07      91.8549       0.416667     0.0197297     0.416667     0             0.416667     0.0387872     0.416667     0             0.416667     0.0558979     0.416667     0             
   4E+06        4.82622      0             4E+06        0            0             4E+06        4.39673      0             4E+06        0            0             4E+06        3.80919      0             4E+06        0            0             5.4E+07      132.643       0.583333     0.0230152     0.583333     0             0.583333     0.0448926     0.583333     0             0.583333     0.0643768     0.583333     0             
   5E+06        4.80917      0             5E+06        0            0             5E+06        4.36318      0             5E+06        0            0             5E+06        3.77754      0             5E+06        0            0             5.5E+07      68.4039       0.75         0.0261269     0.75         0             0.75         0.0507493     0.75         0             0.75         0.0723488     0.75         0             
   6E+06        4.80491      0             6E+06        0            0             6E+06        4.39136      0             6E+06        0            0             6E+06        3.80069      0             6E+06        0            0             5.6E+07      86.0835       0.916667     0.0291752     0.916667     0             0.916667     0.0565105     0.916667     0             0.916667     0.0798651     0.916667     0             
   7E+06        4.83         0             7E+06        0            0             7E+06        4.3864       0             7E+06        0            0             7E+06        3.84576      0             7E+06        0            0             5.7E+07      48.7494       1.08333      0.0322388     1.08333      0             1.08333      0.0619935     1.08333      0             1.08333      0.0868807     1.08333      0             
   8E+06        4.81517      0             8E+06        0            0             8E+06        4.38112      0             8E+06        0            0             8E+06        3.81665      0             8E+06        0            0             5.8E+07      30.9121       1.25         0.0352147     1.25         0             1.25         0.0673992     1.25         0             1.25         0.0932646     1.25         0             
   9E+06        4.82959      0             9E+06        0            0             9E+06        4.383        0             9E+06        0            0             9E+06        3.79687      0             9E+06        0            0             5.9E+07      34.6917       1.41667      0.0380793     1.41667      0             1.41667      0.0724384     1.41667      0             1.41667      0.0991761     1.41667      0             
   1E+07        4.82358      0             1E+07        0            0             1E+07        4.38476      0             1E+07        0            0             1E+07        3.82884      0             1E+07        0            0             6E+07        39.5274       1.58333      0.0409493     1.58333      0             1.58333      0.0773209     1.58333      0             1.58333      0.104517      1.58333      0             
   1.1E+07      4.8133       0             1.1E+07      0            0             1.1E+07      4.36088      0             1.1E+07      0            0             1.1E+07      3.81094      0             1.1E+07      0            0             6.1E+07      27.8729       1.75         0.0438702     1.75         0             1.75         0.0821339     1.75         0             1.75         0.109274      1.75         0             
   1.2E+07      4.83327      0             1.2E+07      0            0             1.2E+07      4.38663      0             1.2E+07      0            0             1.2E+07      3.80553      0             1.2E+07      0            0             6.2E+07      32.4773       1.91667      0.0467092     1.91667      0             1.91667      0.0866825     1.91667      0             1.91667      0.113269      1.91667      0             
   1.3E+07      4.8306       0             1.3E+07      0            0             1.3E+07      4.38196      0             1.3E+07      0            0             1.3E+07      3.81376      0             1.3E+07      0            0             6.3E+07      37.3256       2.08333      0.0495932     2.08333      0             2.08333      0.0909195     2.08333      0             2.08333      0.116883      2.08333      0             
   1.4E+07      4.81018      0             1.4E+07      0            0             1.4E+07      4.3633       0             1.4E+07      0            0             1.4E+07      3.83562      0             1.4E+07      0            0             6.4E+07      40.2361       2.25         0.0523926     2.25         0             2.25         0.0950866     2.25         0             2.25         0.119871      2.25         0             
   1.5E+07      4.82319      0             1.5E+07      0            0             1.5E+07      4.38739      0             1.5E+07      0            0             1.5E+07      3.81159      0             1.5E+07      0            0             6.5E+07      45.3886       2.41667      0.0552171     2.41667      0             2.41667      0.0989297     2.41667      0             2.41667      0.122158      2.41667      0             
   1.6E+07      4.85736      0             1.6E+07      0            0             1.6E+07      4.38007      0             1.6E+07      0            0             1.6E+07      3.82679      0             1.6E+07      0            0             6.6E+07      33.8763       2.58333      0.0579102     2.58333      0             2.58333      0.102654      2.58333      0             2.58333      0.123964      2.58333      0             
   1.7E+07      4.80025      0             1.7E+07      0            0             1.7E+07      4.38102      0             1.7E+07      0            0             1.7E+07      3.83312      0             1.7E+07      0            0             6.7E+07      37.4196       2.75         0.0605095     2.75         0             2.75         0.105967      2.75         0             2.75         0.124708      2.75         0             
   1.8E+07      4.82745      0             1.8E+07      0            0             1.8E+07      4.36807      0             1.8E+07      0            0             1.8E+07      3.80665      0             1.8E+07      0            0             6.8E+07      40.8407       2.91667      0.0632204     2.91667      0             2.91667      0.109016      2.91667      0             2.91667      0.124882      2.91667      0             
   1.9E+07      4.81712      0             1.9E+07      0            0             1.9E+07      4.37805      0             1.9E+07      0            0             1.9E+07      3.78966      0             1.9E+07      0            0             6.9E+07      42.6972       3.08333      0.0659448     3.08333      0             3.08333      0.111828      3.08333      0             3.08333      0.124459      3.08333      0             
   2E+07        4.82962      0             2E+07        0            0             2E+07        4.40764      0             2E+07        0            0             2E+07        3.81532      0             2E+07        0            0             7E+07        46.4253       3.25         0.068438      3.25         0             3.25         0.11454       3.25         0             3.25         0.123233      3.25         0             
