# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --source Linear --tracks 100000 --inactive 50 --Iterations 10 --eigenvalues\n 3 --active 500 --seed 0 --run --bins 60 -f Bins/20mfp-BetterStats/Linear/20mfp.b60.dat , seed = 2044065133
# Arguments: source = Linear, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats/Linear/20mfp.b60.dat, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 60, active = 500, inactive = 50, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-   RAM eigenvector-0  -| |-   RAM eigenvector-1  -| |-   RAM eigenvector-2  -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1E+06        4.84643      0             1E+06        0            0             1E+06        3.70218      0             1E+06        0            0             1E+06        3.2462       0             1E+06        0            0             5.1E+07      0             0            0.00651703    0            -0.00794175   0            -0.00793136   
   2E+06        4.82659      0             2E+06        0            0             2E+06        4.24241      0             2E+06        0            0             2E+06        3.69868      0             2E+06        0            0             5.2E+07      786.474       0.333333     0.0109542     0.333333     -0.0134173    0.333333     -0.0133683    
   3E+06        4.82758      0             3E+06        0            0             3E+06        4.40739      0             3E+06        0            0             3E+06        3.77061      0             3E+06        0            0             5.3E+07      282.331       0.333333     0.0108678     0.333333     -0.0132808    0.333333     -0.0132759    
   4E+06        4.82866      0             4E+06        0            0             4E+06        4.3958       0             4E+06        0            0             4E+06        3.86596      0             4E+06        0            0             5.4E+07      490.319       0.666667     0.0146928     0.666667     -0.0178874    0.666667     -0.0176654    
   5E+06        4.82166      0             5E+06        0            0             5E+06        4.41314      0             5E+06        0            0             5E+06        3.77311      0             5E+06        0            0             5.5E+07      86.8042       0.666667     0.0147157     0.666667     -0.0178708    0.666667     -0.017709     
   6E+06        4.8314       0             6E+06        0            0             6E+06        4.37734      0             6E+06        0            0             6E+06        3.80417      0             6E+06        0            0             5.6E+07      95.1543       1            0.0183551     1            -0.0221057    1            -0.0215293    
   7E+06        4.81863      0             7E+06        0            0             7E+06        4.37208      0             7E+06        0            0             7E+06        3.84042      0             7E+06        0            0             5.7E+07      103.315       1            0.0183669     1            -0.022139     1            -0.0214805    
   8E+06        4.81215      0             8E+06        0            0             8E+06        4.39121      0             8E+06        0            0             8E+06        3.80307      0             8E+06        0            0             5.8E+07      95.3084       1.33333      0.0219145     1.33333      -0.0260468    1.33333      -0.0248574    
   9E+06        4.83124      0             9E+06        0            0             9E+06        4.39478      0             9E+06        0            0             9E+06        3.79873      0             9E+06        0            0             5.9E+07      113.945       1.33333      0.0219748     1.33333      -0.0260868    1.33333      -0.0248505    
   1E+07        4.82531      0             1E+07        0            0             1E+07        4.36391      0             1E+07        0            0             1E+07        3.79354      0             1E+07        0            0             6E+07        121.268       1.66667      0.0253899     1.66667      -0.0297666    1.66667      -0.0276105    
   1.1E+07      4.82906      0             1.1E+07      0            0             1.1E+07      4.36275      0             1.1E+07      0            0             1.1E+07      3.80825      0             1.1E+07      0            0             6.1E+07      141.569       1.66667      0.0254028     1.66667      -0.0297921    1.66667      -0.0275426    
   1.2E+07      4.82905      0             1.2E+07      0            0             1.2E+07      4.38595      0             1.2E+07      0            0             1.2E+07      3.79293      0             1.2E+07      0            0             6.2E+07      94.2221       2            0.0288009     2            -0.0331505    2            -0.0297031    
   1.3E+07      4.82484      0             1.3E+07      0            0             1.3E+07      4.38988      0             1.3E+07      0            0             1.3E+07      3.84315      0             1.3E+07      0            0             6.3E+07      98.4618       2            0.0288182     2            -0.0331543    2            -0.0297493    
