# This file was created by gnuFile.py version  $Revision: 569 $ on Sat Jun  6 20:40:06 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# 193-97.adsl.umnet.umich.edu$ GetData.py
# 
# =============================================================================
# 
#   1            2            3             4            5            6             7            8            9              10           11            12           13           14            15           16           17            18           19           20          
# |-              Bias0                -| |-              Bias1                -| |-              Bias2                -| |-         FOM          -||-           Eigenvalue-0            -| |-           Eigenvalue-1            -| |-           Eigenvalue-2            -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error        
   2            0.001748     0.0014937     2            0.000341     0.0013223     2            0.008901     0.003243      10           46.755        2            4.8295       0.0014937     2            4.3828       0.0013223     2            3.8264       0.003243     
   0.8          0.000298     0.00044745    0.8          0.000421     0.00069212    0.8          0.000629     0.0009706     25           509.32        0.8          4.8281       0.00044745    0.8          4.3827       0.00069212    0.8          3.8168       0.0009706    
   0.5          0.000798     0.00042285    0.5          0.000769     0.00065583    0.5          0.000879     0.0010403     40           457.3         0.5          4.8285       0.00042285    0.5          4.3839       0.00065583    0.5          3.8166       0.0010403    
   0.4          0.000958     0.00045468    0.4          0.000741     0.00065838    0.4          0.000479     0.0010858     50           411.78        0.4          4.8287       0.00045468    0.4          4.3824       0.00065838    0.4          3.817        0.0010858    
   0.33333      0.000328     0.00043795    0.33333      0.000631     0.00066748    0.33333      0.002081     0.001163      60           416.16        0.33333      4.8281       0.00043795    0.33333      4.3825       0.00066748    0.33333      3.8196       0.001163     
   0.26667      0.000158     0.00039312    0.26667      0.001451     0.00088714    0.26667      0.018529     0.0021794     75           466.95        0.26667      4.8279       0.00039312    0.26667      4.3816       0.00088714    0.26667      3.7989       0.0021794    
   0.22222      9.8E-05      0.00038104    0.22222      0.013521     0.0029043     0.22222      0.51319      0.0066661     90           452.77        0.22222      4.8278       0.00038104    0.22222      4.3696       0.0029043     0.22222      3.3043       0.0066661    
   0.19048      0.000992     0.00064104    0.19048      0.038121     0.0026905     0.19048      0.6399       0.0043075     105          145.45        0.19048      4.8268       0.00064104    0.19048      4.345        0.0026905     0.19048      3.1776       0.0043075    
   0.16667      0.007452     0.001362      0.16667      0.1442       0.0073264     0.16667      1.0818       0.019898      120          30.232        0.16667      4.8203       0.001362      0.16667      4.2389       0.0073264     0.16667      2.7357       0.019898     
   0.14815      0.014642     0.0018404     0.14815      0.1508       0.0085738     0.14815      2.2151       0.015134      135          15.736        0.14815      4.8131       0.0018404     0.14815      4.2323       0.0085738     0.14815      1.6024       0.015134     
   0.13333      0.023462     0.0024103     0.13333      0.33358      0.012062      0.13333      2.3843       0.0052694     150          8.5447        0.13333      4.8043       0.0024103     0.13333      4.0495       0.012062      0.13333      1.4331       0.0052694    
