# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --eigenvalues 3 --tracks 1000000 --inactive 50 --source Histogram\n --Iterations 10 --active 500 --seed 0 --run --bins 120 -f Bins/20mfp-BetterStats-nyx/Histogram/1E6Tracks/20mfp.b120.dat\n , seed = 2883408776
# Arguments: source = Histogram, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats-nyx/Histogram/1E6Tracks/20mfp.b120.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 120, active = 500, inactive = 50, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26            27           28            29           30            31           32           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1E+07        4.82713      0             1E+07        0            0             1E+07        4.3843       0             1E+07        0            0             1E+07        3.82206      0             1E+07        0            0             5.1E+08      0             0.0833333    -0.0127819    0.0833333    0             0.0833333    0.0250439     0.0833333    0             0.0833333    0.0363165     0.0833333    0             
   2E+07        4.82672      0             2E+07        0            0             2E+07        4.37878      0             2E+07        0            0             2E+07        3.81706      0             2E+07        0            0             5.2E+08      1189.69       0.25         -0.0164759    0.25         0             0.25         0.0322751     0.25         0             0.25         0.0468276     0.25         0             
   3E+07        4.82573      0             3E+07        0            0             3E+07        4.37347      0             3E+07        0            0             3E+07        3.81402      0             3E+07        0            0             5.3E+08      214.087       0.416667     -0.0198045    0.416667     0             0.416667     0.0387254     0.416667     0             0.416667     0.0560706     0.416667     0             
   4E+07        4.83245      0             4E+07        0            0             4E+07        4.3799       0             4E+07        0            0             4E+07        3.8072       0             4E+07        0            0             5.4E+08      229.264       0.583333     -0.0229924    0.583333     0             0.583333     0.0448747     0.583333     0             0.583333     0.0646463     0.583333     0             
   5E+07        4.82972      0             5E+07        0            0             5E+07        4.37569      0             5E+07        0            0             5E+07        3.82037      0             5E+07        0            0             5.5E+08      51.9512       0.75         -0.0261267    0.75         0             0.75         0.0507693     0.75         0             0.75         0.0726418     0.75         0             
   6E+07        4.8228       0             6E+07        0            0             6E+07        4.38645      0             6E+07        0            0             6E+07        3.81798      0             6E+07        0            0             5.6E+08      71.1268       0.916667     -0.0291684    0.916667     0             0.916667     0.0564611     0.916667     0             0.916667     0.0801823     0.916667     0             
   7E+07        4.83315      0             7E+07        0            0             7E+07        4.37597      0             7E+07        0            0             7E+07        3.81174      0             7E+07        0            0             5.7E+08      94.0174       1.08333      -0.0322128    1.08333      0             1.08333      0.0619687     1.08333      0             1.08333      0.0871907     1.08333      0             
   8E+07        4.8267       0             8E+07        0            0             8E+07        4.38709      0             8E+07        0            0             8E+07        3.8173       0             8E+07        0            0             5.8E+08      120.676       1.25         -0.0351634    1.25         0             1.25         0.0672748     1.25         0             1.25         0.0936553     1.25         0             
   9E+07        4.83019      0             9E+07        0            0             9E+07        4.38227      0             9E+07        0            0             9E+07        3.81821      0             9E+07        0            0             5.9E+08      143.577       1.41667      -0.0381313    1.41667      0             1.41667      0.0724171     1.41667      0             1.41667      0.0995802     1.41667      0             
   1E+08        4.82311      0             1E+08        0            0             1E+08        4.38852      0             1E+08        0            0             1E+08        3.81619      0             1E+08        0            0             6E+08        168.314       1.58333      -0.0410637    1.58333      0             1.58333      0.077339      1.58333      0             1.58333      0.10496       1.58333      0             
