# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --eigenvalues 3 --tracks 100000 --inactive 50 --source Histogram\n --Iterations 10 --active 500 --seed 0 --run --bins 120 -f Bins/20mfp-BetterStats-nyx/Histogram/20mfp.b120.dat , seed =\n 33843582
# Arguments: source = Histogram, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats-nyx/Histogram/20mfp.b120.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 120, active = 500, inactive = 50, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26            27           28            29           30            31           32           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1E+06        4.81728      0             1E+06        0            0             1E+06        4.31993      0             1E+06        0            0             1E+06        3.82251      0             1E+06        0            0             5.1E+07      0             0.0833333    0.0129362     0.0833333    0             0.0833333    0.0250116     0.0833333    0             0.0833333    -0.0362195    0.0833333    0             
   2E+06        4.8353       0             2E+06        0            0             2E+06        4.37747      0             2E+06        0            0             2E+06        3.83161      0             2E+06        0            0             5.2E+07      234.728       0.25         0.0166491     0.25         0             0.25         0.032245      0.25         0             0.25         -0.0467798    0.25         0             
   3E+06        4.80001      0             3E+06        0            0             3E+06        4.36778      0             3E+06        0            0             3E+06        3.81236      0             3E+06        0            0             5.3E+07      152.726       0.416667     0.0199372     0.416667     0             0.416667     0.0387346     0.416667     0             0.416667     -0.0560173    0.416667     0             
   4E+06        4.82384      0             4E+06        0            0             4E+06        4.38699      0             4E+06        0            0             4E+06        3.81358      0             4E+06        0            0             5.4E+07      265.592       0.583333     0.0232501     0.583333     0             0.583333     0.044915      0.583333     0             0.583333     -0.0646243    0.583333     0             
   5E+06        4.82553      0             5E+06        0            0             5E+06        4.40672      0             5E+06        0            0             5E+06        3.8147       0             5E+06        0            0             5.5E+07      317.647       0.75         0.0264118     0.75         0             0.75         0.0507921     0.75         0             0.75         -0.0726449    0.75         0             
   6E+06        4.84167      0             6E+06        0            0             6E+06        4.39319      0             6E+06        0            0             6E+06        3.82309      0             6E+06        0            0             5.6E+07      447.93        0.916667     0.029376      0.916667     0             0.916667     0.0564665     0.916667     0             0.916667     -0.0799231    0.916667     0             
   7E+06        4.79136      0             7E+06        0            0             7E+06        4.36099      0             7E+06        0            0             7E+06        3.81336      0             7E+06        0            0             5.7E+07      597.168       1.08333      0.0324191     1.08333      0             1.08333      0.0618183     1.08333      0             1.08333      -0.0869634    1.08333      0             
   8E+06        4.81913      0             8E+06        0            0             8E+06        4.37544      0             8E+06        0            0             8E+06        3.80866      0             8E+06        0            0             5.8E+07      214.908       1.25         0.0355286     1.25         0             1.25         0.0671602     1.25         0             1.25         -0.0934345    1.25         0             
   9E+06        4.83311      0             9E+06        0            0             9E+06        4.38006      0             9E+06        0            0             9E+06        3.79777      0             9E+06        0            0             5.9E+07      220.416       1.41667      0.0384003     1.41667      0             1.41667      0.0723723     1.41667      0             1.41667      -0.0991779    1.41667      0             
   1E+07        4.82415      0             1E+07        0            0             1E+07        4.40011      0             1E+07        0            0             1E+07        3.83291      0             1E+07        0            0             6E+07        267.166       1.58333      0.0413687     1.58333      0             1.58333      0.0773984     1.58333      0             1.58333      -0.104649     1.58333      0             
   1.1E+07      4.83359      0             1.1E+07      0            0             1.1E+07      4.36291      0             1.1E+07      0            0             1.1E+07      3.8091       0             1.1E+07      0            0             6.1E+07      310.724       1.75         0.0442783     1.75         0             1.75         0.0820437     1.75         0             1.75         -0.109426     1.75         0             
   1.2E+07      4.81937      0             1.2E+07      0            0             1.2E+07      4.38581      0             1.2E+07      0            0             1.2E+07      3.81495      0             1.2E+07      0            0             6.2E+07      357.75        1.91667      0.0471252     1.91667      0             1.91667      0.0865357     1.91667      0             1.91667      -0.113543     1.91667      0             
   1.3E+07      4.84408      0             1.3E+07      0            0             1.3E+07      4.38396      0             1.3E+07      0            0             1.3E+07      3.805        0             1.3E+07      0            0             6.3E+07      344.176       2.08333      0.0500421     2.08333      0             2.08333      0.0909735     2.08333      0             2.08333      -0.117303     2.08333      0             
   1.4E+07      4.83365      0             1.4E+07      0            0             1.4E+07      4.38525      0             1.4E+07      0            0             1.4E+07      3.82046      0             1.4E+07      0            0             6.4E+07      381.171       2.25         0.0527823     2.25         0             2.25         0.0950026     2.25         0             2.25         -0.120181     2.25         0             
