# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --eigenvalues 3 --tracks 100000 --inactive 50 --source Histogram\n --Iterations 10 --active 500 --seed 0 --run --bins 90 -f Bins/20mfp-BetterStats-nyx/Histogram/20mfp.b90.dat , seed = 4055130847
# Arguments: source = Histogram, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats-nyx/Histogram/20mfp.b90.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 90, active = 500, inactive = 50, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26            27           28            29           30            31           32           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1E+06        4.83411      0             1E+06        0            0             1E+06        4.34432      0             1E+06        0            0             1E+06        3.82489      0             1E+06        0            0             5.1E+07      0             0.111111     0.0154084     0.111111     0             0.111111     0.0304854     0.111111     0             0.111111     0.0440132     0.111111     0             
   2E+06        4.835        0             2E+06        0            0             2E+06        4.37707      0             2E+06        0            0             2E+06        3.83306      0             2E+06        0            0             5.2E+07      541.617       0.333333     0.0208415     0.333333     0             0.333333     0.0412639     0.333333     0             0.333333     0.0594833     0.333333     0             
   3E+06        4.84154      0             3E+06        0            0             3E+06        4.38547      0             3E+06        0            0             3E+06        3.80859      0             3E+06        0            0             5.3E+07      194.276       0.555556     0.0258456     0.555556     0             0.555556     0.0507895     0.555556     0             0.555556     0.0729433     0.555556     0             
   4E+06        4.83447      0             4E+06        0            0             4E+06        4.38136      0             4E+06        0            0             4E+06        3.83796      0             4E+06        0            0             5.4E+07      149.307       0.777778     0.030568      0.777778     0             0.777778     0.0598833     0.777778     0             0.777778     0.0852349     0.777778     0             
   5E+06        4.83435      0             5E+06        0            0             5E+06        4.35844      0             5E+06        0            0             5E+06        3.83579      0             5E+06        0            0             5.5E+07      148.952       1            0.0353465     1            0             1            0.0685803     1            0             1            0.096622      1            0             
   6E+06        4.8498       0             6E+06        0            0             6E+06        4.40037      0             6E+06        0            0             6E+06        3.82465      0             6E+06        0            0             5.6E+07      169.141       1.22222      0.0400381     1.22222      0             1.22222      0.0768724     1.22222      0             1.22222      0.106877      1.22222      0             
   7E+06        4.84345      0             7E+06        0            0             7E+06        4.38801      0             7E+06        0            0             7E+06        3.8107       0             7E+06        0            0             5.7E+07      212.886       1.44444      0.0444779     1.44444      0             1.44444      0.0847529     1.44444      0             1.44444      0.116035      1.44444      0             
   8E+06        4.83296      0             8E+06        0            0             8E+06        4.39154      0             8E+06        0            0             8E+06        3.83196      0             8E+06        0            0             5.8E+07      171.801       1.66667      0.0488136     1.66667      0             1.66667      0.0923383     1.66667      0             1.66667      0.123887      1.66667      0             
   9E+06        4.83969      0             9E+06        0            0             9E+06        4.39473      0             9E+06        0            0             9E+06        3.81507      0             9E+06        0            0             5.9E+07      186.807       1.88889      0.0532988     1.88889      0             1.88889      0.0995911     1.88889      0             1.88889      0.130715      1.88889      0             
   1E+07        4.81403      0             1E+07        0            0             1E+07        4.35923      0             1E+07        0            0             1E+07        3.81014      0             1E+07        0            0             6E+07        219.124       2.11111      0.0577175     2.11111      0             2.11111      0.106137      2.11111      0             2.11111      0.13607       2.11111      0             
   1.1E+07      4.83579      0             1.1E+07      0            0             1.1E+07      4.4135       0             1.1E+07      0            0             1.1E+07      3.81328      0             1.1E+07      0            0             6.1E+07      241.973       2.33333      0.0618627     2.33333      0             2.33333      0.112316      2.33333      0             2.33333      0.140149      2.33333      0             
   1.2E+07      4.8375       0             1.2E+07      0            0             1.2E+07      4.36831      0             1.2E+07      0            0             1.2E+07      3.83108      0             1.2E+07      0            0             6.2E+07      211.837       2.55556      0.0659876     2.55556      0             2.55556      0.118039      2.55556      0             2.55556      0.143009      2.55556      0             
   1.3E+07      4.83939      0             1.3E+07      0            0             1.3E+07      4.36867      0             1.3E+07      0            0             1.3E+07      3.80214      0             1.3E+07      0            0             6.3E+07      242.685       2.77778      0.0700672     2.77778      0             2.77778      0.123213      2.77778      0             2.77778      0.144426      2.77778      0             
