# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --eigenvalues 3 --tracks 1000000 --inactive 50 --source Linear --Iterations\n 10 --active 500 --seed 0 --run --bins 75 -f Bins/20mfp-BetterStats-nyx/Linear/1E6Tracks/20mfp.b75.dat , seed\n = 1112671160
# Arguments: source = Linear, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats-nyx/Linear/1E6Tracks/20mfp.b75.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 75, active = 500, inactive = 50, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8             9            10            11           12           13            14           15           16            17           18            19           20            21           22           23            24           25           26            27           28            29           30            31           32            33           34            35           36            37           38           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-      FOM-Arnoldi     -| |-   RAM eigenvector-0  -| |-   RAM eigenvector-1  -| |-   RAM eigenvector-2  -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1E+07        4.82979      0             1E+07        0            0             1E+07        4.82979       1E+07        0             1E+07        3.81217      0             1E+07        0            0             1E+07        3.81217       1E+07        0             1E+07        3.02133      0             1E+07        0            0             1E+07        3.02133       1E+07        0             5.1E+08      0             0            -0.00597943   0            0.00736384    0            -0.0074438    
   2E+07        4.82586      0             2E+07        0            0             2E+07        4.82586       2E+07        0             2E+07        4.37193      0             2E+07        0            0             2E+07        4.37193       2E+07        0             2E+07        3.81048      0             2E+07        0            0             2E+07        3.81048       2E+07        0             5.2E+08      1545.01       0.266667     -0.00938027   0.266667     0.011558      0.266667     -0.0116966    
   3E+07        4.82401      0             3E+07        0            0             3E+07        4.82401       3E+07        0             3E+07        4.38598      0             3E+07        0            0             3E+07        4.38598       3E+07        0             3E+07        3.8129       0             3E+07        0            0             3E+07        3.8129        3E+07        0             5.3E+08      2204.9        0.266667     -0.0093165    0.266667     0.0114902     0.266667     -0.0116257    
   4E+07        4.82679      0             4E+07        0            0             4E+07        4.82679       4E+07        0             4E+07        4.38524      0             4E+07        0            0             4E+07        4.38524       4E+07        0             4E+07        3.81343      0             4E+07        0            0             4E+07        3.81343       4E+07        0             5.4E+08      1239.27       0.533333     -0.0122122    0.533333     0.0149887     0.533333     -0.0150876    
   5E+07        4.83163      0             5E+07        0            0             5E+07        4.83163       5E+07        0             5E+07        4.38046      0             5E+07        0            0             5E+07        4.38046       5E+07        0             5E+07        3.81399      0             5E+07        0            0             5E+07        3.81399       5E+07        0             5.5E+08      429.559       0.533333     -0.0121948    0.533333     0.0149946     0.533333     -0.0151021    
   6E+07        4.82837      0             6E+07        0            0             6E+07        4.82837       6E+07        0             6E+07        4.39569      0             6E+07        0            0             6E+07        4.39569       6E+07        0             6E+07        3.82062      0             6E+07        0            0             6E+07        3.82062       6E+07        0             5.6E+08      366.205       0.8          -0.0149578    0.8          0.0182652     0.8          -0.0181964    
   7E+07        4.82816      0             7E+07        0            0             7E+07        4.82816       7E+07        0             7E+07        4.38256      0             7E+07        0            0             7E+07        4.38256       7E+07        0             7E+07        3.81861      0             7E+07        0            0             7E+07        3.81861       7E+07        0             5.7E+08      199.999       0.8          -0.0149599    0.8          0.0182588     0.8          -0.0182075    
   8E+07        4.82848      0             8E+07        0            0             8E+07        4.82848       8E+07        0             8E+07        4.39112      0             8E+07        0            0             8E+07        4.39112       8E+07        0             8E+07        3.81399      0             8E+07        0            0             8E+07        3.81399       8E+07        0             5.8E+08      256.381       1.06667      -0.0176375    1.06667      0.0213796     1.06667      -0.0210055    
   9E+07        4.83554      0             9E+07        0            0             9E+07        4.83554       9E+07        0             9E+07        4.38069      0             9E+07        0            0             9E+07        4.38069       9E+07        0             9E+07        3.8207       0             9E+07        0            0             9E+07        3.8207        9E+07        0             5.9E+08      182.656       1.06667      -0.0176323    1.06667      0.0213884     1.06667      -0.0209869    
   1E+08        4.82674      0             1E+08        0            0             1E+08        4.82674       1E+08        0             1E+08        4.38305      0             1E+08        0            0             1E+08        4.38305       1E+08        0             1E+08        3.82383      0             1E+08        0            0             1E+08        3.82383       1E+08        0             6E+08        221.054       1.33333      -0.0202751    1.33333      0.0243088     1.33333      -0.0235072    
