# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --eigenvalues 3 --tracks 100000 --inactive 50 --source Linear --Iterations\n 10 --active 500 --seed 0 --run --bins 150 -f Bins/20mfp-BetterStats-nyx/Linear/20mfp.b150.dat , seed = 1927528675
# Arguments: source = Linear, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats-nyx/Linear/20mfp.b150.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 150, active = 500, inactive = 50, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8             9            10            11           12           13            14           15           16            17           18            19           20            21           22           23            24           25           26            27           28            29           30            31           32            33           34            35           36            37           38           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-      FOM-Arnoldi     -| |-   RAM eigenvector-0  -| |-   RAM eigenvector-1  -| |-   RAM eigenvector-2  -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1E+06        4.82763      0             1E+06        0            0             1E+06        4.82763       1E+06        0             1E+06        3.86213      0             1E+06        0            0             1E+06        3.86213       1E+06        0             1E+06        2.18096      0             1E+06        0.714958     0             1E+06        2.18096       1E+06        0.714958      5.1E+07      0             0            -0.00309737   0            -0.000692697  0            -0.000128907  
   2E+06        4.72081      0             2E+06        0            0             2E+06        4.72081       2E+06        0             2E+06        3.92056      0             2E+06        0            0             2E+06        3.92056       2E+06        0             2E+06        1.93445      0             2E+06        1.3013       0             2E+06        1.93445       2E+06        1.3013        5.2E+07      3.90535       0.133333     -0.00407829   0.133333     -0.000885887  0.133333     -0.000160568  
   3E+06        4.81327      0             3E+06        0            0             3E+06        4.81327       3E+06        0             3E+06        3.83366      0             3E+06        0            0             3E+06        3.83366       3E+06        0             3E+06        1.02804      0             3E+06        0.369488     0             3E+06        1.02804       3E+06        0.369488      5.3E+07      8.61489       0.133333     -0.00406141   0.133333     -0.000894309  0.133333     -0.000173488  
   4E+06        4.80247      0             4E+06        0            0             4E+06        4.80247       4E+06        0             4E+06        3.62538      0             4E+06        0            0             4E+06        3.62538       4E+06        0             4E+06        1.31541      0             4E+06        0.864711     0             4E+06        1.31541       4E+06        0.864711      5.4E+07      14.5802       0.266667     -0.0048584    0.266667     -0.00106742   0.266667     -0.000165111  
   5E+06        4.79925      0             5E+06        0            0             5E+06        4.79925       5E+06        0             5E+06        3.65802      0             5E+06        0            0             5E+06        3.65802       5E+06        0             5E+06        1.10785      0             5E+06        2.02229      0             5E+06        1.10785       5E+06        2.02229       5.5E+07      19.1433       0.266667     -0.0048846    0.266667     -0.00105279   0.266667     -0.000156379  
   6E+06        4.81542      0             6E+06        0            0             6E+06        4.81542       6E+06        0             6E+06        3.78905      0             6E+06        0            0             6E+06        3.78905       6E+06        0             6E+06        1.15025      0             6E+06        0            0             6E+06        1.15025       6E+06        0             5.6E+07      21.0998       0.4          -0.00563498   0.4          -0.00126011   0.4          -0.00024621   
   7E+06        4.85594      0             7E+06        0            0             7E+06        4.85594       7E+06        0             7E+06        3.75982      0             7E+06        0            0             7E+06        3.75982       7E+06        0             7E+06        1.43966      0             7E+06        0.858937     0             7E+06        1.43966       7E+06        0.858937      5.7E+07      27.198        0.4          -0.00562468   0.4          -0.00123062   0.4          -0.000226094  
   8E+06        4.82576      0             8E+06        0            0             8E+06        4.82576       8E+06        0             8E+06        3.65005      0             8E+06        0            0             8E+06        3.65005       8E+06        0             8E+06        1.33919      0             8E+06        1.18834      0             8E+06        1.33919       8E+06        1.18834       5.8E+07      34.9144       0.533333     -0.00637368   0.533333     -0.00142549   0.533333     -0.000236107  
   9E+06        4.78423      0             9E+06        0            0             9E+06        4.78423       9E+06        0             9E+06        3.78189      0             9E+06        0            0             9E+06        3.78189       9E+06        0             9E+06        1.77932      0             9E+06        0.772021     0             9E+06        1.77932       9E+06        0.772021      5.9E+07      15.5266       0.533333     -0.00637358   0.533333     -0.00140473   0.533333     -0.000259509  
   1E+07        4.82411      0             1E+07        0            0             1E+07        4.82411       1E+07        0             1E+07        3.97552      0             1E+07        0            0             1E+07        3.97552       1E+07        0             1E+07        2.16435      0             1E+07        0            0             1E+07        2.16435       1E+07        0             6E+07        11.69         0.666667     -0.00711523   0.666667     -0.00159166   0.666667     -0.000264089  
   1.1E+07      4.84018      0             1.1E+07      0            0             1.1E+07      4.84018       1.1E+07      0             1.1E+07      3.68251      0             1.1E+07      0            0             1.1E+07      3.68251       1.1E+07      0             1.1E+07      1.5424       0             1.1E+07      1.50142      0             1.1E+07      1.5424        1.1E+07      1.50142       6.1E+07      13.8334       0.666667     -0.00712318   0.666667     -0.00159351   0.666667     -0.000259305  
   1.2E+07      4.82744      0             1.2E+07      0            0             1.2E+07      4.82744       1.2E+07      0             1.2E+07      3.75569      0             1.2E+07      0            0             1.2E+07      3.75569       1.2E+07      0             1.2E+07      1.42777      0             1.2E+07      1.0457       0             1.2E+07      1.42777       1.2E+07      1.0457        6.2E+07      15.249        0.8          -0.00783332   0.8          -0.00175691   0.8          -0.000335809  
   1.3E+07      4.83467      0             1.3E+07      0            0             1.3E+07      4.83467       1.3E+07      0             1.3E+07      3.98182      0             1.3E+07      0            0             1.3E+07      3.98182       1.3E+07      0             1.3E+07      2.0326       0             1.3E+07      0.711833     0             1.3E+07      2.0326        1.3E+07      0.711833      6.3E+07      16.5423       0.8          -0.00784257   0.8          -0.00176394   0.8          -0.000292926  
   1.4E+07      4.77976      0             1.4E+07      0            0             1.4E+07      4.77976       1.4E+07      0             1.4E+07      4.39099      0             1.4E+07      0            0             1.4E+07      4.39099       1.4E+07      0             1.4E+07      1.02358      0             1.4E+07      2.35676      0             1.4E+07      1.02358       1.4E+07      2.35676       6.4E+07      18.7863       0.933333     -0.00853944   0.933333     -0.0019302    0.933333     -0.000328229  
   1.5E+07      4.78239      0             1.5E+07      0            0             1.5E+07      4.78239       1.5E+07      0             1.5E+07      4.30261      0             1.5E+07      0            0             1.5E+07      4.30261       1.5E+07      0             1.5E+07      0.678307     0             1.5E+07      1.85078      0             1.5E+07      0.678307      1.5E+07      1.85078       6.5E+07      20.332        0.933333     -0.0085371    0.933333     -0.0019219    0.933333     -0.000343039  
