# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --eigenvalues 3 --tracks 100000 --inactive 50 --source Linear --Iterations\n 10 --active 500 --seed 0 --run --bins 150 -f Bins/20mfp-BetterStats-nyx/Linear/20mfp.b150.dat , seed = 897422483
# Arguments: source = Linear, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats-nyx/Linear/20mfp.b150.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 150, active = 500, inactive = 50, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-   RAM eigenvector-0  -| |-   RAM eigenvector-1  -| |-   RAM eigenvector-2  -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   100000       4.57329       1E+06        4.42109      0             1E+06        0            0             1E+06        4.42109       1E+06        0             1E+06        3.47521      0             1E+06        0            0             1E+06        3.47521       1E+06        0             1E+06        2.24673      0             1E+06        0            0             1E+06        2.24673       1E+06        0             1E+06        3.23004       1E+06        4.95247       5.1E+07      0             0            0.00284281    0            0.000362317   0            -0.000594196  
   200000       4.8936        2E+06        4.79887      0             2E+06        0            0             2E+06        4.79887       2E+06        0             2E+06        4.23851      0             2E+06        0            0             2E+06        4.23851       2E+06        0             2E+06        1.72826      0             2E+06        0.554566     0             2E+06        1.72826       2E+06        0.554566      2E+06        6.8292        2E+06        4.90056       5.2E+07      2.32341       0.133333     0.00374821    0.133333     0.000504437   0.133333     -0.000769032  
   300000       4.98286       3E+06        4.84539      0             3E+06        0            0             3E+06        4.84539       3E+06        0             3E+06        4.20326      0             3E+06        0            0             3E+06        4.20326       3E+06        0             3E+06        1.45348      0             3E+06        1.16956      0             3E+06        1.45348       3E+06        1.16956       3E+06        10.4234       3E+06        4.9042        5.3E+07      2.99056       0.133333     0.00371664    0.133333     0.000501606   0.133333     -0.000781344  
   400000       4.99994       4E+06        4.77303      0             4E+06        0            0             4E+06        4.77303       4E+06        0             4E+06        3.8615       0             4E+06        0            0             4E+06        3.8615        4E+06        0             4E+06        2.44598      0             4E+06        0            0             4E+06        2.44598       4E+06        0             4E+06        13.9797       4E+06        4.93283       5.4E+07      4.75661       0.266667     0.00448079    0.266667     0.000577547   0.266667     -0.000906179  
   500000       5.00902       5E+06        4.80168      0             5E+06        0            0             5E+06        4.80168       5E+06        0             5E+06        3.85983      0             5E+06        0            0             5E+06        3.85983       5E+06        0             5E+06        1.71099      0             5E+06        0.816931     0             5E+06        1.71099       5E+06        0.816931      5E+06        17.5141       5E+06        4.89908       5.5E+07      6.24677       0.266667     0.00445858    0.266667     0.000589759   0.266667     -0.000903185  
   600000       5.01062       6E+06        4.83018      0             6E+06        0            0             6E+06        4.83018       6E+06        0             6E+06        3.79883      0             6E+06        0            0             6E+06        3.79883       6E+06        0             6E+06        1.55721      0             6E+06        1.87551      0             6E+06        1.55721       6E+06        1.87551       6E+06        21.1583       6E+06        4.91673       5.6E+07      8.16969       0.4          0.00518635    0.4          0.000687032   0.4          -0.00105219   
   700000       5.01064       7E+06        4.79582      0             7E+06        0            0             7E+06        4.79582       7E+06        0             7E+06        3.80683      0             7E+06        0            0             7E+06        3.80683       7E+06        0             7E+06        1.56926      0             7E+06        1.08575      0             7E+06        1.56926       7E+06        1.08575       7E+06        24.8094       7E+06        4.88535       5.7E+07      10.8046       0.4          0.00519594    0.4          0.00068884    0.4          -0.00105886   
   800000       5.01001       8E+06        4.79318      0             8E+06        0            0             8E+06        4.79318       8E+06        0             8E+06        3.63618      0             8E+06        0            0             8E+06        3.63618       8E+06        0             8E+06        1.80573      0             8E+06        0            0             8E+06        1.80573       8E+06        0             8E+06        28.4582       8E+06        4.8571        5.8E+07      13.5854       0.533333     0.00585804    0.533333     0.000760094   0.533333     -0.00118544   
   900000       5.01051       9E+06        4.82346      0             9E+06        0            0             9E+06        4.82346       9E+06        0             9E+06        3.67846      0             9E+06        0            0             9E+06        3.67846       9E+06        0             9E+06        1.27315      0             9E+06        0.92989      0             9E+06        1.27315       9E+06        0.92989       9E+06        32.0777       9E+06        4.8884        5.9E+07      16.3989       0.533333     0.00586569    0.533333     0.00075484    0.533333     -0.0012054    
   1E+06        5.00553       1E+07        4.83697      0             1E+07        0            0             1E+07        4.83697       1E+07        0             1E+07        3.82387      0             1E+07        0            0             1E+07        3.82387       1E+07        0             1E+07        1.16935      0             1E+07        1.29884      0             1E+07        1.16935       1E+07        1.29884       1E+07        35.7487       1E+07        4.79587       6E+07        19.9056       0.666667     0.0065442     0.666667     0.000834093   0.666667     -0.00135868   
