# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldiResearch --verbose 2 --relaxed 0 --width 20 --tracks 5000 --inactive 50 --Iterations 10 --eigenvalues 3 --active\n 150 --seed 0 --run --bins 105 -f Bins/20mfp/20mfp.b105.dat , seed = 3366528090
# Arguments: source = Histogram, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp/20mfp.b105.dat, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 105, active = 150, inactive = 50, tracks = 5000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26            27           28            29           30            31           32           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   50000        4.883714     0             50000        0            0             50000        4.294074     0             50000        0            0             50000        3.818277     0             50000        0            0             2550000      0             0.0952381    0.0140214     0.0952381    0             0.0952381    -0.0261678    0.0952381    0             0.0952381    -0.03931244   0.0952381    0             
   100000       4.840122     0             100000       0            0             100000       4.204716     0             100000       0            0             100000       3.740429     0             100000       0            0             2600000      3.48098       0.2857143    0.0179007     0.2857143    0             0.2857143    -0.03423428   0.2857143    0             0.2857143    -0.05226326   0.2857143    0             
   150000       4.893981     0             150000       0            0             150000       4.497523     0             150000       0            0             150000       3.815646     0             150000       0            0             2650000      7.641124      0.4761905    0.02216774    0.4761905    0             0.4761905    -0.04126935   0.4761905    0             0.4761905    -0.06277848   0.4761905    0             
   200000       4.776653     0             200000       0            0             200000       4.442516     0             200000       0            0             200000       3.974417     0             200000       0            0             2700000      10.03917      0.6666667    0.02603831    0.6666667    0             0.6666667    -0.04924958   0.6666667    0             0.6666667    -0.07405863   0.6666667    0             
   250000       4.74338      0             250000       0            0             250000       4.394202     0             250000       0            0             250000       3.843504     0             250000       0            0             2750000      15.06533      0.8571429    0.0293805     0.8571429    0             0.8571429    -0.05602279   0.8571429    0             0.8571429    -0.08279592   0.8571429    0             
   300000       4.900082     0             300000       0            0             300000       4.260664     0             300000       0            0             300000       3.728442     0             300000       0            0             2800000      21.21337      1.047619     0.03346268    1.047619     0             1.047619     -0.06230954   1.047619     0             1.047619     -0.09060808   1.047619     0             
   350000       4.826183     0             350000       0            0             350000       4.332244     0             350000       0            0             350000       3.891533     0             350000       0            0             2850000      9.772658      1.238095     0.03700599    1.238095     0             1.238095     -0.06891933   1.238095     0             1.238095     -0.09854915   1.238095     0             
   400000       4.944754     0             400000       0            0             400000       4.459995     0             400000       0            0             400000       3.918122     0             400000       0            0             2900000      12.0162       1.428571     0.04100349    1.428571     0             1.428571     -0.07316513   1.428571     0             1.428571     -0.1061415    1.428571     0             
   450000       4.831812     0             450000       0            0             450000       4.36808      0             450000       0            0             450000       3.844226     0             450000       0            0             2950000      10.79787      1.619048     0.04456552    1.619048     0             1.619048     -0.07919537   1.619048     0             1.619048     -0.1128799    1.619048     0             
   500000       4.804459     0             500000       0            0             500000       4.378563     0             500000       0            0             500000       3.75888      0             500000       0            0             3000000      12.99983      1.809524     0.04807668    1.809524     0             1.809524     -0.08403731   1.809524     0             1.809524     -0.1177847    1.809524     0             
   550000       4.86622      0             550000       0            0             550000       4.395468     0             550000       0            0             550000       3.885762     0             550000       0            0             3050000      12.44129      2            0.05065444    2            0             2            -0.08894272   2            0             2            -0.1230621    2            0             
   600000       4.858718     0             600000       0            0             600000       4.416336     0             600000       0            0             600000       3.876136     0             600000       0            0             3100000      12.7297       2.190476     0.05427278    2.190476     0             2.190476     -0.09470445   2.190476     0             2.190476     -0.1278232    2.190476     0             
   650000       4.71503      0             650000       0            0             650000       4.385742     0             650000       0            0             650000       3.847938     0             650000       0            0             3150000      14.62239      2.380952     0.05681585    2.380952     0             2.380952     -0.1002734    2.380952     0             2.380952     -0.1294291    2.380952     0             
   700000       4.809654     0             700000       0            0             700000       4.391854     0             700000       0            0             700000       3.749535     0             700000       0            0             3200000      16.64826      2.571429     0.05997796    2.571429     0             2.571429     -0.1045168    2.571429     0             2.571429     -0.1318238    2.571429     0             
   750000       4.765761     0             750000       0            0             750000       4.354817     0             750000       0            0             750000       3.843223     0             750000       0            0             3250000      15.20052      2.761905     0.0636769     2.761905     0             2.761905     -0.1078042    2.761905     0             2.761905     -0.1322116    2.761905     0             
   800000       4.830498     0             800000       0            0             800000       4.444096     0             800000       0            0             800000       3.802274     0             800000       0            0             3300000      15.21272      2.952381     0.06763464    2.952381     0             2.952381     -0.1114411    2.952381     0             2.952381     -0.1324529    2.952381     0             
   850000       4.733331     0             850000       0            0             850000       4.440547     0             850000       0            0             850000       3.805331     0             850000       0            0             3350000      16.41928      3.142857     0.07021311    3.142857     0             3.142857     -0.1154011    3.142857     0             3.142857     -0.1327983    3.142857     0             
   900000       4.780138     0             900000       0            0             900000       4.4452       0             900000       0            0             900000       3.81007      0             900000       0            0             3400000      18.10803      3.333333     0.07248341    3.333333     0             3.333333     -0.1192583    3.333333     0             3.333333     -0.1300765    3.333333     0             
   950000       4.854676     0             950000       0            0             950000       4.410212     0             950000       0            0             950000       3.840664     0             950000       0            0             3450000      19.86807      3.52381      0.07689349    3.52381      0             3.52381      -0.1211436    3.52381      0             3.52381      -0.1276231    3.52381      0             
   1000000      4.697246     0             1000000      0            0             1000000      4.569328     0             1000000      0            0             1000000      3.832283     0             1000000      0            0             3500000      19.08219      3.714286     0.07981078    3.714286     0             3.714286     -0.1232587    3.714286     0             3.714286     -0.1248137    3.714286     0             
   1050000      4.828929     0             1050000      0            0             1050000      4.483465     0             1050000      0            0             1050000      3.759897     0             1050000      0            0             3550000      20.74457      3.904762     0.08160527    3.904762     0             3.904762     -0.1242819    3.904762     0             3.904762     -0.1200703    3.904762     0             
   1100000      4.723045     0             1100000      0            0             1100000      4.449746     0             1100000      0            0             1100000      3.88164      0             1100000      0            0             3600000      17.59464      4.095238     0.08414374    4.095238     0             4.095238     -0.1258761    4.095238     0             4.095238     -0.1147876    4.095238     0             
   1150000      4.777316     0             1150000      0            0             1150000      4.347254     0             1150000      0            0             1150000      3.858436     0             1150000      0            0             3650000      18.30777      4.285714     0.08823135    4.285714     0             4.285714     -0.1276022    4.285714     0             4.285714     -0.1105204    4.285714     0             
   1200000      4.788722     0             1200000      0            0             1200000      4.48856      0             1200000      0            0             1200000      3.740301     0             1200000      0            0             3700000      19.56677      4.47619      0.09070195    4.47619      0             4.47619      -0.1285691    4.47619      0             4.47619      -0.1043512    4.47619      0             
   1250000      4.949195     0             1250000      0            0             1250000      4.558151     0             1250000      0            0             1250000      3.837425     0             1250000      0            0             3750000      17.08816      4.666667     0.09361894    4.666667     0             4.666667     -0.1300725    4.666667     0             4.666667     -0.09653165   4.666667     0             
   1300000      4.870296     0             1300000      0            0             1300000      4.389889     0             1300000      0            0             1300000      3.873823     0             1300000      0            0             3800000      17.70959      4.857143     0.09591634    4.857143     0             4.857143     -0.1304202    4.857143     0             4.857143     -0.08715936   4.857143     0             
   1350000      4.837196     0             1350000      0            0             1350000      4.381974     0             1350000      0            0             1350000      3.803437     0             1350000      0            0             3850000      15.49554      5.047619     0.09806807    5.047619     0             5.047619     -0.1284693    5.047619     0             5.047619     -0.07927064   5.047619     0             
   1400000      4.741778     0             1400000      0            0             1400000      4.529533     0             1400000      0            0             1400000      3.765042     0             1400000      0            0             3900000      16.41806      5.238095     0.1006462     5.238095     0             5.238095     -0.127561     5.238095     0             5.238095     -0.07087714   5.238095     0             
   1450000      4.88834      0             1450000      0            0             1450000      4.407626     0             1450000      0            0             1450000      3.860114     0             1450000      0            0             3950000      16.84251      5.428571     0.1040364     5.428571     0             5.428571     -0.1269326    5.428571     0             5.428571     -0.06010853   5.428571     0             
   1500000      4.865581     0             1500000      0            0             1500000      4.392201     0             1500000      0            0             1500000      3.864225     0             1500000      0            0             4000000      16.81212      5.619048     0.1054022     5.619048     0             5.619048     -0.1252267    5.619048     0             5.619048     -0.05003446   5.619048     0             
   1550000      4.9035       0             1550000      0            0             1550000      4.352053     0             1550000      0            0             1550000      3.833233     0             1550000      0            0             4050000      17.71023      5.809524     0.1076776     5.809524     0             5.809524     -0.1224769    5.809524     0             5.809524     -0.03818589   5.809524     0             
   1600000      4.957033     0             1600000      0            0             1600000      4.384673     0             1600000      0            0             1600000      3.836272     0             1600000      0            0             4100000      18.64291      6            0.110383      6            0             6            -0.1197836    6            0             6            -0.02843945   6            0             
   1650000      4.828987     0             1650000      0            0             1650000      4.486089     0             1650000      0            0             1650000      3.823093     0             1650000      0            0             4150000      19.10789      6.190476     0.1125601     6.190476     0             6.190476     -0.1161424    6.190476     0             6.190476     -0.01707051   6.190476     0             
   1700000      4.846723     0             1700000      0            0             1700000      4.366748     0             1700000      0            0             1700000      3.818653     0             1700000      0            0             4200000      19.91651      6.380952     0.1133847     6.380952     0             6.380952     -0.1127905    6.380952     0             6.380952     -0.006540103  6.380952     0             
   1750000      4.784111     0             1750000      0            0             1750000      4.376016     0             1750000      0            0             1750000      3.880592     0             1750000      0            0             4250000      20.61149      6.571429     0.1147459     6.571429     0             6.571429     -0.1086135    6.571429     0             6.571429     0.004378837   6.571429     0             
   1800000      4.988944     0             1800000      0            0             1800000      4.396756     0             1800000      0            0             1800000      3.699729     0             1800000      0            0             4300000      17.94939      6.761905     0.1181912     6.761905     0             6.761905     -0.1051013    6.761905     0             6.761905     0.0177021     6.761905     0             
   1850000      4.714391     0             1850000      0            0             1850000      4.331965     0             1850000      0            0             1850000      3.875385     0             1850000      0            0             4350000      18.1123       6.952381     0.1188063     6.952381     0             6.952381     -0.1008015    6.952381     0             6.952381     0.02845873    6.952381     0             
   1900000      4.86267      0             1900000      0            0             1900000      4.397318     0             1900000      0            0             1900000      3.756603     0             1900000      0            0             4400000      18.827        7.142857     0.1214754     7.142857     0             7.142857     -0.09607629   7.142857     0             7.142857     0.03936795    7.142857     0             
   1950000      4.682109     0             1950000      0            0             1950000      4.3886       0             1950000      0            0             1950000      3.859675     0             1950000      0            0             4450000      19.24131      7.333333     0.1238857     7.333333     0             7.333333     -0.09078186   7.333333     0             7.333333     0.05084236    7.333333     0             
   2000000      4.773635     0             2000000      0            0             2000000      4.392944     0             2000000      0            0             2000000      3.766623     0             2000000      0            0             4500000      19.85983      7.52381      0.1234224     7.52381      0             7.52381      -0.08550213   7.52381      0             7.52381      0.06168111    7.52381      0             
   2050000      4.883412     0             2050000      0            0             2050000      4.39643      0             2050000      0            0             2050000      3.885183     0             2050000      0            0             4550000      19.15252      7.714286     0.1253177     7.714286     0             7.714286     -0.08050053   7.714286     0             7.714286     0.07035268    7.714286     0             
   2100000      4.788527     0             2100000      0            0             2100000      4.331411     0             2100000      0            0             2100000      3.8973       0             2100000      0            0             4600000      19.34199      7.904762     0.1261365     7.904762     0             7.904762     -0.07469474   7.904762     0             7.904762     0.07922583    7.904762     0             
   2150000      4.896062     0             2150000      0            0             2150000      4.387456     0             2150000      0            0             2150000      3.79188      0             2150000      0            0             4650000      19.02793      8.095238     0.1269284     8.095238     0             8.095238     -0.06854645   8.095238     0             8.095238     0.08832455    8.095238     0             
   2200000      4.745039     0             2200000      0            0             2200000      4.327419     0             2200000      0            0             2200000      3.836681     0             2200000      0            0             4700000      19.51781      8.285714     0.1285786     8.285714     0             8.285714     -0.06238971   8.285714     0             8.285714     0.09513495    8.285714     0             
   2250000      4.790614     0             2250000      0            0             2250000      4.374193     0             2250000      0            0             2250000      3.752013     0             2250000      0            0             4750000      18.72062      8.47619      0.1286972     8.47619      0             8.47619      -0.05625598   8.47619      0             8.47619      0.1031194     8.47619      0             
   2300000      4.87662      0             2300000      0            0             2300000      4.295318     0             2300000      0            0             2300000      3.766154     0             2300000      0            0             4800000      18.03753      8.666667     0.1300157     8.666667     0             8.666667     -0.04974827   8.666667     0             8.666667     0.1118057     8.666667     0             
   2350000      4.942183     0             2350000      0            0             2350000      4.34381      0             2350000      0            0             2350000      3.895292     0             2350000      0            0             4850000      18.60735      8.857143     0.1308088     8.857143     0             8.857143     -0.04271718   8.857143     0             8.857143     0.1164857     8.857143     0             
   2400000      4.890462     0             2400000      0            0             2400000      4.250913     0             2400000      0            0             2400000      3.861118     0             2400000      0            0             4900000      19.04002      9.047619     0.1314868     9.047619     0             9.047619     -0.03592358   9.047619     0             9.047619     0.120136      9.047619     0             
   2450000      4.780854     0             2450000      0            0             2450000      4.527079     0             2450000      0            0             2450000      3.872781     0             2450000      0            0             4950000      19.6164       9.238095     0.1307201     9.238095     0             9.238095     -0.02800056   9.238095     0             9.238095     0.1248627     9.238095     0             
   2500000      4.711866     0             2500000      0            0             2500000      4.340152     0             2500000      0            0             2500000      3.908554     0             2500000      0            0             5000000      20.14538      9.428571     0.1310393     9.428571     0             9.428571     -0.02174132   9.428571     0             9.428571     0.1282542     9.428571     0             
   2550000      4.810607     0             2550000      0            0             2550000      4.473839     0             2550000      0            0             2550000      3.849971     0             2550000      0            0             5050000      20.72484      9.619048     0.1319261     9.619048     0             9.619048     -0.01433252   9.619048     0             9.619048     0.1307827     9.619048     0             
   2600000      4.854355     0.03093415    2600000      0            0             2600000      4.446288     0.01948193    2600000      0            0             2600000      3.900721     0.03588566    2600000      0            0             5100000      19.40914      9.809524     0.1317814     9.809524     0             9.809524     -0.007998006  9.809524     0             9.809524     0.130994      9.809524     0             
