# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --relaxed 0 --eigenvalues 3 --tracks 500000 --inactive 10 --source Histogram\n --Iterations 30 --active 30 --seed 0 --run --bins 30 -f Bins/50mfp/50mfp.b30.dat , seed = 401997259
# Arguments: source = Histogram, method = explicit, Iterations = 30, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/50mfp/50mfp.b30.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 30, active = 30, inactive = 10, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8             9            10            11           12           13            14           15           16            17           18            19           20            21           22           23            24           25           26            27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| |-      FOM-Arnoldi     -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.5E+07      2.14537      0             1.5E+07      0.79845      0             1.5E+07      2.14537       1.5E+07      0.79845       1.5E+07      2.14537      0             1.5E+07      -0.79845     0             1.5E+07      2.14537       1.5E+07      -0.79845      1.5E+07      1.24336      0             1.5E+07      2.25213      0             1.5E+07      1.24336       1.5E+07      2.25213       1.5E+07      79.6569       0.833333     0.040012      0.833333     0.0121354     0.833333     0.0321311     0.833333     -0.00158389   0.833333     -0.0193876    0.833333     -0.00018671   1.65E+08     0             
   3E+07        1.52828      0             3E+07        0            0             3E+07        1.52828       3E+07        0             3E+07        1.35826      0             3E+07        1.25368      0             3E+07        1.35826       3E+07        1.25368       3E+07        1.35826      0             3E+07        -1.25368     0             3E+07        1.35826       3E+07        -1.25368      3E+07        159.059       2.5          0.0645816     2.5          0.0136214     2.5          0.0432706     2.5          0.00349679    2.5          -0.0535202    2.5          0.0201133     1.8E+08      0.125329      
   4.5E+07      1.82609      0             4.5E+07      0            0             4.5E+07      1.82609       4.5E+07      0             4.5E+07      1.40662      0             4.5E+07      1.45723      0             4.5E+07      1.40662       4.5E+07      1.45723       4.5E+07      1.40662      0             4.5E+07      -1.45723     0             4.5E+07      1.40662       4.5E+07      -1.45723      4.5E+07      239.143       4.16667      0.103201      4.16667      0.0246438     4.16667      0.0765545     4.16667      -0.0105004    4.16667      -0.0741373    4.16667      0.00305305    1.95E+08     0.402978      
   6E+07        1.30738      0             6E+07        0.476343     0             6E+07        1.30738       6E+07        0.476343      6E+07        1.30738      0             6E+07        -0.476343    0             6E+07        1.30738       6E+07        -0.476343     6E+07        0.995913     0             6E+07        0            0             6E+07        0.995913      6E+07        0             6E+07        318.609       5.83333      0.14189       5.83333      0.0391628     5.83333      0.101907      5.83333      -0.0197845    5.83333      -0.0927192    5.83333      0.00552028    2.1E+08      0.159477      
   7.5E+07      1.24987      0             7.5E+07      0.689427     0             7.5E+07      1.24987       7.5E+07      0.689427      7.5E+07      1.24987      0             7.5E+07      -0.689427    0             7.5E+07      1.24987       7.5E+07      -0.689427     7.5E+07      0.997163     0             7.5E+07      0            0             7.5E+07      0.997163      7.5E+07      0             7.5E+07      397.969       7.5          0.155528      7.5          0.035544      7.5          0.10992       7.5          0.00182236    7.5          -0.113435     7.5          0.0290293     2.25E+08     0.11037       
   9E+07        1.49894      0             9E+07        0.940223     0             9E+07        1.49894       9E+07        0.940223      9E+07        1.49894      0             9E+07        -0.940223    0             9E+07        1.49894       9E+07        -0.940223     9E+07        0.996228     0             9E+07        0            0             9E+07        0.996228      9E+07        0             9E+07        477.888       9.16667      0.175386      9.16667      0.0438634     9.16667      0.127385      9.16667      -0.0204794    9.16667      -0.12451      9.16667      0.00759822    2.4E+08      0.317039      
   1.05E+08     1.7793       0             1.05E+08     0.399309     0             1.05E+08     1.7793        1.05E+08     0.399309      1.05E+08     1.7793       0             1.05E+08     -0.399309    0             1.05E+08     1.7793        1.05E+08     -0.399309     1.05E+08     1.28916      0             1.05E+08     1.94511      0             1.05E+08     1.28916       1.05E+08     1.94511       1.05E+08     557.254       10.8333      0.198969      10.8333      0.0460531     10.8333      0.143462      10.8333      0.000887206   10.8333      -0.140357     10.8333      0.0301536     2.55E+08     0.321066      
   1.2E+08      1.43114      0             1.2E+08      0.965902     0             1.2E+08      1.43114       1.2E+08      0.965902      1.2E+08      1.43114      0             1.2E+08      -0.965902    0             1.2E+08      1.43114       1.2E+08      -0.965902     1.2E+08      0.997248     0             1.2E+08      0            0             1.2E+08      0.997248      1.2E+08      0             1.2E+08      636.594       12.5         0.216777      12.5         0.0533695     12.5         0.153349      12.5         -0.0127141    12.5         -0.138668     12.5         0.0211048     2.7E+08      0.216996      
   1.35E+08     1.98947      0             1.35E+08     0            0             1.35E+08     1.98947       1.35E+08     0             1.35E+08     1.36021      0             1.35E+08     1.65746      0             1.35E+08     1.36021       1.35E+08     1.65746       1.35E+08     1.36021      0             1.35E+08     -1.65746     0             1.35E+08     1.36021       1.35E+08     -1.65746      1.35E+08     716.308       14.1667      0.190722      14.1667      0.0428018     14.1667      0.135176      14.1667      -0.0211197    14.1667      -0.144623     14.1667      0.0189141     2.85E+08     0.491695      
   1.5E+08      2.20316      0             1.5E+08      0.9615       0             1.5E+08      2.20316       1.5E+08      0.9615        1.5E+08      2.20316      0             1.5E+08      -0.9615      0             1.5E+08      2.20316       1.5E+08      -0.9615       1.5E+08      1.14093      0             1.5E+08      0            0             1.5E+08      1.14093       1.5E+08      0             1.5E+08      795.877       15.8333      0.216464      15.8333      0.0456096     15.8333      0.153227      15.8333      0.00172365    15.8333      -0.135398     15.8333      0.0220569     3E+08        0.514869      
