# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --relaxed 0 --eigenvalues 3 --tracks 500000 --inactive 10 --source Histogram\n --Iterations 30 --active 30 --seed 0 --run --bins 40 -f Bins/50mfp/50mfp.b40.dat , seed = 4248305764
# Arguments: source = Histogram, method = explicit, Iterations = 30, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/50mfp/50mfp.b40.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 40, active = 30, inactive = 10, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8             9            10            11           12           13            14           15           16            17           18            19           20            21           22           23            24           25           26            27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.5E+07      0.996319     0             1.5E+07      0            0             1.5E+07      0.996319      1.5E+07      0             1.5E+07      0.98895      0             1.5E+07      0            0             1.5E+07      0.98895       1.5E+07      0             1.5E+07      0.978045     0             1.5E+07      0            0             1.5E+07      0.978045      1.5E+07      0             0.625        -0.0265567    0.625        9.94168E-05   0.625        0.03176       0.625        9.94168E-05   0.625        -0.0508341    0.625        0.000178459   1.5E+07      80.5115       1.65E+08     0             
   3E+07        0.996595     0             3E+07        0            0             3E+07        0.996595      3E+07        0             3E+07        0.987926     0             3E+07        0            0             3E+07        0.987926      3E+07        0             3E+07        0.973802     0             3E+07        0            0             3E+07        0.973802      3E+07        0             1.875        -0.0509348    1.875        -0.000278476  1.875        0.0603328     1.875        -0.000278476  1.875        -0.0942445    1.875        0.000339163   3E+07        160.91        1.8E+08      49971.8       
   4.5E+07      0.998079     0             4.5E+07      0            0             4.5E+07      0.998079      4.5E+07      0             4.5E+07      0.989081     0             4.5E+07      0            0             4.5E+07      0.989081      4.5E+07      0             4.5E+07      0.97442      0             4.5E+07      0            0             4.5E+07      0.97442       4.5E+07      0             3.125        -0.0717416    3.125        -0.000350155  3.125        0.0869309     3.125        -0.000350155  3.125        -0.131915     3.125        0.000507407   4.5E+07      241.267       1.95E+08     102673        
   6E+07        0.996723     0             6E+07        0            0             6E+07        0.996723      6E+07        0             6E+07        0.990733     0             6E+07        0            0             6E+07        0.990733      6E+07        0             6E+07        0.974648     0             6E+07        0            0             6E+07        0.974648      6E+07        0             4.375        -0.0932889    4.375        -0.000698208  4.375        0.111862      4.375        -0.000698208  4.375        -0.163698     4.375        0.000639823   6E+07        321.537       2.1E+08      2731.04       
   7.5E+07      0.996397     0             7.5E+07      0            0             7.5E+07      0.996397      7.5E+07      0             7.5E+07      0.987765     0             7.5E+07      0            0             7.5E+07      0.987765      7.5E+07      0             7.5E+07      0.973927     0             7.5E+07      0            0             7.5E+07      0.973927      7.5E+07      0             5.625        -0.112358     5.625        -0.000490713  5.625        0.134204      5.625        -0.000490713  5.625        -0.187542     5.625        0.000773477   7.5E+07      402.305       2.25E+08     7.00899       
   9E+07        0.998358     0             9E+07        0            0             9E+07        0.998358      9E+07        0             9E+07        0.990591     0             9E+07        0            0             9E+07        0.990591      9E+07        0             9E+07        0.975571     0             9E+07        0            0             9E+07        0.975571      9E+07        0             6.875        -0.131691     6.875        -0.000530808  6.875        0.153402      6.875        -0.000530808  6.875        -0.202912     6.875        0.000888495   9E+07        482.147       2.4E+08      9.05072       
   1.05E+08     0.997604     0             1.05E+08     0            0             1.05E+08     0.997604      1.05E+08     0             1.05E+08     0.989631     0             1.05E+08     0            0             1.05E+08     0.989631      1.05E+08     0             1.05E+08     0.973854     0             1.05E+08     0            0             1.05E+08     0.973854      1.05E+08     0             8.125        -0.148684     8.125        -0.00116339   8.125        0.17065       8.125        -0.00116339   8.125        -0.209018     8.125        0.000957457   1.05E+08     562.324       2.55E+08     11.3019       
   1.2E+08      0.997331     0             1.2E+08      0            0             1.2E+08      0.997331      1.2E+08      0             1.2E+08      0.988211     0             1.2E+08      0.0038648    0             1.2E+08      0.988211      1.2E+08      0.0038648     1.2E+08      0.988211     0             1.2E+08      -0.0038648   0             1.2E+08      0.988211      1.2E+08      -0.0038648    9.375        -0.162547     9.375        -0.000434011  9.375        0.183185      9.375        -0.000434011  9.375        -0.205728     9.375        0.00100949    1.2E+08      642.983       2.7E+08      13.9382       
   1.35E+08     0.995995     0             1.35E+08     0            0             1.35E+08     0.995995      1.35E+08     0             1.35E+08     0.988356     0             1.35E+08     0            0             1.35E+08     0.988356      1.35E+08     0             1.35E+08     0.974699     0             1.35E+08     0            0             1.35E+08     0.974699      1.35E+08     0             10.625       -0.172686     10.625       -0.00101748   10.625       0.192088      10.625       -0.00101748   10.625       -0.192324     10.625       0.00102377    1.35E+08     723.529       2.85E+08     16.2844       
   1.5E+08      1.07444      0             1.5E+08      0.261691     0             1.5E+08      1.07444       1.5E+08      0.261691      1.5E+08      1.07444      0             1.5E+08      -0.261691    0             1.5E+08      1.07444       1.5E+08      -0.261691     1.5E+08      0.997387     0             1.5E+08      0            0             1.5E+08      0.997387      1.5E+08      0             11.875       -0.184563     11.875       -0.000409258  11.875       0.196293      11.875       -0.000409258  11.875       -0.171137     11.875       0.00100954    1.5E+08      803.903       3E+08        13.1323       
