# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --relaxed 0 --eigenvalues 3 --tracks 500000 --inactive 10 --source Histogram\n --Iterations 30 --active 30 --seed 0 --run --bins 50 -f Bins/50mfp/50mfp.b50.dat , seed = 311202460
# Arguments: source = Histogram, method = explicit, Iterations = 30, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/50mfp/50mfp.b50.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 50, active = 30, inactive = 10, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4             5            6             7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34           35            36           37           38            39           40            41           42            43           44            45           46           
# |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   0.5          0.01518       0.5          0             0.5          0.0291368     0.5          0             0.5          0.043743      0.5          0             1.5E+07      0.997436     0             1.5E+07      0            0             1.5E+07      0.997436      1.5E+07      0             1.5E+07      0.987865     0             1.5E+07      0            0             1.5E+07      0.987865      1.5E+07      0             1.5E+07      0.975967     0             1.5E+07      0            0             1.5E+07      0.975967      1.5E+07      0             1.5E+07      80.853        1.65E+08     0             
   1.5          0.0272247     1.5          0             1.5          0.0532612     1.5          0             1.5          0.0780187     1.5          0             3E+07        0.995828     0             3E+07        0            0             3E+07        0.995828      3E+07        0             3E+07        0.987987     0             3E+07        0            0             3E+07        0.987987      3E+07        0             3E+07        0.976085     0             3E+07        0            0             3E+07        0.976085      3E+07        0             3E+07        161.603       1.8E+08      9176.88       
   2.5          0.0385558     2.5          0             2.5          0.0757382     2.5          0             2.5          0.108647      2.5          0             4.5E+07      0.998002     0             4.5E+07      0            0             4.5E+07      0.998002      4.5E+07      0             4.5E+07      0.989348     0             4.5E+07      0            0             4.5E+07      0.989348      4.5E+07      0             4.5E+07      0.97495      0             4.5E+07      0            0             4.5E+07      0.97495       4.5E+07      0             4.5E+07      242.405       1.95E+08     17990.3       
   3.5          0.0495369     3.5          0             3.5          0.09723       3.5          0             3.5          0.136221      3.5          0             6E+07        0.996063     0             6E+07        0            0             6E+07        0.996063      6E+07        0             6E+07        0.988928     0             6E+07        0            0             6E+07        0.988928      6E+07        0             6E+07        0.974623     0             6E+07        0            0             6E+07        0.974623      6E+07        0             6E+07        323.023       2.1E+08      12765.5       
   4.5          0.060845      4.5          0             4.5          0.116836      4.5          0             4.5          0.158822      4.5          0             7.5E+07      0.998345     0             7.5E+07      0            0             7.5E+07      0.998345      7.5E+07      0             7.5E+07      0.99024      0             7.5E+07      0            0             7.5E+07      0.99024       7.5E+07      0             7.5E+07      0.974669     0             7.5E+07      0            0             7.5E+07      0.974669      7.5E+07      0             7.5E+07      403.555       2.25E+08     18497.8       
   5.5          0.0724495     5.5          0             5.5          0.135067      5.5          0             5.5          0.17721       5.5          0             9E+07        0.995795     0             9E+07        0            0             9E+07        0.995795      9E+07        0             9E+07        0.98909      0             9E+07        0            0             9E+07        0.98909       9E+07        0             9E+07        0.975592     0             9E+07        0            0             9E+07        0.975592      9E+07        0             9E+07        483.849       2.4E+08      9450.7        
   6.5          0.0835681     6.5          0             6.5          0.150612      6.5          0             6.5          0.189668      6.5          0             1.05E+08     0.997592     0             1.05E+08     0            0             1.05E+08     0.997592      1.05E+08     0             1.05E+08     0.988921     0             1.05E+08     0            0             1.05E+08     0.988921      1.05E+08     0             1.05E+08     0.975363     0             1.05E+08     0            0             1.05E+08     0.975363      1.05E+08     0             1.05E+08     564.466       2.55E+08     12099.7       
   7.5          0.0945362     7.5          0             7.5          0.163227      7.5          0             7.5          0.194509      7.5          0             1.2E+08      0.998459     0             1.2E+08      0            0             1.2E+08      0.998459      1.2E+08      0             1.2E+08      0.989224     0             1.2E+08      0            0             1.2E+08      0.989224      1.2E+08      0             1.2E+08      0.975494     0             1.2E+08      0            0             1.2E+08      0.975494      1.2E+08      0             1.2E+08      644.956       2.7E+08      11681.5       
   8.5          0.105173      8.5          0             8.5          0.174061      8.5          0             8.5          0.193279      8.5          0             1.35E+08     0.997816     0             1.35E+08     0            0             1.35E+08     0.997816      1.35E+08     0             1.35E+08     0.990197     0             1.35E+08     0            0             1.35E+08     0.990197      1.35E+08     0             1.35E+08     0.975725     0             1.35E+08     0            0             1.35E+08     0.975725      1.35E+08     0             1.35E+08     725.675       2.85E+08     13621.4       
   9.5          0.114146      9.5          0             9.5          0.182307      9.5          0             9.5          0.186126      9.5          0             1.5E+08      0.996113     0             1.5E+08      0            0             1.5E+08      0.996113      1.5E+08      0             1.5E+08      0.989585     0             1.5E+08      0            0             1.5E+08      0.989585      1.5E+08      0             1.5E+08      0.97566      0             1.5E+08      0            0             1.5E+08      0.97566       1.5E+08      0             1.5E+08      806.205       3E+08        15974.1       
