# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --multimedia --eigenvalues 2 --tracks 500000 --inactive 25 --source\n Histogram --active 100 --seed 0 --bins 300 --run --Iterations 35 -f Multimedia/Iterations/ArnoldiMulti.I35.dat , seed\n = 2486830873
# Arguments: source = Histogram, Iterations = 35, eigenvalues = 2, relaxed = 0, run = true, filename = Multimedia/Iterations/ArnoldiMulti.I35.dat, multimedia = true, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 300, active = 100, inactive = 25, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10           11            12           13           14            15           16           17            18           19           20            21           22            23           24            25           26           27            28           29           30            31           32            33           34            35           36            37           38            39           40           
# |-  Entropy-Iterations  -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   500000       2.20648       0.015        -0.0684933   0.00265421    0.015        -0.000599241 0.000157821   0.015        0.0259554    0.00685115    0.015        -0.000899306 -8.69798E-05  1.75E+07     0.423929     0             1.75E+07     0.000162419  0             1.75E+07     0.423929      1.75E+07     0.000162419   1.75E+07     0.423929     0             1.75E+07     -0.000162419 0             1.75E+07     0.423929      1.75E+07     -0.000162419  1.75E+07     46.6077       1.75E+07     3.95877       4.55E+08     0             
   1E+06        2.23769       0.045        -0.0751165   0.00291672    0.045        -0.000643157 0.000176665   0.045        0.0284765    0.00750154    0.045        -0.000998679 -9.51822E-05  3.5E+07      0.422957     0             3.5E+07      0.000235079  0             3.5E+07      0.422957      3.5E+07      0.000235079   3.5E+07      0.422957     0             3.5E+07      -0.000235079 0             3.5E+07      0.422957      3.5E+07      -0.000235079  3.5E+07      94.327        3.5E+07      3.9324        4.725E+08    4819.93       
   1.5E+06      2.20848       0.075        -0.0805734   0.00314044    0.075        -0.000599043 0.000170869   0.075        0.0304469    0.00806411    0.075        -0.00102572  -8.76693E-05  5.25E+07     0.424211     0             5.25E+07     0            0             5.25E+07     0.424211      5.25E+07     0             5.25E+07     0.423412     0             5.25E+07     0            0             5.25E+07     0.423412      5.25E+07     0             5.25E+07     141.989       5.25E+07     3.97805       4.9E+08      9401.13       
   2E+06        2.35129       0.105        -0.0855941   0.0033169     0.105        -0.000666899 0.000183332   0.105        0.0323549    0.00855299    0.105        -0.00106938  -9.73838E-05  7E+07        0.424054     0             7E+07        0            0             7E+07        0.424054      7E+07        0             7E+07        0.423483     0             7E+07        0            0             7E+07        0.423483      7E+07        0             7E+07        189.493       7E+07        3.87813       5.075E+08    16412.5       
   2.5E+06      2.30842       0.135        -0.0899995   0.00349927    0.135        -0.000706107 0.000193461   0.135        0.0341852    0.00901123    0.135        -0.00118929  -0.000100531  8.75E+07     0.425699     0             8.75E+07     0            0             8.75E+07     0.425699      8.75E+07     0             8.75E+07     0.423363     0             8.75E+07     0            0             8.75E+07     0.423363      8.75E+07     0             8.75E+07     237.274       8.75E+07     3.92728       5.25E+08     25153.5       
   3E+06        2.5328        0.165        -0.0939341   0.00367126    0.165        -0.000745238 0.000206384   0.165        0.0353695    0.00940686    0.165        -0.00122366  -0.000108955  1.05E+08     0.425085     0             1.05E+08     0            0             1.05E+08     0.425085      1.05E+08     0             1.05E+08     0.423561     0             1.05E+08     0            0             1.05E+08     0.423561      1.05E+08     0             1.05E+08     285.204       1.05E+08     3.914         5.425E+08    28235.2       
   3.5E+06      3.25109       0.195        -0.0980061   0.00381943    0.195        -0.000796443 0.000226852   0.195        0.036937     0.00979925    0.195        -0.00125765  -0.00012067   1.225E+08    0.42397      0             1.225E+08    0            0             1.225E+08    0.42397       1.225E+08    0             1.225E+08    0.4235       0             1.225E+08    0            0             1.225E+08    0.4235        1.225E+08    0             1.225E+08    332.862       1.225E+08    3.98921       5.6E+08      23171.7       
   4E+06        3.5338        0.225        -0.101373    0.00393611    0.225        -0.000787097 0.000226823   0.225        0.0385693    0.0101326     0.225        -0.00127762  -0.000118226  1.4E+08      0.423706     0             1.4E+08      0.00110614   0             1.4E+08      0.423706      1.4E+08      0.00110614    1.4E+08      0.423706     0             1.4E+08      -0.00110614  0             1.4E+08      0.423706      1.4E+08      -0.00110614   1.4E+08      380.657       1.4E+08      3.99563       5.775E+08    26846.5       
   4.5E+06      3.70836       0.255        -0.104796    0.00405815    0.255        -0.000856549 0.000228991   0.255        0.0395072    0.0104719     0.255        -0.00139871  -0.000121689  1.575E+08    0.424654     0             1.575E+08    0            0             1.575E+08    0.424654      1.575E+08    0             1.575E+08    0.4239       0             1.575E+08    0            0             1.575E+08    0.4239        1.575E+08    0             1.575E+08    428.249       1.575E+08    3.88493       5.95E+08     30261.4       
   5E+06        3.86476       0.285        -0.107658    0.00418286    0.285        -0.000830243 0.000234592   0.285        0.040786     0.0107646     0.285        -0.00137787  -0.000121984  1.75E+08     0.423286     0             1.75E+08     0.000637667  0             1.75E+08     0.423286      1.75E+08     0.000637667   1.75E+08     0.423286     0             1.75E+08     -0.000637667 0             1.75E+08     0.423286      1.75E+08     -0.000637667  1.75E+08     475.644       1.75E+08     3.86852       6.125E+08    31052.9       
   5.5E+06      3.83501       0.315        -0.110323    0.00428133    0.315        -0.000880904 0.000253468   0.315        0.041907     0.0110272     0.315        -0.00143957  -0.000131833  1.925E+08    0.425861     0             1.925E+08    0            0             1.925E+08    0.425861      1.925E+08    0             1.925E+08    0.424609     0             1.925E+08    0            0             1.925E+08    0.424609      1.925E+08    0             1.925E+08    523.472       1.925E+08    3.76616       6.3E+08      24427         
