# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --multimedia --eigenvalues 2 --inactive 25 --source Histogram --Iterations\n 10 --active 225 --seed 0 --bins 300 --run --tracks 500000 -f Multimedia/Tracks/ArnoldiEntropy.t500000.dat ,\n seed = 2305859319
# Arguments: source = Histogram, Iterations = 10, eigenvalues = 2, relaxed = 0, run = true, filename = Multimedia/Tracks/ArnoldiEntropy.t500000.dat, multimedia = true, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 300, active = 225, inactive = 25, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10           11            12           13           14            15           16           17            18           19           20            21           22            23           24            25           26           27            28           29           30            31           32            33           34            35           36            37           38            39           40           
# |-  Entropy-Iterations  -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   500000       2.20538       0.015        0.0495436    0.0034327     0.015        0.00173698   4.43797E-05   0.015        0.0664023    0.00236536    0.015        -0.00188498  9.08156E-06   5E+06        0.423525     0             5E+06        0.000265632  0             5E+06        0.423525      5E+06        0.000265632   5E+06        0.423525     0             5E+06        -0.000265632 0             5E+06        0.423525      5E+06        -0.000265632  5E+06        11.5518       5E+06        3.57377       1.3E+08      0             
   1E+06        2.22382       0.045        0.0541638    0.00375469    0.045        0.0019327    4.66167E-05   0.045        0.0726739    0.00259407    0.045        -0.00210445  1.52045E-05   1E+07        0.424795     0             1E+07        0            0             1E+07        0.424795      1E+07        0             1E+07        0.424304     0             1E+07        0            0             1E+07        0.424304      1E+07        0             1E+07        25.0641       1E+07        3.94451       1.35E+08     17009         
   1.5E+06      2.22066       0.075        0.0580918    0.00403007    0.075        0.00206389   4.95553E-05   0.075        0.0780561    0.00279472    0.075        -0.00225081  1.72691E-05   1.5E+07      0.424136     0             1.5E+07      0            0             1.5E+07      0.424136      1.5E+07      0             1.5E+07      0.42391      0             1.5E+07      0            0             1.5E+07      0.42391       1.5E+07      0             1.5E+07      39.0973       1.5E+07      3.80277       1.4E+08      18648.2       
   2E+06        2.30496       0.105        0.0616606    0.00428018    0.105        0.00217378   5.49469E-05   0.105        0.082758     0.00295816    0.105        -0.00236418  1.30749E-05   2E+07        0.425497     0             2E+07        0            0             2E+07        0.425497      2E+07        0             2E+07        0.423093     0             2E+07        0            0             2E+07        0.423093      2E+07        0             2E+07        52.7912       2E+07        4.00331       1.45E+08     31706.6       
   2.5E+06      2.27685       0.135        0.0648259    0.00449825    0.135        0.00226178   5.75347E-05   0.135        0.0869554    0.00311547    0.135        -0.0024848   1.59973E-05   2.5E+07      0.426097     0             2.5E+07      0            0             2.5E+07      0.426097      2.5E+07      0             2.5E+07      0.423866     0             2.5E+07      0            0             2.5E+07      0.423866      2.5E+07      0             2.5E+07      66.3468       2.5E+07      3.89413       1.5E+08      48047.1       
   3E+06        2.54246       0.165        0.0679035    0.004706      0.165        0.00242094   5.62658E-05   0.165        0.0909854    0.00325415    0.165        -0.00261206  1.86997E-05   3E+07        0.426048     0             3E+07        0            0             3E+07        0.426048      3E+07        0             3E+07        0.42407      0             3E+07        0            0             3E+07        0.42407       3E+07        0             3E+07        80.0557       3E+07        3.87531       1.55E+08     66782.7       
   3.5E+06      2.96482       0.195        0.0704565    0.00490284    0.195        0.00251407   6.02234E-05   0.195        0.0946244    0.00337626    0.195        -0.00269641  1.52419E-05   3.5E+07      0.425116     0             3.5E+07      0            0             3.5E+07      0.425116      3.5E+07      0             3.5E+07      0.424323     0             3.5E+07      0            0             3.5E+07      0.424323      3.5E+07      0             3.5E+07      93.9606       3.5E+07      3.95843       1.6E+08      55098.2       
   4E+06        3.43455       0.225        0.0730513    0.00507139    0.225        0.00258854   6.28449E-05   0.225        0.0980482    0.0034992     0.225        -0.00280685  1.82908E-05   4E+07        0.424221     0             4E+07        0            0             4E+07        0.424221      4E+07        0             4E+07        0.423714     0             4E+07        0            0             4E+07        0.423714      4E+07        0             4E+07        107.565       4E+07        3.95792       1.65E+08     66629.6       
   4.5E+06      3.57377       0.255        0.0753062    0.00523556    0.255        0.00272422   6.83022E-05   0.255        0.100957     0.00361103    0.255        -0.00296083  1.63758E-05   4.5E+07      0.425177     0             4.5E+07      0            0             4.5E+07      0.425177      4.5E+07      0             4.5E+07      0.423874     0             4.5E+07      0            0             4.5E+07      0.423874      4.5E+07      0             4.5E+07      121.271       4.5E+07      3.90562       1.7E+08      43506.6       
   5E+06        3.93714       0.285        0.0774298    0.00538449    0.285        0.00277065   7.11305E-05   0.285        0.103893     0.00371889    0.285        -0.00300505  1.37415E-05   5E+07        0.423684     0             5E+07        0            0             5E+07        0.423684      5E+07        0             5E+07        0.422892     0             5E+07        0            0             5E+07        0.422892      5E+07        0             5E+07        134.821       5E+07        3.91138       1.75E+08     52195.6       
   5.5E+06      3.95792       0.315        0.0793656    0.00551177    0.315        0.00283686   6.92149E-05   0.315        0.106528     0.00381315    0.315        -0.00306683  1.83195E-05   5.5E+07      0.425457     0             5.5E+07      0            0             5.5E+07      0.425457      5.5E+07      0             5.5E+07      0.422726     0             5.5E+07      0            0             5.5E+07      0.422726      5.5E+07      0             5.5E+07      148.296       5.5E+07      3.93426       1.8E+08      49324.5       
   6E+06        3.95151       0.345        0.0812738    0.00563367    0.345        0.00286777   7.05052E-05   0.345        0.108818     0.00389212    0.345        -0.00310444  1.75553E-05   6E+07        0.423791     0             6E+07        0            0             6E+07        0.423791      6E+07        0             6E+07        0.423665     0             6E+07        0            0             6E+07        0.423665      6E+07        0             6E+07        161.532       6E+07        4.00869       1.85E+08     57127.5       
   6.5E+06      3.93461       0.375        0.082582     0.00573741    0.375        0.00289988   7.00791E-05   0.375        0.11091      0.00396371    0.375        -0.00313066  1.93721E-05   6.5E+07      0.423918     0             6.5E+07      0.000748056  0             6.5E+07      0.423918      6.5E+07      0.000748056   6.5E+07      0.423918     0             6.5E+07      -0.000748056 0             6.5E+07      0.423918      6.5E+07      -0.000748056  6.5E+07      175.134       6.5E+07      3.89316       1.9E+08      65123.8       
   7E+06        3.93896       0.405        0.0840226    0.00582131    0.405        0.00299067   7.49315E-05   0.405        0.112538     0.00401673    0.405        -0.00325049  1.81195E-05   7E+07        0.424831     0             7E+07        0            0             7E+07        0.424831      7E+07        0             7E+07        0.424142     0             7E+07        0            0             7E+07        0.424142      7E+07        0             7E+07        188.739       7E+07        3.91539       1.95E+08     73123.5       
   7.5E+06      3.92176       0.435        0.0849459    0.00590444    0.435        0.00304622   7.78293E-05   0.435        0.113888     0.0040822     0.435        -0.00333066  1.86851E-05   7.5E+07      0.424871     0             7.5E+07      0            0             7.5E+07      0.424871      7.5E+07      0             7.5E+07      0.424351     0             7.5E+07      0            0             7.5E+07      0.424351      7.5E+07      0             7.5E+07      202.778       7.5E+07      3.98934       2E+08        81403.5       
   8E+06        3.9559        0.465        0.0860666    0.00596398    0.465        0.00301898   7.64701E-05   0.465        0.115124     0.00411618    0.465        -0.00330713  1.9741E-05    8E+07        0.423679     0             8E+07        0            0             8E+07        0.423679      8E+07        0             8E+07        0.423188     0             8E+07        0            0             8E+07        0.423188      8E+07        0             8E+07        216.495       8E+07        3.95735       2.05E+08     88220.8       
   8.5E+06      3.95619       0.495        0.0866596    0.00601446    0.495        0.00307024   7.73976E-05   0.495        0.116069     0.00414897    0.495        -0.00331949  1.5517E-05    8.5E+07      0.424362     0             8.5E+07      0.00039395   0             8.5E+07      0.424362      8.5E+07      0.00039395    8.5E+07      0.424362     0             8.5E+07      -0.00039395  0             8.5E+07      0.424362      8.5E+07      -0.00039395   8.5E+07      230.144       8.5E+07      3.95789       2.1E+08      84061.4       
   9E+06        3.94451       0.525        0.0871416    0.00604995    0.525        0.00305424   7.75721E-05   0.525        0.116807     0.00417019    0.525        -0.00331616  1.66323E-05   9E+07        0.424666     0             9E+07        0            0             9E+07        0.424666      9E+07        0             9E+07        0.424016     0             9E+07        0            0             9E+07        0.424016      9E+07        0             9E+07        243.405       9E+07        3.87279       2.15E+08     61171.4       
   9.5E+06      3.86439       0.555        0.0875779    0.00607748    0.555        0.00309103   7.73013E-05   0.555        0.117352     0.00419756    0.555        -0.00336938  2.01111E-05   9.5E+07      0.424755     0             9.5E+07      0            0             9.5E+07      0.424755      9.5E+07      0             9.5E+07      0.423293     0             9.5E+07      0            0             9.5E+07      0.423293      9.5E+07      0             9.5E+07      257.248       9.5E+07      3.86531       2.2E+08      66683.1       
   1E+07        3.8973        0.585        0.0878023    0.0060893     0.585        0.00309192   7.12762E-05   0.585        0.117437     0.00420018    0.585        -0.0033226   2.22878E-05   1E+08        0.424905     0             1E+08        0            0             1E+08        0.424905      1E+08        0             1E+08        0.423699     0             1E+08        0            0             1E+08        0.423699      1E+08        0             1E+08        270.875       1E+08        3.89439       2.25E+08     72035.5       
   1.05E+07     3.87836       0.615        0.0875845    0.00608149    0.615        0.00312817   7.76108E-05   0.615        0.117335     0.00418888    0.615        -0.0033715   1.63571E-05   1.05E+08     0.425388     0             1.05E+08     0            0             1.05E+08     0.425388      1.05E+08     0             1.05E+08     0.423227     0             1.05E+08     0            0             1.05E+08     0.423227      1.05E+08     0             1.05E+08     284.279       1.05E+08     3.94175       2.3E+08      76874.9       
   1.1E+07      3.87454       0.645        0.0873352    0.00605812    0.645        0.00311468   7.71763E-05   0.645        0.116923     0.00417696    0.645        -0.00336396  1.71383E-05   1.1E+08      0.425329     0             1.1E+08      0            0             1.1E+08      0.425329      1.1E+08      0             1.1E+08      0.42259      0             1.1E+08      0            0             1.1E+08      0.42259       1.1E+08      0             1.1E+08      298.068       1.1E+08      3.94704       2.35E+08     80290.7       
   1.15E+07     3.84085       0.675        0.0869438    0.00602965    0.675        0.0031353    7.78047E-05   0.675        0.116302     0.0041532     0.675        -0.00338118  1.61472E-05   1.15E+08     0.423301     0             1.15E+08     0.00126872   0             1.15E+08     0.423301      1.15E+08     0.00126872    1.15E+08     0.423301     0             1.15E+08     -0.00126872  0             1.15E+08     0.423301      1.15E+08     -0.00126872   1.15E+08     311.991       1.15E+08     3.86369       2.4E+08      85971.9       
   1.2E+07      3.89434       0.705        0.0861839    0.00598094    0.705        0.0030435    7.75877E-05   0.705        0.115336     0.00412456    0.705        -0.00331404  1.67188E-05   1.2E+08      0.424123     0             1.2E+08      0.000196408  0             1.2E+08      0.424123      1.2E+08      0.000196408   1.2E+08      0.424123     0             1.2E+08      -0.000196408 0             1.2E+08      0.424123      1.2E+08      -0.000196408  1.2E+08      325.611       1.2E+08      3.88268       2.45E+08     82795.1       
   1.25E+07     3.8959        0.735        0.0852257    0.00590632    0.735        0.00301691   7.47827E-05   0.735        0.114181     0.00408025    0.735        -0.00326553  1.78219E-05   1.25E+08     0.424065     0             1.25E+08     0            0             1.25E+08     0.424065      1.25E+08     0             1.25E+08     0.423792     0             1.25E+08     0            0             1.25E+08     0.423792      1.25E+08     0             1.25E+08     339.56        1.25E+08     3.96975       2.5E+08      93140.4       
   1.3E+07      3.87552       0.765        0.0841285    0.00584764    0.765        0.00297578   7.17052E-05   0.765        0.112778     0.00403167    0.765        -0.00324018  2.28508E-05   1.3E+08      0.42544      0             1.3E+08      0            0             1.3E+08      0.42544       1.3E+08      0             1.3E+08      0.423994     0             1.3E+08      0            0             1.3E+08      0.423994      1.3E+08      0             1.3E+08      353.366       1.3E+08      3.91375       2.55E+08     97117.3       
   1.35E+07     3.80277       0.795        0.0829995    0.00574782    0.795        0.00293861   6.89878E-05   0.795        0.110965     0.00397795    0.795        -0.00317167  2.10296E-05   1.35E+08     0.424874     0.000400157   1.35E+08     0            0             1.35E+08     0.424309      1.35E+08     0             1.35E+08     0.423461     0.000376762   1.35E+08     0            0             1.35E+08     0.422928      1.35E+08     0             1.35E+08     367.163       1.35E+08     3.97187       2.6E+08      96053.2       
