# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../PowerResearch --verbose 2 --width 20 --multimedia --inactive 1250 --active 1250 --seed 0 --bins 300 --run --tracks 1000000\n -f Multimedia/Tracks/PowerEntropy.t1000000.dat , seed = 2017739346
# Arguments: source = Bank, run = true, filename = Multimedia/Tracks/PowerEntropy.t1000000.dat, multimedia = true, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 300, active = 1250, inactive = 1250, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5             6            7             8            9             10           11            12           13           
# |-            Power values           -| |-   Power raw values   -| |-        Entropy       -| |-      Power-Time      -| |-       FOM-Power      -| |-     Power vector     -| 
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1E+06        0.287855     0             1E+06        0.287855      1E+06        3.40323       1E+06        1.88634       1.251E+09    0             0.015        0.103369      
   2E+06        0.400637     0             2E+06        0.400637      2E+06        3.51193       2E+06        4.41075       1.252E+09    4951.24       0.045        0.113176      
   3E+06        0.419895     0             3E+06        0.419895      3E+06        3.5143        3E+06        7.19099       1.253E+09    8658.18       0.075        0.121495      
   4E+06        0.423488     0             4E+06        0.423488      4E+06        3.51455       4E+06        9.81565       1.254E+09    11224.4       0.105        0.128826      
   5E+06        0.423948     0             5E+06        0.423948      5E+06        3.51499       5E+06        12.4424       1.255E+09    13771.6       0.135        0.135583      
   6E+06        0.424421     0             6E+06        0.424421      6E+06        3.5166        6E+06        15.059        1.256E+09    4773.27       0.165        0.141837      
   7E+06        0.424168     0             7E+06        0.424168      7E+06        3.51773       7E+06        17.6485       1.257E+09    6331.74       0.195        0.147618      
   8E+06        0.424211     0             8E+06        0.424211      8E+06        3.5191        8E+06        20.2446       1.258E+09    6665.94       0.225        0.152814      
   9E+06        0.423845     0             9E+06        0.423845      9E+06        3.52076       9E+06        22.881        1.259E+09    8361.63       0.255        0.157711      
   1E+07        0.424176     0             1E+07        0.424176      1E+07        3.52244       1E+07        25.5285       1.26E+09     10314.8       0.285        0.162029      
   1.1E+07      0.424332     0             1.1E+07      0.424332      1.1E+07      3.52363       1.1E+07      28.1531       1.261E+09    12063.5       0.315        0.166013      
   1.2E+07      0.425061     0             1.2E+07      0.425061      1.2E+07      3.52494       1.2E+07      30.7962       1.262E+09    12138         0.345        0.169585      
   1.3E+07      0.424392     0             1.3E+07      0.424392      1.3E+07      3.52597       1.3E+07      33.4346       1.263E+09    14234.1       0.375        0.172737      
   1.4E+07      0.424353     0             1.4E+07      0.424353      1.4E+07      3.52657       1.4E+07      36.0588       1.264E+09    15737         0.405        0.175444      
   1.5E+07      0.42428      0             1.5E+07      0.42428       1.5E+07      3.52838       1.5E+07      38.683        1.265E+09    11071.7       0.435        0.177823      
   1.6E+07      0.424762     0             1.6E+07      0.424762      1.6E+07      3.53036       1.6E+07      41.3055       1.266E+09    12568.3       0.465        0.17972       
   1.7E+07      0.423186     0             1.7E+07      0.423186      1.7E+07      3.53163       1.7E+07      43.9903       1.267E+09    13647         0.495        0.181178      
   1.8E+07      0.424125     0             1.8E+07      0.424125      1.8E+07      3.53257       1.8E+07      46.6213       1.268E+09    15203.3       0.525        0.182331      
   1.9E+07      0.424188     0             1.9E+07      0.424188      1.9E+07      3.53337       1.9E+07      49.2356       1.269E+09    16521.4       0.555        0.182901      
   2E+07        0.424196     0             2E+07        0.424196      2E+07        3.53386       2E+07        51.8668       1.27E+09     16415.7       0.585        0.183221      
   2.1E+07      0.423824     0             2.1E+07      0.423824      2.1E+07      3.5346        2.1E+07      54.4816       1.271E+09    17274.3       0.615        0.182961      
   2.2E+07      0.42491      0             2.2E+07      0.42491       2.2E+07      3.53555       2.2E+07      57.0912       1.272E+09    18842.4       0.645        0.18234       
   2.3E+07      0.424387     0             2.3E+07      0.424387      2.3E+07      3.53514       2.3E+07      59.7259       1.273E+09    20252.7       0.675        0.181344      
   2.4E+07      0.425195     0             2.4E+07      0.425195      2.4E+07      3.53574       2.4E+07      62.3624       1.274E+09    21728         0.705        0.179858      
   2.5E+07      0.424225     0             2.5E+07      0.424225      2.5E+07      3.53697       2.5E+07      64.9781       1.275E+09    21926.3       0.735        0.177985      
   2.6E+07      0.424501     0             2.6E+07      0.424501      2.6E+07      3.53884       2.6E+07      67.6014       1.276E+09    21800.2       0.765        0.175602      
   2.7E+07      0.424585     0             2.7E+07      0.424585      2.7E+07      3.53952       2.7E+07      70.231        1.277E+09    23397.4       0.795        0.172906      
   2.8E+07      0.424496     0             2.8E+07      0.424496      2.8E+07      3.54126       2.8E+07      72.855        1.278E+09    25112.4       0.825        0.169588      
   2.9E+07      0.425346     0             2.9E+07      0.425346      2.9E+07      3.54185       2.9E+07      75.4851       1.279E+09    26584.5       0.855        0.165859      
   3E+07        0.425197     0             3E+07        0.425197      3E+07        3.54284       3E+07        78.1211       1.28E+09     28212.2       0.885        0.161554      
   3.1E+07      0.424732     0             3.1E+07      0.424732      3.1E+07      3.54318       3.1E+07      80.7573       1.281E+09    25718.5       0.915        0.156679      
   3.2E+07      0.424788     0             3.2E+07      0.424788      3.2E+07      3.54347       3.2E+07      83.3767       1.282E+09    26558.1       0.945        0.151109      
   3.3E+07      0.425096     0             3.3E+07      0.425096      3.3E+07      3.54441       3.3E+07      86.0078       1.283E+09    24919.8       0.975        0.144485      
   3.4E+07      0.424006     0             3.4E+07      0.424006      3.4E+07      3.54412       3.4E+07      88.6148       1.284E+09    25170.6       1.005        0.0463496     
   3.5E+07      0.424312     0             3.5E+07      0.424312      3.5E+07      3.54487       3.5E+07      91.2427       1.285E+09    26116.7       1.035        0             
   3.6E+07      0.424077     0             3.6E+07      0.424077      3.6E+07      3.5465        3.6E+07      93.8803       1.286E+09    27128.6       1.065        0             
   3.7E+07      0.423409     0             3.7E+07      0.423409      3.7E+07      3.54811       3.7E+07      96.5253       1.287E+09    27997.5       1.095        0             
   3.8E+07      0.424261     0             3.8E+07      0.424261      3.8E+07      3.54879       3.8E+07      99.1646       1.288E+09    29353.4       1.125        0             
   3.9E+07      0.423928     0             3.9E+07      0.423928      3.9E+07      3.55024       3.9E+07      101.817       1.289E+09    30097.4       1.155        0             
   4E+07        0.423419     0             4E+07        0.423419      4E+07        3.55083       4E+07        104.434       1.29E+09     31502.4       1.185        0             
   4.1E+07      0.425126     0             4.1E+07      0.425126      4.1E+07      3.55216       4.1E+07      107.061       1.291E+09    33054.3       1.215        0             
   4.2E+07      0.42444      0             4.2E+07      0.42444       4.2E+07      3.55307       4.2E+07      109.687       1.292E+09    34640         1.245        0             
   4.3E+07      0.424326     0             4.3E+07      0.424326      4.3E+07      3.55402       4.3E+07      112.31        1.293E+09    35944.8       1.275        0             
   4.4E+07      0.423808     0             4.4E+07      0.423808      4.4E+07      3.55456       4.4E+07      114.933       1.294E+09    37028.6       1.305        0             
   4.5E+07      0.424311     0             4.5E+07      0.424311      4.5E+07      3.55707       4.5E+07      117.565       1.295E+09    38700.8       1.335        0             
   4.6E+07      0.423339     0             4.6E+07      0.423339      4.6E+07      3.55854       4.6E+07      120.196       1.296E+09    39115.9       1.365        0             
   4.7E+07      0.425271     0             4.7E+07      0.425271      4.7E+07      3.55929       4.7E+07      122.791       1.297E+09    40780.1       1.395        0             
   4.8E+07      0.424569     0             4.8E+07      0.424569      4.8E+07      3.5601        4.8E+07      125.377       1.298E+09    40153.1       1.425        0             
   4.9E+07      0.424189     0             4.9E+07      0.424189      4.9E+07      3.56133       4.9E+07      127.956       1.299E+09    41397.2       1.455        0             
   5E+07        0.424579     0             5E+07        0.424579      5E+07        3.56232       5E+07        130.534       1.3E+09      42624.4       1.485        0             
   5.1E+07      0.423727     0             5.1E+07      0.423727      5.1E+07      3.56387       5.1E+07      133.117       1.301E+09    44164.7       1.515        0             
   5.2E+07      0.424403     0             5.2E+07      0.424403      5.2E+07      3.56505       5.2E+07      135.7         1.302E+09    45860.3       1.545        0             
   5.3E+07      0.424832     0             5.3E+07      0.424832      5.3E+07      3.56645       5.3E+07      138.285       1.303E+09    46613.7       1.575        0             
   5.4E+07      0.424068     0             5.4E+07      0.424068      5.4E+07      3.56718       5.4E+07      140.872       1.304E+09    46100.1       1.605        0             
   5.5E+07      0.423959     0             5.5E+07      0.423959      5.5E+07      3.56946       5.5E+07      143.461       1.305E+09    47704.2       1.635        0             
   5.6E+07      0.424516     0             5.6E+07      0.424516      5.6E+07      3.56941       5.6E+07      146.064       1.306E+09    49184.3       1.665        0             
   5.7E+07      0.424209     0             5.7E+07      0.424209      5.7E+07      3.5713        5.7E+07      148.665       1.307E+09    48786.6       1.695        0             
   5.8E+07      0.423903     0             5.8E+07      0.423903      5.8E+07      3.57339       5.8E+07      151.269       1.308E+09    48741.8       1.725        0             
   5.9E+07      0.424593     0             5.9E+07      0.424593      5.9E+07      3.57394       5.9E+07      153.872       1.309E+09    50229.2       1.755        0             
   6E+07        0.424818     0             6E+07        0.424818      6E+07        3.57492       6E+07        156.478       1.31E+09     51895         1.785        0             
   6.1E+07      0.423944     0             6.1E+07      0.423944      6.1E+07      3.5765        6.1E+07      159.071       1.311E+09    53185.6       1.815        0             
   6.2E+07      0.424328     0             6.2E+07      0.424328      6.2E+07      3.57819       6.2E+07      161.682       1.312E+09    53726.2       1.845        0             
   6.3E+07      0.423533     0             6.3E+07      0.423533      6.3E+07      3.57883       6.3E+07      164.293       1.313E+09    55426.2       1.875        0             
   6.4E+07      0.424857     0             6.4E+07      0.424857      6.4E+07      3.58138       6.4E+07      166.901       1.314E+09    56401.3       1.905        0             
   6.5E+07      0.423907     0             6.5E+07      0.423907      6.5E+07      3.58255       6.5E+07      169.51        1.315E+09    57867.5       1.935        0             
   6.6E+07      0.423881     0             6.6E+07      0.423881      6.6E+07      3.58322       6.6E+07      172.123       1.316E+09    58126.9       1.965        0             
