# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldivsPower --verbose 1 --numValues 2 --inactive 5 --incycles 20 --storevectors 0 --width 100 --tol 2.22045e-16 --arnoldimethod\n explicit --power --relaxed 0.0 --residual --tracks 10000000 --active 25 --acycles 200 --evectors 2 --evalues\n 2 --seed 3676908131 --Iterations 30 -r --bins 50 -f Bins/100mfp.10M.b50.dat  seed = 3676908131
# filename = Bins/100mfp.10M.b50.dat, run = true, power = false, Arnoldi = true, storevectors = 0, raw = false, evectors = 2, evalues = 2, residual = true, arnoldimethod = explicit, tol = 2.22045e-16, verbose = 1, seed = 3676908131, width = 100, bins = 50, acycles = 200, incycles = 20, active = 25, inactive = 5, Iterations = 30, numValues = 2, relaxed = 0, tracks = 10000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14            15           16            17           18           19            20           21           22            23           24           25            26           27           28           
# |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-     Residual-Real    -| |-     Residual-Imag    -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   1            -0.0088467   0.011329      1            -0.0044442   0.00021329    1            0.024046     0.010391      1            0.0098906    -0.0014712    3E+08        3.0844        3E+08        0             3E+08        2.1729       0             3E+08        1.1879       0             3E+08        2.1729       0             3E+08        -1.1879      0             
   3            0.0019842    0.022668      3            0.0072601    0.0024088     3            0.060148     0.018465      3            -0.011484    -0.0010849    6E+08        3.0964        6E+08        0             6E+08        2.5483       0             6E+08        4.9033E-16   0             6E+08        2.2275       0             6E+08        1.5673       0             
   5            0.025927     0.017741      5            -0.0040519   -0.0006729    5            0.053746     0.013595      5            -0.00040107  0.0023069     9E+08        2.8271        9E+08        0             9E+08        2.2268       0             9E+08        0.91512      0             9E+08        2.2268       0             9E+08        -0.91512     0             
   7            0.1255       0.021087      7            0.0026819    0.0045397     7            0.069105     0.025865      7            0.011287     -0.00025934   1.2E+09      2.5479        1.2E+09      0             1.2E+09      2.0683       0             1.2E+09      -0.85773     0             1.2E+09      2.0683       0             1.2E+09      0.85773      0             
   9            0.062653     0.021318      9            0.011963     0.0044867     9            0.066782     0.015487      9            -0.023132    -0.0025422    1.5E+09      2.037         1.5E+09      0             1.5E+09      1.9617       0             1.5E+09      0.57828      0             1.5E+09      1.9617       0             1.5E+09      -0.57828     0             
   11           0.047848     0.014086      11           -0.00029046  -0.00082309   11           0.083143     0.0037377     11           0.0045315    -0.00044723   1.8E+09      1.331         1.8E+09      0             1.8E+09      1.7243       0             1.8E+09      5.9674E-16   0             1.8E+09      1.3365       0             1.8E+09      1.3046E-16   0             
   13           0.12158      0.013092      13           0.0091384    0.0047533     13           0.11085      0.0083804     13           -0.015873    -0.010764     2.1E+09      1.3253        2.1E+09      0             2.1E+09      1.7371       0.0090022     2.1E+09      -1.5215E-15  -1.4978E-15   2.1E+09      1.5035       0.11809       2.1E+09      2.3826E-15   1.5925E-15    
   15           0.099096     0.013955      15           -0.00064475  -7.3634E-05   15           0.10397      0.010549      15           0.00088899   -0.00051245   2.4E+09      1.5           2.4E+09      0             2.4E+09      1.6674       0.056879      2.4E+09      0.17544      -0.14314      2.4E+09      1.5118       0.0080343     2.4E+09      -0.17544     -0.11975      
   17           0.13804      0.0093738     17           0.011606     0.0022964     17           0.13975      2.2523E-05    17           -0.0077669   -0.0086559    2.7E+09      1.3866        2.7E+09      0             2.7E+09      1.6818       0.039635      2.7E+09      0.20289      -0.10811      2.7E+09      1.565        0.019765      2.7E+09      -0.20289     -0.082828     
   19           0.10181      0.027817      19           0.0005452    0.0022354     19           0.13989      0.015646      19           -0.010653    -0.0017499    3E+09        2.486         3E+09        0             3E+09        1.7649       0.042745      3E+09        0.31901      0.11646       3E+09        1.6715       0.091611      3E+09        -0.31901     -0.11939      
