# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldivsPower --verbose 1 --numValues 2 --inactive 5 --incycles 20 --storevectors 0 --width 100 --tol 2.22045e-16 --arnoldimethod\n explicit --power --relaxed 0.0 --residual --tracks 1000000 --active 25 --acycles 200 --evectors 2 --evalues\n 2 --seed 3676908131 --Iterations 30 -r --bins 50 -f Bins/100mfp.b50.dat  seed = 3676908131
# filename = Bins/100mfp.b50.dat, run = true, power = false, Arnoldi = true, storevectors = 0, raw = false, evectors = 2, evalues = 2, residual = true, arnoldimethod = explicit, tol = 2.22045e-16, verbose = 1, seed = 3676908131, width = 100, bins = 50, acycles = 200, incycles = 20, active = 25, inactive = 5, Iterations = 30, numValues = 2, relaxed = 0, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14            15           16            17           18           19            20           21           22            23           24           25            26           27           28           
# |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-     Residual-Real    -| |-     Residual-Imag    -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   1            0.013214     0.0091824     1            0.014607     9.508E-05     1            0.014241     0.0087789     1            -0.015717    -5.526E-05    3E+07        2.9978        3E+07        0             3E+07        2.153        0             3E+07        -1.1547      0             3E+07        2.153        0             3E+07        1.1547       0             
   3            0.028775     0.010562      3            -0.016693    -0.0024075    3            0.024985     0.0080293     3            0.02082      0.0045261     6E+07        3.2122        6E+07        0             6E+07        2.1966       0             6E+07        -1.2954      0             6E+07        2.1966       0             6E+07        1.2954       0             
   5            0.048508     0.0088856     5            0.0085195    0.0028327     5            0.049246     0.0074632     5            -0.012993    -0.0020816    9E+07        3.0906        9E+07        0             9E+07        2.1324       0             9E+07        1.2515       0             9E+07        2.1324       0             9E+07        -1.2515      0             
   7            0.072666     0.0088283     7            -0.0035298   -0.0012882    7            0.067864     0.002273      7            0.005249     0.0024156     1.2E+08      2.8355        1.2E+08      0             1.2E+08      2.1678       0             1.2E+08      0.98958      0             1.2E+08      2.1678       0             1.2E+08      -0.98958     0             
   9            0.075504     0.0042148     9            -0.002673    0.0028696     9            0.074296     0.001635      9            -0.0020944   -0.0014782    1.5E+08      2.6623        1.5E+08      0             1.5E+08      2.1758       0             1.5E+08      0.84588      0             1.5E+08      2.1758       0             1.5E+08      -0.84588     0             
   11           0.10387      0.0021861     11           -0.0018803   0.0041004     11           0.098852     0.0022768     11           0.0011479    -0.0087537    1.8E+08      2.9003        1.8E+08      0             1.8E+08      2.2122       0             1.8E+08      0.9931       0             1.8E+08      2.2122       0             1.8E+08      -0.9931      0             
   13           0.11931      0.0023812     13           -0.010006    -0.0062039    13           0.11454      2.2899E-05    13           0.0074839    -0.01017      2.1E+08      1.8915        2.1E+08      0             2.1E+08      2.0462       0.11739       2.1E+08      0.22411      0.54375       2.1E+08      2.0462       0.11739       2.1E+08      -0.22411     -0.54375      
   15           0.12394      0.0038652     15           0.0059605    0.0070068     15           0.11985      0.0040811     15           -0.0070602   -0.0074489    2.4E+08      2.6094        2.4E+08      0             2.4E+08      2.0719       0.079763      2.4E+08      0.4339       0.40068       2.4E+08      2.0719       0.079763      2.4E+08      -0.4339      -0.40068      
   17           0.15088      0.0033569     17           -0.015278    -0.0084549    17           0.14497      0.00098069    17           0.0089213    0.011606      2.7E+08      0.65029       2.7E+08      0             2.7E+08      1.8891       0.1137        2.7E+08      0.32543      0.28886       2.7E+08      1.8277       0.20153       2.7E+08      -0.044514    -0.44309      
   19           0.13973      0.0069009     19           -0.0060651   -0.0059264    19           0.13318      0.0038672     19           0.0081523    0.009726      3E+08        2.5812        3E+08        0             3E+08        1.9696       0.075947      3E+08        0.26034      0.2216        3E+08        1.8825       0.1621        3E+08        -0.31145     -0.42488      
   21           0.14209      0.00067359    21           -0.0016103   -0.0099534    21           0.13946      0.0019231     21           -0.005455    0.010426      3.3E+08      2.7754        3.3E+08      0             3.3E+08      1.9832       0.059876      3.3E+08      0.39522      0.22065       3.3E+08      1.9106       0.13651       3.3E+08      -0.43781     -0.37203      
   23           0.14315      0.0054612     23           -0.0085866   -0.006012     23           0.1363       0.00021151    23           0.0052171    -0.011575     3.6E+08      2.8283        3.6E+08      0             3.6E+08      2.0008       0.024843      3.6E+08      0.18849      0.2648        3.6E+08      1.9386       0.088         3.6E+08      -0.225       -0.3659       
   25           0.12261      0.002704      25           -0.0059773   -0.00704      25           0.11909      0.0029886     25           0.0026546    0.0073332     3.9E+08      2.4094        3.9E+08      0             3.9E+08      2.0288       0.019305      3.9E+08      0.16493      0.23106       3.9E+08      1.9628       0.079918      3.9E+08      -0.36182     -0.34472      
   27           0.13795      0.00070999    27           -0.0077697   -0.0065667    27           0.13131      0.00034634    27           0.010032     -0.012677     4.2E+08      2.9437        4.2E+08      0             4.2E+08      2.044        0.0067306     4.2E+08      0.025412     0.24296       4.2E+08      1.9854       0.054753      4.2E+08      -0.20042     -0.33844      
   29           0.14983      0.00038099    29           -0.005156    0.0099173     29           0.14802      0.0025951     29           -0.0080206   0.013195      4.5E+08      2.3244        4.5E+08      0             4.5E+08      2.0476       0.0047834     4.5E+08      -0.046092    0.22889       4.5E+08      1.9948       0.045202      4.5E+08      -0.11142     -0.31535      
   31           0.16206      0.0030387     31           -0.0065517   -0.0071916    31           0.1538       0.0001798     31           0.011249     0.017631      4.8E+08      2.7819        4.8E+08      0             4.8E+08      2.0583       0.0079073     4.8E+08      0.04371      0.22488       4.8E+08      2.0103       0.043457      4.8E+08      -0.1869      -0.29555      
   33           0.12184      0.0040735     33           -0.0030383   -0.00083085   33           0.11891      0.0037589     33           -0.0045283   0.0049937     5.1E+08      1.7653        5.1E+08      0             5.1E+08      2.0379       0.011246      5.1E+08      -0.002775    0.21016       5.1E+08      1.9939       0.042203      5.1E+08      -0.12848     -0.27654      
   35           0.15724      0.00015195    35           -0.0069763   0.0076089     35           0.15212      0.00090064    35           0.0082716    -0.013101     5.4E+08      2.8431        5.4E+08      0             5.4E+08      2.0461       0.0067763     5.4E+08      -0.081881    0.20805       5.4E+08      2.0056       0.033488      5.4E+08      -0.03928     -0.2683       
   37           0.13562      0.0037306     37           -0.0088957   -0.0042409    37           0.13025      0.0011034     37           0.002491     0.007018      5.7E+08      3.1663        5.7E+08      0             5.7E+08      2.0554       0.00229       5.7E+08      -0.16771     0.20987       5.7E+08      2.0177       0.025281      5.7E+08      0.055199     -0.26437      
   39           0.14586      0.00086542    39           -0.0063707   -0.011321     39           0.14189      0.00063571    39           0.0070077    0.011612      6E+08        2.414         6E+08        0             6E+08        2.0555       0.0020761     6E+08        -0.20728     0.19958       6E+08        2.0203       0.022753      6E+08        0.10228      -0.25081      
