# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldivsPower --verbose 2 --numValues 2 --inactive 2 --incycles 20 --storevectors 0 --width 50 --tol 2.22045e-16\n --arnoldimethod explicit --power --relaxed 0.1 --residual --active 50 --acycles 200 --evectors 2 --evalues 2 --seed 0 --Iterations 10 --bins 75 -r --tracks 1000000 -f RelaxedTracks/50mfp.t1000000.dat  seed = 2947104327
# filename = RelaxedTracks/50mfp.t1000000.dat, run = true, power = false, Arnoldi = true, storevectors = 0, raw = false, evectors = 2, evalues = 2, residual = true, arnoldimethod = explicit, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, acycles = 200, incycles = 20, active = 50, inactive = 2, Iterations = 10, numValues = 2, relaxed = 0.1, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14            15           16            17           18           19            20           21           22            23           24           25            26           27           28           
# |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-     Residual-Real    -| |-     Residual-Imag    -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   0.33333      0.0064276    0.0010754     0.33333      -0           0             0.33333      -0.014598    0.0028064     0.33333      0            0             1E+07        0.0042407     1E+07        0             1E+07        0.9978       0             1E+07        0            0             1E+07        0.97257      0             1E+07        0            0             
   1            0.01049      0.0017647     1            -0           0             1            -0.024612    0.0046396     1            0            0             2E+07        0.0054085     2E+07        0             2E+07        0.99743      0             2E+07        0            0             2E+07        0.97672      0             2E+07        0            0             
   1.6667       0.014441     0.0025012     1.6667       -0           0             1.6667       -0.034193    0.006233      1.6667       0            0             2.3175E+07   0.0028878     2.3175E+07   0             2.3175E+07   0.99853      0             2.3175E+07   -0           0             2.3175E+07   0.97621      0             2.3175E+07   -0           0             
   2.3333       0.018822     0.0031624     2.3333       -0           0             2.3333       -0.04286     0.0079026     2.3333       0            0             2.6111E+07   0.001644      2.6111E+07   0             2.6111E+07   0.99775      0.00054974    2.6111E+07   -0           0             2.6111E+07   0.97607      9.5396E-05    2.6111E+07   -0           0             
   3            0.022674     0.0037576     3            -0           0             3            -0.050537    0.0093997     3            0            0             2.9129E+07   0.0057459     2.9129E+07   0             2.9129E+07   0.99741      0.00046032    2.9129E+07   -0           0             2.9129E+07   0.97771      0.0013395     2.9129E+07   -0           0             
   3.6667       0.027406     0.0043436     3.6667       -0           0             3.6667       -0.057091    0.010877      3.6667       0            0             3.211E+07    0.0046337     3.211E+07    0             3.211E+07    0.99689      0.00056999    3.211E+07    -0           0             3.211E+07    0.97815      0.001074      3.211E+07    -0           0             
   4.3333       0.031554     0.0049731     4.3333       -0           0             4.3333       -0.062622    0.012341      4.3333       0            0             3.5559E+07   0.022414      3.5559E+07   0             3.5559E+07   0.99652      0.00056148    3.5559E+07   -0           0             3.5559E+07   0.97921      0.0012813     3.5559E+07   -0           0             
   5            0.0364       0.0054431     5            -0           0             5            -0.066639    0.013747      5            0            0             3.837E+07    0.0036627     3.837E+07    0             3.837E+07    0.99619      0.00055691    3.837E+07    -0           0             3.837E+07    0.97936      0.0010763     3.837E+07    -0           0             
   5.6667       0.041598     0.0059212     5.6667       -0           0             5.6667       -0.069502    0.014869      5.6667       0            0             4.1621E+07   0.010539      4.1621E+07   0             4.1621E+07   0.99619      0.00047736    4.1621E+07   -0           0             4.1621E+07   0.9798       0.001009      4.1621E+07   -0           0             
   6.3333       0.045896     0.0063453     6.3333       -0           0             6.3333       -0.070996    0.01587       6.3333       0            0             4.4523E+07   0.0067534     4.4523E+07   0             4.4523E+07   0.9957       0.0006199     4.4523E+07   -0           0             4.4523E+07   0.98005      0.00091328    4.4523E+07   -0           0             
   7            0.050637     0.0068503     7            -0           0             7            -0.071044    0.016837      7            0            0             4.7609E+07   0.0021614     4.7609E+07   0             4.7609E+07   0.99579      0.00055741    4.7609E+07   -0           0             4.7609E+07   0.97961      0.00091039    4.7609E+07   -0           0             
   7.6667       0.055263     0.0073348     7.6667       -0           0             7.6667       -0.070718    0.017334      7.6667       0            0             5.0532E+07   0.0012906     5.0532E+07   0             5.0532E+07   0.99586      0.00050693    5.0532E+07   -0           0             5.0532E+07   0.97932      0.00086441    5.0532E+07   -0           0             
   8.3333       0.059979     0.0076647     8.3333       -0           0             8.3333       -0.068203    0.017781      8.3333       0            0             5.3479E+07   0.0014148     5.3479E+07   0             5.3479E+07   0.99589      0.00046155    5.3479E+07   -0           0             5.3479E+07   0.97912      0.00080834    5.3479E+07   -0           0             
   9            0.064827     0.0078489     9            -0           0             9            -0.065188    0.018158      9            0            0             5.6496E+07   0.0025436     5.6496E+07   0             5.6496E+07   0.99591      0.0004237     5.6496E+07   -0           0             5.6496E+07   0.97903      0.00074641    5.6496E+07   -0           0             
   9.6667       0.069145     0.0079749     9.6667       -0           0             9.6667       -0.060134    0.018309      9.6667       0            0             5.9477E+07   0.004755      5.9477E+07   0             5.9477E+07   0.99605      0.00041347    5.9477E+07   -0           0             5.9477E+07   0.97906      0.00068948    5.9477E+07   -0           0             
   10.333       0.073067     0.0080743     10.333       -0           0             10.333       -0.055178    0.01816       10.333       0            0             6.2617E+07   0.0047028     6.2617E+07   0             6.2617E+07   0.99622      0.00041685    6.2617E+07   -0           0             6.2617E+07   0.97901      0.00064199    6.2617E+07   -0           0             
   11           0.076974     0.008092      11           -0           0             11           -0.048328    0.018173      11           0            0             6.5526E+07   0.0028788     6.5526E+07   0             6.5526E+07   0.99627      0.00039182    6.5526E+07   -0           0             6.5526E+07   0.97901      0.00059922    6.5526E+07   -0           0             
   11.667       0.081127     0.008062      11.667       -0           0             11.667       -0.040295    0.017884      11.667       0            0             6.8645E+07   0.016063      6.8645E+07   0             6.8645E+07   0.99631      0.00036962    6.8645E+07   -0           0             6.8645E+07   0.97955      0.00076334    6.8645E+07   -0           0             
   12.333       0.085872     0.007851      12.333       -0           0             12.333       -0.029774    0.017312      12.333       0            0             7.156E+07    0.0078514     7.156E+07    0             7.156E+07    0.99633      0.0003482     7.156E+07    -0           0             7.156E+07    0.97968      0.00072971    7.156E+07    -0           0             
   13           0.089918     0.0077126     13           -0           0             13           -0.018975    0.01654       13           0            0             7.4555E+07   0.0076997     7.4555E+07   0             7.4555E+07   0.99638      0.00033308    7.4555E+07   -0           0             7.4555E+07   0.97982      0.00070217    7.4555E+07   -0           0             
   13.667       0.094308     0.0075946     13.667       -0           0             13.667       -0.0082503   0.015957      13.667       0            0             7.745E+07    0.0043859     7.745E+07    0             7.745E+07    0.99648      0.00033037    7.745E+07    -0           0             7.745E+07    0.97987      0.0006673     7.745E+07    -0           0             
   14.333       0.098721     0.007384      14.333       -0           0             14.333       0.0045383    0.015259      14.333       -0           0             8.0257E+07   0.0056491     8.0257E+07   0             8.0257E+07   0.99648      0.00031385    8.0257E+07   -0           0             8.0257E+07   0.97992      0.00063596    8.0257E+07   -0           0             
