# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 5000000 --inactive 25 --source Histogram --Iterations\n 25 --active 100 --seed 0 --bins 75 --run --relaxed 0.0 -f Relaxed/50mfp/5E6/50mfp.r0.0.dat , seed = 1869036437
# Arguments: source = Histogram, method = explicit, Iterations = 25, eigenvalues = 3, relaxed = 0, run = true, filename = Relaxed/50mfp/5E6/50mfp.r0.0.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 25, tracks = 5000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8             9            10            11           12           13            14           15           16            17           18            19           20            21           22           23            24           25           26            27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.25E+08     0.997331     0             1.25E+08     0            0             1.25E+08     0.997331      1.25E+08     0             1.25E+08     0.9895       0             1.25E+08     0            0             1.25E+08     0.9895        1.25E+08     0             1.25E+08     0.977624     0             1.25E+08     0            0             1.25E+08     0.977624      1.25E+08     0             1.25E+08     719.82        3.25E+09     0             0.333333     0.00993132    0.333333     0             0.333333     -0.0200554    0.333333     0             0.333333     0.0297727     0.333333     0             
   2.5E+08      0.997304     0             2.5E+08      0            0             2.5E+08      0.997304      2.5E+08      0             2.5E+08      0.990093     0             2.5E+08      0            0             2.5E+08      0.990093      2.5E+08      0             2.5E+08      0.977591     0             2.5E+08      0            0             2.5E+08      0.977591      2.5E+08      0             2.5E+08      1465.7        3.375E+09    9100.7        1            0.0167001     1            0             1            -0.0335916    1            0             1            0.0497052     1            0             
   3.75E+08     0.997303     0             3.75E+08     0            0             3.75E+08     0.997303      3.75E+08     0             3.75E+08     0.989807     0             3.75E+08     0            0             3.75E+08     0.989807      3.75E+08     0             3.75E+08     0.977274     0             3.75E+08     0            0             3.75E+08     0.977274      3.75E+08     0             3.75E+08     2205.93       3.5E+09      15453.4       1.66667      0.023178      1.66667      0             1.66667      -0.0465389    1.66667      0             1.66667      0.0680975     1.66667      0             
   5E+08        0.997561     0             5E+08        0            0             5E+08        0.997561      5E+08        0             5E+08        0.989632     0             5E+08        0            0             5E+08        0.989632      5E+08        0             5E+08        0.97695      0             5E+08        0            0             5E+08        0.97695       5E+08        0             5E+08        2897.36       3.625E+09    14656.7       2.33333      0.029596      2.33333      0             2.33333      -0.0590148    2.33333      0             2.33333      0.085381      2.33333      0             
   6.25E+08     0.997258     0             6.25E+08     0            0             6.25E+08     0.997258      6.25E+08     0             6.25E+08     0.989452     0             6.25E+08     0            0             6.25E+08     0.989452      6.25E+08     0             6.25E+08     0.976694     0             6.25E+08     0            0             6.25E+08     0.976694      6.25E+08     0             6.25E+08     3590.58       3.75E+09     17660.3       3            0.0359507     3            0             3            -0.0710516    3            0             3            0.101314      3            0             
   7.5E+08      0.997888     0             7.5E+08      0            0             7.5E+08      0.997888      7.5E+08      0             7.5E+08      0.989184     0             7.5E+08      0            0             7.5E+08      0.989184      7.5E+08      0             7.5E+08      0.976506     0             7.5E+08      0            0             7.5E+08      0.976506      7.5E+08      0             7.5E+08      4301.64       3.875E+09    24512.8       3.66667      0.0422295     3.66667      0             3.66667      -0.0826618    3.66667      0             3.66667      0.115777      3.66667      0             
   8.75E+08     0.997502     0             8.75E+08     0            0             8.75E+08     0.997502      8.75E+08     0             8.75E+08     0.989462     0             8.75E+08     0            0             8.75E+08     0.989462      8.75E+08     0             8.75E+08     0.977133     0             8.75E+08     0            0             8.75E+08     0.977133      8.75E+08     0             8.75E+08     5062.31       4E+09        5905.55       4.33333      0.0484431     4.33333      0             4.33333      -0.0936438    4.33333      0             4.33333      0.128446      4.33333      0             
   1E+09        0.997006     0             1E+09        0            0             1E+09        0.997006      1E+09        0             1E+09        0.990019     0             1E+09        0            0             1E+09        0.990019      1E+09        0             1E+09        0.977419     0             1E+09        0            0             1E+09        0.977419      1E+09        0             1E+09        5773.27       4.125E+09    6169.63       5            0.0545612     5            0             5            -0.103943     5            0             5            0.139147      5            0             
   1.125E+09    0.99797      0             1.125E+09    0            0             1.125E+09    0.99797       1.125E+09    0             1.125E+09    0.989421     0             1.125E+09    0            0             1.125E+09    0.989421      1.125E+09    0             1.125E+09    0.976888     0             1.125E+09    0            0             1.125E+09    0.976888      1.125E+09    0             1.125E+09    6479.03       4.25E+09     7443.33       5.66667      0.0605532     5.66667      0             5.66667      -0.113635     5.66667      0             5.66667      0.147831      5.66667      0             
   1.25E+09     0.997406     0             1.25E+09     0            0             1.25E+09     0.997406      1.25E+09     0             1.25E+09     0.989583     0             1.25E+09     0            0             1.25E+09     0.989583      1.25E+09     0             1.25E+09     0.976941     0             1.25E+09     0            0             1.25E+09     0.976941      1.25E+09     0             1.25E+09     7174.05       4.375E+09    8918.15       6.33333      0.066478      6.33333      0             6.33333      -0.122496     6.33333      0             6.33333      0.154275      6.33333      0             
   1.375E+09    0.99778      0             1.375E+09    0            0             1.375E+09    0.99778       1.375E+09    0             1.375E+09    0.989796     0             1.375E+09    0            0             1.375E+09    0.989796      1.375E+09    0             1.375E+09    0.976818     0             1.375E+09    0            0             1.375E+09    0.976818      1.375E+09    0             1.375E+09    7866.61       4.5E+09      7308.8        7            0.0724174     7            0             7            -0.130608     7            0             7            0.158506      7            0             
   1.5E+09      0.996821     0             1.5E+09      0            0             1.5E+09      0.996821      1.5E+09      0             1.5E+09      0.989851     0             1.5E+09      0            0             1.5E+09      0.989851      1.5E+09      0             1.5E+09      0.976611     0             1.5E+09      0            0             1.5E+09      0.976611      1.5E+09      0             1.5E+09      8565.41       4.625E+09    5920.69       7.66667      0.078177      7.66667      0             7.66667      -0.137832     7.66667      0             7.66667      0.160237      7.66667      0             
   1.625E+09    0.998365     0             1.625E+09    0            0             1.625E+09    0.998365      1.625E+09    0             1.625E+09    0.989467     0             1.625E+09    0            0             1.625E+09    0.989467      1.625E+09    0             1.625E+09    0.977555     0             1.625E+09    0            0             1.625E+09    0.977555      1.625E+09    0             1.625E+09    9291.99       4.75E+09     4279.38       8.33333      0.0837593     8.33333      0             8.33333      -0.144087     8.33333      0             8.33333      0.159629      8.33333      0             
   1.75E+09     0.996826     0             1.75E+09     0            0             1.75E+09     0.996826      1.75E+09     0             1.75E+09     0.989482     0             1.75E+09     0            0             1.75E+09     0.989482      1.75E+09     0             1.75E+09     0.977481     0             1.75E+09     0            0             1.75E+09     0.977481      1.75E+09     0             1.75E+09     9992.08       4.875E+09    4831          9            0.089194      9            0             9            -0.14949      9            0             9            0.156644      9            0             
   1.875E+09    0.997034     0             1.875E+09    0            0             1.875E+09    0.997034      1.875E+09    0             1.875E+09    0.989715     0             1.875E+09    0            0             1.875E+09    0.989715      1.875E+09    0             1.875E+09    0.9771       0             1.875E+09    0            0             1.875E+09    0.9771        1.875E+09    0             1.875E+09    10716.2       5E+09        5405.45       9.66667      0.0944284     9.66667      0             9.66667      -0.153759     9.66667      0             9.66667      0.151274      9.66667      0             
   2E+09        0.99753      0             2E+09        0            0             2E+09        0.99753       2E+09        0             2E+09        0.988845     0             2E+09        0            0             2E+09        0.988845      2E+09        0             2E+09        0.977091     0             2E+09        0            0             2E+09        0.977091      2E+09        0             2E+09        11434         5.125E+09    5916.31       10.3333      0.0995824     10.3333      0             10.3333      -0.157077     10.3333      0             10.3333      0.143686      10.3333      0             
   2.125E+09    0.997272     0             2.125E+09    0            0             2.125E+09    0.997272      2.125E+09    0             2.125E+09    0.989629     0             2.125E+09    0            0             2.125E+09    0.989629      2.125E+09    0             2.125E+09    0.977255     0             2.125E+09    0            0             2.125E+09    0.977255      2.125E+09    0             2.125E+09    12147.5       5.25E+09     6352.39       11           0.104619      11           0             11           -0.159438     11           0             11           0.134042      11           0             
   2.25E+09     0.997377     0             2.25E+09     0            0             2.25E+09     0.997377      2.25E+09     0             2.25E+09     0.989973     0             2.25E+09     0            0             2.25E+09     0.989973      2.25E+09     0             2.25E+09     0.977076     0             2.25E+09     0            0             2.25E+09     0.977076      2.25E+09     0             2.25E+09     12843.8       5.375E+09    5887.1        11.6667      0.109411      11.6667      0             11.6667      -0.160724     11.6667      0             11.6667      0.12247       11.6667      0             
   2.375E+09    0.997272     0             2.375E+09    0            0             2.375E+09    0.997272      2.375E+09    0             2.375E+09    0.989264     0             2.375E+09    0            0             2.375E+09    0.989264      2.375E+09    0             2.375E+09    0.977715     0             2.375E+09    0            0             2.375E+09    0.977715      2.375E+09    0             2.375E+09    13603.5       5.5E+09      6414.35       12.3333      0.114099      12.3333      0             12.3333      -0.160878     12.3333      0             12.3333      0.109085      12.3333      0             
   2.5E+09      0.997438     0             2.5E+09      0            0             2.5E+09      0.997438      2.5E+09      0             2.5E+09      0.989479     0             2.5E+09      0            0             2.5E+09      0.989479      2.5E+09      0             2.5E+09      0.976951     0             2.5E+09      0            0             2.5E+09      0.976951      2.5E+09      0             2.5E+09      14310.4       5.625E+09    6754.48       13           0.118593      13           0             13           -0.160152     13           0             13           0.0939982     13           0             
