# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 5000000 --inactive 25 --source Histogram --Iterations\n 25 --active 175 --seed 0 --bins 75 --run --relaxed 0.001 -f Relaxed/50mfp/5E6/50mfp.r0.001.dat , seed = 4157707376
# Arguments: source = Histogram, method = explicit, Iterations = 25, eigenvalues = 3, relaxed = 0.001, run = true, filename = Relaxed/50mfp/5E6/50mfp.r0.001.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 175, inactive = 25, tracks = 5000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8             9            10            11           12           13            14           15           16            17           18            19           20            21           22           23            24           25           26            27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   8.9435E+07   0.996923     0             8.9435E+07   0            0             8.9435E+07   0.996923      8.9435E+07   0             8.9435E+07   0.990129     0             8.9435E+07   0            0             8.9435E+07   0.990129      8.9435E+07   0             8.9435E+07   0.977409     0             8.9435E+07   0            0             8.9435E+07   0.977409      8.9435E+07   0             8.9435E+07   485.845       2.34047E+09  0             0.333333     -0.00998879   0.333333     0             0.333333     -0.0198501    0.333333     0             0.333333     -0.0298483    0.333333     0             
   1.85156E+08  0.997007     0             1.85156E+08  0            0             1.85156E+08  0.997007      1.85156E+08  0             1.85156E+08  0.98948      0             1.85156E+08  0            0             1.85156E+08  0.98948       1.85156E+08  0             1.85156E+08  0.977715     0             1.85156E+08  0            0             1.85156E+08  0.977715      1.85156E+08  0             1.85156E+08  1014.42       2.42857E+09  3733.91       1            -0.016776     1            0             1            -0.0332215    1            0             1            -0.0498183    1            0             
   2.78696E+08  0.997449     0             2.78696E+08  0            0             2.78696E+08  0.997449      2.78696E+08  0             2.78696E+08  0.989437     0             2.78696E+08  0            0             2.78696E+08  0.989437      2.78696E+08  0             2.78696E+08  0.977175     0             2.78696E+08  0            0             2.78696E+08  0.977175      2.78696E+08  0             2.78696E+08  1527.82       2.52664E+09  1720.91       1.66667      -0.0233298    1.66667      0             1.66667      -0.0459531    1.66667      0             1.66667      -0.0683449    1.66667      0             
   3.60475E+08  0.998012     0             3.60475E+08  0            0             3.60475E+08  0.998012      3.60475E+08  0             3.60475E+08  0.989772     0             3.60475E+08  0            0             3.60475E+08  0.989772      3.60475E+08  0             3.60475E+08  0.977727     0             3.60475E+08  0            0             3.60475E+08  0.977727      3.60475E+08  0             3.60475E+08  1974.46       2.62683E+09  2334.22       2.33333      -0.0297824    2.33333      0             2.33333      -0.0582234    2.33333      0             2.33333      -0.0856648    2.33333      0             
   4.53562E+08  0.996568     0             4.53562E+08  0            0             4.53562E+08  0.996568      4.53562E+08  0             4.53562E+08  0.990195     0             4.53562E+08  0            0             4.53562E+08  0.990195      4.53562E+08  0             4.53562E+08  0.976821     0             4.53562E+08  0            0             4.53562E+08  0.976821      4.53562E+08  0             4.53562E+08  2487.66       2.72462E+09  2908.97       3            -0.0361909    3            0             3            -0.0701235    3            0             3            -0.101693     3            0             
   5.41583E+08  0.997322     0             5.41583E+08  0            0             5.41583E+08  0.997322      5.41583E+08  0             5.41583E+08  0.989557     0             5.41583E+08  0            0             5.41583E+08  0.989557      5.41583E+08  0             5.41583E+08  0.97727      0             5.41583E+08  0            0             5.41583E+08  0.97727       5.41583E+08  0             5.41583E+08  2973.19       2.81626E+09  3555.02       3.66667      -0.0424792    3.66667      0             3.66667      -0.0815063    3.66667      0             3.66667      -0.116133     3.66667      0             
   6.27728E+08  0.997469     0             6.27728E+08  0            0             6.27728E+08  0.997469      6.27728E+08  0             6.27728E+08  0.989702     0             6.27728E+08  0            0             6.27728E+08  0.989702      6.27728E+08  0             6.27728E+08  0.977222     0             6.27728E+08  0            0             6.27728E+08  0.977222      6.27728E+08  0             6.27728E+08  3449.18       2.90837E+09  4608.41       4.33333      -0.0486302    4.33333      0             4.33333      -0.0923582    4.33333      0             4.33333      -0.128844     4.33333      0             
   7.13555E+08  0.99721      0             7.13555E+08  0            0             7.13555E+08  0.99721       7.13555E+08  0             7.13555E+08  0.990013     0             7.13555E+08  0            0             7.13555E+08  0.990013      7.13555E+08  0             7.13555E+08  0.976854     0             7.13555E+08  0            0             7.13555E+08  0.976854      7.13555E+08  0             7.13555E+08  3923.01       3.00013E+09  5066.85       5            -0.054779     5            0             5            -0.102632     5            0             5            -0.139722     5            0             
   8.05431E+08  0.997795     0             8.05431E+08  0            0             8.05431E+08  0.997795      8.05431E+08  0             8.05431E+08  0.990268     0             8.05431E+08  0            0             8.05431E+08  0.990268      8.05431E+08  0             8.05431E+08  0.976913     0             8.05431E+08  0            0             8.05431E+08  0.976913      8.05431E+08  0             8.05431E+08  4431.06       3.08818E+09  5002.29       5.66667      -0.0608828    5.66667      0             5.66667      -0.112168     5.66667      0             5.66667      -0.148431     5.66667      0             
   8.96959E+08  0.996875     0             8.96959E+08  0            0             8.96959E+08  0.996875      8.96959E+08  0             8.96959E+08  0.989913     0             8.96959E+08  0            0             8.96959E+08  0.989913      8.96959E+08  0             8.96959E+08  0.976975     0             8.96959E+08  0            0             8.96959E+08  0.976975      8.96959E+08  0             8.96959E+08  4935.76       3.18493E+09  5920.83       6.33333      -0.0668783    6.33333      0             6.33333      -0.12109      6.33333      0             6.33333      -0.154919     6.33333      0             
   9.89551E+08  0.996994     0             9.89551E+08  0            0             9.89551E+08  0.996994      9.89551E+08  0             9.89551E+08  0.989566     0             9.89551E+08  0            0             9.89551E+08  0.989566      9.89551E+08  0             9.89551E+08  0.97682      0             9.89551E+08  0            0             9.89551E+08  0.97682       9.89551E+08  0             9.89551E+08  5443.93       3.2696E+09   6323.18       7            -0.0727709    7            0             7            -0.129161     7            0             7            -0.159135     7            0             
   1.08242E+09  0.996945     0             1.08242E+09  0            0             1.08242E+09  0.996945      1.08242E+09  0             1.08242E+09  0.989552     0             1.08242E+09  0            0             1.08242E+09  0.989552      1.08242E+09  0             1.08242E+09  0.977086     0             1.08242E+09  0            0             1.08242E+09  0.977086      1.08242E+09  0             1.08242E+09  5954.77       3.36246E+09  7298.77       7.66667      -0.0785464    7.66667      0             7.66667      -0.136382     7.66667      0             7.66667      -0.160951     7.66667      0             
   1.17835E+09  0.9978       0             1.17835E+09  0            0             1.17835E+09  0.9978        1.17835E+09  0             1.17835E+09  0.989823     0             1.17835E+09  0            0             1.17835E+09  0.989823      1.17835E+09  0             1.17835E+09  0.97745      0             1.17835E+09  0            0             1.17835E+09  0.97745       1.17835E+09  0             1.17835E+09  6483.54       3.44965E+09  8283.76       8.33333      -0.0842881    8.33333      0             8.33333      -0.14274      8.33333      0             8.33333      -0.160476     8.33333      0             
   1.2733E+09   0.997261     0             1.2733E+09   0            0             1.2733E+09   0.997261      1.2733E+09   0             1.2733E+09   0.989598     0             1.2733E+09   0            0             1.2733E+09   0.989598      1.2733E+09   0             1.2733E+09   0.977441     0             1.2733E+09   0            0             1.2733E+09   0.977441      1.2733E+09   0             1.2733E+09   7006.92       3.537E+09    8646.02       9            -0.0897646    9            0             9            -0.148037     9            0             9            -0.157533     9            0             
   1.36195E+09  0.997474     0             1.36195E+09  0            0             1.36195E+09  0.997474      1.36195E+09  0             1.36195E+09  0.989336     0             1.36195E+09  0            0             1.36195E+09  0.989336      1.36195E+09  0             1.36195E+09  0.976729     0             1.36195E+09  0            0             1.36195E+09  0.976729      1.36195E+09  0             1.36195E+09  7494.14       3.63297E+09  9349.88       9.66667      -0.0951869    9.66667      0             9.66667      -0.152487     9.66667      0             9.66667      -0.152252     9.66667      0             
   1.45122E+09  0.997402     0             1.45122E+09  0            0             1.45122E+09  0.997402      1.45122E+09  0             1.45122E+09  0.989966     0             1.45122E+09  0            0             1.45122E+09  0.989966      1.45122E+09  0             1.45122E+09  0.97735      0             1.45122E+09  0            0             1.45122E+09  0.97735       1.45122E+09  0             1.45122E+09  7989.48       3.72606E+09  10239.5       10.3333      -0.100352     10.3333      0             10.3333      -0.155915     10.3333      0             10.3333      -0.144714     10.3333      0             
   1.53381E+09  0.996987     0             1.53381E+09  0            0             1.53381E+09  0.996987      1.53381E+09  0             1.53381E+09  0.989648     0             1.53381E+09  0            0             1.53381E+09  0.989648      1.53381E+09  0             1.53381E+09  0.977074     0             1.53381E+09  0            0             1.53381E+09  0.977074      1.53381E+09  0             1.53381E+09  8445.34       3.81433E+09  11091.4       11           -0.10538      11           0             11           -0.158331     11           0             11           -0.135        11           0             
   1.62063E+09  0.997764     0             1.62063E+09  0            0             1.62063E+09  0.997764      1.62063E+09  0             1.62063E+09  0.989847     0             1.62063E+09  0            0             1.62063E+09  0.989847      1.62063E+09  0             1.62063E+09  0.977346     0             1.62063E+09  0            0             1.62063E+09  0.977346      1.62063E+09  0             1.62063E+09  8923.67       3.90114E+09  11696.3       11.6667      -0.11025      11.6667      0             11.6667      -0.159692     11.6667      0             11.6667      -0.123373     11.6667      0             
   1.70781E+09  0.996998     0             1.70781E+09  0            0             1.70781E+09  0.996998      1.70781E+09  0             1.70781E+09  0.989175     0             1.70781E+09  0            0             1.70781E+09  0.989175      1.70781E+09  0             1.70781E+09  0.977104     0             1.70781E+09  0            0             1.70781E+09  0.977104      1.70781E+09  0             1.70781E+09  9404.52       3.99055E+09  8779.14       12.3333      -0.114857     12.3333      0             12.3333      -0.160111     12.3333      0             12.3333      -0.109854     12.3333      0             
