# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 5000000 --inactive 25 --source Histogram --Iterations\n 25 --active 1440 --seed 0 --bins 75 --run --relaxed 1 -f Relaxed/50mfp/5E6/50mfp.r1.dat , seed = 322481857
# Arguments: source = Histogram, method = explicit, Iterations = 25, eigenvalues = 3, relaxed = 1, run = true, filename = Relaxed/50mfp/5E6/50mfp.r1.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 1440, inactive = 25, tracks = 5000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8             9            10            11           12           13            14           15           16            17           18            19           20            21           22           23            24           25           26            27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.07903E+07  0.993866     0             1.07903E+07  0            0             1.07903E+07  0.993866      1.07903E+07  0             1.07903E+07  0.993264     0             1.07903E+07  0            0             1.07903E+07  0.993264      1.07903E+07  0             1.07903E+07  0.977516     0             1.07903E+07  0            0             1.07903E+07  0.977516      1.07903E+07  0             1.07903E+07  55.4075       2.81772E+08  0             0.333333     0.00861965    0.333333     -6.63415E-05  0.333333     0.0145408     0.333333     -0.000105826  0.333333     0.0254835     0.333333     0.00017601    
   2.1259E+07   0.995344     0             2.1259E+07   0            0             2.1259E+07   0.995344      2.1259E+07   0             2.1259E+07   0.985032     0             2.1259E+07   0.0066044    0             2.1259E+07   0.985032      2.1259E+07   0.0066044     2.1259E+07   0.985032     0             2.1259E+07   -0.0066044   0             2.1259E+07   0.985032      2.1259E+07   -0.0066044    2.1259E+07   113.076       2.92396E+08  119.573       1            0.0145498     1            -0.000122856  1            0.0243792     1            -0.000167798  1            0.0425847     1            0.000382614   
   3.18683E+07  1.0018       0             3.18683E+07  0            0             3.18683E+07  1.0018        3.18683E+07  0             3.18683E+07  0.988437     0             3.18683E+07  0            0             3.18683E+07  0.988437      3.18683E+07  0             3.18683E+07  0.974089     0             3.18683E+07  0            0             3.18683E+07  0.974089      3.18683E+07  0             3.18683E+07  171.827       3.03889E+08  138.058       1.66667      0.0205104     1.66667      -0.000189091  1.66667      0.0334898     1.66667      -0.000263378  1.66667      0.058356      1.66667      0.000543175   
   4.27167E+07  0.998774     0             4.27167E+07  0            0             4.27167E+07  0.998774      4.27167E+07  0             4.27167E+07  0.985211     0             4.27167E+07  0            0             4.27167E+07  0.985211      4.27167E+07  0             4.27167E+07  0.982056     0             4.27167E+07  0            0             4.27167E+07  0.982056      4.27167E+07  0             4.27167E+07  232.003       3.14656E+08  223.646       2.33333      0.025996      2.33333      -0.000214007  2.33333      0.0424614     2.33333      -0.000254325  2.33333      0.073189      2.33333      0.00062804    
   5.40973E+07  0.995488     0             5.40973E+07  0            0             5.40973E+07  0.995488      5.40973E+07  0             5.40973E+07  0.989682     0             5.40973E+07  0            0             5.40973E+07  0.989682      5.40973E+07  0             5.40973E+07  0.977623     0             5.40973E+07  0            0             5.40973E+07  0.977623      5.40973E+07  0             5.40973E+07  294.903       3.25494E+08  303.668       3            0.0314335     3            -0.000222286  3            0.0510918     3            -0.000352411  3            0.0870074     3            0.000674748   
   6.50023E+07  0.994109     0             6.50023E+07  0.00236687   0             6.50023E+07  0.994109      6.50023E+07  0.00236687    6.50023E+07  0.994109     0             6.50023E+07  -0.00236687  0             6.50023E+07  0.994109      6.50023E+07  -0.00236687   6.50023E+07  0.975958     0             6.50023E+07  0            0             6.50023E+07  0.975958      6.50023E+07  0             6.50023E+07  355.551       3.36416E+08  369.784       3.66667      0.0369164     3.66667      -0.00026253   3.66667      0.0594409     3.66667      -0.000418253  3.66667      0.0995617     3.66667      0.000754618   
   7.55528E+07  0.996722     0             7.55528E+07  0            0             7.55528E+07  0.996722      7.55528E+07  0             7.55528E+07  0.979597     0             7.55528E+07  0            0             7.55528E+07  0.979597      7.55528E+07  0             7.55528E+07  0.969794     0             7.55528E+07  0.00689719   0             7.55528E+07  0.969794      7.55528E+07  0.00689719    7.55528E+07  414.31        3.47208E+08  467.509       4.33333      0.0422069     4.33333      -0.0003228    4.33333      0.0674854     4.33333      -0.000488691  4.33333      0.110656      4.33333      0.00084246    
   8.61449E+07  0.996945     0             8.61449E+07  0            0             8.61449E+07  0.996945      8.61449E+07  0             8.61449E+07  0.980287     0             8.61449E+07  0            0             8.61449E+07  0.980287      8.61449E+07  0             8.61449E+07  0.956293     0             8.61449E+07  0.00859704   0             8.61449E+07  0.956293      8.61449E+07  0.00859704    8.61449E+07  473.089       3.57763E+08  466.859       5            0.0477705     5            -0.000314763  5            0.0749521     5            -0.00061368   5            0.119822      5            0.000822855   
   9.72326E+07  0.995129     0             9.72326E+07  0            0             9.72326E+07  0.995129      9.72326E+07  0             9.72326E+07  0.992437     0             9.72326E+07  0            0             9.72326E+07  0.992437      9.72326E+07  0             9.72326E+07  0.963033     0             9.72326E+07  0.00201593   0             9.72326E+07  0.963033      9.72326E+07  0.00201593    9.72326E+07  534.76        3.69269E+08  571.038       5.66667      0.0528579     5.66667      -0.000324671  5.66667      0.082014      5.66667      -0.000722186  5.66667      0.127809      5.66667      0.00090856    
   1.08E+08     0.998343     0             1.08E+08     0            0             1.08E+08     0.998343      1.08E+08     0             1.08E+08     0.987042     0             1.08E+08     0            0             1.08E+08     0.987042      1.08E+08     0             1.08E+08     0.98052      0             1.08E+08     0            0             1.08E+08     0.98052       1.08E+08     0             1.08E+08     595.091       3.80233E+08  684.243       6.33333      0.0581935     6.33333      -0.000348417  6.33333      0.0884274     6.33333      -0.000934633  6.33333      0.133476      6.33333      0.000959049   
