# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 100 --seed 0 --bins 75 --run --relaxed 0.0 -f Relaxed/50mfp/ManyMoreInactive/50mfp.r0.0.dat , seed = 3268199459
# Arguments: rWidth = 0, source = Histogram, method = explicit, Iterations = 25, eigenvalues = 3, relaxed = 0, run = true, filename = Relaxed/50mfp/ManyMoreInactive/50mfp.r0.0.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46            47           48           
# |-        Entropy       -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   500000       3.17016       1.25E+07     0.99765      0             1.25E+07     0            0             1.25E+07     0.99765       1.25E+07     0             1.25E+07     0.987579     0             1.25E+07     0            0             1.25E+07     0.987579      1.25E+07     0             1.25E+07     0.976651     0             1.25E+07     0            0             1.25E+07     0.976651      1.25E+07     0             1.25E+07     38.9222       1.2625E+09   0             0.333333     -0.0104785    0.333333     0             0.333333     -0.0203985    0.333333     0             0.333333     0.0296215     0.333333     0             
   1E+06        3.37564       2.5E+07      0.997321     0             2.5E+07      0            0             2.5E+07      0.997321      2.5E+07      0             2.5E+07      0.989997     0             2.5E+07      0            0             2.5E+07      0.989997      2.5E+07      0             2.5E+07      0.978099     0             2.5E+07      0            0             2.5E+07      0.978099      2.5E+07      0             2.5E+07      78.2898       1.275E+09    1663.15       1            -0.0176156    1            0             1            -0.0343573    1            0             1            0.0495094     1            0             
   1.5E+06      3.49105       3.75E+07     0.996194     0             3.75E+07     0            0             3.75E+07     0.996194      3.75E+07     0             3.75E+07     0.989266     0             3.75E+07     0            0             3.75E+07     0.989266      3.75E+07     0             3.75E+07     0.977334     0             3.75E+07     0            0             3.75E+07     0.977334      3.75E+07     0             3.75E+07     117.891       1.2875E+09   640.824       1.66667      -0.0244846    1.66667      0             1.66667      -0.0472774    1.66667      0             1.66667      0.0677328     1.66667      0             
   2E+06        3.563         5E+07        0.997839     0             5E+07        0            0             5E+07        0.997839      5E+07        0             5E+07        0.991467     0             5E+07        0            0             5E+07        0.991467      5E+07        0             5E+07        0.977858     0             5E+07        0            0             5E+07        0.977858      5E+07        0             5E+07        157.196       1.3E+09      1032.38       2.33333      -0.0314986    2.33333      0             2.33333      -0.0599473    2.33333      0             2.33333      0.0848431     2.33333      0             
   2.5E+06      3.69647       6.25E+07     0.995526     0             6.25E+07     0            0             6.25E+07     0.995526      6.25E+07     0             6.25E+07     0.989515     0             6.25E+07     0            0             6.25E+07     0.989515      6.25E+07     0             6.25E+07     0.976412     0             6.25E+07     0            0             6.25E+07     0.976412      6.25E+07     0             6.25E+07     196.479       1.3125E+09   952.191       3            -0.038339     3            0             3            -0.0721179    3            0             3            0.100802      3            0             
   3E+06        3.76745       7.5E+07      0.996776     0             7.5E+07      0            0             7.5E+07      0.996776      7.5E+07      0             7.5E+07      0.98897      0             7.5E+07      0            0             7.5E+07      0.98897       7.5E+07      0             7.5E+07      0.97647      0             7.5E+07      0            0             7.5E+07      0.97647       7.5E+07      0             7.5E+07      235.863       1.325E+09    1133.81       3.66667      -0.0450626    3.66667      0             3.66667      -0.0842274    3.66667      0             3.66667      0.115274      3.66667      0             
   3.5E+06      3.8053        8.75E+07     0.997208     0             8.75E+07     0            0             8.75E+07     0.997208      8.75E+07     0             8.75E+07     0.990175     0             8.75E+07     0            0             8.75E+07     0.990175      8.75E+07     0             8.75E+07     0.976869     0             8.75E+07     0            0             8.75E+07     0.976869      8.75E+07     0             8.75E+07     275.207       1.3375E+09   1524.06       4.33333      -0.0513699    4.33333      0             4.33333      -0.0956059    4.33333      0             4.33333      0.127826      4.33333      0             
   4E+06        3.85174       1E+08        0.998541     0             1E+08        0            0             1E+08        0.998541      1E+08        0             1E+08        0.988343     0             1E+08        0            0             1E+08        0.988343      1E+08        0             1E+08        0.978862     0             1E+08        0            0             1E+08        0.978862      1E+08        0             1E+08        314.533       1.35E+09     1130.78       5            -0.058093     5            0             5            -0.106372     5            0             5            0.13848       5            0             
   4.5E+06      3.87609       1.125E+08    0.997536     0             1.125E+08    0            0             1.125E+08    0.997536      1.125E+08    0             1.125E+08    0.990685     0             1.125E+08    0            0             1.125E+08    0.990685      1.125E+08    0             1.125E+08    0.979245     0             1.125E+08    0            0             1.125E+08    0.979245      1.125E+08    0             1.125E+08    353.817       1.3625E+09   1407.49       5.66667      -0.0640407    5.66667      0             5.66667      -0.115675     5.66667      0             5.66667      0.146776      5.66667      0             
   5E+06        3.88117       1.25E+08     0.996748     0             1.25E+08     0            0             1.25E+08     0.996748      1.25E+08     0             1.25E+08     0.990443     0             1.25E+08     0            0             1.25E+08     0.990443      1.25E+08     0             1.25E+08     0.977099     0             1.25E+08     0            0             1.25E+08     0.977099      1.25E+08     0             1.25E+08     393.188       1.375E+09    1688.51       6.33333      -0.0701559    6.33333      0             6.33333      -0.124956     6.33333      0             6.33333      0.152987      6.33333      0             
