# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 185 --seed 0 --bins 75 --run --relaxed 0.005 -f Relaxed/50mfp/ManyMoreInactive/50mfp.r0.005.dat , seed =\n 2049380283
# Arguments: rWidth = 0, source = Histogram, method = explicit, Iterations = 25, eigenvalues = 3, relaxed = 0.005, run = true, filename = Relaxed/50mfp/ManyMoreInactive/50mfp.r0.005.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 185, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46            47           48           
# |-        Entropy       -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   500000       3.12508       6.40449E+06  0.998191     0             6.40449E+06  0            0             6.40449E+06  0.998191      6.40449E+06  0             6.40449E+06  0.996702     0             6.40449E+06  0            0             6.40449E+06  0.996702      6.40449E+06  0             6.40449E+06  0.977436     0             6.40449E+06  0            0             6.40449E+06  0.977436      6.40449E+06  0             6.40449E+06  19.9128       8.6853E+08   0             0.333333     0.0105368     0.333333     0             0.333333     -0.0197932    0.333333     0             0.333333     -0.0302364    0.333333     0             
   1E+06        3.33172       1.49401E+07  0.99837      0             1.49401E+07  0            0             1.49401E+07  0.99837       1.49401E+07  0             1.49401E+07  0.989416     0             1.49401E+07  0            0             1.49401E+07  0.989416      1.49401E+07  0             1.49401E+07  0.977813     0             1.49401E+07  0            0             1.49401E+07  0.977813      1.49401E+07  0             1.49401E+07  46.9806       8.77518E+08  872.509       1            0.017855      1            0             1            -0.0332546    1            0             1            -0.0504038    1            0             
   1.5E+06      3.50262       2.34644E+07  0.996877     0             2.34644E+07  0            0             2.34644E+07  0.996877      2.34644E+07  0             2.34644E+07  0.990463     0             2.34644E+07  0            0             2.34644E+07  0.990463      2.34644E+07  0             2.34644E+07  0.97711      0             2.34644E+07  0            0             2.34644E+07  0.97711       2.34644E+07  0             2.34644E+07  74.0714       8.85658E+08  1679.26       1.66667      0.0247098     1.66667      0             1.66667      -0.0460724    1.66667      0             1.66667      -0.069029     1.66667      0             
   2E+06        3.62575       3.18652E+07  0.998225     0             3.18652E+07  0            0             3.18652E+07  0.998225      3.18652E+07  0             3.18652E+07  0.98755      0             3.18652E+07  0            0             3.18652E+07  0.98755       3.18652E+07  0             3.18652E+07  0.975688     0             3.18652E+07  0            0             3.18652E+07  0.975688      3.18652E+07  0             3.18652E+07  100.929       8.94524E+08  2676.42       2.33333      0.0314644     2.33333      0             2.33333      -0.0583852    2.33333      0             2.33333      -0.0864503    2.33333      0             
   2.5E+06      3.71385       4.07116E+07  0.997419     0             4.07116E+07  0            0             4.07116E+07  0.997419      4.07116E+07  0             4.07116E+07  0.989838     0             4.07116E+07  0            0             4.07116E+07  0.989838      4.07116E+07  0             4.07116E+07  0.977945     0             4.07116E+07  0            0             4.07116E+07  0.977945      4.07116E+07  0             4.07116E+07  129.034       9.03265E+08  2535.96       3            0.0382225     3            0             3            -0.0703972    3            0             3            -0.102416     3            0             
   3E+06        3.7699        4.93576E+07  0.997798     0             4.93576E+07  0            0             4.93576E+07  0.997798      4.93576E+07  0             4.93576E+07  0.988681     0             4.93576E+07  0            0             4.93576E+07  0.988681      4.93576E+07  0             4.93576E+07  0.977645     0             4.93576E+07  0            0             4.93576E+07  0.977645      4.93576E+07  0             4.93576E+07  156.476       9.11511E+08  3456.67       3.66667      0.0451706     3.66667      0             3.66667      -0.0820123    3.66667      0             3.66667      -0.116942     3.66667      0             
   3.5E+06      3.82312       5.84306E+07  0.996768     0             5.84306E+07  0            0             5.84306E+07  0.996768      5.84306E+07  0             5.84306E+07  0.991719     0             5.84306E+07  0            0             5.84306E+07  0.991719      5.84306E+07  0             5.84306E+07  0.977368     0             5.84306E+07  0            0             5.84306E+07  0.977368      5.84306E+07  0             5.84306E+07  185.17        9.19692E+08  2714.62       4.33333      0.0516732     4.33333      0             4.33333      -0.0927424    4.33333      0             4.33333      -0.129877     4.33333      0             
   4E+06        3.8842        6.68387E+07  0.998221     0             6.68387E+07  0            0             6.68387E+07  0.998221      6.68387E+07  0             6.68387E+07  0.988765     0             6.68387E+07  0            0             6.68387E+07  0.988765      6.68387E+07  0             6.68387E+07  0.976312     0             6.68387E+07  0            0             6.68387E+07  0.976312      6.68387E+07  0             6.68387E+07  211.723       9.28552E+08  2636.36       5            0.0580136     5            0             5            -0.103149     5            0             5            -0.140492     5            0             
   4.48114E+06  3.93257       7.59635E+07  0.996013     0             7.59635E+07  0            0             7.59635E+07  0.996013      7.59635E+07  0             7.59635E+07  0.99052      0             7.59635E+07  0            0             7.59635E+07  0.99052       7.59635E+07  0             7.59635E+07  0.977521     0             7.59635E+07  0            0             7.59635E+07  0.977521      7.59635E+07  0             7.59635E+07  240.67        9.37688E+08  3301.03       5.66667      0.0642705     5.66667      0             5.66667      -0.112638     5.66667      0             5.66667      -0.149065     5.66667      0             
   4.84732E+06  3.99411       8.58434E+07  0.995537     0             8.58434E+07  0            0             8.58434E+07  0.995537      8.58434E+07  0             8.58434E+07  0.990131     0             8.58434E+07  0            0             8.58434E+07  0.990131      8.58434E+07  0             8.58434E+07  0.978313     0             8.58434E+07  0            0             8.58434E+07  0.978313      8.58434E+07  0             8.58434E+07  271.967       9.4662E+08   4033.24       6.33333      0.0703306     6.33333      0             6.33333      -0.12162      6.33333      0             6.33333      -0.155421     6.33333      0             
