# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 560 --seed 0 --bins 75 --run --relaxed 0.05 -f Relaxed/50mfp/ManyMoreInactive/50mfp.r0.05.dat , seed = 2264960871
# Arguments: rWidth = 0, source = Histogram, method = explicit, Iterations = 25, eigenvalues = 3, relaxed = 0.05, run = true, filename = Relaxed/50mfp/ManyMoreInactive/50mfp.r0.05.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 560, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46            47           48           
# |-        Entropy       -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   500000       3.17758       2.53654E+06  0.99916      0             2.53654E+06  0.000905236  0             2.53654E+06  0.99916       2.53654E+06  0.000905236   2.53654E+06  0.99916      0             2.53654E+06  -0.000905236 0             2.53654E+06  0.99916       2.53654E+06  -0.000905236  2.53654E+06  0.982063     0             2.53654E+06  0            0             2.53654E+06  0.982063      2.53654E+06  0             2.53654E+06  7.71141       2.76033E+08  0             0.333333     -0.00930748   0.333333     -6.94534E-05  0.333333     0.0172888     0.333333     -0.000139573  0.333333     0.027771      0.333333     -0.000112982  
   793281       3.36346       5.48362E+06  1.00614      0             5.48362E+06  0            0             5.48362E+06  1.00614       5.48362E+06  0             5.48362E+06  0.995491     0             5.48362E+06  0            0             5.48362E+06  0.995491      5.48362E+06  0             5.48362E+06  0.981453     0             5.48362E+06  0            0             5.48362E+06  0.981453      5.48362E+06  0             5.48362E+06  17.0097       2.79309E+08  158322        1            -0.0157747    1            -0.000104561  1            0.0289159     1            -0.000288736  1            0.0463868     1            -0.000189476  
   980698       3.45043       7.97135E+06  0.998333     0             7.97135E+06  0            0             7.97135E+06  0.998333      7.97135E+06  0             7.97135E+06  0.989548     0             7.97135E+06  0            0             7.97135E+06  0.989548      7.97135E+06  0             7.97135E+06  0.979344     0             7.97135E+06  0            0             7.97135E+06  0.979344      7.97135E+06  0             7.97135E+06  24.8929       2.81746E+08  10201.8       1.66667      -0.0221381    1.66667      -0.000139756  1.66667      0.0401529     1.66667      -0.000354686  1.66667      0.0633335     1.66667      -0.000191695  
   1.10953E+06  3.57917       9.90769E+06  0.998212     0             9.90769E+06  0.00200152   0             9.90769E+06  0.998212      9.90769E+06  0.00200152    9.90769E+06  0.998212     0             9.90769E+06  -0.00200152  0             9.90769E+06  0.998212      9.90769E+06  -0.00200152   9.90769E+06  0.979488     0             9.90769E+06  0            0             9.90769E+06  0.979488      9.90769E+06  0             9.90769E+06  31.0099       2.85401E+08  2814.4        2.33333      -0.0282514    2.33333      -0.000154303  2.33333      0.0507097     2.33333      -0.000394005  2.33333      0.0796416     2.33333      -0.000161424  
   1.20804E+06  3.68438       1.17143E+07  0.996382     0             1.17143E+07  0            0             1.17143E+07  0.996382      1.17143E+07  0             1.17143E+07  0.990551     0             1.17143E+07  0            0             1.17143E+07  0.990551      1.17143E+07  0             1.17143E+07  0.977593     0             1.17143E+07  0            0             1.17143E+07  0.977593      1.17143E+07  0             1.17143E+07  36.7476       2.87816E+08  3465.52       3            -0.0342081    3            -0.000187846  3            0.0612827     3            -0.000383151  3            0.0947346     3            -0.000214709  
   1.28296E+06  3.73365       1.40276E+07  0.997248     0             1.40276E+07  0            0             1.40276E+07  0.997248      1.40276E+07  0             1.40276E+07  0.994202     0             1.40276E+07  0            0             1.40276E+07  0.994202      1.40276E+07  0             1.40276E+07  0.977451     0             1.40276E+07  0            0             1.40276E+07  0.977451      1.40276E+07  0             1.40276E+07  44.0097       2.90649E+08  3555          3.66667      -0.0400623    3.66667      -0.000252509  3.66667      0.0714872     3.66667      -0.000471109  3.66667      0.108249      3.66667      -0.000225428  
   1.33834E+06  3.8102        1.67597E+07  1.00076      0             1.67597E+07  0            0             1.67597E+07  1.00076       1.67597E+07  0             1.67597E+07  0.991937     0             1.67597E+07  0            0             1.67597E+07  0.991937      1.67597E+07  0             1.67597E+07  0.976861     0             1.67597E+07  0            0             1.67597E+07  0.976861      1.67597E+07  0             1.67597E+07  52.7069       2.93822E+08  1431.24       4.33333      -0.045912     4.33333      -0.000288767  4.33333      0.0810241     4.33333      -0.000503645  4.33333      0.120167      4.33333      -0.000243584  
   1.38363E+06  3.82533       1.89337E+07  0.999543     0             1.89337E+07  0            0             1.89337E+07  0.999543      1.89337E+07  0             1.89337E+07  0.993101     0             1.89337E+07  0            0             1.89337E+07  0.993101      1.89337E+07  0             1.89337E+07  0.979953     0             1.89337E+07  0            0             1.89337E+07  0.979953      1.89337E+07  0             1.89337E+07  59.5442       2.9624E+08   1822.53       5            -0.051655     5            -0.000304648  5            0.0900699     5            -0.000523626  5            0.130371      5            -0.000212731  
   1.4222E+06   3.83598       2.16721E+07  0.999712     0             2.16721E+07  0            0             2.16721E+07  0.999712      2.16721E+07  0             2.16721E+07  0.993261     0             2.16721E+07  0            0             2.16721E+07  0.993261      2.16721E+07  0             2.16721E+07  0.977442     0             2.16721E+07  0            0             2.16721E+07  0.977442      2.16721E+07  0             2.16721E+07  68.128        2.98611E+08  2141.48       5.66667      -0.0574138    5.66667      -0.000326291  5.66667      0.0983209     5.66667      -0.000558203  5.66667      0.138891      5.66667      -0.000241456  
   1.45853E+06  3.87845       2.41025E+07  0.996408     0             2.41025E+07  0            0             2.41025E+07  0.996408      2.41025E+07  0             2.41025E+07  0.985564     0             2.41025E+07  0            0             2.41025E+07  0.985564      2.41025E+07  0             2.41025E+07  0.977297     0             2.41025E+07  0            0             2.41025E+07  0.977297      2.41025E+07  0             2.41025E+07  75.8126       3.0172E+08   2003.45       6.33333      -0.0629787    6.33333      -0.000363136  6.33333      0.10585       6.33333      -0.000569102  6.33333      0.145145      6.33333      -0.00016924   
