# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 1370 --seed 0 --bins 75 --run --relaxed 1 -f Relaxed/50mfp/ManyMoreInactive/50mfp.r1.dat , seed = 2741658306
# Arguments: rWidth = 0, source = Histogram, method = explicit, Iterations = 25, eigenvalues = 3, relaxed = 1, run = true, filename = Relaxed/50mfp/ManyMoreInactive/50mfp.r1.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 1370, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46            47           48           
# |-        Entropy       -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   500000       3.29207       1.13149E+06  0.99632      0             1.13149E+06  0            0             1.13149E+06  0.99632       1.13149E+06  0             1.13149E+06  0.990396     0             1.13149E+06  0.0180637    0             1.13149E+06  0.990396      1.13149E+06  0.0180637     1.13149E+06  0.990396     0             1.13149E+06  -0.0180637   0             1.13149E+06  0.990396      1.13149E+06  -0.0180637    1.13149E+06  3.33125       1.15428E+08  0             0.333333     0.00548126    0.333333     -0.000380993  0.333333     -0.00668349   0.333333     0.000179992   0.333333     -0.0150085    0.333333     0.000438472   
   515988       3.26805       2.23101E+06  1.00586      0             2.23101E+06  0            0             2.23101E+06  1.00586       2.23101E+06  0             2.23101E+06  0.999358     0             2.23101E+06  0            0             2.23101E+06  0.999358      2.23101E+06  0             2.23101E+06  0.973943     0             2.23101E+06  0            0             2.23101E+06  0.973943      2.23101E+06  0             2.23101E+06  6.88072       1.16512E+08  886.861       1            0.00953757    1            -0.000592493  1            -0.011049     1            0.000245232   1            -0.0248667    1            0.000524882   
   527090       3.35321       3.35916E+06  0.98964      0             3.35916E+06  0            0             3.35916E+06  0.98964       3.35916E+06  0             3.35916E+06  0.98534      0             3.35916E+06  0.00911268   0             3.35916E+06  0.98534       3.35916E+06  0.00911268    3.35916E+06  0.98534      0             3.35916E+06  -0.00911268  0             3.35916E+06  0.98534       3.35916E+06  -0.00911268   3.35916E+06  10.5196       1.17588E+08  404.344       1.66667      0.0135385     1.66667      -0.000714808  1.66667      -0.0156125    1.66667      0.000577012   1.66667      -0.0344194    1.66667      0.000716897   
   536613       3.4425        4.53276E+06  1.01578      0             4.53276E+06  0            0             4.53276E+06  1.01578       4.53276E+06  0             4.53276E+06  0.999974     0             4.53276E+06  0            0             4.53276E+06  0.999974      4.53276E+06  0             4.53276E+06  0.976386     0             4.53276E+06  0.00751226   0             4.53276E+06  0.976386      4.53276E+06  0.00751226    4.53276E+06  14.2857       1.18728E+08  6.07346       2.33333      0.0179351     2.33333      -0.000857628  2.33333      -0.0202179    2.33333      0.00047156    2.33333      -0.0439435    2.33333      0.000994811   
   544865       3.59725       5.68764E+06  0.99851      0             5.68764E+06  0            0             5.68764E+06  0.99851       5.68764E+06  0             5.68764E+06  0.990361     0             5.68764E+06  0.0151135    0             5.68764E+06  0.990361      5.68764E+06  0.0151135     5.68764E+06  0.990361     0             5.68764E+06  -0.0151135   0             5.68764E+06  0.990361      5.68764E+06  -0.0151135    5.68764E+06  17.9442       1.19956E+08  8.63156       3            0.0216643     3            -0.00092544   3            -0.0242078    3            0.000803562   3            -0.0519776    3            0.00110711    
   553038       3.71882       6.87586E+06  1.01135      0             6.87586E+06  0            0             6.87586E+06  1.01135       6.87586E+06  0             6.87586E+06  0.983531     0             6.87586E+06  0.00426867   0             6.87586E+06  0.983531      6.87586E+06  0.00426867    6.87586E+06  0.983531     0             6.87586E+06  -0.00426867  0             6.87586E+06  0.983531      6.87586E+06  -0.00426867   6.87586E+06  21.7679       1.21062E+08  11.1665       3.66667      0.0257575     3.66667      -0.00118762   3.66667      -0.0274548    3.66667      0.00129108    3.66667      -0.0595477    3.66667      0.00109228    
   561238       3.8803        8.00429E+06  1.00564      0             8.00429E+06  0            0             8.00429E+06  1.00564       8.00429E+06  0             8.00429E+06  0.993545     0             8.00429E+06  0            0             8.00429E+06  0.993545      8.00429E+06  0             8.00429E+06  0.970748     0             8.00429E+06  0            0             8.00429E+06  0.970748      8.00429E+06  0             8.00429E+06  25.4269       1.22231E+08  15.0557       4.33333      0.0291441     4.33333      -0.00115203   4.33333      -0.0309129    4.33333      0.00144653    4.33333      -0.0671143    4.33333      0.00123846    
   569630       3.92593       9.15143E+06  1.0092       0             9.15143E+06  0            0             9.15143E+06  1.0092        9.15143E+06  0             9.15143E+06  0.9944       0             9.15143E+06  0            0             9.15143E+06  0.9944        9.15143E+06  0             9.15143E+06  0.975838     0             9.15143E+06  0            0             9.15143E+06  0.975838      9.15143E+06  0             9.15143E+06  29.1292       1.23388E+08  17.9859       5            0.032523      5            -0.0014413    5            -0.0343535    5            0.00174007    5            -0.0727732    5            0.00119324    
   577395       3.97253       1.03285E+07  1.0032       0             1.03285E+07  0            0             1.03285E+07  1.0032        1.03285E+07  0             1.03285E+07  0.987679     0             1.03285E+07  0.00566378   0             1.03285E+07  0.987679      1.03285E+07  0.00566378    1.03285E+07  0.987679     0             1.03285E+07  -0.00566378  0             1.03285E+07  0.987679      1.03285E+07  -0.00566378   1.03285E+07  32.9276       1.24605E+08  21.8188       5.66667      0.0365599     5.66667      -0.00166146   5.66667      -0.0371239    5.66667      0.00180008    5.66667      -0.0782313    5.66667      0.00124123    
   584897       4.00045       1.14709E+07  0.999796     0             1.14709E+07  0            0             1.14709E+07  0.999796      1.14709E+07  0             1.14709E+07  0.987304     0             1.14709E+07  0            0             1.14709E+07  0.987304      1.14709E+07  0             1.14709E+07  0.978426     0             1.14709E+07  0.0135664    0             1.14709E+07  0.978426      1.14709E+07  0.0135664     1.14709E+07  36.5884       1.2571E+08   25.8739       6.33333      0.0397848     6.33333      -0.00194643   6.33333      -0.0396569    6.33333      0.00200432    6.33333      -0.0824786    6.33333      0.00100864    
