# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 50 --source Histogram --Iterations\n 25 --active 100 --seed 0 --bins 75 --run --relaxed 0.0 -f Relaxed/50mfp/50mfp.r0.0.dat , seed = 3950265905
# Arguments: source = Histogram, method = explicit, Iterations = 25, eigenvalues = 3, relaxed = 0, run = true, filename = Relaxed/50mfp/50mfp.r0.0.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 50, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8             9            10            11           12           13            14           15           16            17           18            19           20            21           22           23            24           25           26            27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.25E+07     0.996516     0             1.25E+07     0            0             1.25E+07     0.996516      1.25E+07     0             1.25E+07     0.989568     0             1.25E+07     0            0             1.25E+07     0.989568      1.25E+07     0             1.25E+07     0.977302     0             1.25E+07     0            0             1.25E+07     0.977302      1.25E+07     0             1.25E+07     68.476        6.375E+08    0             0.333333     0.0101321     0.333333     0             0.333333     0.0197665     0.333333     0             0.333333     -0.0301102    0.333333     0             
   2.5E+07      0.997514     0             2.5E+07      0            0             2.5E+07      0.997514      2.5E+07      0             2.5E+07      0.990159     0             2.5E+07      0            0             2.5E+07      0.990159      2.5E+07      0             2.5E+07      0.978399     0             2.5E+07      0            0             2.5E+07      0.978399      2.5E+07      0             2.5E+07      137.349       6.5E+08      38312.8       1            0.0167735     1            0             1            0.0332299     1            0             1            -0.0503816    1            0             
   3.75E+07     0.998976     0             3.75E+07     0            0             3.75E+07     0.998976      3.75E+07     0             3.75E+07     0.98927      0             3.75E+07     0            0             3.75E+07     0.98927       3.75E+07     0             3.75E+07     0.978093     0             3.75E+07     0            0             3.75E+07     0.978093      3.75E+07     0             3.75E+07     206.207       6.625E+08    25851.4       1.66667      0.0233044     1.66667      0             1.66667      0.0458543     1.66667      0             1.66667      -0.0689797    1.66667      0             
   5E+07        0.996215     0             5E+07        0            0             5E+07        0.996215      5E+07        0             5E+07        0.986693     0             5E+07        0            0             5E+07        0.986693      5E+07        0             5E+07        0.976685     0             5E+07        0            0             5E+07        0.976685      5E+07        0             5E+07        274.426       6.75E+08     8513.6        2.33333      0.0298627     2.33333      0             2.33333      0.0580122     2.33333      0             2.33333      -0.0863       2.33333      0             
   6.25E+07     0.995192     0             6.25E+07     0            0             6.25E+07     0.995192      6.25E+07     0             6.25E+07     0.988951     0             6.25E+07     0            0             6.25E+07     0.988951      6.25E+07     0             6.25E+07     0.977315     0             6.25E+07     0            0             6.25E+07     0.977315      6.25E+07     0             6.25E+07     342.988       6.875E+08    12303.8       3            0.0362382     3            0             3            0.0696571     3            0             3            -0.102169     3            0             
   7.5E+07      0.997135     0             7.5E+07      0            0             7.5E+07      0.997135      7.5E+07      0             7.5E+07      0.989914     0             7.5E+07      0            0             7.5E+07      0.989914      7.5E+07      0             7.5E+07      0.978402     0             7.5E+07      0            0             7.5E+07      0.978402      7.5E+07      0             7.5E+07      412.115       7E+08        13346.9       3.66667      0.0425284     3.66667      0             3.66667      0.0807361     3.66667      0             3.66667      -0.116476     3.66667      0             
   8.75E+07     1.0012       0             8.75E+07     0            0             8.75E+07     1.0012        8.75E+07     0             8.75E+07     0.988312     0             8.75E+07     0            0             8.75E+07     0.988312      8.75E+07     0             8.75E+07     0.977436     0             8.75E+07     0            0             8.75E+07     0.977436      8.75E+07     0             8.75E+07     480.843       7.125E+08    2055.12       4.33333      0.0483592     4.33333      0             4.33333      0.0912902     4.33333      0             4.33333      -0.129348     4.33333      0             
   1E+08        0.994935     0             1E+08        0            0             1E+08        0.994935      1E+08        0             1E+08        0.989911     0             1E+08        0            0             1E+08        0.989911      1E+08        0             1E+08        0.978218     0             1E+08        0            0             1E+08        0.978218      1E+08        0             1E+08        549.338       7.25E+08     2389.22       5            0.0545171     5            0             5            0.101685      5            0             5            -0.140136     5            0             
   1.125E+08    0.995344     0             1.125E+08    0            0             1.125E+08    0.995344      1.125E+08    0             1.125E+08    0.989334     0             1.125E+08    0            0             1.125E+08    0.989334      1.125E+08    0             1.125E+08    0.976354     0             1.125E+08    0            0             1.125E+08    0.976354      1.125E+08    0             1.125E+08    618.247       7.375E+08    2916.23       5.66667      0.0608745     5.66667      0             5.66667      0.110793      5.66667      0             5.66667      -0.148698     5.66667      0             
   1.25E+08     0.997759     0             1.25E+08     0            0             1.25E+08     0.997759      1.25E+08     0             1.25E+08     0.988863     0             1.25E+08     0            0             1.25E+08     0.988863      1.25E+08     0             1.25E+08     0.977655     0             1.25E+08     0            0             1.25E+08     0.977655      1.25E+08     0             1.25E+08     687.189       7.5E+08      3427.72       6.33333      0.0667502     6.33333      0             6.33333      0.119523      6.33333      0             6.33333      -0.155286     6.33333      0             
   1.375E+08    0.99784      0             1.375E+08    0            0             1.375E+08    0.99784       1.375E+08    0             1.375E+08    0.989619     0             1.375E+08    0            0             1.375E+08    0.989619      1.375E+08    0             1.375E+08    0.977565     0             1.375E+08    0            0             1.375E+08    0.977565      1.375E+08    0             1.375E+08    755.608       7.625E+08    3951.74       7            0.0724929     7            0             7            0.127019      7            0             7            -0.159198     7            0             
   1.5E+08      0.996935     0             1.5E+08      0            0             1.5E+08      0.996935      1.5E+08      0             1.5E+08      0.990375     0             1.5E+08      0            0             1.5E+08      0.990375      1.5E+08      0             1.5E+08      0.978946     0             1.5E+08      0            0             1.5E+08      0.978946      1.5E+08      0             1.5E+08      824.749       7.75E+08     2207.8        7.66667      0.0781823     7.66667      0             7.66667      0.133906      7.66667      0             7.66667      -0.160989     7.66667      0             
   1.625E+08    0.997934     0             1.625E+08    0            0             1.625E+08    0.997934      1.625E+08    0             1.625E+08    0.988401     0             1.625E+08    0            0             1.625E+08    0.988401      1.625E+08    0             1.625E+08    0.977748     0             1.625E+08    0            0             1.625E+08    0.977748      1.625E+08    0             1.625E+08    893.577       7.875E+08    2464.26       8.33333      0.0839026     8.33333      0             8.33333      0.140278      8.33333      0             8.33333      -0.160277     8.33333      0             
   1.75E+08     0.997341     0             1.75E+08     0            0             1.75E+08     0.997341      1.75E+08     0             1.75E+08     0.989449     0             1.75E+08     0            0             1.75E+08     0.989449      1.75E+08     0             1.75E+08     0.976087     0             1.75E+08     0            0             1.75E+08     0.976087      1.75E+08     0             1.75E+08     962.318       8E+08        2808.55       9            0.0895648     9            0             9            0.145265      9            0             9            -0.157155     9            0             
   1.875E+08    0.995809     0             1.875E+08    0            0             1.875E+08    0.995809      1.875E+08    0             1.875E+08    0.990552     0             1.875E+08    0            0             1.875E+08    0.990552      1.875E+08    0             1.875E+08    0.977652     0             1.875E+08    0            0             1.875E+08    0.977652      1.875E+08    0             1.875E+08    1031.06       8.125E+08    3170.44       9.66667      0.0949098     9.66667      0             9.66667      0.149458      9.66667      0             9.66667      -0.152088     9.66667      0             
   2E+08        0.999519     0             2E+08        0            0             2E+08        0.999519      2E+08        0             2E+08        0.98857      0             2E+08        0            0             2E+08        0.98857       2E+08        0             2E+08        0.976993     0             2E+08        0            0             2E+08        0.976993      2E+08        0             2E+08        1100.06       8.25E+08     3438.05       10.3333      0.100684      10.3333      0             10.3333      0.15271       10.3333      0             10.3333      -0.144651     10.3333      0             
   2.125E+08    0.998665     0             2.125E+08    0            0             2.125E+08    0.998665      2.125E+08    0             2.125E+08    0.988829     0             2.125E+08    0            0             2.125E+08    0.988829      2.125E+08    0             2.125E+08    0.975729     0             2.125E+08    0            0             2.125E+08    0.975729      2.125E+08    0             2.125E+08    1168.37       8.375E+08    3226.3        11           0.105878      11           0             11           0.154553      11           0             11           -0.134922     11           0             
   2.25E+08     0.996542     0             2.25E+08     0            0             2.25E+08     0.996542      2.25E+08     0             2.25E+08     0.989377     0             2.25E+08     0            0             2.25E+08     0.989377      2.25E+08     0             2.25E+08     0.979697     0             2.25E+08     0            0             2.25E+08     0.979697      2.25E+08     0             2.25E+08     1237.43       8.5E+08      3502.14       11.6667      0.110876      11.6667      0             11.6667      0.155896      11.6667      0             11.6667      -0.123352     11.6667      0             
