# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 50 --source Histogram --Iterations\n 25 --active 230 --seed 0 --bins 75 --run --relaxed 0.01 -f Relaxed/50mfp/50mfp.r0.01.dat , seed = 3607381327
# Arguments: source = Histogram, method = explicit, Iterations = 25, eigenvalues = 3, relaxed = 0.01, run = true, filename = Relaxed/50mfp/50mfp.r0.01.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 230, inactive = 50, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8             9            10            11           12           13            14           15           16            17           18            19           20            21           22           23            24           25           26            27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   4.87144E+06  0.997438     0             4.87144E+06  0            0             4.87144E+06  0.997438      4.87144E+06  0             4.87144E+06  0.992714     0             4.87144E+06  0            0             4.87144E+06  0.992714      4.87144E+06  0             4.87144E+06  0.978173     0             4.87144E+06  0            0             4.87144E+06  0.978173      4.87144E+06  0             4.87144E+06  25.9905       3.54383E+08  0             0.333333     0.00961904    0.333333     0             0.333333     -0.0193466    0.333333     0             0.333333     -0.0295541    0.333333     0             
   1.53825E+07  0.999293     0             1.53825E+07  0            0             1.53825E+07  0.999293      1.53825E+07  0             1.53825E+07  0.989706     0             1.53825E+07  0            0             1.53825E+07  0.989706      1.53825E+07  0             1.53825E+07  0.976252     0             1.53825E+07  0            0             1.53825E+07  0.976252      1.53825E+07  0             1.53825E+07  83.5174       3.6234E+08   667.94        1            0.0162908     1            0             1            -0.0323289    1            0             1            -0.0496004    1            0             
   2.35607E+07  0.996004     0             2.35607E+07  0            0             2.35607E+07  0.996004      2.35607E+07  0             2.35607E+07  0.99063      0             2.35607E+07  0            0             2.35607E+07  0.99063       2.35607E+07  0             2.35607E+07  0.975153     0             2.35607E+07  0            0             2.35607E+07  0.975153      2.35607E+07  0             2.35607E+07  128.467       3.69623E+08  1230.62       1.66667      0.022705      1.66667      0             1.66667      -0.0445967    1.66667      0             1.66667      -0.0679432    1.66667      0             
   3.06899E+07  0.997713     0             3.06899E+07  0            0             3.06899E+07  0.997713      3.06899E+07  0             3.06899E+07  0.988171     0             3.06899E+07  0            0             3.06899E+07  0.988171      3.06899E+07  0             3.06899E+07  0.977276     0             3.06899E+07  0            0             3.06899E+07  0.977276      3.06899E+07  0             3.06899E+07  167.269       3.75665E+08  2082.76       2.33333      0.0287332     2.33333      0             2.33333      -0.0564957    2.33333      0             2.33333      -0.0851442    2.33333      0             
   3.76789E+07  0.997738     0             3.76789E+07  0            0             3.76789E+07  0.997738      3.76789E+07  0             3.76789E+07  0.991568     0             3.76789E+07  0            0             3.76789E+07  0.991568      3.76789E+07  0             3.76789E+07  0.975801     0             3.76789E+07  0            0             3.76789E+07  0.975801      3.76789E+07  0             3.76789E+07  205.777       3.8368E+08   3115.31       3            0.0348693     3            0             3            -0.0679809    3            0             3            -0.100889     3            0             
   4.47632E+07  0.999075     0             4.47632E+07  0            0             4.47632E+07  0.999075      4.47632E+07  0             4.47632E+07  0.98789      0             4.47632E+07  0            0             4.47632E+07  0.98789       4.47632E+07  0             4.47632E+07  0.977935     0             4.47632E+07  0            0             4.47632E+07  0.977935      4.47632E+07  0             4.47632E+07  244.634       3.91516E+08  3032.97       3.66667      0.0410127     3.66667      0             3.66667      -0.0792073    3.66667      0             3.66667      -0.115296     3.66667      0             
   5.19879E+07  0.998748     0             5.19879E+07  0            0             5.19879E+07  0.998748      5.19879E+07  0             5.19879E+07  0.990546     0             5.19879E+07  0            0             5.19879E+07  0.990546      5.19879E+07  0             5.19879E+07  0.97939      0             5.19879E+07  0            0             5.19879E+07  0.97939       5.19879E+07  0             5.19879E+07  284.251       3.98688E+08  3986.17       4.33333      0.0468707     4.33333      0             4.33333      -0.0899186    4.33333      0             4.33333      -0.127781     4.33333      0             
   5.80896E+07  0.997841     0             5.80896E+07  0            0             5.80896E+07  0.997841      5.80896E+07  0             5.80896E+07  0.989171     0             5.80896E+07  0            0             5.80896E+07  0.989171      5.80896E+07  0             5.80896E+07  0.977687     0             5.80896E+07  0            0             5.80896E+07  0.977687      5.80896E+07  0             5.80896E+07  317.811       4.05847E+08  4792.63       5            0.0529898     5            0             5            -0.0998939    5            0             5            -0.138255     5            0             
   6.47535E+07  0.99935      0             6.47535E+07  0            0             6.47535E+07  0.99935       6.47535E+07  0             6.47535E+07  0.991391     0             6.47535E+07  0            0             6.47535E+07  0.991391      6.47535E+07  0             6.47535E+07  0.976426     0             6.47535E+07  0            0             6.47535E+07  0.976426      6.47535E+07  0             6.47535E+07  354.378       4.13772E+08  5501.45       5.66667      0.0587175     5.66667      0             5.66667      -0.10924      5.66667      0             5.66667      -0.146627     5.66667      0             
   7.0542E+07   0.996664     0             7.0542E+07   0            0             7.0542E+07   0.996664      7.0542E+07   0             7.0542E+07   0.987483     0             7.0542E+07   0            0             7.0542E+07   0.987483      7.0542E+07   0             7.0542E+07   0.976652     0             7.0542E+07   0            0             7.0542E+07   0.976652      7.0542E+07   0             7.0542E+07   386.215       4.20069E+08  6364.87       6.33333      0.0645807     6.33333      0             6.33333      -0.11804      6.33333      0             6.33333      -0.153028     6.33333      0             
