# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 50 --source Histogram --Iterations\n 25 --active 1370 --seed 0 --bins 75 --run --relaxed 1 -f Relaxed/50mfp/50mfp.r1.dat , seed = 1482674210
# Arguments: source = Histogram, method = explicit, Iterations = 25, eigenvalues = 3, relaxed = 1, run = true, filename = Relaxed/50mfp/50mfp.r1.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 1370, inactive = 50, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8             9            10            11           12           13            14           15           16            17           18            19           20            21           22           23            24           25           26            27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.12237E+06  0.996215     0             1.12237E+06  0.00758608   0             1.12237E+06  0.996215      1.12237E+06  0.00758608    1.12237E+06  0.996215     0             1.12237E+06  -0.00758608  0             1.12237E+06  0.996215      1.12237E+06  -0.00758608   1.12237E+06  0.977382     0             1.12237E+06  0            0             1.12237E+06  0.977382      1.12237E+06  0             1.12237E+06  11.2071       5.75413E+07  0             0.333333     -0.00588677   0.333333     4.3996E-05    0.333333     -0.00961349   0.333333     4.27171E-05   0.333333     0.0113674     0.333333     0.000453108   
   2.21665E+06  1.00079      0             2.21665E+06  0.00590215   0             2.21665E+06  1.00079       2.21665E+06  0.00590215    2.21665E+06  1.00079      0             2.21665E+06  -0.00590215  0             2.21665E+06  1.00079       2.21665E+06  -0.00590215   2.21665E+06  0.960682     0             2.21665E+06  0.0202668    0             2.21665E+06  0.960682      2.21665E+06  0.0202668     2.21665E+06  17.8828       5.86405E+07  6141.59       1            -0.010006     1            0.000178702   1            -0.0165479    1            0.000485479   1            0.019146      1            0.000676424   
   3.30162E+06  0.997235     0             3.30162E+06  0.0038387    0             3.30162E+06  0.997235      3.30162E+06  0.0038387     3.30162E+06  0.997235     0             3.30162E+06  -0.0038387   0             3.30162E+06  0.997235      3.30162E+06  -0.0038387    3.30162E+06  0.973559     0             3.30162E+06  0.00906838   0             3.30162E+06  0.973559      3.30162E+06  0.00906838    3.30162E+06  23.8993       5.98312E+07  173.139       1.66667      -0.0139219    1.66667      1.50032E-05   1.66667      -0.022515     1.66667      0.000769677   1.66667      0.0260072     1.66667      0.000796683   
   4.45785E+06  1.00417      0             4.45785E+06  0            0             4.45785E+06  1.00417       4.45785E+06  0             4.45785E+06  0.993139     0             4.45785E+06  0.00688102   0             4.45785E+06  0.993139      4.45785E+06  0.00688102    4.45785E+06  0.993139     0             4.45785E+06  -0.00688102  0             4.45785E+06  0.993139      4.45785E+06  -0.00688102   4.45785E+06  31.0667       6.10076E+07  301.688       2.33333      -0.0176298    2.33333      5.99965E-05   2.33333      -0.0282696    2.33333      0.000851985   2.33333      0.0330531     2.33333      0.000755829   
   5.51685E+06  1.00547      0             5.51685E+06  0            0             5.51685E+06  1.00547       5.51685E+06  0             5.51685E+06  0.977461     0             5.51685E+06  0.00121714   0             5.51685E+06  0.977461      5.51685E+06  0.00121714    5.51685E+06  0.977461     0             5.51685E+06  -0.00121714  0             5.51685E+06  0.977461      5.51685E+06  -0.00121714   5.51685E+06  37.0142       6.21477E+07  355.916       3            -0.0213503    3            -3.16395E-05  3            -0.0339528    3            0.00092592    3            0.039711      3            0.00104626    
   6.67928E+06  1.00677      0             6.67928E+06  0            0             6.67928E+06  1.00677       6.67928E+06  0             6.67928E+06  0.990166     0             6.67928E+06  0            0             6.67928E+06  0.990166      6.67928E+06  0             6.67928E+06  0.974181     0             6.67928E+06  0            0             6.67928E+06  0.974181      6.67928E+06  0             6.67928E+06  43.4705       6.33219E+07  60.6877       3.66667      -0.0247207    3.66667      8.88495E-05   3.66667      -0.0394497    3.66667      0.000987732   3.66667      0.0447325     3.66667      0.00124884    
   7.82117E+06  1.00647      0             7.82117E+06  0            0             7.82117E+06  1.00647       7.82117E+06  0             7.82117E+06  0.990617     0             7.82117E+06  0.00526941   0             7.82117E+06  0.990617      7.82117E+06  0.00526941    7.82117E+06  0.990617     0             7.82117E+06  -0.00526941  0             7.82117E+06  0.990617      7.82117E+06  -0.00526941   7.82117E+06  49.7905       6.44968E+07  78.6902       4.33333      -0.0284296    4.33333      0.000124899   4.33333      -0.0450292    4.33333      0.000881885   4.33333      0.0493396     4.33333      0.000692455   
   8.9425E+06   1.00625      0             8.9425E+06   0            0             8.9425E+06   1.00625       8.9425E+06   0             8.9425E+06   0.992455     0             8.9425E+06   0.00671462   0             8.9425E+06   0.992455      8.9425E+06   0.00671462    8.9425E+06   0.992455     0             8.9425E+06   -0.00671462  0             8.9425E+06   0.992455      8.9425E+06   -0.00671462   8.9425E+06   55.9858       6.56765E+07  98.7911       5            -0.0317886    5            0.000166617   5            -0.0502288    5            0.000707423   5            0.0536795     5            0.0010064     
   1.00193E+07  1.00622      0             1.00193E+07  0            0             1.00193E+07  1.00622       1.00193E+07  0             1.00193E+07  1.00098      0             1.00193E+07  0            0             1.00193E+07  1.00098       1.00193E+07  0             1.00193E+07  0.969674     0             1.00193E+07  0            0             1.00193E+07  0.969674      1.00193E+07  0             1.00193E+07  61.9778       6.68067E+07  122.827       5.66667      -0.0349785    5.66667      0.000175039   5.66667      -0.0555854    5.66667      0.000740912   5.66667      0.0568488     5.66667      0.000955711   
   1.11541E+07  1.00948      0             1.11541E+07  0            0             1.11541E+07  1.00948       1.11541E+07  0             1.11541E+07  0.992307     0             1.11541E+07  0            0             1.11541E+07  0.992307      1.11541E+07  0             1.11541E+07  0.973362     0             1.11541E+07  0            0             1.11541E+07  0.973362      1.11541E+07  0             1.11541E+07  68.2417       6.79328E+07  144.803       6.33333      -0.038225     6.33333      4.60927E-05   6.33333      -0.0602427    6.33333      0.000512519   6.33333      0.0604591     6.33333      0.000919538   
