# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 25 --source Histogram --Iterations\n 25 --active 100 --seed 0 --bins 75 --run --relaxed 0.0 -f Relaxed/50mfp/50mfp.r0.0.dat , seed = 46462771
# Arguments: source = Histogram, method = explicit, Iterations = 25, eigenvalues = 3, relaxed = 0, run = true, filename = Relaxed/50mfp/50mfp.r0.0.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 25, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8             9            10            11           12           13            14           15           16            17           18            19           20            21           22           23            24           25           26            27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.25E+07     0.998061     0             1.25E+07     0            0             1.25E+07     0.998061      1.25E+07     0             1.25E+07     0.989412     0             1.25E+07     0            0             1.25E+07     0.989412      1.25E+07     0             1.25E+07     0.977518     0             1.25E+07     0            0             1.25E+07     0.977518      1.25E+07     0             1.25E+07     68.1573       3.25E+08     0             0.333333     0.0100046     0.333333     0             0.333333     0.0197403     0.333333     0             0.333333     0.0298944     0.333333     0             
   2.5E+07      0.998265     0             2.5E+07      0            0             2.5E+07      0.998265      2.5E+07      0             2.5E+07      0.989447     0             2.5E+07      0            0             2.5E+07      0.989447      2.5E+07      0             2.5E+07      0.976316     0             2.5E+07      0            0             2.5E+07      0.976316      2.5E+07      0             2.5E+07      136.282       3.375E+08    2961.65       1            0.0167791     1            0             1            0.033021      1            0             1            0.0501843     1            0             
   3.75E+07     0.999527     0             3.75E+07     0            0             3.75E+07     0.999527      3.75E+07     0             3.75E+07     0.988256     0             3.75E+07     0            0             3.75E+07     0.988256      3.75E+07     0             3.75E+07     0.976867     0             3.75E+07     0            0             3.75E+07     0.976867      3.75E+07     0             3.75E+07     204.828       3.5E+08      3463.46       1.66667      0.0235685     1.66667      0             1.66667      0.0458259     1.66667      0             1.66667      0.068809      1.66667      0             
   5E+07        0.998537     0             5E+07        0            0             5E+07        0.998537      5E+07        0             5E+07        0.990079     0             5E+07        0            0             5E+07        0.990079      5E+07        0             5E+07        0.976369     0             5E+07        0            0             5E+07        0.976369      5E+07        0             5E+07        273.148       3.625E+08    5875.15       2.33333      0.0299579     2.33333      0             2.33333      0.0580394     2.33333      0             2.33333      0.0861409     2.33333      0             
   6.25E+07     0.995881     0             6.25E+07     0            0             6.25E+07     0.995881      6.25E+07     0             6.25E+07     0.98956      0             6.25E+07     0            0             6.25E+07     0.98956       6.25E+07     0             6.25E+07     0.97738      0             6.25E+07     0            0             6.25E+07     0.97738       6.25E+07     0             6.25E+07     341.588       3.75E+08     4887.68       3            0.0366847     3            0             3            0.0694351     3            0             3            0.101972      3            0             
   7.5E+07      0.997391     0             7.5E+07      0            0             7.5E+07      0.997391      7.5E+07      0             7.5E+07      0.990458     0             7.5E+07      0            0             7.5E+07      0.990458      7.5E+07      0             7.5E+07      0.976683     0             7.5E+07      0            0             7.5E+07      0.976683      7.5E+07      0             7.5E+07      410.115       3.875E+08    4847.99       3.66667      0.04281       3.66667      0             3.66667      0.0808802     3.66667      0             3.66667      0.116447      3.66667      0             
   8.75E+07     0.999281     0             8.75E+07     0            0             8.75E+07     0.999281      8.75E+07     0             8.75E+07     0.98973      0             8.75E+07     0            0             8.75E+07     0.98973       8.75E+07     0             8.75E+07     0.976831     0             8.75E+07     0            0             8.75E+07     0.976831      8.75E+07     0             8.75E+07     478.507       4E+08        4359.88       4.33333      0.0489039     4.33333      0             4.33333      0.0918247     4.33333      0             4.33333      0.128905      4.33333      0             
   1E+08        0.997834     0             1E+08        0            0             1E+08        0.997834      1E+08        0             1E+08        0.990649     0             1E+08        0            0             1E+08        0.990649      1E+08        0             1E+08        0.978026     0             1E+08        0            0             1E+08        0.978026      1E+08        0             1E+08        547.03        4.125E+08    4266.22       5            0.0553024     5            0             5            0.102354      5            0             5            0.139638      5            0             
   1.125E+08    0.998078     0             1.125E+08    0            0             1.125E+08    0.998078      1.125E+08    0             1.125E+08    0.990207     0             1.125E+08    0            0             1.125E+08    0.990207      1.125E+08    0             1.125E+08    0.977546     0             1.125E+08    0            0             1.125E+08    0.977546      1.125E+08    0             1.125E+08    615.516       4.25E+08     3577.06       5.66667      0.061307      5.66667      0             5.66667      0.111881      5.66667      0             5.66667      0.148215      5.66667      0             
   1.25E+08     0.998625     0             1.25E+08     0            0             1.25E+08     0.998625      1.25E+08     0             1.25E+08     0.990576     0             1.25E+08     0            0             1.25E+08     0.990576      1.25E+08     0             1.25E+08     0.975894     0             1.25E+08     0            0             1.25E+08     0.975894      1.25E+08     0             1.25E+08     684.334       4.375E+08    4278.12       6.33333      0.0672061     6.33333      0             6.33333      0.120761      6.33333      0             6.33333      0.154701      6.33333      0             
