# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 25 --source Histogram --Iterations\n 25 --active 800 --seed 0 --bins 75 --run --relaxed 0.1 -f Relaxed/50mfp/50mfp.r0.1.dat , seed = 498219432
# Arguments: source = Histogram, method = explicit, Iterations = 25, eigenvalues = 3, relaxed = 0.1, run = true, filename = Relaxed/50mfp/50mfp.r0.1.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 800, inactive = 25, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8             9            10            11           12           13            14           15           16            17           18            19           20            21           22           23            24           25           26            27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.67182E+06  0.993877     0             1.67182E+06  0            0             1.67182E+06  0.993877      1.67182E+06  0             1.67182E+06  0.9915       0             1.67182E+06  0            0             1.67182E+06  0.9915        1.67182E+06  0             1.67182E+06  0.974033     0             1.67182E+06  0            0             1.67182E+06  0.974033      1.67182E+06  0             1.67182E+06  8.67043       5.08375E+07  0             0.333333     0.00897193    0.333333     8.56654E-05   0.333333     0.0142971     0.333333     -0.000265828  0.333333     -0.0236064    0.333333     -1.06304E-05  
   3.37787E+06  0.998877     0             3.37787E+06  0            0             3.37787E+06  0.998877      3.37787E+06  0             3.37787E+06  0.99289      0             3.37787E+06  0            0             3.37787E+06  0.99289       3.37787E+06  0             3.37787E+06  0.978111     0             3.37787E+06  0            0             3.37787E+06  0.978111      3.37787E+06  0             3.37787E+06  18.083        5.2841E+07   1087.19       1            0.0151077     1            6.94852E-05   1            0.0239092     1            -0.000299369  1            -0.0394698    1            0.000116342   
   5.643E+06    0.999865     0             5.643E+06    0            0             5.643E+06    0.999865      5.643E+06    0             5.643E+06    0.995432     0             5.643E+06    0            0             5.643E+06    0.995432      5.643E+06    0             5.643E+06    0.976858     0             5.643E+06    0            0             5.643E+06    0.976858      5.643E+06    0             5.643E+06    30.5624       5.46146E+07  1176.05       1.66667      0.0212535     1.66667      5.65985E-05   1.66667      0.0333589     1.66667      -0.000420786  1.66667      -0.0538153    1.66667      6.35695E-05   
   8.14433E+06  1.00008      0             8.14433E+06  0            0             8.14433E+06  1.00008       8.14433E+06  0             8.14433E+06  0.988472     0             8.14433E+06  0            0             8.14433E+06  0.988472      8.14433E+06  0             8.14433E+06  0.977319     0             8.14433E+06  0            0             8.14433E+06  0.977319      8.14433E+06  0             8.14433E+06  44.2506       5.61819E+07  1979.81       2.33333      0.0273118     2.33333      5.13521E-05   2.33333      0.0425374     2.33333      -0.000539801  2.33333      -0.0673144    2.33333      9.42218E-05   
   1.00047E+07  0.996126     0             1.00047E+07  0            0             1.00047E+07  0.996126      1.00047E+07  0             1.00047E+07  0.989528     0             1.00047E+07  0            0             1.00047E+07  0.989528      1.00047E+07  0             1.00047E+07  0.978722     0             1.00047E+07  0            0             1.00047E+07  0.978722      1.00047E+07  0             1.00047E+07  54.5208       5.85238E+07  2811.19       3            0.0332131     3            3.31553E-05   3            0.0512919     3            -0.000698792  3            -0.0803035    3            0.000117382   
   1.18554E+07  0.994544     0             1.18554E+07  0            0             1.18554E+07  0.994544      1.18554E+07  0             1.18554E+07  0.987214     0             1.18554E+07  0            0             1.18554E+07  0.987214      1.18554E+07  0             1.18554E+07  0.974093     0             1.18554E+07  0            0             1.18554E+07  0.974093      1.18554E+07  0             1.18554E+07  64.6308       6.0186E+07   2940.64       3.66667      0.0385297     3.66667      7.68354E-05   3.66667      0.0596536     3.66667      -0.000711664  3.66667      -0.0919286    3.66667      6.92437E-05   
   1.40774E+07  1.00725      0             1.40774E+07  0            0             1.40774E+07  1.00725       1.40774E+07  0             1.40774E+07  0.992967     0             1.40774E+07  0            0             1.40774E+07  0.992967      1.40774E+07  0             1.40774E+07  0.976932     0             1.40774E+07  0            0             1.40774E+07  0.976932      1.40774E+07  0             1.40774E+07  76.7574       6.19286E+07  3893.63       4.33333      0.0440164     4.33333      1.93458E-05   4.33333      0.0676631     4.33333      -0.00069182   4.33333      -0.10246      4.33333      0.000123256   
   1.61196E+07  0.999319     0             1.61196E+07  0            0             1.61196E+07  0.999319      1.61196E+07  0             1.61196E+07  0.986505     0             1.61196E+07  0            0             1.61196E+07  0.986505      1.61196E+07  0             1.61196E+07  0.976995     0             1.61196E+07  0            0             1.61196E+07  0.976995      1.61196E+07  0             1.61196E+07  87.9402       6.39153E+07  4655.18       5            0.0492532     5            4.94405E-05   5            0.0752157     5            -0.000631325  5            -0.111306     5            0.000118918   
   1.78746E+07  1.00191      0             1.78746E+07  0            0             1.78746E+07  1.00191       1.78746E+07  0             1.78746E+07  0.992758     0             1.78746E+07  0            0             1.78746E+07  0.992758      1.78746E+07  0             1.78746E+07  0.979666     0             1.78746E+07  0            0             1.78746E+07  0.979666      1.78746E+07  0             1.78746E+07  97.5926       6.58377E+07  5707.8        5.66667      0.0542473     5.66667      2.80114E-05   5.66667      0.0821195     5.66667      -0.000674334  5.66667      -0.118955     5.66667      0.000218635   
   1.97917E+07  0.998126     0             1.97917E+07  0            0             1.97917E+07  0.998126      1.97917E+07  0             1.97917E+07  0.987847     0             1.97917E+07  0            0             1.97917E+07  0.987847      1.97917E+07  0             1.97917E+07  0.97219      0             1.97917E+07  0            0             1.97917E+07  0.97219       1.97917E+07  0             1.97917E+07  108.139       6.75068E+07  4059.25       6.33333      0.0593609     6.33333      -2.06172E-05  6.33333      0.0884743     6.33333      -0.000739554  6.33333      -0.12458      6.33333      5.02203E-05   
