# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 25 --source Histogram --Iterations\n 25 --active 100 --seed 0 --bins 75 --run --relaxed 0.0 -f Relaxed/50mfp/Trial2/50mfp.r0.0.dat , seed = 3952699703
# Arguments: source = Histogram, method = explicit, Iterations = 25, eigenvalues = 3, relaxed = 0, run = true, filename = Relaxed/50mfp/Trial2/50mfp.r0.0.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 25, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8             9            10            11           12           13            14           15           16            17           18            19           20            21           22           23            24           25           26            27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.25E+07     0.996702     0             1.25E+07     0            0             1.25E+07     0.996702      1.25E+07     0             1.25E+07     0.990076     0             1.25E+07     0            0             1.25E+07     0.990076      1.25E+07     0             1.25E+07     0.97598      0             1.25E+07     0            0             1.25E+07     0.97598       1.25E+07     0             1.25E+07     68.8267       3.25E+08     0             0.333333     -0.0098344    0.333333     0             0.333333     0.020158      0.333333     0             0.333333     -0.0302666    0.333333     0             
   2.5E+07      0.997396     0             2.5E+07      0            0             2.5E+07      0.997396      2.5E+07      0             2.5E+07      0.990098     0             2.5E+07      0            0             2.5E+07      0.990098      2.5E+07      0             2.5E+07      0.977337     0             2.5E+07      0            0             2.5E+07      0.977337      2.5E+07      0             2.5E+07      137.798       3.375E+08    1230.81       1            -0.0164433    1            0             1            0.0336679     1            0             1            -0.0503547    1            0             
   3.75E+07     0.998356     0             3.75E+07     0            0             3.75E+07     0.998356      3.75E+07     0             3.75E+07     0.988603     0             3.75E+07     0            0             3.75E+07     0.988603      3.75E+07     0             3.75E+07     0.976932     0             3.75E+07     0            0             3.75E+07     0.976932      3.75E+07     0             3.75E+07     206.582       3.5E+08      2150.46       1.66667      -0.0228606    1.66667      0             1.66667      0.0467205     1.66667      0             1.66667      -0.0690538    1.66667      0             
   5E+07        0.9967       0             5E+07        0            0             5E+07        0.9967        5E+07        0             5E+07        0.987965     0             5E+07        0            0             5E+07        0.987965      5E+07        0             5E+07        0.976791     0             5E+07        0            0             5E+07        0.976791      5E+07        0             5E+07        275.563       3.625E+08    2695.92       2.33333      -0.0288871    2.33333      0             2.33333      0.0590834     2.33333      0             2.33333      -0.0868589    2.33333      0             
   6.25E+07     0.997644     0             6.25E+07     0            0             6.25E+07     0.997644      6.25E+07     0             6.25E+07     0.989346     0             6.25E+07     0            0             6.25E+07     0.989346      6.25E+07     0             6.25E+07     0.976888     0             6.25E+07     0            0             6.25E+07     0.976888      6.25E+07     0             6.25E+07     344.469       3.75E+08     4038.38       3            -0.0350822    3            0             3            0.0712886     3            0             3            -0.103002     3            0             
   7.5E+07      0.999313     0             7.5E+07      0            0             7.5E+07      0.999313      7.5E+07      0             7.5E+07      0.988188     0             7.5E+07      0            0             7.5E+07      0.988188      7.5E+07      0             7.5E+07      0.975806     0             7.5E+07      0            0             7.5E+07      0.975806      7.5E+07      0             7.5E+07      413.577       3.875E+08    2326.22       3.66667      -0.041327     3.66667      0             3.66667      0.082924      3.66667      0             3.66667      -0.11764      3.66667      0             
   8.75E+07     0.99643      0             8.75E+07     0            0             8.75E+07     0.99643       8.75E+07     0             8.75E+07     0.990182     0             8.75E+07     0            0             8.75E+07     0.990182      8.75E+07     0             8.75E+07     0.976333     0             8.75E+07     0            0             8.75E+07     0.976333      8.75E+07     0             8.75E+07     482.565       4E+08        2981.73       4.33333      -0.0473929    4.33333      0             4.33333      0.0940449     4.33333      0             4.33333      -0.13054      4.33333      0             
   1E+08        0.99802      0             1E+08        0            0             1E+08        0.99802       1E+08        0             1E+08        0.989986     0             1E+08        0            0             1E+08        0.989986      1E+08        0             1E+08        0.977695     0             1E+08        0            0             1E+08        0.977695      1E+08        0             1E+08        551.278       4.125E+08    3242.79       5            -0.0531884    5            0             5            0.104486      5            0             5            -0.141369     5            0             
   1.125E+08    0.99865      0             1.125E+08    0            0             1.125E+08    0.99865       1.125E+08    0             1.125E+08    0.990265     0             1.125E+08    0            0             1.125E+08    0.990265      1.125E+08    0             1.125E+08    0.978007     0             1.125E+08    0            0             1.125E+08    0.978007      1.125E+08    0             1.125E+08    620.252       4.25E+08     3751.66       5.66667      -0.0592718    5.66667      0             5.66667      0.114157      5.66667      0             5.66667      -0.149537     5.66667      0             
   1.25E+08     0.998235     0             1.25E+08     0            0             1.25E+08     0.998235      1.25E+08     0             1.25E+08     0.991299     0             1.25E+08     0            0             1.25E+08     0.991299      1.25E+08     0             1.25E+08     0.976462     0             1.25E+08     0            0             1.25E+08     0.976462      1.25E+08     0             1.25E+08     689.198       4.375E+08    4438.8        6.33333      -0.0652429    6.33333      0             6.33333      0.122574      6.33333      0             6.33333      -0.155883     6.33333      0             
