# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 25 --source Histogram --Iterations\n 25 --active 1370 --seed 0 --bins 75 --run --relaxed 1 -f Relaxed/50mfp/50mfp.r1.dat , seed = 4081459576
# Arguments: source = Histogram, method = explicit, Iterations = 25, eigenvalues = 3, relaxed = 1, run = true, filename = Relaxed/50mfp/50mfp.r1.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 1370, inactive = 25, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8             9            10            11           12           13            14           15           16            17           18            19           20            21           22           23            24           25           26            27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.06578E+06  0.995304     0             1.06578E+06  0            0             1.06578E+06  0.995304      1.06578E+06  0             1.06578E+06  0.99034      0             1.06578E+06  0.0187192    0             1.06578E+06  0.99034       1.06578E+06  0.0187192     1.06578E+06  0.99034      0             1.06578E+06  -0.0187192   0             1.06578E+06  0.99034       1.06578E+06  -0.0187192    1.06578E+06  5.49001       2.92052E+07  0             0.333333     0.00564351    0.333333     -0.000265113  0.333333     -0.00086603   0.333333     0.000408409   0.333333     0.015316      0.333333     2.69801E-05   
   2.2667E+06   0.992441     0             2.2667E+06   0.00570454   0             2.2667E+06   0.992441      2.2667E+06   0.00570454    2.2667E+06   0.992441     0             2.2667E+06   -0.00570454  0             2.2667E+06   0.992441      2.2667E+06   -0.00570454   2.2667E+06   0.977113     0             2.2667E+06   0.00983744   0             2.2667E+06   0.977113      2.2667E+06   0.00983744    2.2667E+06   12.1314       3.02926E+07  5026.23       1            0.00968186    1            -0.000400232  1            -0.00173341   1            0.000571894   1            0.0255493     1            5.88892E-06   
   3.37122E+06  1.00219      0             3.37122E+06  0            0             3.37122E+06  1.00219       3.37122E+06  0             3.37122E+06  0.984874     0             3.37122E+06  0            0             3.37122E+06  0.984874      3.37122E+06  0             3.37122E+06  0.969607     0             3.37122E+06  0            0             3.37122E+06  0.969607      3.37122E+06  0             3.37122E+06  18.2026       3.14249E+07  10090.6       1.66667      0.0141263     1.66667      -0.000474323  1.66667      -0.00231102   1.66667      0.000493602   1.66667      0.0345332     1.66667      -0.000167569  
   4.51838E+06  1.00124      0             4.51838E+06  0            0             4.51838E+06  1.00124       4.51838E+06  0             4.51838E+06  0.990088     0             4.51838E+06  0.00773951   0             4.51838E+06  0.990088      4.51838E+06  0.00773951    4.51838E+06  0.990088     0             4.51838E+06  -0.00773951  0             4.51838E+06  0.990088      4.51838E+06  -0.00773951   4.51838E+06  24.5148       3.25544E+07  1764.72       2.33333      0.018088      2.33333      -0.00053449   2.33333      -0.00289114   2.33333      0.000453883   2.33333      0.0435098     2.33333      -9.24439E-05  
   5.62505E+06  1.01636      0             5.62505E+06  0            0             5.62505E+06  1.01636       5.62505E+06  0             5.62505E+06  0.999111     0             5.62505E+06  0            0             5.62505E+06  0.999111      5.62505E+06  0             5.62505E+06  0.969223     0             5.62505E+06  0            0             5.62505E+06  0.969223      5.62505E+06  0             5.62505E+06  30.626        3.36983E+07  1615.36       3            0.0214152     3            -0.000591457  3            -0.00357509   3            0.000560836   3            0.0523798     3            -0.000106494  
   6.74219E+06  1.00362      0             6.74219E+06  0.00243409   0             6.74219E+06  1.00362       6.74219E+06  0.00243409    6.74219E+06  1.00362      0             6.74219E+06  -0.00243409  0             6.74219E+06  1.00362       6.74219E+06  -0.00243409   6.74219E+06  0.976972     0             6.74219E+06  0.0158183    0             6.74219E+06  0.976972      6.74219E+06  0.0158183     6.74219E+06  36.7995       3.48321E+07  1842.52       3.66667      0.0252544     3.66667      -0.000603537  3.66667      -0.00443838   3.66667      0.000432384   3.66667      0.0593759     3.66667      -0.000264482  
   7.81156E+06  1.00865      0             7.81156E+06  0            0             7.81156E+06  1.00865       7.81156E+06  0             7.81156E+06  0.996953     0             7.81156E+06  0            0             7.81156E+06  0.996953      7.81156E+06  0             7.81156E+06  0.98325      0             7.81156E+06  0.00903469   0             7.81156E+06  0.98325       7.81156E+06  0.00903469    7.81156E+06  43.8876       3.60374E+07  1492          4.33333      0.028892      4.33333      -0.000508749  4.33333      -0.00521182   4.33333      0.000317534   4.33333      0.0664009     4.33333      -0.000380875  
   8.97189E+06  0.996473     0             8.97189E+06  0.00808703   0             8.97189E+06  0.996473      8.97189E+06  0.00808703    8.97189E+06  0.996473     0             8.97189E+06  -0.00808703  0             8.97189E+06  0.996473      8.97189E+06  -0.00808703   8.97189E+06  0.963263     0             8.97189E+06  0.00358874   0             8.97189E+06  0.963263      8.97189E+06  0.00358874    8.97189E+06  50.35         3.70899E+07  1222.43       5            0.0323982     5            -0.00062354   5            -0.00528385   5            0.000399121   5            0.0719402     5            -0.000472188  
   1.00773E+07  1.01139      0             1.00773E+07  0            0             1.00773E+07  1.01139       1.00773E+07  0             1.00773E+07  0.991949     0             1.00773E+07  0            0             1.00773E+07  0.991949      1.00773E+07  0             1.00773E+07  0.978141     0             1.00773E+07  0            0             1.00773E+07  0.978141      1.00773E+07  0             1.00773E+07  56.5047       3.82287E+07  1315.86       5.66667      0.0354324     5.66667      -0.000511704  5.66667      -0.00560842   5.66667      0.000360442   5.66667      0.077037      5.66667      -0.00081048   
   1.11882E+07  1.00337      0             1.11882E+07  0            0             1.11882E+07  1.00337       1.11882E+07  0             1.11882E+07  0.992249     0             1.11882E+07  0.00708887   0             1.11882E+07  0.992249      1.11882E+07  0.00708887    1.11882E+07  0.992249     0             1.11882E+07  -0.00708887  0             1.11882E+07  0.992249      1.11882E+07  -0.00708887   1.11882E+07  63.3917       3.93597E+07  1601.09       6.33333      0.0395819     6.33333      -0.000539506  6.33333      -0.00576843   6.33333      6.55797E-05   6.33333      0.0807964     6.33333      -0.00100805   
