# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 160 --seed 0 --bins 75 --run --relaxed 0.001 -f Relaxed/Corrected/50mfp/50mfp.r0.001.dat , seed = 329982006
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 0.001, run = true, filename = Relaxed/Corrected/50mfp/50mfp.r0.001.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 160, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   500000       3.19842       9.87513E+06  0.998671     0             9.87513E+06  0            0             9.87513E+06  0.998671      9.87513E+06  0             9.87513E+06  0.990477     0             9.87513E+06  0            0             9.87513E+06  0.990477      9.87513E+06  0             9.87513E+06  0.977115     0             9.87513E+06  0            0             9.87513E+06  0.977115      9.87513E+06  0             9.87513E+06  30.345        9.87513E+06  4.033         1.01371E+09  0             0.333333     -0.0102515   0.000280577   0.333333     0            0             0.333333     -0.0195219   0.000308043   0.333333     0            0             0.333333     -0.029104    0.000288539   0.333333     0            0             
   1E+06        3.45042       2.00783E+07  0.997677     0             2.00783E+07  0            0             2.00783E+07  0.997677      2.00783E+07  0             2.00783E+07  0.990758     0             2.00783E+07  0            0             2.00783E+07  0.990758      2.00783E+07  0             2.00783E+07  0.976941     0             2.00783E+07  0            0             2.00783E+07  0.976941      2.00783E+07  0             2.00783E+07  61.84         2.00783E+07  3.97612       1.02442E+09  3943.76       1            -0.0173546   0.000468224   1            0            0             1            -0.0327126   0.000523527   1            0            0             1            -0.0485176   0.000465488   1            0            0             
   1.5E+06      3.54469       2.93304E+07  0.999988     0             2.93304E+07  0            0             2.93304E+07  0.999988      2.93304E+07  0             2.93304E+07  0.989708     0             2.93304E+07  0            0             2.93304E+07  0.989708      2.93304E+07  0             2.93304E+07  0.976585     0             2.93304E+07  0            0             2.93304E+07  0.976585      2.93304E+07  0             2.93304E+07  90.6023       2.93304E+07  4.10586       1.0347E+09   7289.47       1.66667      -0.0242791   0.00063529    1.66667      0            0             1.66667      -0.0452455   0.000713767   1.66667      0            0             1.66667      -0.0664535   0.000633126   1.66667      0            0             
   2E+06        3.55786       3.9488E+07   0.995761     0             3.9488E+07   0            0             3.9488E+07   0.995761      3.9488E+07   0             3.9488E+07   0.988025     0             3.9488E+07   0            0             3.9488E+07   0.988025      3.9488E+07   0             3.9488E+07   0.976838     0             3.9488E+07   0            0             3.9488E+07   0.976838      3.9488E+07   0             3.9488E+07   121.955       3.9488E+07   3.90539       1.04365E+09  6579.84       2.33333      -0.0307677   0.000796789   2.33333      0            0             2.33333      -0.0574706   0.000880398   2.33333      0            0             2.33333      -0.0832821   0.000775606   2.33333      0            0             
   2.5E+06      3.68347       5.06213E+07  0.996716     0             5.06213E+07  0            0             5.06213E+07  0.996716      5.06213E+07  0             5.06213E+07  0.989826     0             5.06213E+07  0            0             5.06213E+07  0.989826      5.06213E+07  0             5.06213E+07  0.978139     0             5.06213E+07  0            0             5.06213E+07  0.978139      5.06213E+07  0             5.06213E+07  156.309       5.06213E+07  4.17363       1.05351E+09  1514.07       3            -0.0376012   0.000947585   3            0            0             3            -0.0692011   0.00104093    3            0            0             3            -0.0988315   0.000886595   3            0            0             
   3E+06        3.69631       6.05121E+07  0.99849      0             6.05121E+07  0            0             6.05121E+07  0.99849       6.05121E+07  0             6.05121E+07  0.988861     0             6.05121E+07  0            0             6.05121E+07  0.988861      6.05121E+07  0             6.05121E+07  0.977877     0             6.05121E+07  0            0             6.05121E+07  0.977877      6.05121E+07  0             6.05121E+07  186.894       6.05121E+07  4.14702       1.06311E+09  1778.15       3.66667      -0.0443052   0.00108005    3.66667      0            0             3.66667      -0.0806798   0.00115052    3.66667      0            0             3.66667      -0.112974    0.00100428    3.66667      0            0             
   3.5E+06      3.7354        7.03932E+07  0.997887     0             7.03932E+07  0            0             7.03932E+07  0.997887      7.03932E+07  0             7.03932E+07  0.993381     0             7.03932E+07  0            0             7.03932E+07  0.993381      7.03932E+07  0             7.03932E+07  0.976078     0             7.03932E+07  0            0             7.03932E+07  0.976078      7.03932E+07  0             7.03932E+07  217.406       7.03932E+07  4.02322       1.07135E+09  982.852       4.33333      -0.050816    0.00122019    4.33333      0            0             4.33333      -0.0914419   0.00126173    4.33333      0            0             4.33333      -0.125501    0.001097      4.33333      0            0             
   4E+06        3.76325       8.0586E+07   0.997912     0             8.0586E+07   0            0             8.0586E+07   0.997912      8.0586E+07   0             8.0586E+07   0.990636     0             8.0586E+07   0            0             8.0586E+07   0.990636      8.0586E+07   0             8.0586E+07   0.978015     0             8.0586E+07   0            0             8.0586E+07   0.978015      8.0586E+07   0             8.0586E+07   248.986       8.0586E+07   4.1835        1.08111E+09  1249.51       5            -0.0571059   0.00132759    5            0            0             5            -0.101773    0.0013564     5            0            0             5            -0.136147    0.0011595     5            0            0             
   4.5E+06      3.79873       9.09932E+07  0.996494     0             9.09932E+07  0            0             9.09932E+07  0.996494      9.09932E+07  0             9.09932E+07  0.987649     0             9.09932E+07  0            0             9.09932E+07  0.987649      9.09932E+07  0             9.09932E+07  0.976502     0             9.09932E+07  0            0             9.09932E+07  0.976502      9.09932E+07  0             9.09932E+07  281.297       9.09932E+07  4.02091       1.09128E+09  1334.9        5.66667      -0.0632355   0.00142312    5.66667      0            0             5.66667      -0.110949    0.00143348    5.66667      0            0             5.66667      -0.144644    0.00120307    5.66667      0            0             
   5E+06        3.82081       1.00901E+08  0.999523     0             1.00901E+08  0            0             1.00901E+08  0.999523      1.00901E+08  0             1.00901E+08  0.990903     0             1.00901E+08  0            0             1.00901E+08  0.990903      1.00901E+08  0             1.00901E+08  0.97838      0             1.00901E+08  0            0             1.00901E+08  0.97838       1.00901E+08  0             1.00901E+08  311.962       1.00901E+08  3.91925       1.1018E+09   1473.74       6.33333      -0.0693008   0.00153023    6.33333      0            0             6.33333      -0.119795    0.00150706    6.33333      0            0             6.33333      -0.150973    0.00121348    6.33333      0            0             
