# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 2350 --seed 0 --bins 75 --run --relaxed 1.0 -f Relaxed/Corrected/50mfp/50mfp.r1.0.dat , seed = 1727576024
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 1, run = true, filename = Relaxed/Corrected/50mfp/50mfp.r1.0.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 2350, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   500000       3.21506       1.01408E+06  1.07362      0             1.01408E+06  0            0             1.01408E+06  1.07362       1.01408E+06  0             1.01408E+06  1.01318      0             1.01408E+06  0            0             1.01408E+06  1.01318       1.01408E+06  0             1.01408E+06  0.994162     0             1.01408E+06  0.0809977    0             1.01408E+06  0.994162      1.01408E+06  0.0809977     1.01408E+06  2.88841       1.01408E+06  4.03545       1.03198E+08  0             0.333333     0.00371671   0.000854976   0.333333     2.25531E-05  3.29455E-06   0.333333     0.00131604   0.000617494   0.333333     0.000193027  -2.4614E-06   0.333333     -0.00727304  0.000577353   0.333333     0.000572754  -6.87629E-06  
   500427       3.47534       2.04279E+06  1.03288      0             2.04279E+06  0            0             2.04279E+06  1.03288       2.04279E+06  0             2.04279E+06  1.01822      0             2.04279E+06  0.018691     0             2.04279E+06  1.01822       2.04279E+06  0.018691      2.04279E+06  1.01822      0             2.04279E+06  -0.018691    0             2.04279E+06  1.01822       2.04279E+06  -0.018691     2.04279E+06  6.12791       2.04279E+06  4.01712       1.04219E+08  3.71588       1            0.00552174   0.00127968    1            -0.000288161 3.78208E-06   1            0.00272878   0.000977858   1            0.0010604    1.32239E-05   1            -0.0132007   0.000916988   1            0.00100358   -2.52732E-05  
   500798       3.77743       3.06069E+06  1.08325      0             3.06069E+06  0            0             3.06069E+06  1.08325       3.06069E+06  0             3.06069E+06  1.00341      0             3.06069E+06  0            0             3.06069E+06  1.00341       3.06069E+06  0             3.06069E+06  0.999419     0             3.06069E+06  0.085409     0             3.06069E+06  0.999419      3.06069E+06  0.085409      3.06069E+06  9.322         3.06069E+06  3.94031       1.05238E+08  8.2804        1.66667      0.00861261   0.00152751    1.66667      -0.000770591 2.78737E-05   1.66667      0.0035592    0.00117976    1.66667      0.000834898  -2.05065E-05  1.66667      -0.0184787   0.00111792    1.66667      0.000939665  -1.13564E-05  
   501042       3.93633       4.08285E+06  1.06453      0             4.08285E+06  0            0             4.08285E+06  1.06453       4.08285E+06  0             4.08285E+06  1.04284      0             4.08285E+06  0            0             4.08285E+06  1.04284       4.08285E+06  0             4.08285E+06  1.00064      0             4.08285E+06  0            0             4.08285E+06  1.00064       4.08285E+06  0             4.08285E+06  12.4823       4.08285E+06  3.97118       1.06255E+08  10.0842       2.33333      0.0122797    0.00171367    2.33333      -6.44265E-05 7.30663E-06   2.33333      0.0055824    0.00135529    2.33333      0.000487113  1.79965E-05   2.33333      -0.0236015   0.00126905    2.33333      0.000881462  -3.8902E-05   
   501582       3.95676       5.09575E+06  1.05312      0             5.09575E+06  0.0220556    0             5.09575E+06  1.05312       5.09575E+06  0.0220556     5.09575E+06  1.05312      0             5.09575E+06  -0.0220556   0             5.09575E+06  1.05312       5.09575E+06  -0.0220556    5.09575E+06  0.993744     0             5.09575E+06  0            0             5.09575E+06  0.993744      5.09575E+06  0             5.09575E+06  15.5394       5.09575E+06  3.97904       1.07284E+08  15.9019       3            0.0160635    0.00183992    3            0.000268741  1.05793E-05   3            0.0064787    0.00147236    3            3.59338E-06  3.28143E-06   3            -0.0274866   0.00136217    3            0.00111414   -2.23634E-05  
   502988       3.95285       6.11342E+06  1.09069      0             6.11342E+06  0            0             6.11342E+06  1.09069       6.11342E+06  0             6.11342E+06  1.01541      0             6.11342E+06  0            0             6.11342E+06  1.01541       6.11342E+06  0             6.11342E+06  0.982298     0             6.11342E+06  0.0714632    0             6.11342E+06  0.982298      6.11342E+06  0.0714632     6.11342E+06  18.6943       6.11342E+06  3.98402       1.08305E+08  29.0546       3.66667      0.0175173    0.00197767    3.66667      0.000695899  1.22848E-05   3.66667      0.00719778   0.00158945    3.66667      -0.000726427 1.42325E-05   3.66667      -0.0311723   0.0014251     3.66667      0.000947932  -2.89057E-05  
   506691       3.96872       7.14162E+06  1.03804      0             7.14162E+06  0            0             7.14162E+06  1.03804       7.14162E+06  0             7.14162E+06  0.986033     0             7.14162E+06  0.0237122    0             7.14162E+06  0.986033      7.14162E+06  0.0237122     7.14162E+06  0.986033     0             7.14162E+06  -0.0237122   0             7.14162E+06  0.986033      7.14162E+06  -0.0237122    7.14162E+06  21.9069       7.14162E+06  4.00997       1.09331E+08  38.5485       4.33333      0.022421     0.00201042    4.33333      0.00040426   -2.95035E-06  4.33333      0.00960761   0.00161702    4.33333      -0.000831247 4.08501E-05   4.33333      -0.0358696   0.00143134    4.33333      0.000521069  -2.47218E-05  
   508739       3.92987       8.16083E+06  1.08928      0             8.16083E+06  0            0             8.16083E+06  1.08928       8.16083E+06  0             8.16083E+06  1.02239      0             8.16083E+06  0            0             8.16083E+06  1.02239       8.16083E+06  0             8.16083E+06  0.9647       0             8.16083E+06  0            0             8.16083E+06  0.9647        8.16083E+06  0             8.16083E+06  25.0851       8.16083E+06  4.04393       1.10356E+08  75.7482       5            0.0254949    0.00204538    5            0.000512144  1.70848E-06   5            0.00984985   0.00167784    5            -0.00093943  2.35278E-05   5            -0.0401385   0.00146847    5            0.000149708  -2.00215E-05  
   509587       3.94304       9.18916E+06  1.08673      0             9.18916E+06  0            0             9.18916E+06  1.08673       9.18916E+06  0             9.18916E+06  1.02762      0             9.18916E+06  0            0             9.18916E+06  1.02762       9.18916E+06  0             9.18916E+06  1.01226      0             9.18916E+06  0.0426222    0             9.18916E+06  1.01226       9.18916E+06  0.0426222     9.18916E+06  28.3171       9.18916E+06  4.01138       1.11367E+08  96.7078       5.66667      0.0281807    0.0020719     5.66667      0.000400514  8.85694E-06   5.66667      0.00987351   0.00174909    5.66667      -0.000416604 1.18309E-05   5.66667      -0.0444401   0.00149558    5.66667      0.000620744  -7.83785E-06  
   510067       3.90352       1.02159E+07  1.0802       0             1.02159E+07  0            0             1.02159E+07  1.0802        1.02159E+07  0             1.02159E+07  1.0161       0             1.02159E+07  0.0432756    0             1.02159E+07  1.0161        1.02159E+07  0.0432756     1.02159E+07  1.0161       0             1.02159E+07  -0.0432756   0             1.02159E+07  1.0161        1.02159E+07  -0.0432756    1.02159E+07  31.4595       1.02159E+07  3.99961       1.12397E+08  85.1904       6.33333      0.0297381    0.00213007    6.33333      0.000100566  2.72694E-06   6.33333      0.0109114    0.00180549    6.33333      -0.00129605  1.70397E-05   6.33333      -0.0476258   0.00149136    6.33333      -0.000400396 5.17756E-06   
