# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 100 --seed 0 --bins 75 --run --relaxed 1e-08 -f Relaxed/Corrected/50mfp/50mfp.r1e-08.dat , seed = 377270437
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 1e-08, run = true, filename = Relaxed/Corrected/50mfp/50mfp.r1e-08.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   500000       3.21302       1.25E+07     0.996876     0             1.25E+07     0            0             1.25E+07     0.996876      1.25E+07     0             1.25E+07     0.988625     0             1.25E+07     0            0             1.25E+07     0.988625      1.25E+07     0             1.25E+07     0.975388     0             1.25E+07     0            0             1.25E+07     0.975388      1.25E+07     0             1.25E+07     38.3862       1.25E+07     3.99859       1.2625E+09   0             0.333333     0.0103268    0.000396879   0.333333     0            0             0.333333     -0.0205403   0.000391188   0.333333     0            0             0.333333     0.029512     0.000404585   0.333333     0            0             
   1E+06        3.27228       2.5E+07      0.995434     0             2.5E+07      0            0             2.5E+07      0.995434      2.5E+07      0             2.5E+07      0.990336     0             2.5E+07      0            0             2.5E+07      0.990336      2.5E+07      0             2.5E+07      0.977407     0             2.5E+07      0            0             2.5E+07      0.977407      2.5E+07      0             2.5E+07      76.9041       2.5E+07      4.04565       1.275E+09    325.004       1            0.0172923    0.000670102   1            0            0             1            -0.0342118   0.000649061   1            0            0             1            0.0493628    0.00067554    1            0            0             
   1.5E+06      3.41116       3.75E+07     0.997218     0             3.75E+07     0            0             3.75E+07     0.997218      3.75E+07     0             3.75E+07     0.988894     0             3.75E+07     0            0             3.75E+07     0.988894      3.75E+07     0             3.75E+07     0.975862     0             3.75E+07     0            0             3.75E+07     0.975862      3.75E+07     0             3.75E+07     115.548       3.75E+07     4.01933       1.2875E+09   689.952       1.66667      0.0242758    0.000869475   1.66667      0            0             1.66667      -0.0470523   0.000860312   1.66667      0            0             1.66667      0.0675886    0.000911524   1.66667      0            0             
   2E+06        3.49385       5E+07        0.996801     0             5E+07        0            0             5E+07        0.996801      5E+07        0             5E+07        0.990851     0             5E+07        0            0             5E+07        0.990851      5E+07        0             5E+07        0.9787       0             5E+07        0            0             5E+07        0.9787        5E+07        0             5E+07        154.135       5E+07        4.07576       1.3E+09      1063.13       2.33333      0.0311206    0.00107229    2.33333      0            0             2.33333      -0.0599409   0.00105665    2.33333      0            0             2.33333      0.0849985    0.00110853    2.33333      0            0             
   2.5E+06      3.63557       6.25E+07     0.997725     0             6.25E+07     0            0             6.25E+07     0.997725      6.25E+07     0             6.25E+07     0.989514     0             6.25E+07     0            0             6.25E+07     0.989514      6.25E+07     0             6.25E+07     0.978111     0             6.25E+07     0            0             6.25E+07     0.978111      6.25E+07     0             6.25E+07     192.674       6.25E+07     4.10365       1.3125E+09   1241          3            0.0375057    0.00126751    3            0            0             3            -0.0719826   0.00125951    3            0            0             3            0.100967     0.00130056    3            0            0             
   3E+06        3.71874       7.5E+07      0.998103     0             7.5E+07      0            0             7.5E+07      0.998103      7.5E+07      0             7.5E+07      0.987995     0             7.5E+07      0            0             7.5E+07      0.987995      7.5E+07      0             7.5E+07      0.977716     0             7.5E+07      0            0             7.5E+07      0.977716      7.5E+07      0             7.5E+07      231.583       7.5E+07      4.06522       1.325E+09    1439.99       3.66667      0.0442451    0.00145616    3.66667      0            0             3.66667      -0.0835075   0.00142002    3.66667      0            0             3.66667      0.115039     0.00145566    3.66667      0            0             
   3.5E+06      3.74681       8.75E+07     0.99806      0             8.75E+07     0            0             8.75E+07     0.99806       8.75E+07     0             8.75E+07     0.989443     0             8.75E+07     0            0             8.75E+07     0.989443      8.75E+07     0             8.75E+07     0.977217     0             8.75E+07     0            0             8.75E+07     0.977217      8.75E+07     0             8.75E+07     270.377       8.75E+07     4.07793       1.3375E+09   1906.12       4.33333      0.0506678    0.00161541    4.33333      0            0             4.33333      -0.0945606   0.00155941    4.33333      0            0             4.33333      0.127729     0.00158556    4.33333      0            0             
   4E+06        3.85694       1E+08        0.99903      0             1E+08        0            0             1E+08        0.99903       1E+08        0             1E+08        0.991809     0             1E+08        0            0             1E+08        0.991809      1E+08        0             1E+08        0.978269     0             1E+08        0            0             1E+08        0.978269      1E+08        0             1E+08        309.064       1E+08        4.1434        1.35E+09     2455.9        5            0.0568568    0.00178395    5            0            0             5            -0.104759    0.00169238    5            0            0             5            0.138302     0.00170589    5            0            0             
   4.5E+06      3.9022        1.125E+08    0.997144     0             1.125E+08    0            0             1.125E+08    0.997144      1.125E+08    0             1.125E+08    0.990695     0             1.125E+08    0            0             1.125E+08    0.990695      1.125E+08    0             1.125E+08    0.977204     0             1.125E+08    0            0             1.125E+08    0.977204      1.125E+08    0             1.125E+08    347.807       1.125E+08    3.90071       1.3625E+09   2899.91       5.66667      0.0627307    0.0019279     5.66667      0            0             5.66667      -0.11415     0.00177765    5.66667      0            0             5.66667      0.146807     0.00177682    5.66667      0            0             
   5E+06        3.92255       1.25E+08     0.995446     0             1.25E+08     0            0             1.25E+08     0.995446      1.25E+08     0             1.25E+08     0.98841      0             1.25E+08     0            0             1.25E+08     0.98841       1.25E+08     0             1.25E+08     0.978757     0             1.25E+08     0            0             1.25E+08     0.978757      1.25E+08     0             1.25E+08     386.574       1.25E+08     4.04927       1.375E+09    3141.92       6.33333      0.0685207    0.00205584    6.33333      0            0             6.33333      -0.122843    0.00185807    6.33333      0            0             6.33333      0.153366     0.00181087    6.33333      0            0             
