# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 105 --seed 0 --bins 75 --run --relaxed 2.5e-05 -f Relaxed/Corrected/50mfp/50mfp.r2.5e-05.dat , seed = 1387973315
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 2.5e-05, run = true, filename = Relaxed/Corrected/50mfp/50mfp.r2.5e-05.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 105, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   500000       3.27859       1.25E+07     0.997285     0             1.25E+07     0            0             1.25E+07     0.997285      1.25E+07     0             1.25E+07     0.990248     0             1.25E+07     0            0             1.25E+07     0.990248      1.25E+07     0             1.25E+07     0.979645     0             1.25E+07     0            0             1.25E+07     0.979645      1.25E+07     0             1.25E+07     38.6543       1.25E+07     4.03306       1.26067E+09  0             0.333333     -0.00957149  0.000374144   0.333333     0            0             0.333333     0.019655     0.000368696   0.333333     0            0             0.333333     -0.0295495   0.000364445   0.333333     0            0             
   1E+06        3.42311       2.5E+07      0.998175     0             2.5E+07      0            0             2.5E+07      0.998175      2.5E+07      0             2.5E+07      0.987139     0             2.5E+07      0            0             2.5E+07      0.987139      2.5E+07      0             2.5E+07      0.979816     0             2.5E+07      0            0             2.5E+07      0.979816      2.5E+07      0             2.5E+07      77.6537       2.5E+07      4.09989       1.27317E+09  2117.73       1            -0.0161817   0.000619655   1            0            0             1            0.0330946    0.000600776   1            0            0             1            -0.0492398   0.000625528   1            0            0             
   1.5E+06      3.53937       3.74431E+07  0.999777     0             3.74431E+07  0            0             3.74431E+07  0.999777      3.74431E+07  0             3.74431E+07  0.987168     0             3.74431E+07  0            0             3.74431E+07  0.987168      3.74431E+07  0             3.74431E+07  0.975525     0             3.74431E+07  0            0             3.74431E+07  0.975525      3.74431E+07  0             3.74431E+07  116.139       3.74431E+07  4.15531       1.28567E+09  2262.43       1.66667      -0.0221563   0.000843713   1.66667      0            0             1.66667      0.0454238    0.000803699   1.66667      0            0             1.66667      -0.0674287   0.000844201   1.66667      0            0             
   2E+06        3.63045       4.99431E+07  0.997948     0             4.99431E+07  0            0             4.99431E+07  0.997948      4.99431E+07  0             4.99431E+07  0.990656     0             4.99431E+07  0            0             4.99431E+07  0.990656      4.99431E+07  0             4.99431E+07  0.976479     0             4.99431E+07  0            0             4.99431E+07  0.976479      4.99431E+07  0             4.99431E+07  154.944       4.99431E+07  3.96163       1.29817E+09  2990.84       2.33333      -0.0282056   0.00104266    2.33333      0            0             2.33333      0.057529     0.00098523    2.33333      0            0             2.33333      -0.0845079   0.00104508    2.33333      0            0             
   2.5E+06      3.70171       6.24431E+07  0.995707     0             6.24431E+07  0            0             6.24431E+07  0.995707      6.24431E+07  0             6.24431E+07  0.989753     0             6.24431E+07  0            0             6.24431E+07  0.989753      6.24431E+07  0             6.24431E+07  0.977141     0             6.24431E+07  0            0             6.24431E+07  0.977141      6.24431E+07  0             6.24431E+07  193.522       6.24431E+07  4.13731       1.31066E+09  4206.21       3            -0.0342994   0.00124548    3            0            0             3            0.0689535    0.00115682    3            0            0             3            -0.100228    0.00124061    3            0            0             
   3E+06        3.74304       7.49431E+07  0.998035     0             7.49431E+07  0            0             7.49431E+07  0.998035      7.49431E+07  0             7.49431E+07  0.989304     0             7.49431E+07  0            0             7.49431E+07  0.989304      7.49431E+07  0             7.49431E+07  0.978603     0             7.49431E+07  0            0             7.49431E+07  0.978603      7.49431E+07  0             7.49431E+07  232.134       7.49431E+07  4.1098        1.32316E+09  5696.31       3.66667      -0.0403096   0.00143746    3.66667      0            0             3.66667      0.0800135    0.00128755    3.66667      0            0             3.66667      -0.114365    0.00140827    3.66667      0            0             
   3.5E+06      3.85901       8.74431E+07  0.998497     0             8.74431E+07  0            0             8.74431E+07  0.998497      8.74431E+07  0             8.74431E+07  0.991001     0             8.74431E+07  0            0             8.74431E+07  0.991001      8.74431E+07  0             8.74431E+07  0.97684      0             8.74431E+07  0            0             8.74431E+07  0.97684       8.74431E+07  0             8.74431E+07  270.612       8.74431E+07  3.73843       1.33566E+09  6799          4.33333      -0.0462828   0.00165427    4.33333      0            0             4.33333      0.0906636    0.00139738    4.33333      0            0             4.33333      -0.126962    0.00153603    4.33333      0            0             
   4E+06        3.88769       9.99431E+07  0.997768     0             9.99431E+07  0            0             9.99431E+07  0.997768      9.99431E+07  0             9.99431E+07  0.990191     0             9.99431E+07  0            0             9.99431E+07  0.990191      9.99431E+07  0             9.99431E+07  0.978685     0             9.99431E+07  0            0             9.99431E+07  0.978685      9.99431E+07  0             9.99431E+07  309.135       9.99431E+07  4.13113       1.34816E+09  7249.25       5            -0.0522065   0.00182747    5            0            0             5            0.100822     0.00149958    5            0            0             5            -0.137746    0.00164599    5            0            0             
   4.5E+06      3.94406       1.12443E+08  0.998194     0             1.12443E+08  0            0             1.12443E+08  0.998194      1.12443E+08  0             1.12443E+08  0.990414     0             1.12443E+08  0            0             1.12443E+08  0.990414      1.12443E+08  0             1.12443E+08  0.977415     0             1.12443E+08  0            0             1.12443E+08  0.977415      1.12443E+08  0             1.12443E+08  347.733       1.12443E+08  4.0342        1.36066E+09  6438.21       5.66667      -0.0577161   0.00200036    5.66667      0            0             5.66667      0.110426     0.00158837    5.66667      0            0             5.66667      -0.14615     0.00171475    5.66667      0            0             
   5E+06        3.98127       1.24943E+08  0.995957     0             1.24943E+08  0            0             1.24943E+08  0.995957      1.24943E+08  0             1.24943E+08  0.989707     0             1.24943E+08  0            0             1.24943E+08  0.989707      1.24943E+08  0             1.24943E+08  0.976365     0             1.24943E+08  0            0             1.24943E+08  0.976365      1.24943E+08  0             1.24943E+08  386.376       1.24943E+08  4.10562       1.37316E+09  6568.18       6.33333      -0.0631906   0.0021315     6.33333      0            0             6.33333      0.11948      0.00166812    6.33333      0            0             6.33333      -0.152371    0.00175661    6.33333      0            0             
