# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 50000 --inactive 100 --source Histogram --Iterations\n 25 --active 2186 --seed 0 --bins 75 --run --relaxed 0.75 -f Relaxed/Corrected/50mfp/5E4/50mfp.r0.75.dat , seed = 969736208
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 0.75, run = true, filename = Relaxed/Corrected/50mfp/5E4/50mfp.r0.75.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 2186, inactive = 100, tracks = 50000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   50000        3.63079       108149       1.05446      0             108149       0.156454     0             108149       1.05446       108149       0.156454      108149       1.05446      0             108149       -0.156454    0             108149       1.05446       108149       -0.156454     108149       1.01231      0             108149       0.176683     0             108149       1.01231       108149       0.176683      108149       0.330813      108149       4.01014       1.10502E+07  0             0.333333     0.00639769   0.00101552    0.333333     7.29647E-05  -4.1284E-06   0.333333     0.00728181   0.000757986   0.333333     0.000648972  1.50021E-05   0.333333     0.00630858   0.000759073   0.333333     -0.00097394  5.69103E-06   
   50103        3.74804       219195       1.06395      0             219195       0.06707      0             219195       1.06395       219195       0.06707       219195       1.06395      0             219195       -0.06707     0             219195       1.06395       219195       -0.06707      219195       1.01432      0             219195       0.0179358    0             219195       1.01432       219195       0.0179358     219195       0.686391      219195       4.04081       1.11588E+07  423.387       1            0.0109965    0.00145115    1            0.000253868  -1.85435E-05  1            0.0138957    0.00106363    1            0.00129906   7.2932E-05    1            0.0111042    0.00105107    1            -0.00143505  -4.66929E-05  
   50362        3.96381       326480       1.06853      0             326480       0.0358404    0             326480       1.06853       326480       0.0358404     326480       1.06853      0             326480       -0.0358404   0             326480       1.06853       326480       -0.0358404    326480       1.00151      0             326480       0.0414764    0             326480       1.00151       326480       0.0414764     326480       1.03493       326480       4.00935       1.12663E+07  204349        1.66667      0.0151557    0.00169845    1.66667      0.000446897  -2.36505E-05  1.66667      0.0199662    0.00125519    1.66667      0.000791146  5.17977E-05   1.66667      0.0142565    0.00130893    1.66667      -0.00164954  -2.01716E-05  
   51878        3.92473       433162       1.08374      0             433162       0            0             433162       1.08374       433162       0             433162       1.03869      0             433162       0.0544493    0             433162       1.03869       433162       0.0544493     433162       1.03869      0             433162       -0.0544493   0             433162       1.03869       433162       -0.0544493    433162       1.38304       433162       4.05591       1.13766E+07  528.113       2.33333      0.0195797    0.00183743    2.33333      0.00122855   -3.57509E-05  2.33333      0.0248579    0.00136998    2.33333      0.000686502  4.23581E-05   2.33333      0.0191327    0.00145225    2.33333      -0.00135562  5.55453E-06   
   52798        3.94548       539615       1.02781      0             539615       0.0135668    0             539615       1.02781       539615       0.0135668     539615       1.02781      0             539615       -0.0135668   0             539615       1.02781       539615       -0.0135668    539615       1.00379      0             539615       0.116843     0             539615       1.00379       539615       0.116843      539615       1.72649       539615       4.08908       1.1484E+07   1489.72       3            0.0215573    0.00191848    3            0.000919103  -1.09423E-05  3            0.0287153    0.0014376     3            -0.000135207 1.38158E-05   3            0.0213934    0.00153181    3            -0.00082777  4.16154E-05   
   53109        3.97036       649171       1.05766      0             649171       0            0             649171       1.05766       649171       0             649171       1.03498      0             649171       0            0             649171       1.03498       649171       0             649171       0.979345     0             649171       0.0216795    0             649171       0.979345      649171       0.0216795     649171       2.07893       649171       3.97037       1.15945E+07  1310.52       3.66667      0.029927     0.00197785    3.66667      0.000852151  -6.76E-06     3.66667      0.0335346    0.00146809    3.66667      0.000314069  1.29244E-05   3.66667      0.0267876    0.00163156    3.66667      -0.0013935   1.44294E-05   
   53228        3.9844        755051       1.09568      0             755051       0            0             755051       1.09568       755051       0             755051       1.04729      0             755051       0.127264     0             755051       1.04729       755051       0.127264      755051       1.04729      0             755051       -0.127264    0             755051       1.04729       755051       -0.127264     755051       2.4177        755051       4.0595        1.17019E+07  1681.67       4.33333      0.0330167    0.00198042    4.33333      0.000467338  -8.32669E-06  4.33333      0.0372796    0.00149212    4.33333      0.00128402   -2.03843E-05  4.33333      0.0306183    0.00166116    4.33333      -0.00229294  3.52426E-05   
   53316        3.97695       864099       1.13588      0             864099       0            0             864099       1.13588       864099       0             864099       1.03786      0             864099       0            0             864099       1.03786       864099       0             864099       1.00733      0             864099       0.0436787    0             864099       1.00733       864099       0.0436787     864099       2.76243       864099       3.90814       1.18097E+07  2031.13       5            0.0357915    0.00199133    5            0.000873799  -6.51299E-06  5            0.0417536    0.00151082    5            0.000615904  -3.23E-05     5            0.0338642    0.00168643    5            -0.00201066  4.39042E-05   
   53373        4.01703       972257       1.01566      0             972257       0.00715694   0             972257       1.01566       972257       0.00715694    972257       1.01566      0             972257       -0.00715694  0             972257       1.01566       972257       -0.00715694   972257       0.984795     0             972257       0.0642034    0             972257       0.984795      972257       0.0642034     972257       3.11408       972257       4.08606       1.19202E+07  2316.72       5.66667      0.0399662    0.00206979    5.66667      1.11943E-05  -2.11267E-05  5.66667      0.0450288    0.00153959    5.66667      0.000137752  2.84528E-05   5.66667      0.0361231    0.0016454     5.66667      -0.000533389 -3.5241E-07   
   53489        3.95122       1.08128E+06  1.1084       0             1.08128E+06  0            0             1.08128E+06  1.1084        1.08128E+06  0             1.08128E+06  1.00195      0             1.08128E+06  0.0274702    0             1.08128E+06  1.00195       1.08128E+06  0.0274702     1.08128E+06  1.00195      0             1.08128E+06  -0.0274702   0             1.08128E+06  1.00195       1.08128E+06  -0.0274702    1.08128E+06  3.46694       1.08128E+06  4.01969       1.20278E+07  3594.25       6.33333      0.0439125    0.00205979    6.33333      0.000432486  -1.68351E-05  6.33333      0.0502749    0.001528      6.33333      -0.000957031 -1.36266E-05  6.33333      0.0395287    0.00162734    6.33333      3.689E-05    5.56419E-05   
