# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 50000 --inactive 100 --source Histogram --Iterations\n 25 --active 2234 --seed 0 --bins 75 --run --relaxed 1 -f Relaxed/Corrected/50mfp/5E4/50mfp.r1.dat , seed = 2371046515
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 1, run = true, filename = Relaxed/Corrected/50mfp/5E4/50mfp.r1.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 2234, inactive = 100, tracks = 50000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   50000        3.7956        105601       1.14833      0             105601       0            0             105601       1.14833       105601       0             105601       1.0748       0             105601       0.248986     0             105601       1.0748        105601       0.248986      105601       1.0748       0             105601       -0.248986    0             105601       1.0748        105601       -0.248986     105601       0.326789      105601       3.9845        1.08226E+07  0             0.333333     0.00587792   0.0010735     0.333333     0.000502168  1.58226E-05   0.333333     -0.00636142  0.000804743   0.333333     -0.00058596  -7.43162E-06  0.333333     -2.56904E-05 0.000779907   0.333333     -0.000426044 -9.68324E-06  
   50055        3.90042       213778       1.08229      0             213778       0.00587328   0             213778       1.08229       213778       0.00587328    213778       1.08229      0             213778       -0.00587328  0             213778       1.08229       213778       -0.00587328   213778       1.00349      0             213778       0.0772686    0             213778       1.00349       213778       0.0772686     213778       0.678872      213778       4.06858       1.09307E+07  36.3308       1            0.0100137    0.0014563     1            0.000214535  8.59228E-06   1            -0.0130889   0.00112354    1            -0.00137175  -2.03364E-05  1            -0.00244136  0.00116218    1            -0.000657579 -2.07975E-05  
   50208        3.95215       322701       1.04828      0             322701       0            0             322701       1.04828       322701       0             322701       1.01931      0             322701       0.20946      0             322701       1.01931       322701       0.20946       322701       1.01931      0             322701       -0.20946     0             322701       1.01931       322701       -0.20946      322701       1.03938       322701       4.05877       1.10408E+07  27.492        1.66667      0.0120821    0.00172707    1.66667      0.000510256  -1.06842E-05  1.66667      -0.0166045   0.00130694    1.66667      -0.000627665 -3.50918E-07  1.66667      -0.0019836   0.00137997    1.66667      -0.0015768   -1.47321E-05  
   50353        3.87635       431142       1.13868      0             431142       0            0             431142       1.13868       431142       0             431142       1.02581      0             431142       0.109005     0             431142       1.02581       431142       0.109005      431142       1.02581      0             431142       -0.109005    0             431142       1.02581       431142       -0.109005     431142       1.41225       431142       4.02438       1.11513E+07  37.2756       2.33333      0.0147046    0.00189897    2.33333      -0.000298786 2.73722E-05   2.33333      -0.0233708   0.00146227    2.33333      -0.00184911  -5.17022E-05  2.33333      -0.00365368  0.00152953    2.33333      -0.00218831  -2.39486E-05  
   50869        3.99765       537015       1.14624      0             537015       0            0             537015       1.14624       537015       0             537015       1.04205      0             537015       0.0586224    0             537015       1.04205       537015       0.0586224     537015       1.04205      0             537015       -0.0586224   0             537015       1.04205       537015       -0.0586224    537015       2.1814        537015       4.02737       1.12624E+07  38.0989       3            0.0185909    0.00194445    3            0.000444889  2.49768E-06   3            -0.0282458   0.00153993    3            -0.00185675  -2.26709E-05  3            -0.00514918  0.00166804    3            -0.00115706  -5.87186E-06  
   51167        4.02241       645656       1.14157      0             645656       0.0366354    0             645656       1.14157       645656       0.0366354     645656       1.14157      0             645656       -0.0366354   0             645656       1.14157       645656       -0.0366354    645656       1.04325      0             645656       0.0474124    0             645656       1.04325       645656       0.0474124     645656       2.94013       645656       3.99268       1.13683E+07  41.7941       3.66667      0.0221868    0.0020106     3.66667      0.000471996  3.89812E-06   3.66667      -0.0333036   0.00154931    3.66667      -0.00096728  -2.81752E-05  3.66667      -0.00557498  0.00173262    3.66667      -0.000793054 -7.67048E-07  
   51394        3.90492       752375       1.08413      0             752375       0            0             752375       1.08413       752375       0             752375       1.01818      0             752375       0.0924524    0             752375       1.01818       752375       0.0924524     752375       1.01818      0             752375       -0.0924524   0             752375       1.01818       752375       -0.0924524    752375       3.58668       752375       4.01546       1.14756E+07  56.3889       4.33333      0.0236959    0.00205266    4.33333      0.00109014   -1.96945E-06  4.33333      -0.038833    0.00154617    4.33333      -0.000156486 -1.58539E-05  4.33333      -0.00694452  0.00172759    4.33333      1.41322E-05  -1.28419E-05  
   51578        4.00947       858206       1.12723      0             858206       0            0             858206       1.12723       858206       0             858206       1.05063      0             858206       0.0544034    0             858206       1.05063       858206       0.0544034     858206       1.05063      0             858206       -0.0544034   0             858206       1.05063       858206       -0.0544034    858206       4.3321        858206       4.0004        1.15825E+07  57.891        5            0.0268888    0.0020564     5            0.000840304  5.47422E-06   5            -0.0440522   0.00150975    5            1.3571E-05   -2.98596E-06  5            -0.00530233  0.00173842    5            -0.000583649 -7.2543E-06   
   52425        4.02626       962393       1.02956      0             962393       0.0432637    0             962393       1.02956       962393       0.0432637     962393       1.02956      0             962393       -0.0432637   0             962393       1.02956       962393       -0.0432637    962393       0.95577      0             962393       0.378995     0             962393       0.95577       962393       0.378995      962393       4.97032       962393       4.02869       1.16889E+07  1130.17       5.66667      0.0283452    0.00206931    5.66667      0.00112596   -4.16658E-07  5.66667      -0.0465764   0.00152625    5.66667      0.00060931   3.04409E-05   5.66667      -0.00750287  0.00177411    5.66667      -0.00126083  -8.10442E-06  
   54438        4.03191       1.07085E+06  1.04839      0             1.07085E+06  0.0315654    0             1.07085E+06  1.04839       1.07085E+06  0.0315654     1.07085E+06  1.04839      0             1.07085E+06  -0.0315654   0             1.07085E+06  1.04839       1.07085E+06  -0.0315654    1.07085E+06  0.969832     0             1.07085E+06  0.013381     0             1.07085E+06  0.969832      1.07085E+06  0.013381      1.07085E+06  5.72179       1.07085E+06  4.01089       1.17963E+07  1195.17       6.33333      0.0298799    0.00202838    6.33333      0.00127874   2.03993E-05   6.33333      -0.0504741   0.00147614    6.33333      0.000897793  -2.33052E-05  6.33333      -0.00835859  0.00180309    6.33333      0.000527192  8.22726E-06   
