# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 5000000 --inactive 100 --source Histogram --Iterations\n 25 --active 100 --seed 0 --bins 75 --run --relaxed 0.0 -f Relaxed/Corrected/50mfp/5E6/50mfp.r0.0.dat , seed = 3808189277
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 0, run = true, filename = Relaxed/Corrected/50mfp/5E6/50mfp.r0.0.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 100, tracks = 5000000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   5E+06        3.14916       1.25E+08     0.997674     0             1.25E+08     0            0             1.25E+08     0.997674      1.25E+08     0             1.25E+08     0.98937      0             1.25E+08     0            0             1.25E+08     0.98937       1.25E+08     0             1.25E+08     0.977297     0             1.25E+08     0            0             1.25E+08     0.977297      1.25E+08     0             1.25E+08     384.227       1.25E+08     3.9166        1.2625E+10   0             0.333333     -0.00995971  0.00010486    0.333333     0            0             0.333333     -0.0199113   0.00010251    0.333333     0            0             0.333333     -0.0298103   0.000115152   0.333333     0            0             
   1E+07        2.96157       2.5E+08      0.997205     0             2.5E+08      0            0             2.5E+08      0.997205      2.5E+08      0             2.5E+08      0.989261     0             2.5E+08      0            0             2.5E+08      0.989261      2.5E+08      0             2.5E+08      0.977038     0             2.5E+08      0            0             2.5E+08      0.977038      2.5E+08      0             2.5E+08      768.888       2.5E+08      4.18649       1.275E+10    6080.23       1            -0.0167249   0.000175181   1            0            0             1            -0.0334025   0.00017347    1            0            0             1            -0.0497802   0.00019384    1            0            0             
   1.5E+07      3.0596        3.75E+08     0.99691      0             3.75E+08     0            0             3.75E+08     0.99691       3.75E+08     0             3.75E+08     0.989784     0             3.75E+08     0            0             3.75E+08     0.989784      3.75E+08     0             3.75E+08     0.977091     0             3.75E+08     0            0             3.75E+08     0.977091      3.75E+08     0             3.75E+08     1154.04       3.75E+08     4.02438       1.2875E+10   5962.71       1.66667      -0.0232376   0.000247838   1.66667      0            0             1.66667      -0.0462124   0.000239947   1.66667      0            0             1.66667      -0.0681746   0.000262417   1.66667      0            0             
   2E+07        3.05041       5E+08        0.997018     0             5E+08        0            0             5E+08        0.997018      5E+08        0             5E+08        0.989484     0             5E+08        0            0             5E+08        0.989484      5E+08        0             5E+08        0.976943     0             5E+08        0            0             5E+08        0.976943      5E+08        0             5E+08        1539.04       5E+08        3.94397       1.3E+10      1684.68       2.33333      -0.0296153   0.000307009   2.33333      0            0             2.33333      -0.0587631   0.000292652   2.33333      0            0             2.33333      -0.0854621   0.000320825   2.33333      0            0             
   2.5E+07      3.14324       6.25E+08     0.997031     0             6.25E+08     0            0             6.25E+08     0.997031      6.25E+08     0             6.25E+08     0.989932     0             6.25E+08     0            0             6.25E+08     0.989932      6.25E+08     0             6.25E+08     0.976974     0             6.25E+08     0            0             6.25E+08     0.976974      6.25E+08     0             6.25E+08     1923.87       6.25E+08     4.11972       1.3125E+10   1555.56       3            -0.0359963   0.000362943   3            0            0             3            -0.070769    0.000341381   3            0            0             3            -0.101475    0.000369227   3            0            0             
   3E+07        3.18806       7.5E+08      0.997607     0             7.5E+08      0            0             7.5E+08      0.997607      7.5E+08      0             7.5E+08      0.990026     0             7.5E+08      0            0             7.5E+08      0.990026      7.5E+08      0             7.5E+08      0.977572     0             7.5E+08      0            0             7.5E+08      0.977572      7.5E+08      0             7.5E+08      2308.47       7.5E+08      4.09799       1.325E+10    1193.9        3.66667      -0.0423561   0.000415761   3.66667      0            0             3.66667      -0.0823679   0.000392264   3.66667      0            0             3.66667      -0.115915    0.000418592   3.66667      0            0             
   3.5E+07      3.31379       8.75E+08     0.997697     0             8.75E+08     0            0             8.75E+08     0.997697      8.75E+08     0             8.75E+08     0.989642     0             8.75E+08     0            0             8.75E+08     0.989642      8.75E+08     0             8.75E+08     0.977391     0             8.75E+08     0            0             8.75E+08     0.977391      8.75E+08     0             8.75E+08     2692.1        8.75E+08     4.11072       1.3375E+10   1608.43       4.33333      -0.0486026   0.00047232    4.33333      0            0             4.33333      -0.0933146   0.000424322   4.33333      0            0             4.33333      -0.128589    0.00044213    4.33333      0            0             
   4E+07        3.35992       1E+09        0.997655     0             1E+09        0            0             1E+09        0.997655      1E+09        0             1E+09        0.990059     0             1E+09        0            0             1E+09        0.990059      1E+09        0             1E+09        0.977055     0             1E+09        0            0             1E+09        0.977055      1E+09        0             1E+09        3077.55       1E+09        4.09302       1.35E+10     1871.09       5            -0.0547206   0.000522195   5            0            0             5            -0.103672    0.000461596   5            0            0             5            -0.139449    0.00045862    5            0            0             
   4.5E+07      3.46422       1.125E+09    0.997006     0             1.125E+09    0            0             1.125E+09    0.997006      1.125E+09    0             1.125E+09    0.989905     0             1.125E+09    0            0             1.125E+09    0.989905      1.125E+09    0             1.125E+09    0.977226     0             1.125E+09    0            0             1.125E+09    0.977226      1.125E+09    0             1.125E+09    3462.84       1.125E+09    3.89365       1.3625E+10   1503.84       5.66667      -0.0608663   0.000558256   5.66667      0            0             5.66667      -0.113361    0.00049794    5.66667      0            0             5.66667      -0.148217    0.000478376   5.66667      0            0             
   5E+07        3.50735       1.25E+09     0.997243     0             1.25E+09     0            0             1.25E+09     0.997243      1.25E+09     0             1.25E+09     0.989846     0             1.25E+09     0            0             1.25E+09     0.989846      1.25E+09     0             1.25E+09     0.977259     0             1.25E+09     0            0             1.25E+09     0.977259      1.25E+09     0             1.25E+09     3844.63       1.25E+09     4.11932       1.375E+10    1753.32       6.33333      -0.0669188   0.000602493   6.33333      0            0             6.33333      -0.122225    0.000518256   6.33333      0            0             6.33333      -0.154715    0.000476393   6.33333      0            0             
   5.5E+07      3.58446       1.375E+09    0.997387     0             1.375E+09    0            0             1.375E+09    0.997387      1.375E+09    0             1.375E+09    0.990518     0             1.375E+09    0            0             1.375E+09    0.990518      1.375E+09    0             1.375E+09    0.977275     0             1.375E+09    0            0             1.375E+09    0.977275      1.375E+09    0             1.375E+09    4230.11       1.375E+09    4.16174       1.3875E+10   2047.1        7            -0.0727921   0.000641202   7            0            0             7            -0.130252    0.000539481   7            0            0             7            -0.158862    0.000485886   7            0            0             
   6E+07        3.64719       1.5E+09      0.997299     0             1.5E+09      0            0             1.5E+09      0.997299      1.5E+09      0             1.5E+09      0.989775     0             1.5E+09      0            0             1.5E+09      0.989775      1.5E+09      0             1.5E+09      0.976967     0             1.5E+09      0            0             1.5E+09      0.976967      1.5E+09      0             1.5E+09      4611.76       1.5E+09      3.91335       1.4E+10      2359.67       7.66667      -0.0785141   0.000672045   7.66667      0            0             7.66667      -0.137419    0.000569903   7.66667      0            0             7.66667      -0.160658    0.000485747   7.66667      0            0             
   6.5E+07      3.67738       1.625E+09    0.997231     0             1.625E+09    0            0             1.625E+09    0.997231      1.625E+09    0             1.625E+09    0.989557     0             1.625E+09    0            0             1.625E+09    0.989557      1.625E+09    0             1.625E+09    0.977379     0             1.625E+09    0            0             1.625E+09    0.977379      1.625E+09    0             1.625E+09    4996.62       1.625E+09    4.12002       1.4125E+10   2274.43       8.33333      -0.0841657   0.000698497   8.33333      0            0             8.33333      -0.14379     0.000580644   8.33333      0            0             8.33333      -0.160144    0.000479912   8.33333      0            0             
   7E+07        3.72778       1.75E+09     0.997331     0             1.75E+09     0            0             1.75E+09     0.997331      1.75E+09     0             1.75E+09     0.989591     0             1.75E+09     0            0             1.75E+09     0.989591      1.75E+09     0             1.75E+09     0.977454     0             1.75E+09     0            0             1.75E+09     0.977454      1.75E+09     0             1.75E+09     5380.08       1.75E+09     3.90873       1.425E+10    2531.11       9            -0.0896046   0.000712797   9            0            0             9            -0.149066    0.000596438   9            0            0             9            -0.157125    0.000482886   9            0            0             
   7.5E+07      3.75089       1.875E+09    0.997508     0             1.875E+09    0            0             1.875E+09    0.997508      1.875E+09    0             1.875E+09    0.990033     0             1.875E+09    0            0             1.875E+09    0.990033      1.875E+09    0             1.875E+09    0.977021     0             1.875E+09    0            0             1.875E+09    0.977021      1.875E+09    0             1.875E+09    5764.9        1.875E+09    3.97972       1.4375E+10   2877.07       9.66667      -0.0949544   0.000728838   9.66667      0            0             9.66667      -0.153512    0.000609204   9.66667      0            0             9.66667      -0.151808    0.000480886   9.66667      0            0             
   8E+07        3.78662       2E+09        0.997226     0             2E+09        0            0             2E+09        0.997226      2E+09        0             2E+09        0.989689     0             2E+09        0            0             2E+09        0.989689      2E+09        0             2E+09        0.977046     0             2E+09        0            0             2E+09        0.977046      2E+09        0             2E+09        6147.77       2E+09        4.04588       1.45E+10     3174.43       10.3333      -0.100116    0.000729495   10.3333      0            0             10.3333      -0.156945    0.00060806    10.3333      0            0             10.3333      -0.144239    0.000495281   10.3333      0            0             
   8.5E+07      3.79819       2.125E+09    0.997463     0             2.125E+09    0            0             2.125E+09    0.997463      2.125E+09    0             2.125E+09    0.989438     0             2.125E+09    0            0             2.125E+09    0.989438      2.125E+09    0             2.125E+09    0.976795     0             2.125E+09    0            0             2.125E+09    0.976795      2.125E+09    0             2.125E+09    6531.61       2.125E+09    4.10975       1.4625E+10   2962.79       11           -0.105271    0.000734818   11           0            0             11           -0.159381    0.000606838   11           0            0             11           -0.134563    0.000508442   11           0            0             
