# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 5000000 --inactive 100 --source Histogram --Iterations\n 25 --active 186 --seed 0 --bins 75 --run --relaxed 0.00075 -f Relaxed/Corrected/50mfp/5E6/50mfp.r0.00075.dat , seed\n = 563086628
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 0.00075, run = true, filename = Relaxed/Corrected/50mfp/5E6/50mfp.r0.00075.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 186, inactive = 100, tracks = 5000000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   5E+06        3.12248       7.93972E+07  0.997286     0             7.93972E+07  0            0             7.93972E+07  0.997286      7.93972E+07  0             7.93972E+07  0.990122     0             7.93972E+07  0            0             7.93972E+07  0.990122      7.93972E+07  0             7.93972E+07  0.977646     0             7.93972E+07  0            0             7.93972E+07  0.977646      7.93972E+07  0             7.93972E+07  242.786       7.93972E+07  3.93429       9.05827E+09  0             0.333333     -0.0100321   8.90231E-05   0.333333     0            0             0.333333     0.0199575    8.03149E-05   0.333333     0            0             0.333333     0.0298596    9.48935E-05   0.333333     0            0             
   1E+07        2.99029       1.69854E+08  0.997346     0             1.69854E+08  0            0             1.69854E+08  0.997346      1.69854E+08  0             1.69854E+08  0.989634     0             1.69854E+08  0            0             1.69854E+08  0.989634      1.69854E+08  0             1.69854E+08  0.977061     0             1.69854E+08  0            0             1.69854E+08  0.977061      1.69854E+08  0             1.69854E+08  523.416       1.69854E+08  4.0189        9.1502E+09   103226        1            -0.0168797   0.000143551   1            0            0             1            0.0334785    0.000132663   1            0            0             1            0.0498528    0.000157332   1            0            0             
   1.5E+07      3.01181       2.53837E+08  0.997548     0             2.53837E+08  0            0             2.53837E+08  0.997548      2.53837E+08  0             2.53837E+08  0.98966      0             2.53837E+08  0            0             2.53837E+08  0.98966       2.53837E+08  0             2.53837E+08  0.977452     0             2.53837E+08  0            0             2.53837E+08  0.977452      2.53837E+08  0             2.53837E+08  783.561       2.53837E+08  4.08253       9.24654E+09  79733.6       1.66667      -0.0234358   0.000197611   1.66667      0            0             1.66667      0.0462549    0.000176168   1.66667      0            0             1.66667      0.0683781    0.000212066   1.66667      0            0             
   2E+07        3.06089       3.32627E+08  0.997433     0             3.32627E+08  0            0             3.32627E+08  0.997433      3.32627E+08  0             3.32627E+08  0.989772     0             3.32627E+08  0            0             3.32627E+08  0.989772      3.32627E+08  0             3.32627E+08  0.97743      0             3.32627E+08  0            0             3.32627E+08  0.97743       3.32627E+08  0             3.32627E+08  1026.97       3.32627E+08  3.99752       9.33501E+09  66225.9       2.33333      -0.029874    0.000242034   2.33333      0            0             2.33333      0.0586234    0.000221455   2.33333      0            0             2.33333      0.0857627    0.000263648   2.33333      0            0             
   2.5E+07      3.19787       4.18368E+08  0.997534     0             4.18368E+08  0            0             4.18368E+08  0.997534      4.18368E+08  0             4.18368E+08  0.989658     0             4.18368E+08  0            0             4.18368E+08  0.989658      4.18368E+08  0             4.18368E+08  0.976747     0             4.18368E+08  0            0             4.18368E+08  0.976747      4.18368E+08  0             4.18368E+08  1292.29       4.18368E+08  3.86569       9.42355E+09  20734.5       3            -0.0362761   0.000290045   3            0            0             3            0.0706068    0.000259674   3            0            0             3            0.1018       0.000304214   3            0            0             
   3E+07        3.2681        5.04306E+08  0.997679     0             5.04306E+08  0            0             5.04306E+08  0.997679      5.04306E+08  0             5.04306E+08  0.98987      0             5.04306E+08  0            0             5.04306E+08  0.98987       5.04306E+08  0             5.04306E+08  0.977438     0             5.04306E+08  0            0             5.04306E+08  0.977438      5.04306E+08  0             5.04306E+08  1557.03       5.04306E+08  4.03291       9.50865E+09  28679.2       3.66667      -0.04258     0.000334682   3.66667      0            0             3.66667      0.0820972    0.000297228   3.66667      0            0             3.66667      0.116343     0.000339671   3.66667      0            0             
   3.5E+07      3.40473       5.92292E+08  0.997364     0             5.92292E+08  0            0             5.92292E+08  0.997364      5.92292E+08  0             5.92292E+08  0.989356     0             5.92292E+08  0            0             5.92292E+08  0.989356      5.92292E+08  0             5.92292E+08  0.977438     0             5.92292E+08  0            0             5.92292E+08  0.977438      5.92292E+08  0             5.92292E+08  1829.15       5.92292E+08  4.03152       9.59799E+09  11701.5       4.33333      -0.048838    0.000375498   4.33333      0            0             4.33333      0.0930551    0.000325566   4.33333      0            0             4.33333      0.129129     0.000368943   4.33333      0            0             
   4E+07        3.50064       6.74431E+08  0.996697     0             6.74431E+08  0            0             6.74431E+08  0.996697      6.74431E+08  0             6.74431E+08  0.989767     0             6.74431E+08  0            0             6.74431E+08  0.989767      6.74431E+08  0             6.74431E+08  0.977333     0             6.74431E+08  0            0             6.74431E+08  0.977333      6.74431E+08  0             6.74431E+08  2082.69       6.74431E+08  4.10404       9.68395E+09  7351.47       5            -0.0550582   0.000411786   5            0            0             5            0.103413     0.000355584   5            0            0             5            0.13993      0.000394179   5            0            0             
   4.5E+07      3.58041       7.65734E+08  0.996946     0             7.65734E+08  0            0             7.65734E+08  0.996946      7.65734E+08  0             7.65734E+08  0.99014      0             7.65734E+08  0            0             7.65734E+08  0.99014       7.65734E+08  0             7.65734E+08  0.977012     0             7.65734E+08  0            0             7.65734E+08  0.977012      7.65734E+08  0             7.65734E+08  2364.39       7.65734E+08  4.2393        9.77812E+09  8180.43       5.66667      -0.0611045   0.000443684   5.66667      0            0             5.66667      0.11307      0.000380231   5.66667      0            0             5.66667      0.148632     0.000402443   5.66667      0            0             
   5E+07        3.65001       8.47659E+08  0.99778      0             8.47659E+08  0            0             8.47659E+08  0.99778       8.47659E+08  0             8.47659E+08  0.990175     0             8.47659E+08  0            0             8.47659E+08  0.990175      8.47659E+08  0             8.47659E+08  0.977206     0             8.47659E+08  0            0             8.47659E+08  0.977206      8.47659E+08  0             8.47659E+08  2618.12       8.47659E+08  4.06104       9.86457E+09  9051.5        6.33333      -0.0670458   0.000471187   6.33333      0            0             6.33333      0.121921     0.000393602   6.33333      0            0             6.33333      0.155115     0.000411435   6.33333      0            0             
