# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 5000000 --inactive 100 --source Histogram --Iterations\n 25 --active 100 --seed 0 --bins 75 --run --relaxed 1e-05 -f Relaxed/Corrected/50mfp/5E6/50mfp.r1e-05.dat , seed = 366036974
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 1e-05, run = true, filename = Relaxed/Corrected/50mfp/5E6/50mfp.r1e-05.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 100, tracks = 5000000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   5E+06        3.12412       1.25E+08     0.99708      0             1.25E+08     0            0             1.25E+08     0.99708       1.25E+08     0             1.25E+08     0.989988     0             1.25E+08     0            0             1.25E+08     0.989988      1.25E+08     0             1.25E+08     0.976734     0             1.25E+08     0            0             1.25E+08     0.976734      1.25E+08     0             1.25E+08     388.944       1.25E+08     4.07368       1.25833E+10  0             0.333333     0.0101817    0.000115539   0.333333     0            0             0.333333     0.0201352    0.00011321    0.333333     0            0             0.333333     0.029799     0.000127835   0.333333     0            0             
   1E+07        2.97881       2.5E+08      0.99721      0             2.5E+08      0            0             2.5E+08      0.99721       2.5E+08      0             2.5E+08      0.9895       0             2.5E+08      0            0             2.5E+08      0.9895        2.5E+08      0             2.5E+08      0.977433     0             2.5E+08      0            0             2.5E+08      0.977433      2.5E+08      0             2.5E+08      779.28        2.5E+08      4.15232       1.27083E+10  7698.71       1            0.0171394    0.000187262   1            0            0             1            0.033764     0.000189917   1            0            0             1            0.0497245    0.000213078   1            0            0             
   1.5E+07      3.08131       3.75E+08     0.997321     0             3.75E+08     0            0             3.75E+08     0.997321      3.75E+08     0             3.75E+08     0.989625     0             3.75E+08     0            0             3.75E+08     0.989625      3.75E+08     0             3.75E+08     0.976939     0             3.75E+08     0            0             3.75E+08     0.976939      3.75E+08     0             3.75E+08     1169.03       3.75E+08     3.9328        1.28333E+10  902.635       1.66667      0.0237955    0.000257102   1.66667      0            0             1.66667      0.0466206    0.000258802   1.66667      0            0             1.66667      0.0681642    0.000288034   1.66667      0            0             
   2E+07        3.13948       5E+08        0.997617     0             5E+08        0            0             5E+08        0.997617      5E+08        0             5E+08        0.9903       0             5E+08        0            0             5E+08        0.9903        5E+08        0             5E+08        0.977435     0             5E+08        0            0             5E+08        0.977435      5E+08        0             5E+08        1558.57       5E+08        4.1771        1.29583E+10  1588.79       2.33333      0.0303611    0.000314489   2.33333      0            0             2.33333      0.0590958    0.000315608   2.33333      0            0             2.33333      0.085397     0.000351921   2.33333      0            0             
   2.5E+07      3.24404       6.25E+08     0.996792     0             6.25E+08     0            0             6.25E+08     0.996792      6.25E+08     0             6.25E+08     0.990012     0             6.25E+08     0            0             6.25E+08     0.990012      6.25E+08     0             6.25E+08     0.977324     0             6.25E+08     0            0             6.25E+08     0.977324      6.25E+08     0             6.25E+08     1948.83       6.25E+08     4.06743       1.30833E+10  2387.43       3            0.0368561    0.00038152    3            0            0             3            0.071139     0.000376163   3            0            0             3            0.101333     0.000414385   3            0            0             
   3E+07        3.3374        7.5E+08      0.997919     0             7.5E+08      0            0             7.5E+08      0.997919      7.5E+08      0             7.5E+08      0.989418     0             7.5E+08      0            0             7.5E+08      0.989418      7.5E+08      0             7.5E+08      0.977304     0             7.5E+08      0            0             7.5E+08      0.977304      7.5E+08      0             7.5E+08      2340.22       7.5E+08      3.92323       1.32083E+10  3380.27       3.66667      0.0433198    0.000436713   3.66667      0            0             3.66667      0.0827466    0.000414488   3.66667      0            0             3.66667      0.115786     0.000463483   3.66667      0            0             
   3.5E+07      3.43693       8.75E+08     0.997054     0             8.75E+08     0            0             8.75E+08     0.997054      8.75E+08     0             8.75E+08     0.989687     0             8.75E+08     0            0             8.75E+08     0.989687      8.75E+08     0             8.75E+08     0.977643     0             8.75E+08     0            0             8.75E+08     0.977643      8.75E+08     0             8.75E+08     2730.27       8.75E+08     3.98068       1.33333E+10  1675.59       4.33333      0.049692     0.000484211   4.33333      0            0             4.33333      0.0938014    0.000457799   4.33333      0            0             4.33333      0.128402     0.000499214   4.33333      0            0             
   4E+07        3.47446       1E+09        0.996741     0             1E+09        0            0             1E+09        0.996741      1E+09        0             1E+09        0.98967      0             1E+09        0            0             1E+09        0.98967       1E+09        0             1E+09        0.977457     0             1E+09        0            0             1E+09        0.977457      1E+09        0             1E+09        3120.32       1E+09        4.15824       1.34583E+10  2001.26       5            0.0560544    0.000534966   5            0            0             5            0.104093     0.000490031   5            0            0             5            0.139233     0.000526804   5            0            0             
   4.5E+07      3.57475       1.125E+09    0.997055     0             1.125E+09    0            0             1.125E+09    0.997055      1.125E+09    0             1.125E+09    0.989295     0             1.125E+09    0            0             1.125E+09    0.989295      1.125E+09    0             1.125E+09    0.977462     0             1.125E+09    0            0             1.125E+09    0.977462      1.125E+09    0             1.125E+09    3509.69       1.125E+09    3.93742       1.35825E+10  2307.07       5.66667      0.062266     0.000576293   5.66667      0            0             5.66667      0.11377      0.000511699   5.66667      0            0             5.66667      0.147928     0.000543365   5.66667      0            0             
   5E+07        3.63583       1.25E+09     0.997144     0             1.25E+09     0            0             1.25E+09     0.997144      1.25E+09     0             1.25E+09     0.990188     0             1.25E+09     0            0             1.25E+09     0.990188      1.25E+09     0             1.25E+09     0.976982     0             1.25E+09     0            0             1.25E+09     0.976982      1.25E+09     0             1.25E+09     3898.56       1.25E+09     3.97885       1.37075E+10  2788.26       6.33333      0.0683811    0.000616233   6.33333      0            0             6.33333      0.122662     0.000534324   6.33333      0            0             6.33333      0.154301     0.000556037   6.33333      0            0             
