# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 5000000 --inactive 100 --source Histogram --Iterations\n 25 --active 100 --seed 0 --bins 75 --run --relaxed 7.5e-08 -f Relaxed/Corrected/50mfp/5E6/50mfp.r7.5e-08.dat , seed\n = 1570625706
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 7.5e-08, run = true, filename = Relaxed/Corrected/50mfp/5E6/50mfp.r7.5e-08.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 100, tracks = 5000000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   5E+06        3.12685       1.25E+08     0.997294     0             1.25E+08     0            0             1.25E+08     0.997294      1.25E+08     0             1.25E+08     0.989698     0             1.25E+08     0            0             1.25E+08     0.989698      1.25E+08     0             1.25E+08     0.976849     0             1.25E+08     0            0             1.25E+08     0.976849      1.25E+08     0             1.25E+08     386.332       1.25E+08     3.84485       1.2625E+10   0             0.333333     -0.010095    0.000106393   0.333333     0            0             0.333333     -0.0200732   0.000116474   0.333333     0            0             0.333333     0.029931     0.000135571   0.333333     0            0             
   1E+07        2.94701       2.5E+08      0.997817     0             2.5E+08      0            0             2.5E+08      0.997817      2.5E+08      0             2.5E+08      0.990301     0             2.5E+08      0            0             2.5E+08      0.990301      2.5E+08      0             2.5E+08      0.976958     0             2.5E+08      0            0             2.5E+08      0.976958      2.5E+08      0             2.5E+08      773.835       2.5E+08      4.05733       1.275E+10    20490.7       1            -0.0168608   0.00017749    1            0            0             1            -0.0335878   0.000187917   1            0            0             1            0.0498999    0.000219929   1            0            0             
   1.5E+07      2.99962       3.75E+08     0.997629     0             3.75E+08     0            0             3.75E+08     0.997629      3.75E+08     0             3.75E+08     0.989826     0             3.75E+08     0            0             3.75E+08     0.989826      3.75E+08     0             3.75E+08     0.977058     0             3.75E+08     0            0             3.75E+08     0.977058      3.75E+08     0             3.75E+08     1161.62       3.75E+08     4.04066       1.2875E+10   4055.07       1.66667      -0.0234556   0.000243866   1.66667      0            0             1.66667      -0.046487    0.000250242   1.66667      0            0             1.66667      0.0684424    0.000299666   1.66667      0            0             
   2E+07        2.94842       5E+08        0.99757      0             5E+08        0            0             5E+08        0.99757       5E+08        0             5E+08        0.989817     0             5E+08        0            0             5E+08        0.989817      5E+08        0             5E+08        0.977022     0             5E+08        0            0             5E+08        0.977022      5E+08        0             5E+08        1550.25       5E+08        4.11656       1.3E+10      2597.08       2.33333      -0.0298484   0.000306571   2.33333      0            0             2.33333      -0.0589322   0.000309878   2.33333      0            0             2.33333      0.0858917    0.000367226   2.33333      0            0             
   2.5E+07      3.12221       6.25E+08     0.997488     0             6.25E+08     0            0             6.25E+08     0.997488      6.25E+08     0             6.25E+08     0.989647     0             6.25E+08     0            0             6.25E+08     0.989647      6.25E+08     0             6.25E+08     0.977561     0             6.25E+08     0            0             6.25E+08     0.977561      6.25E+08     0             6.25E+08     1938.88       6.25E+08     4.15172       1.3125E+10   909.99        3            -0.0362559   0.000358095   3            0            0             3            -0.0709436   0.000367361   3            0            0             3            0.101922     0.000419452   3            0            0             
   3E+07        3.15425       7.5E+08      0.997502     0             7.5E+08      0            0             7.5E+08      0.997502      7.5E+08      0             7.5E+08      0.989204     0             7.5E+08      0            0             7.5E+08      0.989204      7.5E+08      0             7.5E+08      0.977565     0             7.5E+08      0            0             7.5E+08      0.977565      7.5E+08      0             7.5E+08      2327.06       7.5E+08      3.88776       1.325E+10    1188.22       3.66667      -0.0426136   0.000416717   3.66667      0            0             3.66667      -0.0824663   0.000420639   3.66667      0            0             3.66667      0.116477     0.000470945   3.66667      0            0             
   3.5E+07      3.26532       8.75E+08     0.997566     0             8.75E+08     0            0             8.75E+08     0.997566      8.75E+08     0             8.75E+08     0.989824     0             8.75E+08     0            0             8.75E+08     0.989824      8.75E+08     0             8.75E+08     0.977294     0             8.75E+08     0            0             8.75E+08     0.977294      8.75E+08     0             8.75E+08     2715.08       8.75E+08     4.09973       1.3375E+10   1571.81       4.33333      -0.0488348   0.000477925   4.33333      0            0             4.33333      -0.0934618   0.000464166   4.33333      0            0             4.33333      0.129137     0.000494392   4.33333      0            0             
   4E+07        3.32419       1E+09        0.996968     0             1E+09        0            0             1E+09        0.996968      1E+09        0             1E+09        0.989628     0             1E+09        0            0             1E+09        0.989628      1E+09        0             1E+09        0.977054     0             1E+09        0            0             1E+09        0.977054      1E+09        0             1E+09        3102.13       1E+09        4.11736       1.35E+10     1759.65       5            -0.0550344   0.000527006   5            0            0             5            -0.103804    0.000506604   5            0            0             5            0.139874     0.000519444   5            0            0             
   4.5E+07      3.40468       1.125E+09    0.997083     0             1.125E+09    0            0             1.125E+09    0.997083      1.125E+09    0             1.125E+09    0.989731     0             1.125E+09    0            0             1.125E+09    0.989731      1.125E+09    0             1.125E+09    0.977388     0             1.125E+09    0            0             1.125E+09    0.977388      1.125E+09    0             1.125E+09    3490.8        1.125E+09    3.93283       1.3625E+10   2158.94       5.66667      -0.0611107   0.000567148   5.66667      0            0             5.66667      -0.113496    0.000531221   5.66667      0            0             5.66667      0.148696     0.000526675   5.66667      0            0             
   5E+07        3.43022       1.25E+09     0.997275     0             1.25E+09     0            0             1.25E+09     0.997275      1.25E+09     0             1.25E+09     0.989335     0             1.25E+09     0            0             1.25E+09     0.989335      1.25E+09     0             1.25E+09     0.976898     0             1.25E+09     0            0             1.25E+09     0.976898      1.25E+09     0             1.25E+09     3879.87       1.25E+09     3.97188       1.375E+10    2621.97       6.33333      -0.0670951   0.000608886   6.33333      0            0             6.33333      -0.12241     0.000545781   6.33333      0            0             6.33333      0.155327     0.000521724   6.33333      0            0             
