# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 100000 --inactive 100 --source Histogram --Iterations\n 25 --active 661 --seed 0 --bins 75 --run --relaxed 0.05 -f Relaxed/LessAggressive/50mfp/1E5/50mfp.r0.05.dat , seed =\n 3888188124
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 0.05, run = true, filename = Relaxed/LessAggressive/50mfp/1E5/50mfp.r0.05.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 661, inactive = 100, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   100000       3.59918       650929       1.00455      0             650929       0            0             650929       1.00455       650929       0             650929       0.995479     0             650929       0.00521337   0             650929       0.995479      650929       0.00521337    650929       0.995479     0             650929       -0.00521337  0             650929       0.995479      650929       -0.00521337   650929       1.9883        650929       4.0656        6.63322E+07  0             0.333333     0.00853917   0.00052278    0.333333     9.16284E-05  -1.25985E-05  0.333333     0.012908     0.000576374   0.333333     -0.000209953 1.46752E-06   0.333333     -0.0202759   0.000814162   0.333333     0.000170379  9.19483E-06   
   171288       3.78107       1.26469E+06  1.00008      0             1.26469E+06  0            0             1.26469E+06  1.00008       1.26469E+06  0             1.26469E+06  0.991997     0             1.26469E+06  0            0             1.26469E+06  0.991997      1.26469E+06  0             1.26469E+06  0.979178     0             1.26469E+06  0            0             1.26469E+06  0.979178      1.26469E+06  0             1.26469E+06  3.95231       1.26469E+06  4.11057       6.69565E+07  10632.6       1            0.0146442    0.00085772    1            2.49914E-05  -1.75218E-05  1            0.0218187    0.000956223   1            -0.000211788 -1.41218E-05  1            -0.0336878   0.00132837    1            -1.11973E-05 2.81653E-05   
   216696       3.89506       1.84272E+06  0.993616     0             1.84272E+06  0.00240901   0             1.84272E+06  0.993616      1.84272E+06  0.00240901    1.84272E+06  0.993616     0             1.84272E+06  -0.00240901  0             1.84272E+06  0.993616      1.84272E+06  -0.00240901   1.84272E+06  0.977391     0             1.84272E+06  0            0             1.84272E+06  0.977391      1.84272E+06  0             1.84272E+06  5.77151       1.84272E+06  4.02508       6.77438E+07  1796.41       1.66667      0.0200539    0.00116227    1.66667      0.000153348  -2.46777E-05  1.66667      0.0297814    0.00128661    1.66667      -0.000467801 -9.42658E-07  1.66667      -0.0465886   0.001772      1.66667      0.000211241  1.49841E-05   
   251824       3.94069       2.45286E+06  1.00179      0             2.45286E+06  0            0             2.45286E+06  1.00179       2.45286E+06  0             2.45286E+06  0.997109     0             2.45286E+06  0            0             2.45286E+06  0.997109      2.45286E+06  0             2.45286E+06  0.972465     0             2.45286E+06  0            0             2.45286E+06  0.972465      2.45286E+06  0             2.45286E+06  7.69283       2.45286E+06  4.0122        6.84971E+07  3108.39       2.33333      0.0256835    0.0013969     2.33333      0.000204584  -3.40295E-05  2.33333      0.0376356    0.00156008    2.33333      -0.000572625 -1.09317E-05  2.33333      -0.058261    0.00216471    2.33333      0.000146182  2.11544E-05   
   280015       4.03219       3.01748E+06  0.997362     0             3.01748E+06  0            0             3.01748E+06  0.997362      3.01748E+06  0             3.01748E+06  0.990313     0             3.01748E+06  0            0             3.01748E+06  0.990313      3.01748E+06  0             3.01748E+06  0.966422     0             3.01748E+06  0.00534401   0             3.01748E+06  0.966422      3.01748E+06  0.00534401    3.01748E+06  9.4731        3.01748E+06  4.05702       6.91894E+07  2437.39       3            0.0307701    0.00166364    3            0.000236284  -4.00301E-05  3            0.0454662    0.00181198    3            -0.00077509  4.73186E-07   3            -0.0691362   0.00251099    3            5.26152E-05  1.878E-05     
   305650       4.06867       3.56396E+06  1.00201      0             3.56396E+06  0            0             3.56396E+06  1.00201       3.56396E+06  0             3.56396E+06  0.994059     0             3.56396E+06  0            0             3.56396E+06  0.994059      3.56396E+06  0             3.56396E+06  0.97889      0             3.56396E+06  0            0             3.56396E+06  0.97889       3.56396E+06  0             3.56396E+06  11.1986       3.56396E+06  4.05005       6.98244E+07  320.658       3.66667      0.0357592    0.00188217    3.66667      0.000273972  -3.92755E-05  3.66667      0.0524317    0.0020652     3.66667      -0.000826807 2.14323E-06   3.66667      -0.0794935   0.00280042    3.66667      -0.00021724  2.45867E-05   
   329815       4.08141       4.27543E+06  0.99741      0             4.27543E+06  0            0             4.27543E+06  0.99741       4.27543E+06  0             4.27543E+06  0.982678     0             4.27543E+06  0            0             4.27543E+06  0.982678      4.27543E+06  0             4.27543E+06  0.977656     0             4.27543E+06  0            0             4.27543E+06  0.977656      4.27543E+06  0             4.27543E+06  13.4277       4.27543E+06  4.12555       7.02987E+07  425.15        4.33333      0.0411472    0.00207656    4.33333      0.000292577  -3.55628E-05  4.33333      0.0594895    0.00230041    4.33333      -0.000867731 3.06252E-06   4.33333      -0.088631    0.0030165     4.33333      -0.000392527 2.47467E-05   
   352454       4.07127       4.81733E+06  0.987656     0             4.81733E+06  0            0             4.81733E+06  0.987656      4.81733E+06  0             4.81733E+06  0.982186     0             4.81733E+06  0.00718726   0             4.81733E+06  0.982186      4.81733E+06  0.00718726    4.81733E+06  0.982186     0             4.81733E+06  -0.00718726  0             4.81733E+06  0.982186      4.81733E+06  -0.00718726   4.81733E+06  15.1288       4.81733E+06  3.93049       7.10069E+07  522.234       5            0.0459729    0.00225072    5            0.000317027  -4.08078E-05  5            0.0661892    0.00248363    5            -0.000578698 2.21521E-06   5            -0.0962891   0.00317494    5            -0.000487772 2.56167E-05   
   380055       4.05782       5.627E+06    0.998638     0             5.627E+06    0            0             5.627E+06    0.998638      5.627E+06    0             5.627E+06    0.992742     0             5.627E+06    0            0             5.627E+06    0.992742      5.627E+06    0             5.627E+06    0.98152      0             5.627E+06    0            0             5.627E+06    0.98152       5.627E+06    0             5.627E+06    17.6817       5.627E+06    4.04237       7.16424E+07  626.649       5.66667      0.0511441    0.00239418    5.66667      0.000301751  -3.89275E-05  5.66667      0.0715588    0.00263367    5.66667      -0.000559361 4.33508E-08   5.66667      -0.102235    0.00328667    5.66667      -0.000617208 1.59466E-05   
   409095       4.01903       6.13876E+06  0.999489     0             6.13876E+06  0            0             6.13876E+06  0.999489      6.13876E+06  0             6.13876E+06  0.98601      0             6.13876E+06  0.00532371   0             6.13876E+06  0.98601       6.13876E+06  0.00532371    6.13876E+06  0.98601      0             6.13876E+06  -0.00532371  0             6.13876E+06  0.98601       6.13876E+06  -0.00532371   6.13876E+06  19.2934       6.13876E+06  4.02375       7.23076E+07  758.347       6.33333      0.0559886    0.0025187     6.33333      0.00022126   -4.16863E-05  6.33333      0.0772836    0.00275112    6.33333      -0.000539133 1.15049E-05   6.33333      -0.106998    0.00334893    6.33333      -0.000741949 1.02076E-05   
