# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 100 --seed 0 --bins 75 --run --relaxed 0.0 -f Relaxed/LessAggressive/50mfp/50mfp.r0.0.dat , seed = 3743911711
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 0, run = true, filename = Relaxed/LessAggressive/50mfp/50mfp.r0.0.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   500000       3.26844       1.25E+07     0.998573     0             1.25E+07     0            0             1.25E+07     0.998573      1.25E+07     0             1.25E+07     0.987595     0             1.25E+07     0            0             1.25E+07     0.987595      1.25E+07     0             1.25E+07     0.976497     0             1.25E+07     0            0             1.25E+07     0.976497      1.25E+07     0             1.25E+07     38.7705       1.25E+07     4.07926       1.2625E+09   0             0.333333     0.00958332   0.000347988   0.333333     0            0             0.333333     -0.0195289   0.000388779   0.333333     0            0             0.333333     0.0294387    0.000335974   0.333333     0            0             
   1E+06        3.34396       2.5E+07      0.999016     0             2.5E+07      0            0             2.5E+07      0.999016      2.5E+07      0             2.5E+07      0.98849      0             2.5E+07      0            0             2.5E+07      0.98849       2.5E+07      0             2.5E+07      0.976698     0             2.5E+07      0            0             2.5E+07      0.976698      2.5E+07      0             2.5E+07      77.6817       2.5E+07      4.09461       1.275E+09    659.798       1            0.0159567    0.000594578   1            0            0             1            -0.0329996   0.000619154   1            0            0             1            0.0491459    0.000546751   1            0            0             
   1.5E+06      3.39087       3.75E+07     0.997558     0             3.75E+07     0            0             3.75E+07     0.997558      3.75E+07     0             3.75E+07     0.98681      0             3.75E+07     0            0             3.75E+07     0.98681       3.75E+07     0             3.75E+07     0.977488     0             3.75E+07     0            0             3.75E+07     0.977488      3.75E+07     0             3.75E+07     116.805       3.75E+07     4.04925       1.2875E+09   1407.54       1.66667      0.022443     0.000827337   1.66667      0            0             1.66667      -0.0458882   0.000856235   1.66667      0            0             1.66667      0.067406     0.000733297   1.66667      0            0             
   2E+06        3.46071       5E+07        0.997471     0             5E+07        0            0             5E+07        0.997471      5E+07        0             5E+07        0.989052     0             5E+07        0            0             5E+07        0.989052      5E+07        0             5E+07        0.976524     0             5E+07        0            0             5E+07        0.976524      5E+07        0             5E+07        155.804       5E+07        3.89028       1.3E+09      2409.58       2.33333      0.0288484    0.00105362    2.33333      0            0             2.33333      -0.0580273   0.00105501    2.33333      0            0             2.33333      0.0846364    0.000886818   2.33333      0            0             
   2.5E+06      3.4665        6.25E+07     0.997288     0             6.25E+07     0            0             6.25E+07     0.997288      6.25E+07     0             6.25E+07     0.991362     0             6.25E+07     0            0             6.25E+07     0.991362      6.25E+07     0             6.25E+07     0.975402     0             6.25E+07     0            0             6.25E+07     0.975402      6.25E+07     0             6.25E+07     194.976       6.25E+07     3.94943       1.3125E+09   3070.21       3            0.0352874    0.00123985    3            0            0             3            -0.0698556   0.00123617    3            0            0             3            0.100589     0.0010287     3            0            0             
   3E+06        3.53476       7.5E+07      0.996516     0             7.5E+07      0            0             7.5E+07      0.996516      7.5E+07      0             7.5E+07      0.990581     0             7.5E+07      0            0             7.5E+07      0.990581      7.5E+07      0             7.5E+07      0.979233     0             7.5E+07      0            0             7.5E+07      0.979233      7.5E+07      0             7.5E+07      234.077       7.5E+07      4.03183       1.325E+09    1429.84       3.66667      0.0417335    0.00142558    3.66667      0            0             3.66667      -0.0812568   0.00140619    3.66667      0            0             3.66667      0.114821     0.00113201    3.66667      0            0             
   3.5E+06      3.63189       8.75E+07     0.997796     0             8.75E+07     0            0             8.75E+07     0.997796      8.75E+07     0             8.75E+07     0.989764     0             8.75E+07     0            0             8.75E+07     0.989764      8.75E+07     0             8.75E+07     0.976482     0             8.75E+07     0            0             8.75E+07     0.976482      8.75E+07     0             8.75E+07     273.233       8.75E+07     4.17797       1.3375E+09   1919.9        4.33333      0.0479831    0.00161898    4.33333      0            0             4.33333      -0.0921637   0.00153403    4.33333      0            0             4.33333      0.127348     0.00122519    4.33333      0            0             
   4E+06        3.69894       1E+08        0.99757      0             1E+08        0            0             1E+08        0.99757       1E+08        0             1E+08        0.988372     0             1E+08        0            0             1E+08        0.988372      1E+08        0             1E+08        0.976324     0             1E+08        0            0             1E+08        0.976324      1E+08        0             1E+08        312.17        1E+08        4.0828        1.35E+09     2480.28       5            0.0541235    0.00182177    5            0            0             5            -0.10255     0.00162389    5            0            0             5            0.138141     0.00129632    5            0            0             
   4.5E+06      3.76162       1.125E+08    0.99946      0             1.125E+08    0            0             1.125E+08    0.99946       1.125E+08    0             1.125E+08    0.98898      0             1.125E+08    0            0             1.125E+08    0.98898       1.125E+08    0             1.125E+08    0.976869     0             1.125E+08    0            0             1.125E+08    0.976869      1.125E+08    0             1.125E+08    351.352       1.125E+08    4.16358       1.3625E+09   3109.55       5.66667      0.0602782    0.00197898    5.66667      0            0             5.66667      -0.111984    0.00170626    5.66667      0            0             5.66667      0.146931     0.0013118     5.66667      0            0             
   5E+06        3.78834       1.25E+08     0.998309     0             1.25E+08     0            0             1.25E+08     0.998309      1.25E+08     0             1.25E+08     0.987381     0             1.25E+08     0            0             1.25E+08     0.987381      1.25E+08     0             1.25E+08     0.977305     0             1.25E+08     0            0             1.25E+08     0.977305      1.25E+08     0             1.25E+08     390.37        1.25E+08     4.11464       1.375E+09    2141.04       6.33333      0.0661188    0.00212797    6.33333      0            0             6.33333      -0.120884    0.00177703    6.33333      0            0             6.33333      0.153722     0.00132387    6.33333      0            0             
