# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 133 --seed 0 --bins 75 --run --relaxed 0.00075 -f Relaxed/LessAggressive/50mfp/50mfp.r0.00075.dat , seed\n = 3481849904
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 0.00075, run = true, filename = Relaxed/LessAggressive/50mfp/50mfp.r0.00075.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 133, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   500000       3.28262       1.02672E+07  0.997548     0             1.02672E+07  0            0             1.02672E+07  0.997548      1.02672E+07  0             1.02672E+07  0.988561     0             1.02672E+07  0            0             1.02672E+07  0.988561      1.02672E+07  0             1.02672E+07  0.977094     0             1.02672E+07  0            0             1.02672E+07  0.977094      1.02672E+07  0             1.02672E+07  32.25         1.02672E+07  4.05174       1.08668E+09  0             0.333333     0.0100588    0.000319964   0.333333     0            0             0.333333     -0.0194685   0.000337184   0.333333     0            0             0.333333     0.0293823    0.000307804   0.333333     0            0             
   1E+06        3.44555       2.19537E+07  0.995113     0             2.19537E+07  0            0             2.19537E+07  0.995113      2.19537E+07  0             2.19537E+07  0.990529     0             2.19537E+07  0            0             2.19537E+07  0.990529      2.19537E+07  0             2.19537E+07  0.977805     0             2.19537E+07  0            0             2.19537E+07  0.977805      2.19537E+07  0             2.19537E+07  68.6829       2.19537E+07  3.91629       1.09806E+09  280899        1            0.0169052    0.000525662   1            0            0             1            -0.0326798   0.00055381    1            0            0             1            0.0492136    0.0005158     1            0            0             
   1.5E+06      3.53791       3.26368E+07  0.998656     0             3.26368E+07  0            0             3.26368E+07  0.998656      3.26368E+07  0             3.26368E+07  0.990203     0             3.26368E+07  0            0             3.26368E+07  0.990203      3.26368E+07  0             3.26368E+07  0.976697     0             3.26368E+07  0            0             3.26368E+07  0.976697      3.26368E+07  0             3.26368E+07  102.489       3.26368E+07  3.97957       1.1079E+09   1584.71       1.66667      0.0233635    0.000716435   1.66667      0            0             1.66667      -0.0453406   0.000751733   1.66667      0            0             1.66667      0.0673612    0.000698459   1.66667      0            0             
   2E+06        3.57746       4.25473E+07  0.996976     0             4.25473E+07  0            0             4.25473E+07  0.996976      4.25473E+07  0             4.25473E+07  0.98836      0             4.25473E+07  0            0             4.25473E+07  0.98836       4.25473E+07  0             4.25473E+07  0.978956     0             4.25473E+07  0            0             4.25473E+07  0.978956      4.25473E+07  0             4.25473E+07  133.96        4.25473E+07  4.14116       1.11935E+09  1784.78       2.33333      0.0299758    0.000890054   2.33333      0            0             2.33333      -0.0575908   0.000936903   2.33333      0            0             2.33333      0.0843554    0.000864279   2.33333      0            0             
   2.5E+06      3.68219       5.44321E+07  0.994855     0             5.44321E+07  0            0             5.44321E+07  0.994855      5.44321E+07  0             5.44321E+07  0.990655     0             5.44321E+07  0            0             5.44321E+07  0.990655      5.44321E+07  0             5.44321E+07  0.977771     0             5.44321E+07  0            0             5.44321E+07  0.977771      5.44321E+07  0             5.44321E+07  170.983       5.44321E+07  4.02014       1.13103E+09  2690.26       3            0.0364139    0.00105606    3            0            0             3            -0.0696471   0.00108842    3            0            0             3            0.100193     0.00100533    3            0            0             
   3E+06        3.67701       6.47067E+07  0.997547     0             6.47067E+07  0            0             6.47067E+07  0.997547      6.47067E+07  0             6.47067E+07  0.98921      0             6.47067E+07  0            0             6.47067E+07  0.98921       6.47067E+07  0             6.47067E+07  0.976467     0             6.47067E+07  0            0             6.47067E+07  0.976467      6.47067E+07  0             6.47067E+07  203.667       6.47067E+07  4.08343       1.14126E+09  2727.04       3.66667      0.042613     0.0012277     3.66667      0            0             3.66667      -0.0809579   0.00123741    3.66667      0            0             3.66667      0.114452     0.00111646    3.66667      0            0             
   3.5E+06      3.7359        7.55386E+07  0.996643     0             7.55386E+07  0            0             7.55386E+07  0.996643      7.55386E+07  0             7.55386E+07  0.990595     0             7.55386E+07  0            0             7.55386E+07  0.990595      7.55386E+07  0             7.55386E+07  0.975787     0             7.55386E+07  0            0             7.55386E+07  0.975787      7.55386E+07  0             7.55386E+07  237.437       7.55386E+07  4.1364        1.15269E+09  1904.03       4.33333      0.0485494    0.00135467    4.33333      0            0             4.33333      -0.0916651   0.00135268    4.33333      0            0             4.33333      0.127032     0.00121327    4.33333      0            0             
   4E+06        3.77525       8.62867E+07  0.997209     0             8.62867E+07  0            0             8.62867E+07  0.997209      8.62867E+07  0             8.62867E+07  0.989126     0             8.62867E+07  0            0             8.62867E+07  0.989126      8.62867E+07  0             8.62867E+07  0.977147     0             8.62867E+07  0            0             8.62867E+07  0.977147      8.62867E+07  0             8.62867E+07  271.583       8.62867E+07  4.16589       1.16301E+09  2420.53       5            0.0546962    0.00149158    5            0            0             5            -0.10161     0.00144541    5            0            0             5            0.137661     0.00126927    5            0            0             
   4.5E+06      3.81729       9.7766E+07   0.996278     0             9.7766E+07   0            0             9.7766E+07   0.996278      9.7766E+07   0             9.7766E+07   0.988993     0             9.7766E+07   0            0             9.7766E+07   0.988993      9.7766E+07   0             9.7766E+07   0.978666     0             9.7766E+07   0            0             9.7766E+07   0.978666      9.7766E+07   0             9.7766E+07   307.943       9.7766E+07   4.0077        1.1735E+09   3029.15       5.66667      0.0605335    0.00161802    5.66667      0            0             5.66667      -0.11085     0.00152549    5.66667      0            0             5.66667      0.146193     0.00130022    5.66667      0            0             
   5E+06        3.89177       1.08469E+08  0.997565     0             1.08469E+08  0            0             1.08469E+08  0.997565      1.08469E+08  0             1.08469E+08  0.990384     0             1.08469E+08  0            0             1.08469E+08  0.990384      1.08469E+08  0             1.08469E+08  0.976242     0             1.08469E+08  0            0             1.08469E+08  0.976242      1.08469E+08  0             1.08469E+08  341.478       1.08469E+08  3.99402       1.18394E+09  3057.45       6.33333      0.0664944    0.00170742    6.33333      0            0             6.33333      -0.119538    0.00161821    6.33333      0            0             6.33333      0.152927     0.00129179    6.33333      0            0             
