# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 194 --seed 0 --bins 75 --run --relaxed 0.005 -f Relaxed/LessAggressive/50mfp/50mfp.r0.005.dat , seed = 4222803941
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 0.005, run = true, filename = Relaxed/LessAggressive/50mfp/50mfp.r0.005.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 194, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   500000       3.2365        7.73084E+06  0.99651      0             7.73084E+06  0            0             7.73084E+06  0.99651       7.73084E+06  0             7.73084E+06  0.99462      0             7.73084E+06  0            0             7.73084E+06  0.99462       7.73084E+06  0             7.73084E+06  0.97789      0             7.73084E+06  0            0             7.73084E+06  0.97789       7.73084E+06  0             7.73084E+06  23.7469       7.73084E+06  4.07244       8.53174E+08  0             0.333333     0.0100626    0.00028368    0.333333     2.68678E-05  -1.02452E-05  0.333333     -0.0198791   0.000304002   0.333333     -2.68678E-05 -4.08014E-06  0.333333     -0.0296111   0.000285798   0.333333     0            0             
   1E+06        3.38572       1.62783E+07  0.996339     0             1.62783E+07  0            0             1.62783E+07  0.996339      1.62783E+07  0             1.62783E+07  0.988422     0             1.62783E+07  0            0             1.62783E+07  0.988422      1.62783E+07  0             1.62783E+07  0.976815     0             1.62783E+07  0            0             1.62783E+07  0.976815      1.62783E+07  0             1.62783E+07  50.4007       1.62783E+07  3.7984        8.61112E+08  890.038       1            0.016998     0.000465725   1            4.71911E-05  -1.86092E-05  1            -0.0333956   0.000482839   1            -4.71911E-05 -7.43858E-06  1            -0.0494028   0.000465964   1            0            0             
   1.5E+06      3.50066       2.54887E+07  0.99742      0             2.54887E+07  0            0             2.54887E+07  0.99742       2.54887E+07  0             2.54887E+07  0.98904      0             2.54887E+07  0            0             2.54887E+07  0.98904       2.54887E+07  0             2.54887E+07  0.97734      0             2.54887E+07  0            0             2.54887E+07  0.97734       2.54887E+07  0             2.54887E+07  79.1228       2.54887E+07  4.09861       8.69777E+08  667.308       1.66667      0.0235498    0.000628432   1.66667      6.3179E-05   -2.53675E-05  1.66667      -0.0460972   0.000638255   1.66667      -6.3179E-05  -1.05597E-05  1.66667      -0.067797    0.000626864   1.66667      0            0             
   2E+06        3.63362       3.35236E+07  0.996712     0             3.35236E+07  0            0             3.35236E+07  0.996712      3.35236E+07  0             3.35236E+07  0.989658     0             3.35236E+07  0            0             3.35236E+07  0.989658      3.35236E+07  0             3.35236E+07  0.977488     0             3.35236E+07  0            0             3.35236E+07  0.977488      3.35236E+07  0             3.35236E+07  104.318       3.35236E+07  4.04354       8.78033E+08  1117.78       2.33333      0.0300044    0.000786262   2.33333      8.06029E-05  -3.20049E-05  2.33333      -0.0583239   0.000798133   2.33333      -8.06029E-05 -1.44516E-05  2.33333      -0.0849821   0.000772646   2.33333      0            0             
   2.5E+06      3.74698       4.23585E+07  0.997675     0             4.23585E+07  0            0             4.23585E+07  0.997675      4.23585E+07  0             4.23585E+07  0.989177     0             4.23585E+07  0            0             4.23585E+07  0.989177      4.23585E+07  0             4.23585E+07  0.977755     0             4.23585E+07  0            0             4.23585E+07  0.977755      4.23585E+07  0             4.23585E+07  131.725       4.23585E+07  4.06441       8.86365E+08  1209.92       3            0.0364025    0.000926607   3            9.82176E-05  -3.7612E-05   3            -0.0701072   0.000923132   3            -9.82176E-05 -2.06599E-05  3            -0.10103     0.000897294   3            0            0             
   3E+06        3.8156        5.07418E+07  0.994599     0             5.07418E+07  0            0             5.07418E+07  0.994599      5.07418E+07  0             5.07418E+07  0.987659     0             5.07418E+07  0            0             5.07418E+07  0.987659      5.07418E+07  0             5.07418E+07  0.976027     0             5.07418E+07  0            0             5.07418E+07  0.976027      5.07418E+07  0             5.07418E+07  157.951       5.07418E+07  4.04817       8.94474E+08  1720.17       3.66667      0.0427596    0.0010474     3.66667      0.000112827  -4.29915E-05  3.66667      -0.0815121   0.00104108    3.66667      -0.000112827 -2.61701E-05  3.66667      -0.115481    0.00100447    3.66667      0            0             
   3.5E+06      3.8922        5.80919E+07  0.995955     0             5.80919E+07  0            0             5.80919E+07  0.995955      5.80919E+07  0             5.80919E+07  0.989502     0             5.80919E+07  0            0             5.80919E+07  0.989502      5.80919E+07  0             5.80919E+07  0.977344     0             5.80919E+07  0            0             5.80919E+07  0.977344      5.80919E+07  0             5.80919E+07  180.716       5.80919E+07  4.0885        9.03062E+08  1994.22       4.33333      0.0491149    0.00117634    4.33333      0.000126946  -4.92199E-05  4.33333      -0.0923652   0.00113641    4.33333      -0.000126946 -3.05165E-05  4.33333      -0.127939    0.00108368    4.33333      0            0             
   4E+06        3.91728       6.5617E+07   0.998154     0             6.5617E+07   0            0             6.5617E+07   0.998154      6.5617E+07   0             6.5617E+07   0.988446     0             6.5617E+07   0            0             6.5617E+07   0.988446      6.5617E+07   0             6.5617E+07   0.974964     0             6.5617E+07   0            0             6.5617E+07   0.974964      6.5617E+07   0             6.5617E+07   204.194       6.5617E+07   4.05418       9.11443E+08  2413.19       5            0.0552481    0.00127954    5            0.000142019  -5.57346E-05  5            -0.102726    0.0012354     5            -0.000142019 -3.58842E-05  5            -0.138657    0.00115509    5            0            0             
   4.5E+06      3.95658       7.32824E+07  0.998193     0             7.32824E+07  0            0             7.32824E+07  0.998193      7.32824E+07  0             7.32824E+07  0.989833     0             7.32824E+07  0            0             7.32824E+07  0.989833      7.32824E+07  0             7.32824E+07  0.977973     0             7.32824E+07  0            0             7.32824E+07  0.977973      7.32824E+07  0             7.32824E+07  227.952       7.32824E+07  3.96795       9.2011E+08   2997.4        5.66667      0.0613353    0.00136129    5.66667      0.000153606  -6.23021E-05  5.66667      -0.112008    0.00133316    5.66667      -0.000153606 -3.93344E-05  5.66667      -0.147375    0.00119923    5.66667      0            0             
   4.9434E+06   4.00332       8.16313E+07  0.99679      0             8.16313E+07  0            0             8.16313E+07  0.99679       8.16313E+07  0             8.16313E+07  0.988795     0             8.16313E+07  0            0             8.16313E+07  0.988795      8.16313E+07  0             8.16313E+07  0.978778     0             8.16313E+07  0            0             8.16313E+07  0.978778      8.16313E+07  0             8.16313E+07  254.098       8.16313E+07  4.12282       9.28875E+08  3660.32       6.33333      0.0672994    0.00145986    6.33333      0.000172374  -7.09902E-05  6.33333      -0.120819    0.00139878    6.33333      -0.000172374 -4.54055E-05  6.33333      -0.153893    0.00122736    6.33333      0            0             
