# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 224 --seed 0 --bins 75 --run --relaxed 0.0075 -f Relaxed/LessAggressive/50mfp/50mfp.r0.0075.dat , seed =\n 1675514109
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 0.0075, run = true, filename = Relaxed/LessAggressive/50mfp/50mfp.r0.0075.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 224, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   500000       3.21491       6.00968E+06  0.997706     0             6.00968E+06  0            0             6.00968E+06  0.997706      6.00968E+06  0             6.00968E+06  0.988072     0             6.00968E+06  0            0             6.00968E+06  0.988072      6.00968E+06  0             6.00968E+06  0.976131     0             6.00968E+06  0            0             6.00968E+06  0.976131      6.00968E+06  0             6.00968E+06  18.3313       6.00968E+06  4.03393       7.58284E+08  0             0.333333     0.00993423   0.00024745    0.333333     0            0             0.333333     0.0191184    0.00035794    0.333333     -4.89305E-06 2.70857E-06   0.333333     -0.0294998   0.000276305   0.333333     4.89305E-06  3.34818E-07   
   1E+06        3.26072       1.32951E+07  0.997745     0             1.32951E+07  0            0             1.32951E+07  0.997745      1.32951E+07  0             1.32951E+07  0.988486     0             1.32951E+07  0            0             1.32951E+07  0.988486      1.32951E+07  0             1.32951E+07  0.977669     0             1.32951E+07  0            0             1.32951E+07  0.977669      1.32951E+07  0             1.32951E+07  41.0521       1.32951E+07  4.08097       7.66309E+08  175.034       1            0.0165919    0.000410205   1            0            0             1            0.0320142    0.000585967   1            -4.99285E-06 2.72413E-06   1            -0.0491389   0.000447437   1            4.99285E-06  4.75176E-07   
   1.5E+06      3.46858       2.10482E+07  0.997495     0             2.10482E+07  0            0             2.10482E+07  0.997495      2.10482E+07  0             2.10482E+07  0.991881     0             2.10482E+07  0            0             2.10482E+07  0.991881      2.10482E+07  0             2.10482E+07  0.977098     0             2.10482E+07  0            0             2.10482E+07  0.977098      2.10482E+07  0             2.10482E+07  65.2502       2.10482E+07  4.02249       7.74599E+08  381.72        1.66667      0.0232291    0.000556181   1.66667      0            0             1.66667      0.0442737    0.000784253   1.66667      -1.0524E-05  5.84886E-06   1.66667      -0.0674504   0.000598812   1.66667      1.0524E-05   1.10564E-06   
   2E+06        3.44218       2.76462E+07  0.996019     0             2.76462E+07  0            0             2.76462E+07  0.996019      2.76462E+07  0             2.76462E+07  0.989104     0             2.76462E+07  0            0             2.76462E+07  0.989104      2.76462E+07  0             2.76462E+07  0.976118     0             2.76462E+07  0            0             2.76462E+07  0.976118      2.76462E+07  0             2.76462E+07  85.8625       2.76462E+07  3.86881       7.81118E+08  574.108       2.33333      0.0296668    0.000688037   2.33333      0            0             2.33333      0.0561335    0.000965919   2.33333      -1.93707E-05 1.09293E-05   2.33333      -0.0844475   0.000737637   2.33333      1.93707E-05  2.16926E-06   
   2.5E+06      3.61786       3.42906E+07  0.998931     0             3.42906E+07  0            0             3.42906E+07  0.998931      3.42906E+07  0             3.42906E+07  0.989766     0             3.42906E+07  0            0             3.42906E+07  0.989766      3.42906E+07  0             3.42906E+07  0.975714     0             3.42906E+07  0            0             3.42906E+07  0.975714      3.42906E+07  0             3.42906E+07  106.601       3.42906E+07  4.02216       7.88786E+08  881.443       3            0.0360062    0.000829228   3            0            0             3            0.0676413    0.00115404    3            -2.9127E-05  1.68756E-05   3            -0.100378    0.000854244   3            2.9127E-05   2.77737E-06   
   3E+06        3.63329       4.2988E+07   0.997234     0             4.2988E+07   0            0             4.2988E+07   0.997234      4.2988E+07   0             4.2988E+07   0.990318     0             4.2988E+07   0            0             4.2988E+07   0.990318      4.2988E+07   0             4.2988E+07   0.978255     0             4.2988E+07   0            0             4.2988E+07   0.978255      4.2988E+07   0             4.2988E+07   133.759       4.2988E+07   4.08287       7.95438E+08  1028.34       3.66667      0.0424414    0.000952599   3.66667      0            0             3.66667      0.0786671    0.0013118     3.66667      -1.93902E-05 1.12471E-05   3.66667      -0.114591    0.000950285   3.66667      1.93902E-05  2.07859E-06   
   3.5E+06      3.69964       4.99731E+07  0.997523     0             4.99731E+07  0            0             4.99731E+07  0.997523      4.99731E+07  0             4.99731E+07  0.989306     0             4.99731E+07  0            0             4.99731E+07  0.989306      4.99731E+07  0             4.99731E+07  0.977097     0             4.99731E+07  0            0             4.99731E+07  0.977097      4.99731E+07  0             4.99731E+07  155.47        4.99731E+07  3.97494       8.0326E+08   1286.04       4.33333      0.0486635    0.00104918    4.33333      0            0             4.33333      0.0889981    0.00146533    4.33333      -1.76533E-05 1.03047E-05   4.33333      -0.126987    0.00100751    4.33333      1.76533E-05  1.90758E-06   
   3.96867E+06  3.74011       5.71245E+07  0.999708     0             5.71245E+07  0            0             5.71245E+07  0.999708      5.71245E+07  0             5.71245E+07  0.988874     0             5.71245E+07  0            0             5.71245E+07  0.988874      5.71245E+07  0             5.71245E+07  0.976633     0             5.71245E+07  0            0             5.71245E+07  0.976633      5.71245E+07  0             5.71245E+07  177.906       5.71245E+07  4.12003       8.11411E+08  1467.67       5            0.054702     0.00113765    5            0            0             5            0.0990998    0.0015945     5            -1.9171E-05  1.11731E-05   5            -0.137589    0.00105803    5            1.9171E-05   2.30758E-06   
   4.3141E+06   3.73692       6.50216E+07  0.997263     0             6.50216E+07  0            0             6.50216E+07  0.997263      6.50216E+07  0             6.50216E+07  0.990944     0             6.50216E+07  0            0             6.50216E+07  0.990944      6.50216E+07  0             6.50216E+07  0.976141     0             6.50216E+07  0            0             6.50216E+07  0.976141      6.50216E+07  0             6.50216E+07  202.512       6.50216E+07  3.96071       8.20035E+08  1823.99       5.66667      0.0606685    0.00124515    5.66667      0            0             5.66667      0.10829      0.00170455    5.66667      -2.0672E-05  1.22604E-05   5.66667      -0.146164    0.00109317    5.66667      2.0672E-05   2.36374E-06   
   4.57521E+06  3.76026       7.31229E+07  0.997        0             7.31229E+07  0            0             7.31229E+07  0.997         7.31229E+07  0             7.31229E+07  0.989216     0             7.31229E+07  0            0             7.31229E+07  0.989216      7.31229E+07  0             7.31229E+07  0.976732     0             7.31229E+07  0            0             7.31229E+07  0.976732      7.31229E+07  0             7.31229E+07  227.596       7.31229E+07  3.78958       8.27625E+08  2188.1        6.33333      0.0666158    0.00133109    6.33333      0            0             6.33333      0.11672      0.00179804    6.33333      -2.39633E-05 1.45587E-05   6.33333      -0.152734    0.0011034     6.33333      2.39633E-05  2.40049E-06   
