# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 100 --seed 0 --bins 75 --run --relaxed 1e-05 -f Relaxed/LessAggressive/50mfp/50mfp.r1e-05.dat , seed = 1843935385
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 1e-05, run = true, filename = Relaxed/LessAggressive/50mfp/50mfp.r1e-05.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   500000       3.25576       1.25E+07     0.996785     0             1.25E+07     0            0             1.25E+07     0.996785      1.25E+07     0             1.25E+07     0.98908      0             1.25E+07     0            0             1.25E+07     0.98908       1.25E+07     0             1.25E+07     0.97933      0             1.25E+07     0            0             1.25E+07     0.97933       1.25E+07     0             1.25E+07     38.8671       1.25E+07     4.02044       1.26223E+09  0             0.333333     0.00999693   0.000419972   0.333333     1.73323E-06  4.75025E-07   0.333333     -0.0197563   0.000359371   0.333333     1.73323E-06  -8.44363E-08  0.333333     -0.0297344   0.000382915   0.333333     0            0             
   1E+06        3.43545       2.5E+07      0.998459     0             2.5E+07      0            0             2.5E+07      0.998459      2.5E+07      0             2.5E+07      0.987617     0             2.5E+07      0            0             2.5E+07      0.987617      2.5E+07      0             2.5E+07      0.978539     0             2.5E+07      0            0             2.5E+07      0.978539      2.5E+07      0             2.5E+07      77.6012       2.5E+07      3.87383       1.27473E+09  227.373       1            0.0168135    0.000705995   1            3.45161E-06  9.54435E-07   1            -0.0332233   0.000582807   1            3.45161E-06  -1.84315E-07  1            -0.0494868   0.000630652   1            0            0             
   1.5E+06      3.55564       3.75E+07     0.996779     0             3.75E+07     0            0             3.75E+07     0.996779      3.75E+07     0             3.75E+07     0.989611     0             3.75E+07     0            0             3.75E+07     0.989611      3.75E+07     0             3.75E+07     0.977486     0             3.75E+07     0            0             3.75E+07     0.977486      3.75E+07     0             3.75E+07     116.71        3.75E+07     3.98854       1.28723E+09  497.601       1.66667      0.0232966    0.000958296   1.66667      2.9995E-06   8.17057E-07   1.66667      -0.045919    0.00079033    1.66667      2.9995E-06   -1.32125E-07  1.66667      -0.0676718   0.000832575   1.66667      0            0             
   2E+06        3.71546       5E+07        0.997171     0             5E+07        0            0             5E+07        0.997171      5E+07        0             5E+07        0.991414     0             5E+07        0            0             5E+07        0.991414      5E+07        0             5E+07        0.977842     0             5E+07        0            0             5E+07        0.977842      5E+07        0             5E+07        155.829       5E+07        3.94767       1.29973E+09  464.224       2.33333      0.0295305    0.00119438    2.33333      4.20981E-06  1.13425E-06   2.33333      -0.0582735   0.000969888   2.33333      4.20981E-06  -1.49185E-07  2.33333      -0.0850353   0.000997893   2.33333      0            0             
   2.5E+06      3.81821       6.25E+07     0.998645     0             6.25E+07     0            0             6.25E+07     0.998645      6.25E+07     0             6.25E+07     0.989358     0             6.25E+07     0            0             6.25E+07     0.989358      6.25E+07     0             6.25E+07     0.977293     0             6.25E+07     0            0             6.25E+07     0.977293      6.25E+07     0             6.25E+07     194.997       6.25E+07     4.14949       1.31223E+09  717.743       3            0.0360287    0.00141774    3            2.7479E-06   6.97036E-07   3            -0.0698262   0.00112695    3            2.7479E-06   -5.2796E-08   3            -0.100634    0.00115868    3            0            0             
   3E+06        3.92391       7.5E+07      0.997224     0             7.5E+07      0            0             7.5E+07      0.997224      7.5E+07      0             7.5E+07      0.99075      0             7.5E+07      0            0             7.5E+07      0.99075       7.5E+07      0             7.5E+07      0.977938     0             7.5E+07      0            0             7.5E+07      0.977938      7.5E+07      0             7.5E+07      234.185       7.5E+07      3.9694        1.32473E+09  1022.42       3.66667      0.0425297    0.00161494    3.66667      3.75213E-06  9.28199E-07   3.66667      -0.0814395   0.00128048    3.66667      3.75213E-06  -3.0484E-08   3.66667      -0.114971    0.00127679    3.66667      0            0             
   3.5E+06      3.9746        8.75E+07     0.996803     0             8.75E+07     0            0             8.75E+07     0.996803      8.75E+07     0             8.75E+07     0.989612     0             8.75E+07     0            0             8.75E+07     0.989612      8.75E+07     0             8.75E+07     0.977388     0             8.75E+07     0            0             8.75E+07     0.977388      8.75E+07     0             8.75E+07     273.334       8.75E+07     4.02362       1.33723E+09  1099.69       4.33333      0.0486106    0.00182838    4.33333      3.78879E-06  9.48818E-07   4.33333      -0.0921636   0.00142709    4.33333      3.78879E-06  -5.93299E-08  4.33333      -0.127575    0.00141828    4.33333      0            0             
   4E+06        4.01489       1E+08        0.996917     0             1E+08        0            0             1E+08        0.996917      1E+08        0             1E+08        0.990517     0             1E+08        0            0             1E+08        0.990517      1E+08        0             1E+08        0.97706      0             1E+08        0            0             1E+08        0.97706       1E+08        0             1E+08        312.314       1E+08        4.03694       1.34973E+09  1183.81       5            0.0547651    0.00200911    5            1.39921E-06  3.61214E-07   5            -0.102452    0.00155513    5            1.39921E-06  -3.76021E-08  5            -0.138288    0.00151799    5            0            0             
   4.5E+06      4.04973       1.125E+08    0.997044     0             1.125E+08    0            0             1.125E+08    0.997044      1.125E+08    0             1.125E+08    0.989799     0             1.125E+08    0            0             1.125E+08    0.989799      1.125E+08    0             1.125E+08    0.976167     0             1.125E+08    0            0             1.125E+08    0.976167      1.125E+08    0             1.125E+08    351.446       1.125E+08    3.97365       1.36223E+09  1479.21       5.66667      0.0609789    0.00217674    5.66667      6.96887E-06  1.89101E-06   5.66667      -0.112085    0.00168481    5.66667      6.96887E-06  -3.29253E-07  5.66667      -0.146989    0.00156975    5.66667      0            0             
   5E+06        4.06584       1.25E+08     0.99681      0             1.25E+08     0            0             1.25E+08     0.99681       1.25E+08     0             1.25E+08     0.99063      0             1.25E+08     0            0             1.25E+08     0.99063       1.25E+08     0             1.25E+08     0.976647     0             1.25E+08     0            0             1.25E+08     0.976647      1.25E+08     0             1.25E+08     390.361       1.25E+08     4.06058       1.37473E+09  1241.06       6.33333      0.0668121    0.00233223    6.33333      9.35672E-06  2.54014E-06   6.33333      -0.120949    0.00179936    6.33333      9.35672E-06  -4.77273E-07  6.33333      -0.153249    0.00157736    6.33333      0            0             
   5.5E+06      4.08762       1.375E+08    0.996196     0             1.375E+08    0            0             1.375E+08    0.996196      1.375E+08    0             1.375E+08    0.987951     0             1.375E+08    0            0             1.375E+08    0.987951      1.375E+08    0             1.375E+08    0.977171     0             1.375E+08    0            0             1.375E+08    0.977171      1.375E+08    0             1.375E+08    429.521       1.375E+08    4.12429       1.38723E+09  1032.28       7            0.0729612    0.00243967    7            1.24132E-05  3.46826E-06   7            -0.129054    0.00187837    7            1.24132E-05  -7.97791E-07  7            -0.157546    0.00159153    7            0            0             
   6E+06        4.0854        1.5E+08      0.996989     0             1.5E+08      0            0             1.5E+08      0.996989      1.5E+08      0             1.5E+08      0.990077     0             1.5E+08      0            0             1.5E+08      0.990077      1.5E+08      0             1.5E+08      0.977668     0             1.5E+08      0            0             1.5E+08      0.977668      1.5E+08      0             1.5E+08      468.645       1.5E+08      4.07715       1.39973E+09  1217.5        7.66667      0.0786739    0.00254838    7.66667      1.66654E-05  4.73625E-06   7.66667      -0.136509    0.00193427    7.66667      1.66654E-05  -1.25697E-06  7.66667      -0.159483    0.0015831     7.66667      0            0             
   6.5E+06      4.09393       1.625E+08    0.998424     0             1.625E+08    0            0             1.625E+08    0.998424      1.625E+08    0             1.625E+08    0.989542     0             1.625E+08    0            0             1.625E+08    0.989542      1.625E+08    0             1.625E+08    0.976375     0             1.625E+08    0            0             1.625E+08    0.976375      1.625E+08    0             1.625E+08    507.921       1.625E+08    4.02147       1.41223E+09  1416.11       8.33333      0.0842933    0.00262689    8.33333      2.02168E-05  5.71389E-06   8.33333      -0.143176    0.00200655    8.33333      2.02168E-05  -1.54775E-06  8.33333      -0.159178    0.00158676    8.33333      0            0             
   7E+06        4.11816       1.75E+08     0.997436     0             1.75E+08     0            0             1.75E+08     0.997436      1.75E+08     0             1.75E+08     0.990072     0             1.75E+08     0            0             1.75E+08     0.990072      1.75E+08     0             1.75E+08     0.976029     0             1.75E+08     0            0             1.75E+08     0.976029      1.75E+08     0             1.75E+08     546.946       1.75E+08     4.03946       1.42473E+09  1619.11       9            0.0896022    0.00269118    9            2.33164E-05  6.53581E-06   9            -0.14909     0.00204799    9            2.33164E-05  -1.81579E-06  9            -0.156455    0.001571      9            0            0             
   7.5E+06      4.12024       1.875E+08    0.997998     0             1.875E+08    0            0             1.875E+08    0.997998      1.875E+08    0             1.875E+08    0.990758     0             1.875E+08    0            0             1.875E+08    0.990758      1.875E+08    0             1.875E+08    0.976835     0             1.875E+08    0            0             1.875E+08    0.976835      1.875E+08    0             1.875E+08    586.118       1.875E+08    3.96924       1.43723E+09  1839.87       9.66667      0.0947086    0.00274984    9.66667      2.81656E-05  8.36644E-06   9.66667      -0.153492    0.00207247    9.66667      2.81656E-05  -3.11201E-06  9.66667      -0.150848    0.00155521    9.66667      0            0             
