# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 100 --seed 0 --bins 75 --run --relaxed 7.5e-05 -f Relaxed/LessAggressive/50mfp/50mfp.r7.5e-05.dat , seed\n = 1341220492
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 7.5e-05, run = true, filename = Relaxed/LessAggressive/50mfp/50mfp.r7.5e-05.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   500000       3.24404       1.25E+07     0.997078     0             1.25E+07     0            0             1.25E+07     0.997078      1.25E+07     0             1.25E+07     0.991099     0             1.25E+07     0            0             1.25E+07     0.991099      1.25E+07     0             1.25E+07     0.977402     0             1.25E+07     0            0             1.25E+07     0.977402      1.25E+07     0             1.25E+07     38.8257       1.25E+07     3.97511       1.24849E+09  0             0.333333     0.0104829    0.000358534   0.333333     0            0             0.333333     -0.0193576   0.000386693   0.333333     0            0             0.333333     0.0295688    0.000385155   0.333333     0            0             
   1E+06        3.39483       2.49657E+07  0.996291     0             2.49657E+07  0            0             2.49657E+07  0.996291      2.49657E+07  0             2.49657E+07  0.988417     0             2.49657E+07  0            0             2.49657E+07  0.988417      2.49657E+07  0             2.49657E+07  0.976375     0             2.49657E+07  0            0             2.49657E+07  0.976375      2.49657E+07  0             2.49657E+07  77.6199       2.49657E+07  3.92746       1.26099E+09  715.179       1            0.017434     0.000597755   1            0            0             1            -0.0324869   0.000625357   1            0            0             1            0.0494088    0.000612933   1            0            0             
   1.5E+06      3.40987       3.74657E+07  0.997119     0             3.74657E+07  0            0             3.74657E+07  0.997119      3.74657E+07  0             3.74657E+07  0.990256     0             3.74657E+07  0            0             3.74657E+07  0.990256      3.74657E+07  0             3.74657E+07  0.977848     0             3.74657E+07  0            0             3.74657E+07  0.977848      3.74657E+07  0             3.74657E+07  116.667       3.74657E+07  4.13922       1.27339E+09  1337.25       1.66667      0.0242906    0.000821263   1.66667      0            0             1.66667      -0.0449809   0.00084012    1.66667      0            0             1.66667      0.0674853    0.000820969   1.66667      0            0             
   2E+06        3.42469       4.99657E+07  0.996106     0             4.99657E+07  0            0             4.99657E+07  0.996106      4.99657E+07  0             4.99657E+07  0.990092     0             4.99657E+07  0            0             4.99657E+07  0.990092      4.99657E+07  0             4.99657E+07  0.977822     0             4.99657E+07  0            0             4.99657E+07  0.977822      4.99657E+07  0             4.99657E+07  155.726       4.99657E+07  3.85674       1.28562E+09  2173.47       2.33333      0.0312587    0.00101401    2.33333      0            0             2.33333      -0.0573403   0.00101571    2.33333      0            0             2.33333      0.0848621    0.00101173    2.33333      0            0             
   2.5E+06      3.61861       6.24456E+07  0.999133     0             6.24456E+07  0            0             6.24456E+07  0.999133      6.24456E+07  0             6.24456E+07  0.990716     0             6.24456E+07  0            0             6.24456E+07  0.990716      6.24456E+07  0             6.24456E+07  0.976648     0             6.24456E+07  0            0             6.24456E+07  0.976648      6.24456E+07  0             6.24456E+07  194.424       6.24456E+07  4.03008       1.29798E+09  3071.62       3            0.0376767    0.00120734    3            0            0             3            -0.0690603   0.00117372    3            0            0             3            0.100817     0.00117701    3            0            0             
   3E+06        3.7357        7.48714E+07  0.996967     0             7.48714E+07  0            0             7.48714E+07  0.996967      7.48714E+07  0             7.48714E+07  0.98798      0             7.48714E+07  0            0             7.48714E+07  0.98798       7.48714E+07  0             7.48714E+07  0.9785       0             7.48714E+07  0            0             7.48714E+07  0.9785        7.48714E+07  0             7.48714E+07  233.401       7.48714E+07  3.88913       1.31048E+09  2360.17       3.66667      0.0443068    0.00137863    3.66667      0            0             3.66667      -0.0803418   0.00133105    3.66667      0            0             3.66667      0.114878     0.00131352    3.66667      0            0             
   3.5E+06      3.77169       8.73714E+07  0.997609     0             8.73714E+07  0            0             8.73714E+07  0.997609      8.73714E+07  0             8.73714E+07  0.99053      0             8.73714E+07  0            0             8.73714E+07  0.99053       8.73714E+07  0             8.73714E+07  0.978319     0             8.73714E+07  0            0             8.73714E+07  0.978319      8.73714E+07  0             8.73714E+07  272.379       8.73714E+07  4.00414       1.32227E+09  2544.23       4.33333      0.0506249    0.0015669     4.33333      0            0             4.33333      -0.091007    0.00145946    4.33333      0            0             4.33333      0.127536     0.00138681    4.33333      0            0             
   4E+06        3.88651       9.98238E+07  0.996692     0             9.98238E+07  0            0             9.98238E+07  0.996692      9.98238E+07  0             9.98238E+07  0.989571     0             9.98238E+07  0            0             9.98238E+07  0.989571      9.98238E+07  0             9.98238E+07  0.97763      0             9.98238E+07  0            0             9.98238E+07  0.97763       9.98238E+07  0             9.98238E+07  311.097       9.98238E+07  3.94695       1.33477E+09  3082.21       5            0.0567911    0.00171622    5            0            0             5            -0.100776    0.00156099    5            0            0             5            0.138313     0.00148593    5            0            0             
   4.5E+06      3.95912       1.12133E+08  0.997751     0             1.12133E+08  0            0             1.12133E+08  0.997751      1.12133E+08  0             1.12133E+08  0.989906     0             1.12133E+08  0            0             1.12133E+08  0.989906      1.12133E+08  0             1.12133E+08  0.976906     0             1.12133E+08  0            0             1.12133E+08  0.976906      1.12133E+08  0             1.12133E+08  349.56        1.12133E+08  4.00152       1.34697E+09  3853.3        5.66667      0.0627504    0.0018817     5.66667      0            0             5.66667      -0.110204    0.00163614    5.66667      0            0             5.66667      0.146996     0.00156723    5.66667      0            0             
   5E+06        3.97073       1.24633E+08  0.996691     0             1.24633E+08  0            0             1.24633E+08  0.996691      1.24633E+08  0             1.24633E+08  0.989006     0             1.24633E+08  0            0             1.24633E+08  0.989006      1.24633E+08  0             1.24633E+08  0.976119     0             1.24633E+08  0            0             1.24633E+08  0.976119      1.24633E+08  0             1.24633E+08  388.518       1.24633E+08  4.09955       1.35947E+09  2028.55       6.33333      0.0684955    0.00203976    6.33333      0            0             6.33333      -0.118543    0.00168873    6.33333      0            0             6.33333      0.15336      0.00159362    6.33333      0            0             
