# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 50000 --inactive 100 --source Histogram --Iterations\n 25 --active 916 --seed 0 --bins 75 --run --relaxed 0.1 -f Relaxed/LessAggressive/50mfp/5E4/50mfp.r0.1.dat , seed = 4225355456
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 0.1, run = true, filename = Relaxed/LessAggressive/50mfp/5E4/50mfp.r0.1.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 916, inactive = 100, tracks = 50000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   50000        3.5402        277879       0.997444     0             277879       0.0091719    0             277879       0.997444      277879       0.0091719     277879       0.997444     0             277879       -0.0091719   0             277879       0.997444      277879       -0.0091719    277879       0.995322     0             277879       0            0             277879       0.995322      277879       0             277879       0.867523      277879       3.93333       2.54852E+07  0             0.333333     -0.00827437  0.000720786   0.333333     0.000226647  1.25344E-07   0.333333     -0.00852951  0.000624142   0.333333     3.15454E-05  -1.55334E-05  0.333333     -0.0127734   0.000795058   0.333333     0.000272896  -1.9935E-06   
   63746        3.74025       570421       1.04072      0             570421       0            0             570421       1.04072       570421       0             570421       1.00374      0             570421       0            0             570421       1.00374       570421       0             570421       0.977415     0             570421       0            0             570421       0.977415      570421       0             570421       1.8034        570421       4.12          2.56753E+07  42705.6       1            -0.0137371   0.00112812    1            0.000275141  -5.77976E-06  1            -0.0138291   0.00101693    1            -5.53406E-05 -1.32962E-05  1            -0.0209589   0.00125333    1            0.000133286  -3.36109E-05  
   73799        3.82074       864474       1.02116      0             864474       0            0             864474       1.02116       864474       0             864474       0.987019     0             864474       0            0             864474       0.987019      864474       0             864474       0.971933     0             864474       0            0             864474       0.971933      864474       0             864474       2.74302       864474       4.03535       2.58419E+07  914.292       1.66667      -0.0185431   0.00144777    1.66667      0.000451452  -5.69027E-06  1.66667      -0.0194478   0.00134172    1.66667      -0.000185481 -2.36736E-05  1.66667      -0.0287144   0.00169255    1.66667      0.000224548  -2.7859E-05   
   82484        3.89899       1.08694E+06  1.00167      0             1.08694E+06  0            0             1.08694E+06  1.00167       1.08694E+06  0             1.08694E+06  0.982042     0             1.08694E+06  0.0169411    0             1.08694E+06  0.982042      1.08694E+06  0.0169411     1.08694E+06  0.982042     0             1.08694E+06  -0.0169411   0             1.08694E+06  0.982042      1.08694E+06  -0.0169411    1.08694E+06  3.46015       1.08694E+06  4.05525       2.6153E+07   1297.06       2.33333      -0.0242136   0.00173274    2.33333      0.000514411  -3.11308E-06  2.33333      -0.0242015   0.00162924    2.33333      -0.000266389 -2.76722E-05  2.33333      -0.035955    0.00203562    2.33333      0.000312247  -3.41175E-05  
   91131        3.97503       1.31299E+06  1.00685      0             1.31299E+06  0            0             1.31299E+06  1.00685       1.31299E+06  0             1.31299E+06  0.987483     0             1.31299E+06  0            0             1.31299E+06  0.987483      1.31299E+06  0             1.31299E+06  0.984052     0             1.31299E+06  0            0             1.31299E+06  0.984052      1.31299E+06  0             1.31299E+06  4.18625       1.31299E+06  3.9982        2.63763E+07  1026.04       3            -0.0301871   0.0020207     3            0.000442397  -3.46497E-06  3            -0.029445    0.00189563    3            -0.000255458 -3.99574E-05  3            -0.0429514   0.00236309    3            0.000720616  -3.98514E-05  
   99942        4.08158       1.59986E+06  0.993852     0             1.59986E+06  0            0             1.59986E+06  0.993852      1.59986E+06  0             1.59986E+06  0.989792     0             1.59986E+06  0.00714135   0             1.59986E+06  0.989792      1.59986E+06  0.00714135    1.59986E+06  0.989792     0             1.59986E+06  -0.00714135  0             1.59986E+06  0.989792      1.59986E+06  -0.00714135   1.59986E+06  5.09771       1.59986E+06  3.9546        2.6603E+07   1036.92       3.66667      -0.034451    0.00224644    3.66667      0.000328086  -6.62802E-06  3.66667      -0.0347217   0.00211769    3.66667      0.000185848  -2.32457E-05  3.66667      -0.0495587   0.00257504    3.66667      0.000993112  -2.9138E-05   
   112659       4.11901       1.82892E+06  0.993504     0             1.82892E+06  0            0             1.82892E+06  0.993504      1.82892E+06  0             1.82892E+06  0.985814     0             1.82892E+06  0.0147101    0             1.82892E+06  0.985814      1.82892E+06  0.0147101     1.82892E+06  0.985814     0             1.82892E+06  -0.0147101   0             1.82892E+06  0.985814      1.82892E+06  -0.0147101    1.82892E+06  5.83159       1.82892E+06  3.95345       2.69104E+07  1419.38       4.33333      -0.0400543   0.00243199    4.33333      0.000212078  -1.19907E-05  4.33333      -0.0397408   0.00234425    4.33333      0.000256916  -1.66526E-05  4.33333      -0.0557577   0.00284363    4.33333      0.000804377  -3.5373E-05   
   127679       4.13862       2.08068E+06  1.01167      0             2.08068E+06  0            0             2.08068E+06  1.01167       2.08068E+06  0             2.08068E+06  0.997116     0             2.08068E+06  0            0             2.08068E+06  0.997116      2.08068E+06  0             2.08068E+06  0.990387     0             2.08068E+06  0            0             2.08068E+06  0.990387      2.08068E+06  0             2.08068E+06  6.63531       2.08068E+06  4.03808       2.71262E+07  1928.01       5            -0.0442024   0.00257911    5            8.17534E-05  -2.64399E-06  5            -0.0446441   0.00249927    5            0.000401496  -1.63622E-05  5            -0.0614485   0.00295578    5            0.000576636  -4.53024E-05  
   142112       4.0428        2.24949E+06  0.991299     0             2.24949E+06  0.00175702   0             2.24949E+06  0.991299      2.24949E+06  0.00175702    2.24949E+06  0.991299     0             2.24949E+06  -0.00175702  0             2.24949E+06  0.991299      2.24949E+06  -0.00175702   2.24949E+06  0.947857     0             2.24949E+06  0.0609064    0             2.24949E+06  0.947857      2.24949E+06  0.0609064     2.24949E+06  7.17326       2.24949E+06  4.08734       2.7354E+07   1971.29       5.66667      -0.0484241   0.00265996    5.66667      -3.51999E-05 -8.96244E-06  5.66667      -0.0491475   0.00261631    5.66667      0.000327525  -1.43473E-05  5.66667      -0.0659432   0.00299406    5.66667      0.000275084  -2.76911E-05  
   153633       4.0718        2.49014E+06  0.998596     0             2.49014E+06  0            0             2.49014E+06  0.998596      2.49014E+06  0             2.49014E+06  0.993398     0             2.49014E+06  0            0             2.49014E+06  0.993398      2.49014E+06  0             2.49014E+06  0.977124     0             2.49014E+06  0.0175243    0             2.49014E+06  0.977124      2.49014E+06  0.0175243     2.49014E+06  7.94367       2.49014E+06  3.94196       2.75529E+07  2140.59       6.33333      -0.0523178   0.0027571     6.33333      -0.000200611 -5.76111E-06  6.33333      -0.0536844   0.00273046    6.33333      0.000304097  4.79616E-07   6.33333      -0.0706217   0.00301331    6.33333      0.000527671  -5.84158E-05  
