# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 50000 --inactive 100 --source Histogram --Iterations\n 25 --active 1843 --seed 0 --bins 75 --run --relaxed 1.0 -f Relaxed/LessAggressive/50mfp/5E4/50mfp.r1.dat , seed = 1520948810
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 1, run = true, filename = Relaxed/LessAggressive/50mfp/5E4/50mfp.r1.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 1843, inactive = 100, tracks = 50000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   50000        3.72616       115803       1.02448      0             115803       0            0             115803       1.02448       115803       0             115803       1.01584      0             115803       0            0             115803       1.01584       115803       0             115803       0.974101     0             115803       0            0             115803       0.974101      115803       0             115803       0.36081       115803       4.03587       1.29439E+07  0             0.333333     -0.00270043  0.000768654   0.333333     -0.000590684 -2.77661E-07  0.333333     0.00570188   0.000573756   0.333333     -0.000443475 -1.15084E-05  0.333333     0.00744909   0.000600553   0.333333     0.000697462  -2.37689E-06  
   51685        3.82251       251714       1.00431      0             251714       0.027959     0             251714       1.00431       251714       0.027959      251714       1.00431      0             251714       -0.027959    0             251714       1.00431       251714       -0.027959     251714       0.991082     0             251714       0.0645213    0             251714       0.991082      251714       0.0645213     251714       0.804642      251714       4.0893        1.30722E+07  3725.67       1            -0.00432447  0.00114511    1            -0.000542474 6.28603E-06   1            0.00973254   0.000886765   1            -0.000274395 -1.49445E-05  1            0.0125463    0.000950718   1            0.00128367   -1.25292E-05  
   52682        3.92125       377398       1.02251      0             377398       0.0049548    0             377398       1.02251       377398       0.0049548     377398       1.02251      0             377398       -0.0049548   0             377398       1.02251       377398       -0.0049548    377398       0.981372     0             377398       0            0             377398       0.981372      377398       0             377398       1.21002       377398       3.97605       1.32083E+07  7516.18       1.66667      -0.00533333  0.00147919    1.66667      -0.000881741 1.40961E-05   1.66667      0.0116463    0.0011322     1.66667      -0.000643602 -8.2257E-06   1.66667      0.0157057    0.00120092    1.66667      0.00147412   -5.24917E-05  
   53393        3.93255       500198       1.04396      0             500198       0            0             500198       1.04396       500198       0             500198       0.997297     0             500198       0            0             500198       0.997297      500198       0             500198       0.961038     0             500198       0.0420029    0             500198       0.961038      500198       0.0420029     500198       1.60925       500198       4.00778       1.3332E+07   1513.9        2.33333      -0.00743359  0.0017269     2.33333      -0.00113282  2.22482E-05   2.33333      0.0150992    0.00131538    2.33333      -0.000412943 -2.72195E-05  2.33333      0.0193453    0.00141939    2.33333      0.000796934  -3.69871E-05  
   54101        4.04597       622409       1.05042      0             622409       0            0             622409       1.05042       622409       0             622409       1.01161      0             622409       0            0             622409       1.01161       622409       0             622409       0.993338     0             622409       0.0288802    0             622409       0.993338      622409       0.0288802     622409       2.00852       622409       4.01972       1.3465E+07   3170.9        3            -0.00910879  0.00189895    3            -0.00131041  3.06626E-05   3            0.0178623    0.0014773     3            -0.000552487 -3.7258E-05   3            0.0224955    0.00157748    3            0.000958425  -3.67978E-05  
   54786        4.00081       755947       1.02821      0             755947       0            0             755947       1.02821       755947       0             755947       0.991001     0             755947       0.0274679    0             755947       0.991001      755947       0.0274679     755947       0.991001     0             755947       -0.0274679   0             755947       0.991001      755947       -0.0274679    755947       2.44054       755947       4.04039       1.35979E+07  2212.36       3.66667      -0.0105874   0.00205707    3.66667      -0.00122009  4.38837E-05   3.66667      0.0209071    0.00164574    3.66667      -0.000394645 -2.90051E-05  3.66667      0.0270352    0.00167751    3.66667      0.000650329  -5.87689E-05  
   55357        4.04357       888143       0.992253     0             888143       0.0108501    0             888143       0.992253      888143       0.0108501     888143       0.992253     0             888143       -0.0108501   0             888143       0.992253      888143       -0.0108501    888143       0.980604     0             888143       0            0             888143       0.980604      888143       0             888143       2.86872       888143       4.0641        1.37261E+07  2389.18       4.33333      -0.0128706   0.00218808    4.33333      -0.00158484  4.85644E-05   4.33333      0.0242528    0.00176766    4.33333      -0.00088064  -3.30114E-05  4.33333      0.0305205    0.00176887    4.33333      0.000861625  -5.08469E-05  
   56431        4.05268       1.01382E+06  1.00369      0             1.01382E+06  0            0             1.01382E+06  1.00369       1.01382E+06  0             1.01382E+06  0.972759     0             1.01382E+06  0.0210968    0             1.01382E+06  0.972759      1.01382E+06  0.0210968     1.01382E+06  0.972759     0             1.01382E+06  -0.0210968   0             1.01382E+06  0.972759      1.01382E+06  -0.0210968    1.01382E+06  3.27659       1.01382E+06  4.02533       1.38556E+07  3140.99       5            -0.0147291   0.00226222    5            -0.00172302  5.74929E-05   5            0.0274452    0.00185974    5            -0.00139842  -3.91277E-05  5            0.0341279    0.00188394    5            0.000629468  -3.0817E-05   
   57539        4.03464       1.14437E+06  1.04729      0             1.14437E+06  0            0             1.14437E+06  1.04729       1.14437E+06  0             1.14437E+06  1.00583      0             1.14437E+06  0.017764     0             1.14437E+06  1.00583       1.14437E+06  0.017764      1.14437E+06  1.00583      0             1.14437E+06  -0.017764    0             1.14437E+06  1.00583       1.14437E+06  -0.017764     1.14437E+06  3.70244       1.14437E+06  4.04419       1.3979E+07   2313.4        5.66667      -0.0168152   0.0023048     5.66667      -0.0020039   5.05484E-05   5.66667      0.0290944    0.00190993    5.66667      -0.00165228  -3.50333E-05  5.66667      0.0376064    0.00189119    5.66667      0.000195439  -1.51182E-05  
   58655        4.00232       1.2695E+06   1.03281      0             1.2695E+06   0            0             1.2695E+06   1.03281       1.2695E+06   0             1.2695E+06   0.993208     0             1.2695E+06   0            0             1.2695E+06   0.993208      1.2695E+06   0             1.2695E+06   0.954867     0             1.2695E+06   0            0             1.2695E+06   0.954867      1.2695E+06   0             1.2695E+06   4.11243       1.2695E+06   4.10566       1.41032E+07  2148.09       6.33333      -0.0195743   0.00239351    6.33333      -0.00212244  5.45013E-05   6.33333      0.0318905    0.00196893    6.33333      -0.00169185  -4.10609E-05  6.33333      0.0406701    0.00189744    6.33333      0.000102905  -9.06624E-06  
